Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise,text_length,word_count,has_url,has_mention,has_hashtag,mention_count,hashtag_count,is_relevant,category,content_owner,priority
instagram,post,3900464304117550901,Kenderaan Bas MARA) / WYN 2057 / Hino RK1JSLL / Scomi Coach #maraliner #temandestinasianda,https://www.instagram.com/p/DYhO556BI81/,neutral,2026-05-19 11:53:23+00:00,18,0,2,0,0.5,20,24.0,,,neutral,0.9349209070205688,english,Mixed/Urban,love,0.1317623108625412,0.0321332514286041,0.0910596698522567,0.0380354560911655,0.4720898568630218,0.028727663680911,90.0,14.0,False,False,True,0.0,2.0,True,general_mention,public_earned,low
instagram,post,3900301139153109623,Maraliner (Kenderaan Bas MARA) / VY 3920 / Hino RK1JSLL / RTG Intech #maraliner #temandestinasianda,https://www.instagram.com/p/DYgpzisRcJ3/,neutral,2026-05-19 06:29:11+00:00,6,0,0,0,0.5,6,6.0,,,neutral,0.935746729373932,english,Mixed/Urban,love,0.161496415734291,0.0338289365172386,0.075853519141674,0.0386225096881389,0.4649541974067688,0.024459958076477,100.0,15.0,False,False,True,0.0,2.0,True,general_mention,public_earned,low
instagram,post,3900276503044672567,Maraliner (Kenderaan Bas MARA) / CEJ 1409 / Hino RN8JSPA / Badanbas #bashentihenti #maraliner #kenderaanbasmara #temandestinasianda,https://www.instagram.com/p/DYgkNChx8w3/,neutral,2026-05-19 05:40:15+00:00,13,0,0,0,0.5,13,13.0,,,neutral,0.9200528860092164,english,Mixed/Urban,love,0.1697212606668472,0.0431547462940216,0.0812160298228263,0.0476908758282661,0.3866578638553619,0.0325383283197879,133.0,16.0,False,False,True,0.0,4.0,True,general_mention,public_earned,low
instagram,post,3900152202198889595,Maraliner (Kenderaan Bas MARA) / VY 5985 / Hino RK1JSLL / RTG Intech #maraliner #temandestinasianda,https://www.instagram.com/p/DYgH8OWBbR7/,neutral,2026-05-19 01:33:17+00:00,9,0,0,0,0.5,9,9.0,,,neutral,0.9327985644340516,english,Mixed/Urban,love,0.1510185003280639,0.0343727394938468,0.0763623192906379,0.0396252162754535,0.449504405260086,0.0257601272314786,100.0,15.0,False,False,True,0.0,2.0,True,general_mention,public_earned,low
instagram,post,3899763237662793994,Maraliner (Kenderaan Bas MARA) / CFC 2595 / SKS SMC-375W52 / SKSBUS E138i #bashentihenti #maraliner #kenderaanbasmara #temandestinasianda,https://www.instagram.com/p/DYevgC5BKEK/,neutral,2026-05-18 12:40:29+00:00,20,0,0,0,0.5,20,20.0,,,neutral,0.9173867106437684,english,Mixed/Urban,love,0.1405985355377197,0.0380112528800964,0.0740488395094871,0.0443859063088893,0.4905206859111786,0.0293923914432525,139.0,17.0,False,False,True,0.0,4.0,True,general_mention,public_earned,low
instagram,post,3897903290076028727,"“Guru Bitara, Nadi Negara” ✨ Terima kasih cikgu atas jasa, ilmu dan pengorbanan dalam membentuk generasi masa depan yang hebat 🇲🇾📚👩🏻‍🏫👨🏻‍🏫 Selamat Hari Guru 2026! 💐 #MARALINER #MARACORP #INIKANBASKITA #WeGenMARA #60TahunMARA",https://www.instagram.com/p/DYYImPtzt83/,positive,2026-05-16 00:36:26+00:00,5,0,0,0,0.95050690472126,5,5.0,,,positive,0.8350230157375336,multilingual,Unknown,love,0.0342679284512996,0.030176144093275,0.3384302258491516,0.0287704337388277,0.4215893447399139,0.0335460640490055,226.0,31.0,False,False,True,0.0,5.0,True,general_mention,public_earned,low
instagram,post,3896523645258259566,"Selamat Menyambut Ulang Tahun Kelahiran YBhg. Dato’ Wira Dr. Asyraf Wajdi bin Dato’ Dusuki, Pengerusi MARA. Semoga YBhg. Dato’ Wira sentiasa diberi kesihatan yang baik, dilimpahkan keberkatan, dan terus cemerlang dalam menerajui agenda pembangunan Bumiputera. Ikhlas daripada: Seluruh Warga MARALINER #MARALINER #MARACORP #INIKANBASKITA #WeGenMARA #60TahunMARA",https://www.instagram.com/p/DYTO5xWh1xu/,positive,2026-05-14 01:31:04+00:00,6,0,0,0,0.999392193555832,6,6.0,,,positive,0.9979739785194396,malay,Malay/Bumiputera,happy,0.0429486148059368,0.0456448383629322,0.5629215240478516,0.0267268251627683,0.2068573087453842,0.021430728957057,362.0,45.0,False,False,True,0.0,5.0,True,general_mention,public_earned,low
instagram,post,3890950112043406642,"Busy few days: 3rd May - MoU Exchange between Tuxuri and MARA Liner Sdn Bhd. The easy part done, now comes the hard work to support MLSB's vision for a new transportation revolution. 5th May - Attended the Unplugged Ansara and more importantly a MARA Education Forum session and met an old schoolmate who was a panel member, Prof. Dato Dr. Faisal Rafiq Adikan. #tuxuri #maraliner #mara #locationintelligence #genmara",https://www.instagram.com/p/DX_boMDHRUy/,positive,2026-05-06 08:50:20+00:00,7,0,0,0,0.8885545909404754,7,7.0,,,positive,0.6285153031349182,english,Mixed/Urban,happy,0.0475101247429847,0.0613969415426254,0.4521212875843048,0.0269797388464212,0.116422913968563,0.044179230928421,418.0,69.0,False,False,True,0.0,5.0,True,general_mention,public_earned,low
instagram,post,3890823458087695136,"Berjaya group of companies is proud to collaborate with Mara Liner Sdn Bhd @maralinersdnbhd to accelerate the national mobility and localisation agenda, with a focus on supply chain localisation, talent development, and entrepreneurial scaling. 🚆 Encik Farizul Hazli bin Baharom, Managing Director, Selat Abadi Sdn Bhd and Chief Executive Officer, Berjaya Rail Sdn Bhd, signed the memorandum of understanding during the recent MARA @majlisamanahrakyat 60th anniversary carnival. 🤝 Read more at: https://thesun.my/news/berjaya-mara-liner-forge-strategic-partnership-to-boost-localisation-and-mobility-sector/ #BerjayaCorporationBerhad #Berjaya #BCorp #MARACorp #MARALiner",https://www.instagram.com/p/DX--1IXEvMg/,positive,2026-05-06 04:38:41+00:00,7,0,0,0,0.9537458598613738,7,7.0,,,positive,0.8458195328712463,english,Mixed/Urban,happy,0.0518404468894004,0.0525665953755378,0.3772448897361755,0.0388157330453395,0.2302207052707672,0.0465893521904945,673.0,77.0,True,True,True,2.0,5.0,True,general_mention,news_media,low
instagram,post,3890083515458980045,"KATSANA is proud to announce the signing of a Memorandum of Understanding (MoU) with MARA LINER SDN. BHD. towards advancing the digitalisation of fleet operations and maintenance management across their transportation ecosystem. Through this collaboration, Katsana and MARA Liner will work together to implement a unified platform that combines Fleet Management System (FMS) capabilities with a Computerized Maintenance Management System (CMMS) — enabling greater visibility, operational efficiency, preventive maintenance planning, and data-driven decision making for MARA Liner buses as well as their heavy vehicle customers. As public transportation and heavy vehicle operations continue to evolve, digital infrastructure plays an increasingly important role in improving reliability, safety, compliance, and cost efficiency. This collaboration reflects a shared commitment to modernising fleet operations with scalable technology that supports long-term operational growth. We are honoured to support MARA Liner’s growth plans and transformation journey, and we look forward to building impactful solutions together for the transport and heavy vehicle industry in Malaysia. A sincere thank you to the MARA Liner leadership and team for the trust and opportunity. #Katsana #MARALiner #FleetManagement #CMMS #DigitalTransformation #SmartFleet #Telematics #HeavyVehicles #PublicTransport #MalaysiaTech #MobilityTechnology",https://www.instagram.com/p/DX8WljFiQjN/,positive,2026-05-05 04:08:33+00:00,11,0,0,0,0.9482675194740297,11,11.0,,,positive,0.8275583982467651,english,Mixed/Urban,happy,0.0286881867796182,0.0382728390395641,0.7582753896713257,0.0157250892370939,0.0973535329103469,0.0214489940553903,1427.0,185.0,False,False,True,0.0,11.0,True,praise_positive,public_earned,low
