Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
X,Tweet,X001,budi95 in Malaysia is really good. Worth trying!,Negative,2026-03-26,58,16,8,446,0.2,82
X,Tweet,X002,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-06,76,7,10,958,0.1,93
X,Quote Tweet,X003,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-03-28,135,16,15,1760,0.1,166
X,Reply,X004,Just tried budi95 - amazing quality and value!,Negative,2026-04-16,142,19,22,1045,0.1,183
X,Retweet,X005,Just tried budi95 - amazing quality and value!,Negative,2026-04-16,194,37,33,1371,0.1,264
X,Quote Tweet,X006,Just tried budi95 - amazing quality and value!,Negative,2026-04-01,63,12,7,471,0.1,82
X,Retweet,X007,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-10,89,18,8,1010,0.18,115
X,Reply,X008,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-13,88,23,10,808,0.28,121
X,Quote Tweet,X009,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-03-29,66,19,10,888,0.14,95
X,Tweet,X010,Just tried budi95 - amazing quality and value!,Negative,2026-04-16,68,13,9,377,0.11,90
X,Retweet,X011,budi95 in Malaysia is really good. Worth trying!,Negative,2026-03-28,58,17,10,699,0.1,85
X,Retweet,X012,Just tried budi95 - amazing quality and value!,Negative,2026-03-28,80,11,14,610,0.2,105
X,Quote Tweet,X013,Just tried budi95 - amazing quality and value!,Negative,2026-04-12,67,11,5,1000,0.1,83
X,Reply,X014,Just tried budi95 - amazing quality and value!,Negative,2026-04-12,114,20,9,1703,0.18,143
X,Quote Tweet,X015,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-03-29,66,14,3,409,0.17,83
X,Reply,X016,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-05,68,7,7,864,0.1,82
X,Tweet,X017,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-03,159,40,8,813,0.1,207
X,Retweet,X018,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-06,74,15,6,713,0.28,95
X,Retweet,X019,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-03-28,64,12,4,475,0.1,80
X,Retweet,X020,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-04,53,12,3,739,0.18,68
X,Quote Tweet,X021,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-20,44,4,6,476,0.1,54
X,Tweet,X022,Just tried budi95 - amazing quality and value!,Negative,2026-04-05,193,57,29,2104,0.1,279
X,Reply,X023,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-22,181,27,20,1612,0.28,228
X,Reply,X024,Just tried budi95 - amazing quality and value!,Negative,2026-04-18,75,13,6,982,0.1,94
X,Tweet,X025,budi95 in Malaysia is really good. Worth trying!,Negative,2026-03-25,177,46,23,1658,0.1,246
X,Tweet,X026,Just tried budi95 - amazing quality and value!,Negative,2026-04-21,194,48,13,1239,0.1,255
X,Reply,X027,Just tried budi95 - amazing quality and value!,Negative,2026-04-12,129,29,11,1558,0.1,169
X,Tweet,X028,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-06,156,22,30,948,0.1,208
X,Tweet,X029,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-03-28,67,13,7,909,0.25,87
X,Quote Tweet,X030,budi95 in Malaysia is really good. Worth trying!,Negative,2026-03-28,110,14,18,1282,0.17,142
X,Quote Tweet,X031,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-03-26,126,28,20,1307,0.1,174
X,Retweet,X032,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-18,57,7,5,416,0.1,69
X,Retweet,X033,Just tried budi95 - amazing quality and value!,Negative,2026-04-09,50,8,9,705,0.1,67
X,Quote Tweet,X034,budi95 in Malaysia is really good. Worth trying!,Negative,2026-03-25,80,17,12,699,0.1,109
X,Reply,X035,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-12,106,17,16,743,0.1,139
X,Quote Tweet,X036,Just tried budi95 - amazing quality and value!,Negative,2026-04-12,78,21,6,472,0.17,105
X,Tweet,X037,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-03-30,83,19,10,589,0.1,112
X,Retweet,X038,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-19,109,21,7,1092,0.1,137
X,Tweet,X039,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-21,104,18,20,676,0.1,142
X,Retweet,X040,Just tried budi95 - amazing quality and value!,Negative,2026-04-17,114,33,13,973,0.1,160
X,Reply,X041,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-02,189,20,36,1300,0.23,245
X,Retweet,X042,Just tried budi95 - amazing quality and value!,Negative,2026-03-30,185,55,32,1917,0.27,272
X,Reply,X043,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-02,120,30,14,1606,0.12,164
X,Quote Tweet,X044,Just tried budi95 - amazing quality and value!,Negative,2026-04-17,126,19,22,1850,0.18,167
X,Tweet,X045,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-09,88,12,10,1060,0.3,110
X,Retweet,X046,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-06,80,9,14,432,0.24,103
X,Tweet,X047,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-15,81,13,8,821,0.1,102
X,Retweet,X048,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-22,78,14,11,536,0.18,103
X,Retweet,X049,Just tried budi95 - amazing quality and value!,Negative,2026-04-13,228,55,18,2791,0.1,301
X,Reply,X050,Just tried budi95 - amazing quality and value!,Negative,2026-04-13,57,15,11,510,0.1,83
