Parti,Nama,Full_URL
Amanah,Amanah (Rasmi),https://www.facebook.com/amanahofficial
Amanah,Mohamad Sabu (Mat Sabu),https://www.facebook.com/mohamadsabuofficial
Bebas,Dr Mahathir Mohamad,https://www.facebook.com/mahathirmohamad
Bebas,Khairy Jamaluddin,https://www.facebook.com/khairy
Bersatu,Bersatu/PPBM (Rasmi),https://www.facebook.com/pribumibersatuofficial
Bersatu,Hamzah Zainudin,https://www.facebook.com/hamzahzainudin
Bersatu,Muhyiddin Yassin,https://www.facebook.com/ts.muhyiddin
DAP,Anthony Loke,https://www.facebook.com/anthonyloke
DAP,DAP (Rasmi),https://www.facebook.com/dapmalaysia
DAP,Gobind Singh Deo,https://www.facebook.com/gobindsinghdeo
DAP,Hannah Yeoh,https://www.facebook.com/hannahyeoh
DAP,Lim Guan Eng,https://www.facebook.com/limguaneng
DAP,Nga Kor Ming,https://www.facebook.com/ngakorming
GPS,Abang Johari Openg,https://www.facebook.com/abangjohariopeng
GRS,GRS (Rasmi),https://www.facebook.com/GRSSabah
MCA,MCA (Rasmi),https://www.facebook.com/mcamalaysia
MIC,MIC (Rasmi),https://www.facebook.com/micmalaysia
MUDA,MUDA (Rasmi),https://www.facebook.com/partimuda
MUDA,Syed Saddiq,https://www.facebook.com/syedsaddiqsyedabdulrahman
PAS,Abdul Hadi Awang,https://www.facebook.com/abdulhadiawang
PAS,Ahmad Samsuri Mokhtar (Dr. Sam),https://www.facebook.com/DrAhmadSamsuri
PAS,Muhammad Sanusi Md Nor,https://www.facebook.com/N24MuhammadSanusiMdNor
PAS,PAS Pusat (Rasmi),https://www.facebook.com/paspusat
PAS,Tuan Ibrahim Tuan Man,https://www.facebook.com/tuanibrahimtuanman
PKR,Anwar Ibrahim,https://www.facebook.com/anwaribrahimofficial
PKR,PKR (Rasmi),https://www.facebook.com/KeadilanRakyat
PKR,Rafizi Ramli,https://www.facebook.com/rafiziramli.keadilan
UMNO,Ahmad Zahid Hamidi,https://www.facebook.com/ahmadzahidofficial
UMNO,Isham Jalil,https://www.facebook.com/ishamjalil
UMNO,Najib Razak,https://www.facebook.com/NajibRazakOfficial
UMNO,UMNO (Rasmi),https://www.facebook.com/umno.org.my
Warisan,Warisan (Rasmi),https://www.facebook.com/warisansabah
