Parti,Nama,Full_URL
Amanah,Mohamad Sabu (Mat Sabu),https://www.instagram.com/mohamadsabu_official/
Bebas,Khairy Jamaluddin,https://www.instagram.com/khairykj/
Bersatu,Hamzah Zainudin,https://www.instagram.com/hamzahzainudin_/
Bersatu,Muhyiddin Yassin,https://www.instagram.com/muhyiddinyassin/
DAP,DAP (Rasmi),https://www.instagram.com/dapmalaysia/
DAP,Hannah Yeoh,https://www.instagram.com/hannahyeoh/
MUDA,Syed Saddiq,https://www.instagram.com/syedsaddiq/
PAS,Ahmad Samsuri Mokhtar (Dr. Sam),https://www.instagram.com/drahmadsamsuri/
PKR,Anwar Ibrahim,https://www.instagram.com/anwaribrahimofficial/
PKR,Rafizi Ramli,https://www.instagram.com/rafiziramli/
UMNO,Ahmad Zahid Hamidi,https://www.instagram.com/ahmadzahidhamidi/
UMNO,Isham Jalil,https://www.instagram.com/ishamjalil/
UMNO,Najib Razak,https://www.instagram.com/najibrazak/
