Parti,Nama,Full_URL
Amanah,Mohamad Sabu (Mat Sabu),https://www.tiktok.com/@mohamadsabu_official
Bebas,Khairy Jamaluddin,https://www.tiktok.com/@khairykj
Bersatu,Hamzah Zainudin,https://www.tiktok.com/@hamzahzainudin_
DAP,Anthony Loke,https://www.tiktok.com/@anthonyloke
DAP,Lim Guan Eng,https://www.tiktok.com/@limguaneng
GPS,GPS (Rasmi),https://www.tiktok.com/@gabunganpartisarawak_
MUDA,Syed Saddiq,https://www.tiktok.com/@syedsaddiq
PAS,Abdul Hadi Awang,https://www.tiktok.com/@abdulhadiawang
PAS,Ahmad Samsuri Mokhtar (Dr. Sam),https://www.tiktok.com/@drsamtrg
PAS,Muhammad Sanusi Md Nor,https://www.tiktok.com/@sanusimdnor
PAS,PAS Pusat (Rasmi),https://www.tiktok.com/@pemudapasmalaysia
PKR,Anwar Ibrahim,https://www.tiktok.com/@anwaribrahimofficial
PKR,Rafizi Ramli,https://www.tiktok.com/@rafiziramli
UMNO,Ahmad Zahid Hamidi,https://www.tiktok.com/@ahmadzahidhamidi
UMNO,Isham Jalil,https://www.tiktok.com/@ishamjalil
UMNO,Najib Razak,https://www.tiktok.com/@najibrazak
