category,bloc,label,handle,url
Pemimpin,PN,Muhyiddin Yassin (Bersatu),muhyiddinyassin_tsmy,https://www.tiktok.com/@muhyiddinyassin_tsmy
Pemimpin/Fan,PN,Muhyiddin support channel,abahkitemuhyiddin,https://www.tiktok.com/@abahkitemuhyiddin
Parti,UMNO,Pemuda UMNO / Rusila,officialpemudarusila,https://www.tiktok.com/@officialpemudarusila
Parti,PN,Perikatan Nasional Gerik,perikatannasionalgerik,https://www.tiktok.com/@perikatannasionalgerik
Parti Negeri,PAS,PAS Johor Bahru,pas_johor_bahru,https://www.tiktok.com/@pas_johor_bahru
Parti Negeri,PAS,PAS Johor,pasjohor,https://www.tiktok.com/@pasjohor
Media,Media,Malaysia Gazette,malaysiagazette,https://www.tiktok.com/@malaysiagazette
Media,Media,Sinar Harian,sinarharianonline,https://www.tiktok.com/@sinarharianonline
Media,Media,Astro AWANI,501awani,https://www.tiktok.com/@501awani
Media,Media,Astro Audio News,astroaudionews,https://www.tiktok.com/@astroaudionews
Media,Media,Bernama Radio,bernamaradioofficial,https://www.tiktok.com/@bernamaradioofficial
Media,Media,Berita Pertiwi,beritapertiwi,https://www.tiktok.com/@beritapertiwi
Media,Media,Berita KS,berita.ks,https://www.tiktok.com/@berita.ks
Media,Media,Utusan TV,utusantvofficial,https://www.tiktok.com/@utusantvofficial
Media,Media,Malaysiakini,malaysiakini,https://www.tiktok.com/@malaysiakini
Media,Media,The Star,thestaronline,https://www.tiktok.com/@thestaronline
Media,Media,Oh My Media,ohmymedia.cc,https://www.tiktok.com/@ohmymedia.cc
Media,Media,Metropolitan,metropolitan.id,https://www.tiktok.com/@metropolitan.id
Media,Media,Pedoman Rakyat,pedomanrakyat.com,https://www.tiktok.com/@pedomanrakyat.com
Media,Media,Nadi Rakyat,nadi.rakyat.official,https://www.tiktok.com/@nadi.rakyat.official
Media,Media,Netral News,netraldotcodotid2,https://www.tiktok.com/@netraldotcodotid2
Media,Media,Radar Indo Media,radarindomedia,https://www.tiktok.com/@radarindomedia
Media,Media,Seribulan News,seribulannews,https://www.tiktok.com/@seribulannews
Influencer,PN,Ustaz Indera Shafri,inderashafri,https://www.tiktok.com/@inderashafri
Influencer,Bebas,Hishamuddin Rais,hishamuddinrais,https://www.tiktok.com/@hishamuddinrais
Influencer,Bebas,JPS Syndicate,jpsyndicate,https://www.tiktok.com/@jpsyndicate
Influencer,Bebas,Nizam Zain,nizam_zain79,https://www.tiktok.com/@nizam_zain79
Influencer,Bebas,Yen Editor,yen_editor_,https://www.tiktok.com/@yen_editor_
Influencer,Bebas,The Rakyat Insight,therakyatinsight,https://www.tiktok.com/@therakyatinsight
Influencer,Bebas,Rojie Semail,r0jiesemail,https://www.tiktok.com/@r0jiesemail
Influencer,Bebas,Mimawmo (viral PAS),mimawmo,https://www.tiktok.com/@mimawmo
Influencer,Bebas,Notes ID 2026,notesid2026,https://www.tiktok.com/@notesid2026
Influencer,Bebas,Mustika Dewi Sri,mustika.dewi.sri,https://www.tiktok.com/@mustika.dewi.sri
Influencer,Bebas,Mistis Misteri,mistis_misteri,https://www.tiktok.com/@mistis_misteri
