source_id,source_name,platform,source_url,language_focus,crawl_scope,frequency,priority,state_focus,verification_status,verified_on,notes
TM001,Makkal Osai,Website,https://makkalosai.com.my/,Tamil|Malay,Articles + categories + article comments where available,Every 2 hours,P1,National; filter N9|Melaka|Johor keywords,verified_url,2026-06-16,National Tamil daily and digital portal.
TM002,Makkal Osai TV,YouTube,https://www.youtube.com/@MakkalOsaiTV,Tamil|Malay|English,Videos + descriptions + comments,Every 3 hours,P1,National; filter local place names,verified_url,2026-06-16,Official Makkal Osai YouTube channel.
TM003,Malaysia Nanban,Website,http://nanban.com.my/,Tamil,Articles + headlines + comments where available,Every 2 hours,P1,National; filter N9|Melaka|Johor,directory_verified_needs_live_check,2026-06-16,Website identified in public media directories; test accessibility before production.
TM004,Tamil Malar,Website,https://tamilmalar.my/,Tamil,Articles + categories + comments where available,Every 2 hours,P1,National; filter N9|Melaka|Johor,verified_url,2026-06-16,Malaysian Tamil digital news portal.
TM005,BERNAMA Tamil,Website,https://www.bernama.com/tam/,Tamil,Articles + official Tamil news,Every 2 hours,P1,National; filter state and district,official_verified,2026-06-16,Official Malaysian national news agency Tamil service.
TM006,Astro Ulagam,Website,https://astroulagam.com.my/,Tamil|English,News + local community + entertainment + events,Every 4 hours,P2,National; local event filtering,verified_url,2026-06-16,Indian/Tamil entertainment and community content hub.
TM007,Varnam Malaysia,Website,https://varnam.my/,English|Tamil,News + Malaysian Indian community features,Every 4 hours,P1,National; filter local issues,verified_url,2026-06-16,Malaysian Indian community digital publication.
TM008,Vanakkam Malaysia,Website,https://vanakkammalaysia.com.my/,Tamil,News + politics + community + comments where available,Every 3 hours,P1,National; filter N9|Melaka|Johor,verified_url,2026-06-16,Malaysian Tamil news site.
TM009,Tamil Nesan TV Malaysia,YouTube,https://www.youtube.com/@TamilNesanTVMalaysia,Tamil,Videos + descriptions + comments,Every 3 hours,P1,National; local place filtering,verified_url,2026-06-16,Malaysia-based Tamil news channel.
TM010,Thisaigal TV Malaysia,YouTube,,Tamil,Videos + descriptions + comments,Every 3 hours,P2,National; local place filtering,discovery_seed,2026-06-16,Discover and verify official channel using exact channel name before production.
TM011,Malaysia Hindu Sangam,Website/Facebook discovery,https://www.malaysiahindusangam.org/,Tamil|English|Malay,Statements + events + temple/community issues + linked social comments,Every 6 hours,P1,National and state councils,official_verified,2026-06-16,Use state council pages and official Facebook links from website.
TM012,MITRA Media Centre,Website,https://www.mitra.gov.my/ms/pusat-media/kenyataan-media,Malay|Tamil,Official statements + Tamil versions + programme announcements,Every 4 hours,P1,National; map programmes to state,official_verified,2026-06-16,Official Indian community socioeconomic programme information.
