source_id,state,district_or_scope,source_type,source_name,source_url,discovery_query,language_focus,crawl_scope,frequency,priority,verification_status,verified_on,notes
OF001,National,National,Indian community agency,MITRA,https://mitra.gov.my/ms/,MITRA official Tamil Facebook TikTok YouTube,Malay|Tamil,Programmes + grants + statements + public comments,Every 4 hours,P1,official_verified,2026-06-16,
OF002,Negeri Sembilan,Statewide,Education,Jabatan Pendidikan Negeri Sembilan,https://www.moe.gov.my/jabatan-pendidikan-negeri-sembilan,"site:facebook.com ""Jabatan Pendidikan Negeri Sembilan"" official",Malay,School announcements + disruptions + comments,Every 6 hours,P1,official_verified,2026-06-16,
OF003,Negeri Sembilan,Seremban,PBT,Majlis Bandaraya Seremban,https://www.mbs.gov.my/ms/,"site:facebook.com ""Majlis Bandaraya Seremban"" official",Malay|English,Service issues + complaints + infrastructure + comments,Every 4 hours,P1,official_verified,2026-06-16,
OF004,Negeri Sembilan,Port Dickson,PBT,Majlis Perbandaran Port Dickson,https://www.mppd.gov.my/en,"site:facebook.com ""Majlis Perbandaran Port Dickson"" official",Malay|English,Local services + tourism + infrastructure + comments,Every 4 hours,P1,official_verified,2026-06-16,
OF005,Negeri Sembilan,Jempol,PBT,Majlis Perbandaran Jempol,https://mpjl.gov.my/,"site:facebook.com ""Majlis Perbandaran Jempol"" official",Malay,Local services + complaints + comments,Every 6 hours,P2,official_verified,2026-06-16,
OF006,Negeri Sembilan,Statewide,Employment/Social protection,PERKESO Negeri Sembilan,https://www.perkeso.gov.my/en/negeri-sembilan.html,site:facebook.com PERKESO Negeri Sembilan official,Malay|English,Jobs + benefits + programmes + comments,Daily,P1,official_verified,2026-06-16,
OF007,Melaka,Statewide,State government,Portal Rasmi Kerajaan Negeri Melaka,https://www.melaka.gov.my/en,site:facebook.com Kerajaan Negeri Melaka official,Malay|English,State policies + aid + services + comments,Every 4 hours,P1,official_verified,2026-06-16,
OF008,Melaka,Melaka Tengah,PBT,Majlis Bandaraya Melaka Bersejarah,https://www.mbmb.gov.my/ms/,"site:facebook.com ""Majlis Bandaraya Melaka Bersejarah"" official",Malay|English,Local services + complaints + infrastructure + comments,Every 4 hours,P1,official_verified,2026-06-16,
OF009,Melaka,Alor Gajah,PBT,Majlis Perbandaran Alor Gajah,https://www.mpag.gov.my/,"site:facebook.com ""Majlis Perbandaran Alor Gajah"" official",Malay,Local services + complaints + comments,Every 6 hours,P2,official_verified,2026-06-16,
OF010,Melaka,Hang Tuah Jaya,PBT,Majlis Perbandaran Hang Tuah Jaya,https://www.mphtj.gov.my/,"site:facebook.com ""Majlis Perbandaran Hang Tuah Jaya"" official",Malay,Local services + complaints + comments,Every 6 hours,P2,official_directory_verified,2026-06-16,
OF011,Melaka,Jasin,PBT,Majlis Perbandaran Jasin,https://www.mpjasin.gov.my/,"site:facebook.com ""Majlis Perbandaran Jasin"" official",Malay,Local services + complaints + comments,Every 6 hours,P2,needs_live_check,2026-06-16,Validate current official URL before automated production crawl.
OF012,Melaka,Statewide,Employment/Social protection,PERKESO Melaka,https://www.perkeso.gov.my/en/melaka.html,site:facebook.com PERKESO Melaka official,Malay|English,Jobs + benefits + programmes + comments,Daily,P1,official_verified,2026-06-16,
OF013,Johor,Statewide,State government,Portal Rasmi Kerajaan Negeri Johor,https://www.johor.gov.my/,site:facebook.com Kerajaan Negeri Johor official,Malay|English,State policies + aid + services + comments,Every 4 hours,P1,needs_live_check,2026-06-16,Validate portal and linked social accounts before production.
OF014,Johor,Batu Pahat,PBT,Majlis Perbandaran Batu Pahat,https://www.mpbp.gov.my/,"site:facebook.com ""Majlis Perbandaran Batu Pahat"" official",Malay|English,Local services + complaints + comments,Every 4 hours,P1,official_verified,2026-06-16,
OF015,Johor,Kluang,PBT,Majlis Perbandaran Kluang,https://www.mpkluang.gov.my/,"site:facebook.com ""Majlis Perbandaran Kluang"" official",Malay,Local services + complaints + comments,Every 4 hours,P1,official_directory_verified,2026-06-16,
OF016,Johor,Statewide,Employment/Social protection,PERKESO Johor,https://www.perkeso.gov.my/en/johor.html,site:facebook.com PERKESO Johor official,Malay|English,Jobs + benefits + programmes + comments,Daily,P1,official_verified,2026-06-16,
OF017,Negeri Sembilan,Seremban,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Seremban,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Seremban"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF018,Negeri Sembilan,Port Dickson,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Port Dickson,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Port Dickson"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF019,Negeri Sembilan,Nilai,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Nilai,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Nilai"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF020,Negeri Sembilan,Jempol,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Jempol,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Jempol"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF021,Negeri Sembilan,Tampin,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Tampin,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Tampin"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF022,Negeri Sembilan,Kuala Pilah,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Kuala Pilah,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Kuala Pilah"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF023,Negeri Sembilan,Rembau,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Rembau,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Rembau"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF024,Negeri Sembilan,Jelebu,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Jelebu,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Jelebu"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF025,Melaka,Melaka Tengah,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Melaka Tengah,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Melaka Tengah"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF026,Melaka,Alor Gajah,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Alor Gajah,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Alor Gajah"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF027,Melaka,Jasin,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Jasin,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Jasin"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF028,Melaka,Hang Tuah Jaya,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Hang Tuah Jaya,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Hang Tuah Jaya"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF029,Johor,Johor Bahru,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Johor Bahru,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Johor Bahru"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF030,Johor,Iskandar Puteri,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Iskandar Puteri,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Iskandar Puteri"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF031,Johor,Pasir Gudang,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Pasir Gudang,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Pasir Gudang"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF032,Johor,Kulai,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Kulai,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Kulai"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF033,Johor,Kluang,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Kluang,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Kluang"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF034,Johor,Batu Pahat,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Batu Pahat,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Batu Pahat"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF035,Johor,Muar,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Muar,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Muar"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF036,Johor,Tangkak,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Tangkak,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Tangkak"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF037,Johor,Segamat,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Segamat,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Segamat"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF038,Johor,Pontian,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Pontian,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Pontian"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF039,Johor,Kota Tinggi,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Kota Tinggi,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Kota Tinggi"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
OF040,Johor,Mersing,Wakil rakyat discovery,Ahli Parlimen/ADUN kawasan Mersing,https://spr.gov.my/,"site:facebook.com OR site:tiktok.com OR site:youtube.com (""Ahli Parlimen"" OR ADUN OR YB) ""Mersing"" official",Malay|Tamil|English,Statements + service updates + public comments,Every 4 hours,P1,seat_based_discovery_seed,2026-06-16,Resolve current office-holder and official account from SPR/state assembly sources before production.
