source_id,state,district_or_town,platform,target_type,search_terms,hashtags,issue_expansion,crawl_scope,comment_limit,recency_days,frequency,priority,verification_status,verified_on,notes
TT0001,Negeri Sembilan,Seremban,TikTok,Location + community discovery,Seremban Tamil Malaysia; Seremban Indian community; Seremban தமிழர்; Seremban இந்தியர்,#seremban|#negerisembilan|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0002,Negeri Sembilan,Port Dickson,TikTok,Location + community discovery,Port Dickson Tamil Malaysia; Port Dickson Indian community; Port Dickson தமிழர்; Port Dickson இந்தியர்,#portdickson|#negerisembilan|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0003,Negeri Sembilan,Nilai,TikTok,Location + community discovery,Nilai Tamil Malaysia; Nilai Indian community; Nilai தமிழர்; Nilai இந்தியர்,#nilai|#negerisembilan|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0004,Negeri Sembilan,Jempol,TikTok,Location + community discovery,Jempol Tamil Malaysia; Jempol Indian community; Jempol தமிழர்; Jempol இந்தியர்,#jempol|#negerisembilan|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0005,Negeri Sembilan,Tampin,TikTok,Location + community discovery,Tampin Tamil Malaysia; Tampin Indian community; Tampin தமிழர்; Tampin இந்தியர்,#tampin|#negerisembilan|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0006,Negeri Sembilan,Kuala Pilah,TikTok,Location + community discovery,Kuala Pilah Tamil Malaysia; Kuala Pilah Indian community; Kuala Pilah தமிழர்; Kuala Pilah இந்தியர்,#kualapilah|#negerisembilan|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0007,Negeri Sembilan,Rembau,TikTok,Location + community discovery,Rembau Tamil Malaysia; Rembau Indian community; Rembau தமிழர்; Rembau இந்தியர்,#rembau|#negerisembilan|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0008,Negeri Sembilan,Jelebu,TikTok,Location + community discovery,Jelebu Tamil Malaysia; Jelebu Indian community; Jelebu தமிழர்; Jelebu இந்தியர்,#jelebu|#negerisembilan|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0009,Melaka,Melaka Tengah,TikTok,Location + community discovery,Melaka Tengah Tamil Malaysia; Melaka Tengah Indian community; Melaka Tengah தமிழர்; Melaka Tengah இந்தியர்,#melakatengah|#melaka|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0010,Melaka,Alor Gajah,TikTok,Location + community discovery,Alor Gajah Tamil Malaysia; Alor Gajah Indian community; Alor Gajah தமிழர்; Alor Gajah இந்தியர்,#alorgajah|#melaka|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0011,Melaka,Jasin,TikTok,Location + community discovery,Jasin Tamil Malaysia; Jasin Indian community; Jasin தமிழர்; Jasin இந்தியர்,#jasin|#melaka|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0012,Melaka,Hang Tuah Jaya,TikTok,Location + community discovery,Hang Tuah Jaya Tamil Malaysia; Hang Tuah Jaya Indian community; Hang Tuah Jaya தமிழர்; Hang Tuah Jaya இந்தியர்,#hangtuahjaya|#melaka|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0013,Johor,Johor Bahru,TikTok,Location + community discovery,Johor Bahru Tamil Malaysia; Johor Bahru Indian community; Johor Bahru தமிழர்; Johor Bahru இந்தியர்,#johorbahru|#johor|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0014,Johor,Iskandar Puteri,TikTok,Location + community discovery,Iskandar Puteri Tamil Malaysia; Iskandar Puteri Indian community; Iskandar Puteri தமிழர்; Iskandar Puteri இந்தியர்,#iskandarputeri|#johor|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0015,Johor,Pasir Gudang,TikTok,Location + community discovery,Pasir Gudang Tamil Malaysia; Pasir Gudang Indian community; Pasir Gudang தமிழர்; Pasir Gudang இந்தியர்,#pasirgudang|#johor|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0016,Johor,Kulai,TikTok,Location + community discovery,Kulai Tamil Malaysia; Kulai Indian community; Kulai தமிழர்; Kulai இந்தியர்,#kulai|#johor|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0017,Johor,Kluang,TikTok,Location + community discovery,Kluang Tamil Malaysia; Kluang Indian community; Kluang தமிழர்; Kluang இந்தியர்,#kluang|#johor|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0018,Johor,Batu Pahat,TikTok,Location + community discovery,Batu Pahat Tamil Malaysia; Batu Pahat Indian community; Batu Pahat தமிழர்; Batu Pahat இந்தியர்,#batupahat|#johor|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0019,Johor,Muar,TikTok,Location + community discovery,Muar Tamil Malaysia; Muar Indian community; Muar தமிழர்; Muar இந்தியர்,#muar|#johor|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0020,Johor,Tangkak,TikTok,Location + community discovery,Tangkak Tamil Malaysia; Tangkak Indian community; Tangkak தமிழர்; Tangkak இந்தியர்,#tangkak|#johor|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0021,Johor,Segamat,TikTok,Location + community discovery,Segamat Tamil Malaysia; Segamat Indian community; Segamat தமிழர்; Segamat இந்தியர்,#segamat|#johor|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0022,Johor,Pontian,TikTok,Location + community discovery,Pontian Tamil Malaysia; Pontian Indian community; Pontian தமிழர்; Pontian இந்தியர்,#pontian|#johor|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
TT0023,Johor,Kota Tinggi,TikTok,Location + community discovery,Kota Tinggi Tamil Malaysia; Kota Tinggi Indian community; Kota Tinggi தமிழர்; Kota Tinggi இந்தியர்,#kotatinggi|#johor|#tamilmalaysia|#malaysianindian|#tamilcommunity,kerja|bantuan|SJKT|kuil|banjir|jalan|rumah|kos sara hidup,Videos + captions + top/latest comments,150,7,Every 3 hours,P1,discovery_seed,2026-06-16,"Rank accounts by local relevance, posting frequency and comment quality; do not infer ethnicity from name."
