source_id,state,district_or_town,platform,target_type,source_name,source_url,discovery_query,language_focus,crawl_scope,comment_limit,frequency,priority,verification_status,verified_on,notes
FB0001,Negeri Sembilan,Seremban,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Seremban"" OR ""Negeri Sembilan"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0002,Negeri Sembilan,Seremban,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Seremban"" OR ""Negeri Sembilan"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0003,Negeri Sembilan,Seremban,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Seremban"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0004,Negeri Sembilan,Seremban,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Seremban"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0005,Negeri Sembilan,Port Dickson,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Port Dickson"" OR ""Negeri Sembilan"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0006,Negeri Sembilan,Port Dickson,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Port Dickson"" OR ""Negeri Sembilan"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0007,Negeri Sembilan,Port Dickson,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Port Dickson"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0008,Negeri Sembilan,Port Dickson,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Port Dickson"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0009,Negeri Sembilan,Nilai,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Nilai"" OR ""Negeri Sembilan"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0010,Negeri Sembilan,Nilai,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Nilai"" OR ""Negeri Sembilan"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0011,Negeri Sembilan,Nilai,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Nilai"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0012,Negeri Sembilan,Nilai,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Nilai"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
