issue_category,bm_terms,english_terms,tamil_terms,romanised_or_mixed_terms,recommended_action_owner,priority
Kos sara hidup,kos sara hidup|harga barang|barang mahal|inflasi|sewa mahal,cost of living|price increase|expensive goods|inflation|high rent,வாழ்க்கைச் செலவு|விலைவாசி|விலை உயர்வு|வாடகை,vilai vaasi|selavu|harga naik,Economic/consumer affairs,P1
Pekerjaan dan gaji,kerja|peluang pekerjaan|gaji|pengangguran|pekerja|kerja kilang,job|employment|salary|unemployment|worker|factory job,வேலை|வேலைவாய்ப்பு|சம்பளம்|வேலையின்மை|தொழிலாளர்,velai|velai vaaippu|sambalam,PERKESO/MYFutureJobs/HR,P1
Perniagaan dan peniaga kecil,peniaga kecil|lesen|sewa kedai|geran|pinjaman|perniagaan,small business|licence|shop rent|grant|loan|business,சிறு வியாபாரம்|வியாபாரம்|உரிமம்|கடை வாடகை|மானியம்|கடன்,viyabaram|kadai|grant|loan,PBT/entrepreneur agencies,P1
Bantuan dan kebajikan,bantuan|bantuan tidak sampai|kebajikan|B40|ibu tunggal|warga emas|OKU,aid|welfare|assistance|single mother|senior citizen|disability,உதவி|நிதியுதவி|நலத்திட்டம்|ஒற்றைத் தாய்|முதியோர்|மாற்றுத்திறனாளி,uthavi|welfare|bantuan,JKM/MITRA/state welfare,P1
Pendidikan dan SJKT,SJKT|sekolah Tamil|guru|murid|bangunan sekolah|biasiswa|pengangkutan murid,Tamil school|teacher|student|school building|scholarship|school transport,தமிழ்ப்பள்ளி|பள்ளி|ஆசிரியர்|மாணவர்|பள்ளிக் கட்டிடம்|உதவித்தொகை,Tamil palli|asiriyar|maanavar|SJKT,JPN/KPM/MITRA,P1
Kuil dan rumah ibadat,kuil|tanah kuil|pemindahan kuil|permit kuil|rumah ibadat,temple|temple land|temple relocation|temple permit|place of worship,கோவில்|ஆலயம்|கோவில் நிலம்|இடமாற்றம்|அனுமதி,kovil|aalayam|temple issue,PBT/Unity/MHS/land office,P1
Infrastruktur dan jalan,jalan rosak|berlubang|lampu jalan|longkang|jambatan|kemudahan awam,damaged road|pothole|street light|drain|bridge|public facility,சேதமடைந்த சாலை|சாலை குழி|தெருவிளக்கு|வடிகால்|பொது வசதி,jalan problem|road issue|street light,PBT/JKR,P1
Banjir dan air,banjir|kilat|air naik|bekalan air|gangguan air|tekanan air,flood|flash flood|water supply|water disruption|low pressure,வெள்ளம்|திடீர் வெள்ளம்|நீர் விநியோகம்|தண்ணீர் தடை,vellam|thanneer problem|water cut,PBT/JPS/water operator,P1
Perumahan,rumah|PPR|sewa rumah|rumah mampu milik|setinggan|pengusiran,housing|public housing|rent|affordable home|squatter|eviction,வீடு|வீடமைப்பு|வீட்டு வாடகை|மலிவு வீடு|வெளியேற்றம்,veedu|housing problem|rent,State housing/PBT,P1
Pengangkutan awam,bas|pengangkutan awam|jadual bas|tambang|perhentian bas,bus|public transport|bus schedule|fare|bus stop,பேருந்து|பொது போக்குவரத்து|பேருந்து நேரம்|கட்டணம்|பேருந்து நிறுத்தம்,bus problem|perunthu|tambang,Transport agency/PBT,P2
Kesihatan,klinik|hospital|rawatan|doktor|ubat|kesihatan mental,clinic|hospital|treatment|doctor|medicine|mental health,மருத்துவமனை|சிகிச்சை|மருத்துவர்|மருந்து|சுகாதாரம்|மனநலம்,maruthuvam|hospital issue|ubat,KKM/state health,P1
Keselamatan dan jenayah,keselamatan|jenayah|rompak|curi|gangster|dadah|polis,safety|crime|robbery|theft|gang|drugs|police,பாதுகாப்பு|குற்றம்|கொள்ளை|திருட்டு|கும்பல்|போதைப்பொருள்|காவல்துறை,crime|polis|gang issue,PDRM/community safety,P1
Diskriminasi dan hak,diskriminasi|hak|adil|layanan tidak adil|perkauman,discrimination|rights|fairness|unfair treatment|racism,பாகுபாடு|உரிமை|நீதி|அநியாயம்|இனவெறி,urimai|discrimination|racism,Unity/legal/communications,P1
Maklumat salah dan penipuan,maklumat palsu|berita palsu|mengelirukan|scam|penipuan,misinformation|fake news|misleading|scam|fraud,தவறான தகவல்|பொய்ச் செய்தி|திசைதிருப்பும் தகவல்|மோசடி,fake news|mosadi|scam,Fact-check/communications/MCMC,P1
Politik dan perwakilan,politik|wakil rakyat|ADUN|Ahli Parlimen|perwakilan|janji pilihan raya,politics|elected representative|state assemblyperson|MP|representation|election promise,அரசியல்|மக்கள் பிரதிநிதி|சட்டமன்ற உறுப்பினர்|நாடாளுமன்ற உறுப்பினர்|வாக்குறுதி,arasiyal|YB|ADUN|MP,Political monitoring/communications,P2
Sampah dan kebersihan,sampah|kutipan sampah|kotor|bau|pembersihan,garbage|waste collection|dirty|smell|cleaning,குப்பை|குப்பை சேகரிப்பு|அழுக்கு|துர்நாற்றம்|தூய்மை,kuppai|sampah problem|cleaning,PBT/waste operator,P2
