Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise,author,author_followers
facebook,post,,,https://www.facebook.com/search/top?q=%28%22Johor%22%20OR%20%22PRN%20Johor%22%29%20%28%22Muafakat%20Nasional%22%20OR%20%22MN%22%20OR%20%22PAS%20UMNO%22%20OR%20%22PAS%20BN%22%20OR%20%22penyatuan%20ummah%22%29,,,neutral,2026-06-21 02:55:18.945406+00:00,0,0,0,0,0.5,0,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0,,
instagram,comment,18060689741732874,🔥🔥🔥🔥👏👏👏👏👏,,https://www.instagram.com/p/Ca_CrqwvvUo/,Ca_CrqwvvUo,positive,2026-06-20 16:16:45+00:00,0,0,0,0,0.8714138269424438,0,positive,0.5713794231414795,multilingual,Unknown,love,0.04990804195404053,0.04013102874159813,0.06897308677434921,0.030702093616127968,0.640597939491272,0.03366026282310486,,0.0
instagram,comment,18084809438437177,ulama amal kan system Mullah supreme leader ke bukan demokrasi ada kah PN hak pengerusi seorang jahanam la kalau mentadbir negara😂😂😂,,https://www.instagram.com/p/Ca_CrqwvvUo/,Ca_CrqwvvUo,negative,2026-06-20 08:29:45+00:00,0,0,0,0,0.10985113978385924,0,negative,0.6338295340538025,multilingual,Unknown,love,0.12363391369581223,0.018611395731568336,0.05017891526222229,0.04193815961480141,0.48994511365890503,0.03106376901268959,,0.0
instagram,comment,18467833741109256,"Itulah balasan kpd Bersatu yg kerjasama dgn PAS utk langkah Shaiton tebuk atap menumbangkan kerajaan PH 1.0. Skrg abahkau muhyiddin makin melesap sebagai kluster mahkamah, manakala Mahathir jadi tunggangan walaun",,https://www.instagram.com/p/Ca_CrqwvvUo/,Ca_CrqwvvUo,neutral,2026-06-20 03:39:13+00:00,0,0,0,0,0.5,0,neutral,0.7614917159080505,english,Mixed/Urban,love,0.1070110946893692,0.05569981783628464,0.17386513948440552,0.05096254497766495,0.38583502173423767,0.035754356533288956,,0.0
instagram,comment,18016964444696418,Gila kuasa ni,,https://www.instagram.com/p/Ca_CrqwvvUo/,Ca_CrqwvvUo,neutral,2026-06-20 03:29:32+00:00,0,0,0,0,0.5,0,neutral,0.8355878591537476,english,Mixed/Urban,love,0.16062918305397034,0.11931437253952026,0.15576358139514923,0.08931724727153778,0.21771016716957092,0.09552004188299179,,0.0
instagram,comment,18098296789914551,Yakin keizinan samsuri ? Bukan haji hadi ?,,https://www.instagram.com/p/Ca8iZadPVvh/,Ca8iZadPVvh,neutral,2026-06-20 03:17:03+00:00,0,0,0,0,0.5,0,neutral,0.9075707197189331,english,Mixed/Urban,love,0.029626507312059402,0.07901202142238617,0.07664469629526138,0.015810532495379448,0.5512398481369019,0.11319290846586227,,0.0
instagram,comment,18084044942634384,"Pengerusi pasu bunga. Masa buang orang dari jawatan dia x ambil kira keputusan PN, mai tang guna nama kena mintak izin pulak",,https://www.instagram.com/p/Ca8iZadPVvh/,Ca8iZadPVvh,negative,2026-06-20 03:16:24+00:00,0,0,0,0,0.11426809430122375,0,negative,0.6191063523292542,multilingual,Unknown,love,0.09546501934528351,0.019096223637461662,0.038705918937921524,0.03326014429330826,0.4530632197856903,0.034552592784166336,,0.0
instagram,comment,18085440596564941,Ni la melayu bodoh...rosak kan racangan org melayu....bodoh punya pas...eh soal la pas ni😂,,https://www.instagram.com/p/Ca8iZadPVvh/,Ca8iZadPVvh,neutral,2026-06-20 02:03:43+00:00,0,0,0,0,0.5,0,neutral,0.7309579849243164,english,Mixed/Urban,anger,0.2623044550418854,0.02711038663983345,0.08308017998933792,0.11209037154912949,0.25100478529930115,0.03979843482375145,,0.0
instagram,comment,18085400627410690,hahahaha... padan muka bersatu..real kafarah...tapi nmpak jugak la kn PAS tu mcm mna..dlu dia kata BULAN tu kuat..rupanya PN nie pun bagi nilai tambah kpada PAS utk selindung blakang logo PN utk menipu pengundi2 selatan.. klu guna logo bulan konpem orang belah sana xkn pangkah😂😂😂,,https://www.instagram.com/p/Ca8iZadPVvh/,Ca8iZadPVvh,negative,2026-06-20 01:55:14+00:00,0,0,0,0,0.000481671094894387,0,negative,0.9983944296836853,malay,Malay/Bumiputera,no_clear_emotion,0.20574156939983368,0.023485222831368446,0.0754399523139,0.04188055172562599,0.2139357328414917,0.03389682248234749,,0.0
instagram,post,3924080358769084663,"𝗦𝗘𝗟𝗔𝗠𝗔𝗧 𝗛𝗔𝗥𝗜 𝗕𝗔𝗣𝗔 𝟮𝟬𝟮𝟲 !!!

21.06.26 | Seluruh Pimpinan BERSATU Bahagian Ipoh Barat ingin mengucapkan Selamat Hari Bapa 2026 kepada seluruh bapa bapa yang terhebat di seluruh Malaysia. Terima kasih atas pengorbanan yang tidak terhingga.

BERSATU Kekal Teguh !!!

BERSATU Ipoh Barat

#pkbipohbarat
#bersatuipohbarat 
#PPBM 
#PerikatanNasional 
#pnbest",https://www.instagram.com/p/DZ1IkuuhMj3/,,,negative,2026-06-21 01:54:15+00:00,0,0,0,0,0.11698393598198889,0,negative,0.6100535467267036,multilingual,Unknown,happy,0.023781655356287956,0.031076744198799133,0.6346509456634521,0.02175639383494854,0.18188348412513733,0.035178784281015396,,
instagram,comment,18024661046839928,Penasihat  PAS .kan Mahathir kuty .,,https://www.instagram.com/p/DZ1IkuuhMj3/,DZ1IkuuhMj3,neutral,2026-06-20 01:42:17+00:00,0,0,0,0,0.5,0,neutral,0.7833945751190186,english,Mixed/Urban,no_clear_emotion,0.017560500651597977,0.008200700394809246,0.030352162197232246,0.010436734184622765,0.06768576800823212,0.022477321326732635,,0.0
