Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,author,author_followers
facebook,post,1962683451279164,"[[LIVE]] Taklimat Krisis Bekalan Global

Khamis | 11 Jun 2026

'Yang sahih di RTM'
#RTM #BeritaRTM #MalaysiaMadani #TaatSetia #BersamaMALAYSIAKU #RancakkanMADANI #MADANIBekerja",https://www.facebook.com/anwaribrahimofficial/videos/1962683451279164/,,,neutral,1781169262,286,61,35,17733,0.0,559,,
facebook,comment,Y29tbWVudDoxOTYyNjgzNDUxMjc5MTY0XzQzNjY3NzMyMzM1MzU1NTA=,"Tahniah menteri,, keadaan negara kita paling balik dia asia!",,https://www.facebook.com/anwaribrahimofficial/videos/1962683451279164/,,neutral,2026-06-11T09:24:23.000Z,2,0,0,0,0.0,2,Rizak Merican,0.0
facebook,comment,Y29tbWVudDoxOTYyNjgzNDUxMjc5MTY0XzE1NTc3ODAwMjU2ODg2Mzc=,"Sembang kari ayam...
Bagi bubar parlimen biar rakyat yang tentukan kedudukan kamu semua memang bungkus habis c penjilat semua",,https://www.facebook.com/anwaribrahimofficial/videos/1962683451279164/,,neutral,2026-06-11T09:22:58.000Z,0,0,2,0,0.0,4,Himel Hasan,0.0
facebook,comment,Y29tbWVudDoxOTYyNjgzNDUxMjc5MTY0XzI3MjU0NzQ4MTgwODEyMTcz,谈及任何地球大课题解决模式，总离不开一个国策的主方向。在原始时代至现今电子时代，人脑不间断进步着。当人类开始一个首领世纪时，许多拥有人类超前思维左右着地球上一切大自然与人造物品生存在宇宙的合理性质。我们在不同国度环境之下，觉得什么是合理，什么是严重问题已出现在社会。当您的浅意识告诉大家，这个最深重课题已破坏了自己的舒适感觉时，您才会唤起国人关注与立刻彻底断绝其源源不息的恶循环。在马来西亚，我国最高领导眼球只处处瞄扫那群穷困者的经济问题。这是民主制度选票的主来源。你有意胜选民主制度的政府高职的话，首当其冲，起码你得先聪慧解决最糟糕的一大班同一类别人吧？我们一天当中皆只拥有二十四个小时。第二天早晨，人类又重新开始了第二天活动了。日日夜夜，如此这般陆陆续续重复再重复同样的人生。一切人类制度与习惯皆由学府教师与学生互动形成其主规模与内在。奇怪了！大马的小学课程怎么那么深奥难懂？大马首相主思维并不在行于人类与地球共存的意义。当大马华裔学生们的成绩皆可考获十个A时，首相皆忙着加深加难那学府课程纲要以便阻止卓越学生人数不断攀升。从这一角度分析，大马政府上上下下高职层面不符合首领工作最低资格。当教师们喜爱到社会兼职找外快，增加自己的额外收入时，大马首领解决上述的头痛方式尽然是不断增加纸张程序作业来填满人类工程师的得空时间。我们有所不知，我们对于有意义的工作才会充满热忱与动力。当人类苦干这与那无味的垃圾工作时候，人类的脑袋自动会提醒你赶快远离这个没有任何意识的机器动作。当浪费了个人时间与分享时光，无聊日常生活中的举止就慢慢从身体发泄出来。怎么公路上有那么多飙车族呢？人类不能够远离正道。什么是正道？当我们的精神寄托方式在于错误的主导之下，我们不能够爱自己的宇宙与地球。大马首相所谓的爱国最荒藐与无聊。大马政府制造了反地球反宇宙的人造物品污染了地球与宇宙来呼吁新生代佩戴爱国扣章。真不夸张的告诉世人，大马首相处处干些违反真理的事件，大马老百姓身体毫无接受任何维他命与主营养。上头输出的源头都是些致癌食物让普通老百姓吃了长达68年之久。假若你够聪明，你都不会愿意接受大马的教育制度。美国特朗普重视成本治国的方针，日本讲究清洁与卫生著名了全球，英国邱公园的绿色土地智慧已达至炉火纯青地步，世间大部分主科系皆是英国主语。中国重质不重量的治国模式已成功反败为胜，奇难杂症多得数不清的情况下其上述人类慧根让中国立刻马上发现人工智能复制世间重复再重复工作。你们以为那是上述进步国家人民脑袋特别聪明才导致他们的治国模式站在顶尖的高层上吗？错！错！错！当我们的主思维符合了宇宙与地球最高层次标准时，爱宇宙与地球之心会自动让您国土普通老百姓发现各个不同种类的高新科技，让您的主产品变成了人间财富。最近，华校学府中课程纲要太深奥已导致全部最新版课本取回当资源回收。这也是个资源回收的一部分啊！但这是新版课程纲要还没有动用的书本啊！我简短一些，告诉大家主重点。大马的循环不息，未来可期素质十分可耻与可悲。我们的谦让已赢得了最高一等世界和平美名。其主成本就在于上述新款课程纲要取回资源回收处。千间大马华校墙壁上捐款者姓名贴着血汗马币让我有机会在这儿书写马来西亚和平式悲哀。血汗钱不容易赚，是吧？我深感愧疚于中国传统的教育。我无力及时在这儿唤起大马的中国古训智慧！,,https://www.facebook.com/anwaribrahimofficial/videos/1962683451279164/,,neutral,2026-06-11T10:12:17.000Z,0,0,0,0,0.0,0,Teh Siew Yee,0.0
facebook,comment,Y29tbWVudDoxOTYyNjgzNDUxMjc5MTY0XzQ2NDMyMTY4OTI1ODI5ODE=,masalah utama sekarang isu rohingya n nurse dari indon. tolong ye tuan kalau nak jadi pm lagi,,https://www.facebook.com/anwaribrahimofficial/videos/1962683451279164/,,neutral,2026-06-11T10:22:15.000Z,0,0,0,0,0.0,0,Nor Salehah,0.0
facebook,comment,Y29tbWVudDoxOTYyNjgzNDUxMjc5MTY0XzIzMTI1NjE2NjkyNzY1NjU=,Selesai masalh roghinya tu tuan..da menjadi2 perangai puak2 tu..kasi hantar pulang puak2 tu..,,https://www.facebook.com/anwaribrahimofficial/videos/1962683451279164/,,neutral,2026-06-11T10:19:58.000Z,0,0,0,0,0.0,0,Fateh Dono,0.0
facebook,comment,Y29tbWVudDoxOTYyNjgzNDUxMjc5MTY0XzIzNzE3NzY4NjY2NzcwMTk=,💩,,https://www.facebook.com/anwaribrahimofficial/videos/1962683451279164/,,neutral,2026-06-11T09:47:34.000Z,1,0,0,0,0.0,1,Ezan Shahizan,0.0
facebook,comment,Y29tbWVudDoxOTYyNjgzNDUxMjc5MTY0XzE5NTU2NTQzMTg0MDA1ODA=,sembang kosong,,https://www.facebook.com/anwaribrahimofficial/videos/1962683451279164/,,neutral,2026-06-11T10:11:13.000Z,0,0,0,0,0.0,0,Adel Abraham,0.0
facebook,comment,Y29tbWVudDoxOTYyNjgzNDUxMjc5MTY0XzI3MDM2NDcwOTU2MDQ0NjY2,kasi selesai dulu tu isu Rohingya bah...,,https://www.facebook.com/anwaribrahimofficial/videos/1962683451279164/,,neutral,2026-06-11T10:00:06.000Z,0,0,0,0,0.0,0,Dominic Gukor,0.0
facebook,comment,Y29tbWVudDoxOTYyNjgzNDUxMjc5MTY0XzI2MTgyMDUyMzUyNTE0OTU=,asal buat pengumuman je tak ada apa berita baik yg boleh meringankan rakyat.,,https://www.facebook.com/anwaribrahimofficial/videos/1962683451279164/,,neutral,2026-06-11T09:21:47.000Z,0,0,2,0,0.0,4,Razman Ramli,0.0
facebook,comment,Y29tbWVudDoxOTYyNjgzNDUxMjc5MTY0XzEyNTQ5OTc2Mzk4NDQ5NDQ=,Apa yg cuba disampaikan?,,https://www.facebook.com/anwaribrahimofficial/videos/1962683451279164/,,neutral,2026-06-11T09:23:04.000Z,0,0,0,0,0.0,0,Ja Jamaluddin,0.0
facebook,post,1590876389060589,"Alhamdulillah, lawatan rasmi ke Jepun telah berlangsung dengan penuh makna, merangkumi pertemuan dua hala bersama Perdana Menteri Sanae Takaichi, syarahan khas di Universiti Tokyo, dialog perniagaan bersama konglomerat terkemuka Jepun, serta ucaptama di Persidangan Nikkei Ke-31.

Dari meja rundingan hinggalah ke pentas antarabangsa, setiap detik dimanfaatkan sepenuhnya demi rakyat dan masa depan Malaysia tercinta.

Terima kasih Jepun atas persahabatan yang terus mekar dan kerjasama yang semakin erat.

どうもありがとうございました。

Misi Diplomasi MADANI diteruskan! 🇲🇾🫶🇯🇵

#MalaysiaMADANI
#MADANIbekerja
#YakinMADANI
#DiplomasiMADANI",https://www.facebook.com/anwaribrahimofficial/posts/pfbid0jV8J68yDVNvGdY9WVrH6NyinyciZRddbWVJAPTfYG4PRTYb3M9FkNUV16znpJWFrl,,,neutral,1781160903,528,125,50,0,0.0,703,,
facebook,comment,Y29tbWVudDoxNTkwODc2Mzg5MDYwNTg5XzE5MDAyOTI1NjM5NzU5NDA=,Hello Sir,,https://www.facebook.com/anwaribrahimofficial/posts/pfbid0jV8J68yDVNvGdY9WVrH6NyinyciZRddbWVJAPTfYG4PRTYb3M9FkNUV16znpJWFrl,pfbid0jV8J68yDVNvGdY9WVrH6NyinyciZRddbWVJAPTfYG4PRTYb3M9FkNUV16znpJWFrl,neutral,2026-06-11T10:30:24.000Z,0,0,0,0,0.0,0,Yong Soo Sang,0.0
