Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,QueryID,Lang,Community,CommunityLabel,PublisherDomain,PublisherGuess,SeedQuery,CrawlMethod,SourceName,PostID,SourceID,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise,analysis_mode,geo_ns,narrative_solo,narrative_split
news,post,e745c8e25864ec21,"PGA8 rampas 200 peranti vape di tepi Sungai Golok. PASIR MAS: Batalion 8 Pasukan Gerakan Am (PGA8) merampas 200 unit peranti vape dianggarkan bernilai RM20,000 yang ditinggalkan di tepi Sungai Golok di Pangkalan Haram Pok Dik, di sini. Komander Briged Tenggara PGA, Senior Asisten Komisioner Ahmad Radzi Hussain, berkata terdahulu pasukannya membuat r",https://www.bharian.com.my/berita/nasional/2026/06/1571189/pga8-rampas-200-peranti-vape-di-tepi-sungai-golok,negative,2026-06-13T12:40:07.000000000,0,0,0,0,0.0034741759300231934,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,negative,0.9884194135665894,malay,Malay/Bumiputera,sadness,0.2850939631462097,0.09394074231386185,0.03590714558959007,0.3129722774028778,0.10327786952257156,0.031192829832434654,ml_models,False,False,False
news,post,ed26e7684489712a,"PRN Johor, Negeri Sembilan berasingan beri kelebihan kepada BN?, Ini penjelasan Khaled Nordin. KOTA TINGGI: Peluang menang mana-mana parti, termasuk Barisan Nasional (BN) pada Pilihan Raya Negeri (PRN) Johor atau Negeri Sembilan ditentukan oleh kesediaan dan keupayaan sendiri, bukannya kerana diadakan serentak atau berasingan. Naib Presiden UMNO, Datuk Seri Mohamed Khaled Nordin, berkata BN t",https://www.bharian.com.my/berita/nasional/2026/06/1571176/prn-johor-negeri-sembilan-berasingan-beri-kelebihan-kepada-bn-ini,negative,2026-06-13T12:22:38.000000000,0,0,0,0,0.07953034043312071,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,negative,0.7348988652229309,malay,Malay/Bumiputera,no_clear_emotion,0.04356415197253227,0.024297744035720825,0.06720265001058578,0.016674529761075974,0.11709755659103394,0.025310758501291275,ml_models,True,False,False
news,post,71549ffb9120990c,"Tulang ikan terubuk kini boleh dilembutkan, tingkat potensi komersial. KOTA BHARU: Penyelidik Universiti Malaysia Kelantan (UMK) berjaya membangunkan teknologi inovatif pelembutan tulang terubuk, yang membolehkan ikan itu dimakan bersama tulangnya dengan selamat tanpa menjejaskan rasa, tekstur dan nilai pemakanan. Ketua projek Prof Dr Raja Suzana Raja Kasim, berkata te",https://www.bharian.com.my/berita/nasional/2026/06/1571168/tulang-ikan-terubuk-kini-boleh-dilembutkan-tingkat-potensi-komersial,positive,2026-06-13T12:01:36.000000000,0,0,0,0,0.9978704154491425,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,positive,0.9929013848304749,malay,Malay/Bumiputera,happy,0.13757926225662231,0.06601031869649887,0.4161718189716339,0.026715662330389023,0.1212739646434784,0.03712828457355499,ml_models,False,False,False
news,post,d8efdaffeebb4f2f,"PRN Johor: Majoriti tipis, 10 DUN kerusi panas. JOHOR BAHRU: Sekurang-kurangnya 10 kawasan Dewan Undangan Negeri (DUN) dikenal pasti sebagai kerusi panas dalam Pilihan Raya Negeri Johor (PRN) pada 11 Julai ini, berikutan kemenangan majoriti nipis oleh penyandangnya, selain perebutan parti komponen gabungan yang mahu meletakkan calon. Tujuh kerusi",https://www.bharian.com.my/berita/nasional/2026/06/1571152/prn-johor-majoriti-tipis-10-dun-kerusi-panas,negative,2026-06-13T11:45:44.000000000,0,0,0,0,0.0829172909259796,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,negative,0.7236090302467346,multilingual,Unknown,no_clear_emotion,0.04075612127780914,0.034451693296432495,0.04140717536211014,0.013570498675107956,0.04627019166946411,0.03124021179974079,ml_models,False,False,False
news,post,a7900a5e48bb1f00,"PRN Negeri Sembilan: 4 penyandang goyah, berisiko. SEREMBAN: Lebih 10 kerusi Dewan Undangan Negeri (DUN) bakal menjadi tumpuan pada Pilihan Raya Negeri (PRN) Negeri Sembilan ke-16, yang dijadualkan berlangsung pada 1 Ogos depan. Situasi itu berlaku berikutan beberapa faktor, termasuk majoriti kemenangan di bawah 1,000 undi pada PRN yang lalu, status",https://www.bharian.com.my/berita/nasional/2026/06/1571137/prn-negeri-sembilan-4-penyandang-goyah-berisiko,neutral,2026-06-13T11:27:01.000000000,0,0,0,0,0.5,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,neutral,0.9771109819412231,malay,Malay/Bumiputera,no_clear_emotion,0.2982206642627716,0.0631042942404747,0.07270939648151398,0.10896816104650497,0.11310603469610214,0.024252189323306084,ml_models,True,False,False
news,post,e564d08f382caed5,"Kemelut Negeri Sembilan bukan hanya politik, tapi..... Seremban: Di sebalik kemelut pemerintahan Negeri Sembilan yang terus mencetuskan perhatian ramai, pengamal media arus perdana berdepan antara cabaran paling sukar apabila perlu menyalurkan maklumat yang pantas, tepat dan berimbang di tengah-tengah lambakan spekulasi serta maklumat tidak sahih yang b",https://www.hmetro.com.my/mutakhir/2026/06/1369320/kemelut-negeri-sembilan-bukan-hanya-politik-tapi,negative,2026-06-13T11:10:16.000000000,0,0,0,0,0.00048088431358339623,0,HMETRO,bm,melayu,Komuniti Melayu,hmetro.com.my,melayu,direct:HMETRO,direct_scrape,Harian Metro,,HMETRO,negative,0.9983970522880554,malay,Malay/Bumiputera,anger,0.6548948884010315,0.10557350516319275,0.046690743416547775,0.02833542227745056,0.04470708221197128,0.023473607376217842,ml_models,True,False,False
news,post,32dca8ea8908f20b,"Kemelut di Negeri Sembilan uji kredibiliti media. SEREMBAN: Di sebalik kemelut pemerintahan Negeri Sembilan yang terus mencetuskan perhatian ramai, pengamal media arus perdana berdepan antara cabaran paling sukar apabila perlu menyalurkan maklumat yang pantas, tepat dan berimbang di tengah-tengah lambakan spekulasi serta maklumat tidak sahih yang b",https://www.bharian.com.my/berita/nasional/2026/06/1571096/kemelut-di-negeri-sembilan-uji-kredibiliti-media,negative,2026-06-13T10:21:29.000000000,0,0,0,0,0.0005698263645171897,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,negative,0.9981005787849426,malay,Malay/Bumiputera,anger,0.6947637796401978,0.08790004253387451,0.04786485433578491,0.025425570085644722,0.041327301412820816,0.020189693197607994,ml_models,True,False,False
news,post,b75fb9d44bb0ed60,"Bekas Speaker DUN Perlis dakwa kedudukan kerajaan negeri goyah, syor adakan PRN segera. KANGAR: Pentadbiran kerajaan negeri ketika ini didakwa goyah susulan pergolakan politik dalaman Perikatan Nasional (PN) membabitkan hubungan antara PAS dan BERSATU. Bekas Speaker Dewan Undangan Negeri (DUN) Perlis, Datuk Hamdan Bahari, berkata situasi itu meletakkan keabsahan kerajaan negeri dalam k",https://www.bharian.com.my/berita/nasional/2026/06/1571082/bekas-speaker-dun-perlis-dakwa-kedudukan-kerajaan-negeri-goyah-syor,negative,2026-06-13T09:59:28.000000000,0,0,0,0,0.0006198406219482533,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,negative,0.9979338645935059,malay,Malay/Bumiputera,sadness,0.34007537364959717,0.07332073897123337,0.031151147559285164,0.3515169620513916,0.07856520265340805,0.02584013156592846,ml_models,False,False,False
news,post,87f6a667fd110df9,"PRN Negeri Sembilan: Pembahagian parti gabungan PH selesai, paling pantas - Aminuddin. am@hmetro.com.my Seremban: Pakatan Harapan (PH) Negeri Sembilan kekal untuk bergerak solo apabila akan bertanding semua 36 kerusi Dewan Undangan Negeri (DUN) pada Pilihan Raya Negeri (PRN) Ke-16, pada 1 Ogos depan. Menteri Besar merangkap Pengerusi PH negeri, Datuk Seri Aminuddin Harun, berkata pemb",https://www.hmetro.com.my/mutakhir/2026/06/1369299/prn-negeri-sembilan-pembahagian-parti-gabungan-ph-selesai-paling-pantas,neutral,2026-06-13T09:51:57.000000000,0,0,0,0,0.5,0,HMETRO,bm,melayu,Komuniti Melayu,hmetro.com.my,melayu,direct:HMETRO,direct_scrape,Harian Metro,,HMETRO,neutral,0.9712610840797424,malay,Malay/Bumiputera,no_clear_emotion,0.19194169342517853,0.059618961066007614,0.13703912496566772,0.029272599145770073,0.08673766255378723,0.03391404077410698,ml_models,True,True,False
news,post,2f42f70fb8ac1710,"Sanusi yakin menang 36-0, 15-0 di Kedah. hifzuddin@bh.com.my Alor Setar: Datuk Seri Muhammad Sanusi Md Nor yakin PAS bersama rakan gabungannya mampu memenangi kesemua 36 kerusi Dewan Undangan Negeri (DUN) Kedah pada Pilihan Raya Negeri (PRN) akan datang. Menteri Besar Kedah itu berkata, beliau turut yakin parti itu mampu menyapu bersih 15",https://www.hmetro.com.my/mutakhir/2026/06/1369269/sanusi-yakin-menang-36-0-15-0-di-kedah,positive,2026-06-13T08:24:29.000000000,0,0,0,0,0.9909110128879546,0,HMETRO,bm,melayu,Komuniti Melayu,hmetro.com.my,melayu,direct:HMETRO,direct_scrape,Harian Metro,,HMETRO,positive,0.9697033762931824,malay,Malay/Bumiputera,happy,0.04649432376027107,0.07683724910020828,0.6841453313827515,0.00952356867492199,0.0673266276717186,0.020040882751345634,ml_models,False,False,False
