Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,media_type,engagement_score,author,author_followers
youtube,post,rKAEGjP_ZOE,"Merujuk kepada dakwaan laporan sebuah portal berita berhubung siasatan melibatkan beberapa individu di Kuwait berkaitan isu penyelewengan dana 1Malaysia Development Berhad (1MDB), Suruhanjaya Pencegahan Rasuah Malaysia (SPRM) memaklumkan siasatan tersebut telah dilakukan dan masih giat dijalankan.








SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?...

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK   / astroawani  
TWITTER   / 501awani  
INSTAGRAM   / 501awani  
TELEGRAM https://t.me/astroawani

#AstroAWANI #AWANINews #NormaBaharu #DisiplinMalaysia #HapusCOVID19 #BuletinAWANI #AWANI745",https://www.youtube.com/watch?v=rKAEGjP_ZOE,,,neutral,2022-09-04T08:19:16+00:00,124,0,103,15735,0.0,384,video,448.735,,
youtube,post,zX-RchpiVvo,"Timbalan Presiden PAS itu mencadangkan agar pihak yang bekerjasama dengan mereka menggunakan satu logo bersama, iaitu lambang PAS.

Sumber Berita
https://www.malaysiakini.com/news/597209

#prnmelakagunalogopas #umnobersamapas #bersatutempang",https://www.youtube.com/watch?v=zX-RchpiVvo,,,neutral,2021-10-29T23:55:39+00:00,96,0,89,7601,0.0,261,video,370.601,,
youtube,post,3m5iS_f19V0,"Menjelang Pilihan Raya Negeri di 6 negeri, Perdana Menteri Anwar Ibrahim yakin akan merampas 2 negeri ditadbir Perikatan Nasional.

Presiden PKR itu juga berkata tiga negeri ditadbir Pakatan akan kekal.

Daripada enam negeri yang akan mengadakan pilihan raya, Pulau Pinang, Selangor dan Negeri Sembilan diterajui PH manakala Kelantan, Terengganu dan Kedah ditadbir oleh PN.

Anwar berkata pengaturan kerusi untuk pilihan raya negeri akan datang antara PH dan BN sudah dimuktamadkan",https://www.youtube.com/watch?v=3m5iS_f19V0,,,neutral,2023-07-04T06:38:27+00:00,22,0,20,3156,0.0,73,video,85.156,,
youtube,post,sU9PK8Phh9Q,"Jasa Tun Jugah cukup besar, bukan sahaja kepada anak-anak Bumi Kenyalang tetapi juga negara apabila beliau antara yang menggerakkan usaha pembentukan Malaysia pada 16 September 1963.








SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?...

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK   / astroawani  
TWITTER   / 501awani  
INSTAGRAM   / 501awani  
TELEGRAM https://t.me/astroawani

#AstroAWANI #AWANINews #NormaBaharu #DisiplinMalaysia #HapusCOVID19 #BuletinAWANI #AWANI745",https://www.youtube.com/watch?v=sU9PK8Phh9Q,,,neutral,2022-09-04T16:27:00+00:00,24,0,6,2661,0.0,56,video,44.661,,
youtube,comment,UgwlyLV30tyvtTaL2R94AaABAg,Samalh Sayuri maal kgkung pn jadi,,https://www.youtube.com/watch?v=sU9PK8Phh9Q,sU9PK8Phh9Q,neutral,2024-07-15T00:00:00+00:00,0,0,0,0,0.0,000,,,"{'id': 'UCxmP4Z7BYcUKfMNjiIRlEVg', 'name': '@ismailjusoh7219', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_lMF6e1YxbR__1TBCarFg7dhL9EUUBY0MQMymveJXwkDlWA7mNFLwm4F6AggfNTzLS9Sg=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugx4p7qHYgoYLFJfkjx4AaABAg,Bos nadae duit,,https://www.youtube.com/watch?v=sU9PK8Phh9Q,sU9PK8Phh9Q,neutral,2023-07-15T00:00:00+00:00,0,0,0,0,0.0,000,,,"{'id': 'UC57LOE9lwU4s-3K9KcFIX4g', 'name': '@lajetanalnata5222', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_kGbzuHsf8CGdiFeKVM3TKi9r4JmymtqTsx0WMjsLQvZuItYdhl3_7MMdXoz9-I9Xxg9g=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,post,HQKjITUkTnQ,PADU ANAK MUDA KONVOI ANAK MUDA PERIKATAN NASIONAL MEREKA BAKAL MENGHUKUM KERAJAAN BN KALI INI TUKAR,https://www.youtube.com/watch?v=HQKjITUkTnQ,,,neutral,2022-11-14T03:54:24+00:00,9,0,2,565,0.0,16,video,15.565,,
youtube,post,UqCewlmwrKk,"Sedutan ucapan Raja Nazrin pada tahun 2013 di DBP,  nilailah sikap pemimpin PAS hingga PRU12, dan sekarang bagaimana pula sikapnya.?",https://www.youtube.com/watch?v=UqCewlmwrKk,,,neutral,2016-11-10T12:59:26+00:00,3,0,1,404,0.0,8,video,6.404,,
youtube,post,mSZdp-qOEKs,DEDICATED FOR ALL MY FRIENDS IN PAKATAN PAS FOR ALL!!,https://www.youtube.com/watch?v=mSZdp-qOEKs,,,neutral,2013-04-28T18:44:20+00:00,2,0,0,91,0.0,2,video,2.091,,
youtube,post,IvB6Gnjyup0,"Siri jelajah penerangan di DUN Perling dan DUN Kempas bersama pasukan penerangan Perikatan Nasional sempena PRN Johor 2022

#perikatannasional
#demibangsajohor",https://www.youtube.com/watch?v=IvB6Gnjyup0,,,neutral,2022-03-05T05:15:09+00:00,2,0,0,65,0.0,2,video,2.065,,
