platform,post_content,comment_content,engagement,sentiment,date
x,,"????????????????????????????????????

#skynani https://t.co/BoYKpCHlbu",3791,neutral,NaT
x,,"@ans47 Ya Allah, Kau laknatlah para pemimpin dan sesiapa sahaja yang menzalimi rakyat marhaen di Malaysia ini.
Kau cabutlah ketenangan dan kebahagiaan dari hidup mereka.
Kau azablah mereka dgn azab yg",443,negative,NaT
x,,@FiersaBesari https://t.co/HlQkQ9a28I,230,neutral,NaT
facebook,,"Mmg ada yang tak paham fungsi Jakim, KKM, Majlis Bandaraya. Kedai kotor pun suruh report jakim padahal kedai mmg tak amik sijil halal.😂😂 pegawai jakim pun pening layan org mcm ni. 🤣🤣",175,negative,2026-05-17 02:04:51+00:00
facebook,,Kim Mark mane pulak ni 😂😂,122,neutral,2026-05-17 01:58:34+00:00
x,,"@FiersaBesari Meski esok raga kita tidak lagi bersama, tapi kenangan yang pernah kita lalui akan selalu tetap abadi. Pergilah untuk merangkai kisah baru. Namun jangan pernah melupakan indahnya tangis ",120,positive,NaT
facebook,,"Tuan, saya rasa tuan patut hebahkan bahawa kita tak perlukan pelancong miskin. Kita tak perlukan begpackers. Kita perlukan high spending tourists. Event simbah air ni, yang datang kebanyakkan orang lu",111,negative,2026-05-07 07:16:33+00:00
facebook,,"nama pun jimak..,😌",81,neutral,2026-05-17 01:54:43+00:00
x,,"@FiersaBesari Memang kenangannya masih tersimpan, tapi orangnya tidak akan dikenang.",78,positive,NaT
x,,@FiersaBesari Kenangan dimana suatu waktu kita bakal kembali menengok kebelakang,77,positive,NaT
x,,"@ans47 PRU tiada sampai bila bila
 
Kenapa ?

Diorang boleh guna alasan

- Kes naik

Then ?

- kita terperangkap di dalam pemerintahan #KerajaanGagal",73,neutral,NaT
x,,"@FiersaBesari Seharusnya cukup kenangannya saja yang tersimpan di hati, bukan dia terus yang mengisi hati.",56,positive,NaT
x,,"@sbyfess Bengi yo sepiii. Lek awan ya rame.

Tapi sayang skrg udah dikenai pajak.
Ditambah parkir motor 3000 yg ditarik sm mbok2, yg bahkan ga bantu ngatur posisi motor sama sekali 😹",53,negative,NaT
facebook,,"Pendek kata. Bani Melayu is real. Ramai yang masih benak tak faham erti halal, haram, syubhah, toyyiban.",47,negative,2026-05-17 02:29:51+00:00
facebook,,"Dia bukan keliru. Jika dia melayu, islam dia tak cukup atau tak buat. Kalau bukan melayu, faham2 la..",46,negative,2026-05-17 02:01:36+00:00
facebook,,"Jika merasa info yang kami kongsikan memberi manfaat. Support ,Untuk kami terus berkongsi Informasi. Terimakasih atas segala sokongan.  https://www.facebook.com/halalinquirydirektori/subscribenow?surf",45,positive,2026-05-17 01:49:39+00:00
facebook,,Aku dah kena. First time makan kt ayam gepuk artisan ni terus dapat free gift telur lalat kat ayam. First & last makan kt kedai ni,42,negative,2026-05-17 02:12:05+00:00
facebook,,yup..the numbers dont add up..contoh sekiranya 80k  pengunjung hadir sepanjang event tu.. 200mil so seorang pengunjung spend 2.5k for 3 days??? nampak bullshit nye terang lagi di calitkan .,38,negative,2026-05-07 05:29:48+00:00
