platform,post_content,comment_content,engagement,sentiment,date
youtube,,puak2 gila kuasa... Menyusahkan rakyat,1100,neutral,2026-05-07 00:00:00+00:00
youtube,,Jgn BGI UMNO  merentah...,1000,neutral,2026-05-07 00:00:00+00:00
tiktok,,kami akan cuba pilih PAS utk kali ini..,775,positive,2026-05-23 15:17:53+00:00
youtube,,Bersatulah untuk menggerunkan puak2 yang selalu Cuba menguji perlembagaan Dan rukun negara,600,negative,2026-06-23 00:00:00+00:00
tiktok,,Jika solo PH akan menang besar,249,neutral,2026-05-23 09:35:00+00:00
youtube,,Takbir!!!,200,neutral,2026-06-23 00:00:00+00:00
youtube,,Terus berjuang,200,negative,2026-06-16 00:00:00+00:00
youtube,,.. Kalau tarikh pun boleh main kotor.. Tak mustahil peti undi jadi sebaliknya..,100,negative,2026-06-16 00:00:00+00:00
youtube,,Yang beri tarikh pun orang UMNO.. Dah di rancang.. Mereka nak tunjuk Johor menang.. Nampak. Permainan kotor..,100,negative,2026-06-16 00:00:00+00:00
tiktok,,Saya pengundi atas pagar sebab tiada bakul rahmah dari BN dan saya dapati susah dapat bantuan dari wakil rakyat lama so saya tak pasti nak pangkah BN untuk kali ni. Maaf ya,18,negative,2026-06-27 18:24:10+00:00
tiktok,,"tomyam dia sedap sungguh..
kena try tau.
puas hati makan",4,positive,2026-07-02 08:56:51+00:00
tiktok,,Wahh rugi sape x cuba rasa dia mmg sdp 👍,4,negative,2026-07-02 08:40:32+00:00
tiktok,,[Sticker],3,neutral,2026-06-10 09:18:44+00:00
tiktok,,hmmm,2,positive,2026-06-15 13:33:01+00:00
tiktok,,hari Ni ada lagi ke,2,negative,2026-07-04 06:19:30+00:00
tiktok,,kenapa awak kena dapat bakul rahmah? Awak macam T20 je,1,negative,2026-06-30 03:32:05+00:00
tiktok,,"Takut Durian Bahagian Atas Nampak Cantik..
Bahagian Bawah..
Isi Jelatah..",1,neutral,2026-07-03 12:39:46+00:00
tiktok,,terbaik dap,0,positive,2026-06-11 04:50:06+00:00
tiktok,,😂😂😂,0,positive,2026-07-02 06:24:49+00:00
youtube,,"Who left umno latter will regret 
When other party not recognize and abandon him and they are not important",0,negative,2026-06-23 00:00:00+00:00
