Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,sentiment_label,sentiment_confidence,detected_language,demographic,author_demographic,author_demo_confidence,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
news,post,d2dcbc30f0c8bcc8,"Khaled Nordin says Hobart Camp blast investigation report will be submitted by mid‑month. KOTA TINGGI, July 5 &mdash; The investigation report into the grenade explosion that claimed the lives of two military p...",https://www.malaymail.com/news/malaysia/2026/07/05/khaled-nordin-says-hobart-camp-blast-investigation-report-will-be-submitted-by-midmonth/226454,neutral,2026-07-05 09:02:43+00:00,0,0,0,0,0.5,0,,neutral,0.9021239280700684,english,Mixed/Urban,Unknown,0.0,no_clear_emotion,0.08963529765605927,0.08662960678339005,0.28713101148605347,0.034855037927627563,0.09695611894130707,0.03518003225326538
news,post,aa34601d737e0af6,"From shopping carts to prayer mats: Minister wants Friday prayers expanded to malls nationwide. BUKIT MERTAJAM, July 5 &mdash; Minister in the Prime Minister&rsquo;s Department (Religious Affairs) Dr Zulkifli Hasan h...",https://www.malaymail.com/news/malaysia/2026/07/05/from-shopping-carts-to-prayer-mats-minister-wants-friday-prayers-expanded-to-malls-nationwide/226451,neutral,2026-07-05 08:52:28+00:00,0,0,0,0,0.5,0,,neutral,0.8841181993484497,english,Mixed/Urban,Unknown,0.0,no_clear_emotion,0.054966725409030914,0.04094959422945976,0.1713920682668686,0.027458971366286278,0.1375100165605545,0.04765337333083153
news,post,2df05786437b50af,"Labourer in Kelantan gets four years’ jail, RM6,000 fine for abducting man over brother’s debt and stealing Volkswagen Jetta. PASIR MAS, July 5 &mdash; A labourer was sentenced to four years&rsquo; jail and fined RM6,000 by the Sessions Court her...",https://www.malaymail.com/news/malaysia/2026/07/05/labourer-in-kelantan-gets-four-years-jail-rm6000-fine-for-abducting-man-over-brothers-debt-and-stealing-volkswagen-jetta/226448,negative,2026-07-05 10:14:43+00:00,0,0,0,0,0.0835915446281433,0,,negative,0.721361517906189,english,Mixed/Urban,Unknown,0.0,anger,0.4374278783798218,0.051619406789541245,0.09233911335468292,0.13557744026184082,0.06420738250017166,0.02610299177467823
news,post,1c159324bc78b4e9,"Minister says Jakim to update Muslim funeral guidelines for all states after burial delayed in Selangor. BUKIT MERTAJAM, July 5 &mdash; The Department of Islamic Development Malaysia (Jakim) is refining funeral management gui...",https://www.malaymail.com/news/malaysia/2026/07/05/minister-says-jakim-to-update-muslim-funeral-guidelines-for-all-states-after-burial-delayed-in-selangor/226449,neutral,2026-07-05 10:37:03+00:00,0,0,0,0,0.5,0,,neutral,0.9160904288291931,english,Mixed/Urban,Unknown,0.0,anger,0.3244340419769287,0.26328417658805847,0.07280652970075607,0.10145490616559982,0.07886811345815659,0.034101419150829315
news,post,e1fbfb594214982f,"Move over Musang King because Mardi is prepping three top-secret premium durian hybrids. KUALA KANGSAR, July 5 &mdash; The Malaysian Agricultural Research and Development Institute (Mardi) has planted about 25...",https://www.malaymail.com/news/malaysia/2026/07/05/move-over-musang-king-because-mardi-is-prepping-three-top-secret-premium-durian-hybrids/226447,neutral,2026-07-05 09:32:00+00:00,0,0,0,0,0.5,0,,neutral,0.8206847906112671,english,Mixed/Urban,Unknown,0.0,happy,0.056581251323223114,0.05599391832947731,0.39217516779899597,0.02702162228524685,0.23194488883018494,0.05696376785635948
news,post,b95b899af314e978,"Mohamad Hasan hints BN could shake up ‘traditional seats’ for Negeri Sembilan polls. SEREMBAN, July 5 &mdash; Barisan Nasional (BN) is likely to make changes by no longer retaining &ldquo;traditional seats...",https://www.malaymail.com/news/malaysia/2026/07/05/mohamad-hasan-hints-bn-could-shake-up-traditional-seats-for-negeri-sembilan-polls/226445,neutral,2026-07-05 09:22:31+00:00,0,0,0,0,0.5,0,,neutral,0.8724226355552673,english,Mixed/Urban,Unknown,0.0,fear,0.15449249744415283,0.5279635787010193,0.15401098132133484,0.021765677258372307,0.034009844064712524,0.04913852736353874
news,post,33b9aa3173e6135c,"Fahmi: Johor among priorities as MCMC moves to improve internet coverage with shared networks. BATU PAHAT, July 5 &mdash; The Communications Ministry, through the Malaysian Communications and Multimedia Commission (...",https://www.malaymail.com/news/malaysia/2026/07/05/fahmi-johor-among-priorities-as-mcmc-moves-to-improve-internet-coverage-with-shared-networks/226444,neutral,2026-07-05 09:05:38+00:00,0,0,0,0,0.5,0,,neutral,0.8046208620071411,english,Mixed/Urban,Unknown,0.0,happy,0.04487147927284241,0.03764554113149643,0.35391536355018616,0.02590852417051792,0.19870831072330475,0.03314149007201195
news,post,3d05f20af4c9df51,"Police: Shah Alam college failed to check employee’s criminal record before hiring him in teen molest, sodomy case. KUALA LUMPUR, July 5 &mdash; Police say an automotive college that hired a man now suspected of molesting and sodomising...",https://www.malaymail.com/news/malaysia/2026/07/05/police-shah-alam-college-failed-to-check-employees-criminal-record-before-hiring-him-in-teen-molest-sodomy-case/226443,negative,2026-07-05 08:27:41+00:00,0,0,0,0,0.06133335828781128,0,,negative,0.7955554723739624,english,Mixed/Urban,Unknown,0.0,anger,0.7058261036872864,0.048944421112537384,0.08873511105775833,0.018978292122483253,0.04024551436305046,0.020099712535738945
news,post,602b14971af3cb74,"Johor polls: Bukit Batu Pakatan candidate steps up campaign to lift voter turnout above 60pc. KULAI, July 5 &mdash; With the Johor state election polling day just a few days away, incumbent Bukit Batu state assembl...",https://www.malaymail.com/news/malaysia/2026/07/05/johor-polls-bukit-batu-pakatan-candidate-steps-up-campaign-to-lift-voter-turnout-above-60pc/226440,neutral,2026-07-05 07:58:19+00:00,0,0,0,0,0.5,0,,neutral,0.8368024230003357,english,Mixed/Urban,Unknown,0.0,no_clear_emotion,0.03985533490777016,0.04121573641896248,0.17086532711982727,0.016337495297193527,0.09416099637746811,0.02969762496650219
news,post,98ca570f5cc4ef67,"Anwar: Malaysia and Singapore to launch digital immigration system and new lanes by January. MUAR, July 5 &mdash; Malaysia and Singapore are targeting the launch of a new digital immigration system and additional...",https://www.malaymail.com/news/malaysia/2026/07/05/anwar-malaysia-and-singapore-to-launch-digital-immigration-system-and-new-lanes-by-january/226438,neutral,2026-07-05 07:46:39+00:00,0,0,0,0,0.5,0,,neutral,0.8493499159812927,english,Mixed/Urban,Unknown,0.0,happy,0.04910729080438614,0.07458564639091492,0.4069928228855133,0.02327183447778225,0.08109822869300842,0.047065503895282745
