Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
youtube,post,,,https://www.youtube.com/@orientaldailymy/about,,,neutral,2026-06-21 05:01:16.789811+00:00,0,0,0,0,0.5,0,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
youtube,post,4iy5KLAN0uE,"William Saliba menjangka tentangan sengit Iraq meskipun Perancis dilabel pasukan pilihan dalam aksi kedua Kumpulan I.

SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?...

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK   / astroawani  
TWITTER   / 501awani  
INSTAGRAM   / 501awani  
TELEGRAM https://t.me/astroawani

#AWANInews",https://www.youtube.com/watch?v=4iy5KLAN0uE,,,neutral,2026-06-21 04:53:02+00:00,1,0,0,4,0.5,1,neutral,0.8450465202331543,english,Mixed/Urban,no_clear_emotion,0.03728817030787468,0.01773233711719513,0.025527000427246094,0.017361732199788094,0.12272219359874725,0.04811935871839523
youtube,post,_j91lfOyE5E,"Belanda menewaskan Sweden 5-1 untuk mendahului Kumpulan F, manakala Sweden perlu bangkit dalam aksi seterusnya.

SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?...

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK   / astroawani  
TWITTER   / 501awani  
INSTAGRAM   / 501awani  
TELEGRAM https://t.me/astroawani

#AWANInews",https://www.youtube.com/watch?v=_j91lfOyE5E,,,neutral,2026-06-21 04:51:05+00:00,0,0,0,5,0.5,0,neutral,0.8373171091079712,english,Mixed/Urban,no_clear_emotion,0.1748170554637909,0.06229009851813316,0.06622030586004257,0.037105053663253784,0.05755048245191574,0.048493582755327225
youtube,post,5bOor2VbnPw,"Ikuti rangkuman berita utama yang menjadi tumpuan sepanjang hari di Astro AWANI menerusi AWANI Ringkas.

SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?...

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK   / astroawani  
TWITTER   / 501awani  
INSTAGRAM   / 501awani  
TELEGRAM https://t.me/astroawani

#AWANInews",https://www.youtube.com/watch?v=5bOor2VbnPw,,,positive,2026-06-21 04:57:26+00:00,0,0,0,1,0.8722546190023421,0,positive,0.5741820633411407,multilingual,Unknown,no_clear_emotion,0.019184788689017296,0.021011998876929283,0.0242579635232687,0.02608199417591095,0.07161357998847961,0.18365179002285004
youtube,post,2BsXmQVXFoY,"Perdana Menteri Britain, Keir Starmer dijangka mengumumkan pengundurannya susulan tekanan politik dalaman selepas kemenangan besar Andy Burnham dalam pilihan raya kecil. Burnham dilapor mendapat sokongan lebih separuh Ahli Parlimen Parti Buruh, sekali gus meningkatkan cabaran terhadap kepimpinan Starmer.

SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?...

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK   / astroawani  
TWITTER   / 501awani  
INSTAGRAM   / 501awani  
TELEGRAM https://t.me/astroawani

#AWANInews",https://www.youtube.com/watch?v=2BsXmQVXFoY,,,negative,2026-06-21 04:47:02+00:00,2,0,0,30,0.15750756114721298,2,negative,0.4749747961759567,multilingual,Unknown,no_clear_emotion,0.23410405218601227,0.05834522843360901,0.0885269045829773,0.09123710542917252,0.09702568501234055,0.03780046105384827
youtube,post,UbVNHqkb4LQ,"Lawatan rasmi pertama Perdana Menteri Bangladesh ke luar negara dijangka memperkukuh kerjasama dua hala, termasuk perdagangan, pelaburan dan pendidikan, serta pertukaran MoU dan nota diplomatik antara kedua-dua negara.

SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?...

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK   / astroawani  
TWITTER   / 501awani  
INSTAGRAM   / 501awani  
TELEGRAM https://t.me/astroawani

#AWANInews",https://www.youtube.com/watch?v=UbVNHqkb4LQ,,,negative,2026-06-21 04:44:27+00:00,0,0,0,17,0.16500145643949507,0,negative,0.44999514520168304,multilingual,Unknown,no_clear_emotion,0.053754400461912155,0.02698114700615406,0.06742960214614868,0.021184738725423813,0.10187886655330658,0.052891362458467484
youtube,post,yjpBREKdJEA,"AS akan terus menilai pengaturan perjalanan Iran di Piala Dunia meskipun pasukan itu merancang membuat aduan kepada FIFA.


SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?...

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK   / astroawani  
TWITTER   / 501awani  
INSTAGRAM   / 501awani  
TELEGRAM https://t.me/astroawani

#AWANInews",https://www.youtube.com/watch?v=yjpBREKdJEA,,,neutral,2026-06-21 04:48:59+00:00,1,0,0,16,0.5,1,neutral,0.9559288024902344,malay,Malay/Bumiputera,no_clear_emotion,0.13880257308483124,0.03373099863529205,0.06582218408584595,0.04166077822446823,0.19624365866184235,0.04324659705162048
youtube,post,qPHI0ikUSpE,"Menurut Jaziri Alkaf Abdillah Sufian, Malaysia mampu mengekalkan hubungan konstruktif dengan pelbagai blok kuasa dunia sambil mempertahankan kepentingan ekonomi negara.

SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?...

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK   / astroawani  
TWITTER   / 501awani  
INSTAGRAM   / 501awani  
TELEGRAM https://t.me/astroawani

#AWANInews",https://www.youtube.com/watch?v=qPHI0ikUSpE,,,positive,2026-06-21 04:12:29+00:00,1,0,0,48,0.8376820355653762,1,positive,0.4589401185512543,multilingual,Unknown,love,0.08734568953514099,0.04287667199969292,0.2314339578151703,0.04127541556954384,0.33582189679145813,0.034712255001068115
youtube,post,tbKaHDq2WgY,"Presiden Ukraine, Volodymyr Zelenskiy memaklumkan dron Ukraine berjaya menyerang kilang penapisan minyak di wilayah Tyumen, Rusia, yang terletak lebih 2,000 kilometer dari sempadan Ukraine. Dalam masa sama, beliau memberi amaran kemungkinan serangan besar-besaran oleh Rusia dan menggesa rakyat meningkatkan tahap kewaspadaan.

SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?...

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK   / astroawani  
TWITTER   / 501awani  
INSTAGRAM   / 501awani  
TELEGRAM https://t.me/astroawani

#AWANInews",https://www.youtube.com/watch?v=tbKaHDq2WgY,,,negative,2026-06-21 00:56:27+00:00,3,0,0,92,0.0005329549312591553,3,negative,0.9982234835624695,malay,Malay/Bumiputera,anger,0.6159980893135071,0.06652364134788513,0.11759058386087418,0.02050783298909664,0.056953102350234985,0.02420690655708313
youtube,post,qWWopP0wJx0,"Yang di-Pertuan Agong, Sultan Ibrahim dan Raja Permaisuri Agong, Raja Zarith Sofiah menzahirkan ucapan Selamat Hari Bapa kepada seluruh bapa di negara ini. Baginda menekankan peranan penting seorang bapa sebagai tunjang keluarga serta penghargaan terhadap pengorbanan yang sering tidak dizahirkan.

SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?...

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK   / astroawani  
TWITTER   / 501awani  
INSTAGRAM   / 501awani  
TELEGRAM https://t.me/astroawani

#AWANInews",https://www.youtube.com/watch?v=qWWopP0wJx0,,,positive,2026-06-21 04:20:10+00:00,1,0,0,48,0.9988060772418975,1,positive,0.9960202574729919,malay,Malay/Bumiputera,love,0.03596760332584381,0.04311484098434448,0.1245252788066864,0.047688405960798264,0.6113614439964294,0.05188046395778656
