Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,author_demographic,author_demo_confidence,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
tiktok,post,7503493093660855559,"SUSHI DON’T LIE 来财，来，来专访《八方来财💰》揽佬！揽佬全球爆红当下什么感受？EXCLUSIVE INTERVIEW WITH “SUSHI DONT LIE” LANLAO 🇲🇾

揽佬来到吉隆坡演出《东南嘻游记》，当下抓他直接来问他的穿搭多少钱？

现在应该没有人没有听过来财了吧？

With Lan Lao going viral globally, how does he feel about it now? While he’s in Kuala Lumpur performing Journey of the Southwest, we took the chance to catch him and ask: how much is your outfit worth?

At this point, there’s probably no one who hasn’t heard of ‘Lai Cai’ right? 

#streetinterview #interview #streetinterviews #吉隆坡 #kualalumpur #马来西亚 #malaysia #穿搭 #每日穿搭 #fyp #foryoupage #samwongsx #samwong #街访 #🇲🇾 #揽佬 #SKAIISYOURGOD #八方来财 #来财 #因果 #SUSHIDONTLIE",,,neutral,2026-07-07 12:01:48.390157+00:00,3000000,108000,9992,34400000,0.5,3461992,https://www.tiktok.com/@samwongsx/video/7503493093660855559,3280376.0,,,neutral,0.8100130558013916,english,Mixed/Urban,Unknown,0.0,love,0.024628471583127975,0.04167918488383293,0.04175441712141037,0.06343905627727509,0.3519165813922882,0.23297177255153656
tiktok,post,7489848496099593518,"中共國白頭山血脈上將
#國民黨 #民進黨  #賴清德 #台灣 #taiwan #中華民國台灣 #台獨 #台灣獨立 #人權 #民主 #言論自由#大外宣#大外宣#习近平#秦刚#人权问题 #台湾问题 #新疆集中营#朱镕基#江泽民  #独裁者 #Dictatorship #人权 #民主 #言论自由#中国人权 #89 #64  #8964 #八九六四 #六四 #韭菜 #粉紅 #五毛 #洗腦 #foryou #中國 #習近平 #華人 #china #共產黨 #華人 #維尼 #xijingping #中國人 #愛國 #愛國主義教育法 #longvideo #longvideos #tiktok #foryoupage #brainwash #communistchina #chinese #毛澤東 #maozedongg #個人崇拜#Washington #endccp #brainwashing #fryp #仇恨教育",,,neutral,2026-07-07 12:01:40.309525+00:00,34100,1057,2729,2500000,0.5,62886,https://www.tiktok.com/@twnotchina/video/7489848496099593518,46901.0,,,neutral,0.9085661768913269,english,Mixed/Urban,Unknown,0.0,love,0.05682442709803581,0.01390707679092884,0.04077315703034401,0.055177509784698486,0.7340266108512878,0.016097597777843475
tiktok,post,7560195909447847180,“賴清德燃剪”『2005“舌戰群雄”』『2025我從政以來“不貪不取”』#賴清德 #剪輯 #推薦 #流量 #fyp,,,positive,2026-07-07 12:01:45.064501+00:00,35300,2463,1702,852100,0.8310438141226768,47986,https://www.tiktok.com/@soopy.jdbj000/video/7560195909447847180,46184.1,,,positive,0.43681271374225616,multilingual,Unknown,Unknown,0.0,love,0.08099064230918884,0.021376797929406166,0.05963149294257164,0.04245186597108841,0.559506356716156,0.029475584626197815
tiktok,post,7637118272839650568,#张诗尧 #崔叡娜 不是。？这也能卡上。？,,,negative,2026-07-07 12:01:20.352141+00:00,28000,7319,421,331200,0.07319212853908538,39052,https://www.tiktok.com/@tieniuii/video/7637118272839650568,44232.2,,,negative,0.7560262382030487,multilingual,Unknown,Unknown,0.0,surprise,0.011506578885018826,0.05351150780916214,0.012648970820009708,0.029845232143998146,0.0804070457816124,0.708031952381134
tiktok,post,7458983985151085866,2027年习近平还会连任吗？最有可能接任习近平的3个人是谁？#中共 #修宪 #共产党 #习近平 #国家主席习近平,,,negative,2026-07-07 12:01:31.681623+00:00,13300,1233,2420,1800000,0.127006758749485,34953,https://www.tiktok.com/@realbeijinger/video/7458983985151085866,24826.0,,,negative,0.5766441375017166,multilingual,Unknown,Unknown,0.0,no_clear_emotion,0.02615814283490181,0.09930653125047684,0.11780444532632828,0.02213176153600216,0.09210598468780518,0.2599855959415436
tiktok,post,7589219741454093588,#张琦 #商业思维  #认知 #创业  #老板,,,positive,2026-07-07 12:01:32.016441+00:00,7469,6128,305,337300,0.8462967723608017,17275,https://www.tiktok.com/@zhangqi_businessclass/video/7589219741454093588,20977.3,,,positive,0.487655907869339,multilingual,Unknown,Unknown,0.0,no_clear_emotion,0.027074970304965973,0.011715902015566826,0.10857843607664108,0.025787314400076866,0.3903104364871979,0.028182124719023705
tiktok,post,7590435161523703060,"1個晚上$8人民幣：
有廁所+電視＞很貴嗎？",,,negative,2026-07-07 12:01:16.758288+00:00,9202,4897,407,657200,0.09260662794113159,21078,https://www.tiktok.com/@happyjjoe.happyjjoe/video/7590435161523703060,20874.2,,,negative,0.691311240196228,multilingual,Unknown,Unknown,0.0,love,0.07352330535650253,0.05029402673244476,0.07807621359825134,0.038664259016513824,0.5768621563911438,0.05280191823840141
tiktok,post,7561271158096645407,"幸亏毛泽东死的早
不然中国变成北朝鲜#毛泽东 #中共 #李锐 #chinese",,,neutral,2026-07-07 12:01:26.957257+00:00,10000,1135,1150,1000000,0.5,22285,https://www.tiktok.com/@realbeijinger/video/7561271158096645407,16720.0,,,neutral,0.8446477055549622,english,Mixed/Urban,Unknown,0.0,love,0.055644359439611435,0.031104005873203278,0.2519305348396301,0.022875845432281494,0.3994331359863281,0.027207987383008003
tiktok,post,7639231500319313173,"Cày hết sức nào hahahah
#phimtrungquoc #opal_team🎀 #luxfinis_team #ilyrunt_team #fyp",,,negative,2026-07-07 12:01:18.347094+00:00,12200,1955,156,69900,0.07930337637662888,15010,https://www.tiktok.com/@ngjoc.hwgn_/video/7639231500319313173,16647.9,,,negative,0.7356554120779037,multilingual,Unknown,Unknown,0.0,love,0.07062139362096786,0.022956455126404762,0.042519018054008484,0.027052801102399826,0.7774952054023743,0.012163432314991951
tiktok,post,7554379375714553106,"Chỉ Một Hành Động Nhỏ Của Vương Hổ Ninh đã biết vị thế  Đệ Nhất Phu Nhân 
#banhlevien #tapcanbinh #pengliyuan #xijingping",,,neutral,2026-07-07 12:01:45.439413+00:00,10800,196,317,1200000,0.5,23313,https://www.tiktok.com/@tclvhdlc/video/7554379375714553106,13343.0,,,neutral,0.8445706963539124,english,Mixed/Urban,Unknown,0.0,love,0.024055056273937225,0.01838092692196369,0.08462915569543839,0.016054967418313026,0.528663694858551,0.03170996904373169
