Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
instagram,comment,18537763960079852,Sedap sini tak tipuuu 🔥,https://www.instagram.com/p/DZsRsPtkkzx/,3921587182851214577,negative,2026-06-18 10:44:36+00:00,0,0,0,0,0.12009760737419128,0,,,,negative,0.599674642086029,multilingual,Unknown,sadness,0.018922384828329086,0.026648009195923805,0.0064058550633490086,0.9092581868171692,0.016787314787507057,0.013823042623698711
instagram,comment,18070179161372281,dah viral memang susah nk dpt 😢,https://www.instagram.com/p/DZsRsPtkkzx/,3921587182851214577,negative,2026-06-18 07:34:16+00:00,0,0,0,0,0.03451145589351656,0,,,,negative,0.8849618136882782,multilingual,Unknown,sadness,0.07837831228971481,0.22593699395656586,0.013417012989521027,0.5514768958091736,0.08452131599187851,0.02668777108192444
instagram,comment,17855427885679508,Memang sedappp! Sejak dah viral makin naik harga😂,https://www.instagram.com/p/DZsRsPtkkzx/,3921587182851214577,positive,2026-06-18 02:02:13+00:00,2,0,0,0,0.9994076251983641,2,,,,positive,0.9980254173278809,malay,Malay/Bumiputera,love,0.052463166415691376,0.025193609297275543,0.3162851333618164,0.021139290183782578,0.5236679315567017,0.019228443503379822
instagram,comment,18344502997217889,"Esok nk dtg beli lh,test produk nie",https://www.instagram.com/p/DZwoXMlJEDh/,3922812791356145889,neutral,2026-06-19 15:18:52+00:00,0,0,0,0,0.5,0,,,,neutral,0.9693556427955627,malay,Malay/Bumiputera,surprise,0.012491369619965553,0.05251815915107727,0.040360040962696075,0.02175098843872547,0.1056409701704979,0.6166545748710632
instagram,comment,17973424224048640,Ashri Soya 👍🏻👍🏻👍🏻,https://www.instagram.com/p/DZmwSguJvz8/,3920032903989755132,positive,2026-06-17 07:26:10+00:00,0,0,0,0,0.9745988011360167,0,,,,positive,0.9153293371200562,english,Mixed/Urban,love,0.03535854071378708,0.021989496424794197,0.04136967658996582,0.025532400235533714,0.812617301940918,0.016729118302464485
instagram,comment,17875390758613672,ada laksa Johor 🔥,https://www.instagram.com/p/DZukepFEpw0/,3922232760853503028,positive,2026-06-19 12:41:17+00:00,0,0,0,0,0.8233249217271804,0,,,,positive,0.41108307242393494,multilingual,Unknown,no_clear_emotion,0.11871279031038284,0.05099146440625191,0.10881040245294571,0.04059366136789322,0.2849460244178772,0.04373779520392418
instagram,comment,18087933755623352,Dahhh giii sedapp sama kluang ori,https://www.instagram.com/p/DZukepFEpw0/,3922232760853503028,neutral,2026-06-19 05:13:49+00:00,0,0,0,0,0.5,0,,,,neutral,0.6822124123573303,english,Mixed/Urban,love,0.23404890298843384,0.058403387665748596,0.038886912167072296,0.06637848168611526,0.4778486490249634,0.023833325132727623
instagram,comment,17994869270791059,@syahhhsyiraaa,https://www.instagram.com/p/DZukepFEpw0/,3922232760853503028,neutral,2026-06-18 14:15:58+00:00,1,0,0,0,0.5,1,,,,neutral,0.6738956570625305,english,Mixed/Urban,love,0.12626923620700836,0.07351330667734146,0.07787574827671051,0.05771883949637413,0.5000602006912231,0.040552232414484024
instagram,comment,18053884703758198,Q berries mmg sedap 😍,https://www.instagram.com/p/DZo96cSTrDP/,3920655772564762831,positive,2026-06-16 09:24:10+00:00,0,0,0,0,0.947171550989151,0,,,,positive,0.8239051699638367,english,Mixed/Urban,happy,0.0642385259270668,0.04277431592345238,0.4584255516529083,0.02420429140329361,0.35817891359329224,0.02084793895483017
instagram,comment,17999075855951230,Terkejut ea harga pisang dia..trs xjdk beli….ajer gler arrr,https://www.instagram.com/p/DZY_8qdCX7n/,3916161121681768167,neutral,2026-06-19 08:35:40+00:00,0,0,0,0,0.5,0,,,,neutral,0.9962407350540161,malay,Malay/Bumiputera,surprise,0.007640329655259848,0.034043002873659134,0.018372785300016403,0.022212272509932518,0.017001373693346977,0.8638902306556702
