Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
instagram,post,3905965620306717843,"Salam idul adha 💫

#qurban #muafakat #blds4all",https://www.instagram.com/p/DY0xwl3RSyT/,,,positive,2026-05-27 02:08:18+00:00,59,0,5,0,0.8886627912521362,64,74.0,,,positive,0.6288759708404541,english,Mixed/Urban,love,0.06218067929148674,0.028631694614887238,0.06253752112388611,0.05533525347709656,0.709234893321991,0.01998407393693924
instagram,comment,18005744906736505,❤️,,https://www.instagram.com/p/DY0xwl3RSyT/,DY0xwl3RSyT,positive,2026-05-17 01:18:37+00:00,0,0,0,0,0.8714138269424438,0,,,0.0,positive,0.5713794231414795,multilingual,Unknown,love,0.15282778441905975,0.08457757532596588,0.08897238224744797,0.054135002195835114,0.28777986764907837,0.10141012817621231
instagram,comment,18122119471636004,"Dear Yang Berhormat Tengku Zafrul Aziz, I humbly and sincerely appeal for your kind consideration in granting me financial assistance to support my studies as a pharmaceutical student at University Malaysia Pahang, as I am facing financial challenges and remain deeply committed to completing my education and contributing back to the community.",,https://www.instagram.com/p/DY0xwl3RSyT/,DY0xwl3RSyT,neutral,2026-05-16 11:28:22+00:00,0,0,0,0,0.5,0,,,0.0,neutral,0.5087007880210876,english,Mixed/Urban,happy,0.050774894654750824,0.052821084856987,0.4119618535041809,0.030091723427176476,0.4051835834980011,0.02396225370466709
instagram,comment,18093096728234126,Jgn la tertipu penduduk kampung dia hanya mengunggang agama uec pun dia tak banbah di iktiraf,,https://www.instagram.com/p/DY0xwl3RSyT/,DY0xwl3RSyT,negative,2026-05-16 09:52:03+00:00,0,0,0,0,0.08226179033517836,0,,,0.0,negative,0.7257940322160721,multilingual,Unknown,love,0.1212172880768776,0.040897026658058167,0.03524863347411156,0.03012624941766262,0.6080998182296753,0.026457881554961205
instagram,post,3898777062345615434,"Pemandangan dari tingkat atas surau ni memang cantik. Boleh nampak skyline KL. 

Surau mana tu? Surau At-Taqwa, Taman Saga. 

Beruntung ahli kariah. Hati tenang beribadah, pemandangan pun sejukkan mata. 

#TZA #ZiarahKasih #TurunPadang #Pandan #SemangatKejiranan #Muafakat #Surau #Jumaat",https://www.instagram.com/p/DYbPRTjjShK/,,,positive,2026-05-17 04:01:05+00:00,138,0,8,0,0.9994015634059905,146,162.0,,,positive,0.998005211353302,malay,Malay/Bumiputera,anger,0.6665297150611877,0.05047912150621414,0.11816219240427017,0.015012243762612343,0.056479036808013916,0.020874682813882828
instagram,comment,17878533993459031,Jgn la percaya dengan penipu,,https://www.instagram.com/p/DYbPRTjjShK/,DYbPRTjjShK,positive,2026-05-25 15:31:47+00:00,0,0,0,0,0.8637370720505714,0,,,0.0,positive,0.5457902401685715,multilingual,Unknown,love,0.22596457600593567,0.027986135333776474,0.06808091700077057,0.0662253350019455,0.3415164351463318,0.0365462563931942
instagram,comment,17914630596186486,Pemimpin yang baik Allah akan jaga dia dengan baik buat rakyat,,https://www.instagram.com/p/DYbPRTjjShK/,DYbPRTjjShK,positive,2026-05-19 00:55:03+00:00,0,0,0,0,0.9994065880775451,0,,,0.0,positive,0.9980219602584839,malay,Malay/Bumiputera,love,0.03568360581994057,0.013231181539595127,0.07761122286319733,0.02419387735426426,0.7982872128486633,0.014068041928112507
instagram,comment,18097884911154227,"Corporate style, but still down to earth with rakyat. That’s the difference with tza",,https://www.instagram.com/p/DYbPRTjjShK/,DYbPRTjjShK,neutral,2026-05-18 08:29:34+00:00,0,0,0,0,0.5,0,,,0.0,neutral,0.7018150687217712,english,Mixed/Urban,love,0.03449378162622452,0.01579810492694378,0.1523231863975525,0.015746906399726868,0.7001310586929321,0.014980372041463852
instagram,post,3898223603229874055,"Berbeza pandangan dan generasi? Bila makan, semua sama.

Sebelum solat Jumaat di Surau At-Taqwa, Taman Saga, saya sempat makan tengah hari bersama qariah. Hidangan dari kedai Kak Zaidah di Kiosk At-Taqwa, betul-betul sebelah surau.

Nasi tomato memang padu, sampai tambah dua kali! 😅

Terima kasih warga Taman Saga atas layanan yang baik. Balik bukan sekadar kenyang, hati pun rasa lapang.

#TZA #ZiarahKasih #TurunPadang #Pandan #SemangatKejiranan #Muafakat",https://www.instagram.com/p/DYZRbalj1eH/,,,positive,2026-05-16 09:41:27+00:00,123,0,3,0,0.999393481016159,126,132.0,,,positive,0.9979782700538635,malay,Malay/Bumiputera,happy,0.02190711908042431,0.0287680234760046,0.8088419437408447,0.009115422144532204,0.06711191684007645,0.01509762555360794
instagram,comment,18048683903530404,"Corporate mindset with rakyat-first attitude, memang solid. Tak perlu over acting untuk nampak prihatin, rakyat boleh rasa sendiri.",,https://www.instagram.com/p/DYZRbalj1eH/,DYZRbalj1eH,positive,2026-05-18 08:25:38+00:00,0,0,0,0,0.9976120650768279,0,,,0.0,positive,0.99204021692276,malay,Malay/Bumiputera,happy,0.020697113126516342,0.02938239276409149,0.7958877086639404,0.009942492470145226,0.10824974626302719,0.015195237472653389
instagram,comment,18113192491867112,Pemimpin yang turun santuni jemaah lebih mudah faham realiti hidup masyarakat. Ini yang aku respect dgn tengku,,https://www.instagram.com/p/DYZRbalj1eH/,DYZRbalj1eH,positive,2026-05-18 08:22:20+00:00,0,0,0,0,0.9451116770505905,0,,,0.0,positive,0.8170389235019684,multilingual,Unknown,love,0.026660609990358353,0.01067018136382103,0.08461033552885056,0.012597979977726936,0.8207260370254517,0.012587723322212696
instagram,comment,17927835426296327,"Nice leader Masjid bukan cuma tempat ibadah, tapi tempat pemimpin rapat dengan rakyat.",,https://www.instagram.com/p/DYZRbalj1eH/,DYZRbalj1eH,negative,2026-05-18 08:20:00+00:00,0,0,0,0,0.0004806339740753285,0,,,0.0,negative,0.9983978867530823,malay,Malay/Bumiputera,love,0.023943284526467323,0.006915989797562361,0.04232114180922508,0.016709137707948685,0.7921565175056458,0.016435448080301285
instagram,post,3891553922939048830,"🌟 TAHNIAH DELIMA BOTZ! 🌟

Warga sekolah merakamkan setinggi-tinggi tahniah kepada pasukan DELIMA BOTZ atas kejayaan merangkul Naib Johan Peringkat Kebangsaan dalam pertandingan Makerobot@Pesbuk UTHM 2026 yang telah berlangsung pada 4 – 6 Mei 2026 di UTHM Parit Raja. 🎉🤖

🏆 Peserta yang mengharumkan nama sekolah:
🔹 Ulil Amri Shah – 5 Aspirasi
🔹 Shaqeel Qaisar – 6 Aspirasi
🔹 Muhammad Aufi Nufail – 6 Aspirasi

Kejayaan ini membuktikan bahawa semangat inovasi, kreativiti dan kerjasama mampu melahirkan murid yang cemerlang dalam bidang STEM dan robotik. Semoga pencapaian ini menjadi inspirasi kepada seluruh warga sekolah untuk terus melakar kejayaan pada masa hadapan. 💡🚀

Syabas dan tahniah juga kepada guru pembimbing serta ibu bapa yang sentiasa memberi sokongan padu.

#kemenjadianmuriddelimasesi2026 #MUAFAKAT #SKBB5HebatIkhlasMuafakatHidupBerkat #DELIMAInMyHeart",https://www.instagram.com/p/DYBk6yxD1N-/,,,positive,2026-05-07 04:50:00+00:00,4,0,0,0,0.9993948221206664,4,4.0,,,positive,0.9979827404022217,malay,Malay/Bumiputera,no_clear_emotion,0.026811880990862846,0.0423739068210125,0.2898109555244446,0.02418660931289196,0.12867707014083862,0.06725290417671204
instagram,comment,17897003499451655,Tengku zafrul selayaknya di Pandan,,https://www.instagram.com/p/DYBk6yxD1N-/,DYBk6yxD1N-,negative,2026-05-18 08:13:54+00:00,0,0,0,0,0.1510964199900627,0,,,0.0,negative,0.49634526669979095,multilingual,Unknown,love,0.059632185846567154,0.034877654165029526,0.10637519508600235,0.018149403855204582,0.7061328291893005,0.017473261803388596
instagram,comment,18116900266685447,kambeng hangus😂😂,,https://www.instagram.com/p/DYBk6yxD1N-/,DYBk6yxD1N-,negative,2026-05-27 11:10:48+00:00,0,0,0,0,0.14002585262060166,0,,,0.0,negative,0.5332471579313278,multilingual,Unknown,love,0.16901922225952148,0.028575999662280083,0.050809454172849655,0.03441043570637703,0.4923522472381592,0.025628898292779922
