Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
news,post,84f93ff4e37725a1,"Risiko terlalu besar jika tak panggil PRN Negeri Sembilan, kata Loke. Risiko terlalu besar jika tak panggil PRN Negeri Sembilan, kata Loke&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiYkFVX3lxTE51YmJMT0RXRWxTVXl4dHJxbXFldFlUSExrUWZnLVlrcFNPdlhTaEhqdWhiWXdPajc5SjhycE5PMTZDNFpvdU8tOVBDVHBuM3V4MEdsbjVHWW9wLTA1ZTN3cXNR?oc=5,negative,2026-06-08 07:00:00+00:00,0,0,0,0,0.00048099160194398083,0,,negative,0.9983966946601868,malay,Malay/Bumiputera,anger,0.45921188592910767,0.04917759448289871,0.07924870401620865,0.018343212082982063,0.21109607815742493,0.0157006923109293
news,post,067072341dac4d14,Johor & Negeri Sembilan Polls. Johor & Negeri Sembilan Polls&nbsp;&nbsp;Lumi News Malaysia,https://news.google.com/rss/articles/CBMijAFBVV95cUxON3ZGNUFseGxTX2EzbjVTajdXZWdVOUdkaHFmYXA3Ym8tQXZWemhtbGZMbnI2V2JBSk9JV0RhNE44UXIzODFXNU1jTDdnNUR5N3FGZ3BQMWtScjR2UWw0NFpLTl9nMy1PVzZQMUlfQkM0bkdyZk9HZjNNRkVRZWhmOHhGc1haZVIzRGhmRQ?oc=5,positive,2026-06-12 05:04:30+00:00,0,0,0,0,0.8546297565102576,0,,positive,0.5154325217008591,multilingual,Unknown,no_clear_emotion,0.040944378823041916,0.01288017351180315,0.04142419248819351,0.027595778927206993,0.31309425830841064,0.02552248165011406
news,post,f348cbc2b55e247b,"Spenn, Norwegian Reward and Strawberry Successfully Go Live on GRAVTY® to Power the Nordics' Next-Generation Loyalty Ecosystem. Spenn, Norwegian Reward and Strawberry Successfully Go Live on GRAVTY® to Power the Nordics' Next-Generation Loyalty Ecosystem&nbsp;&nbsp;Utusan Malaysia",https://news.google.com/rss/articles/CBMigwJBVV95cUxQTVRnbllrdjlocUcyRnV5OXRYaFM4OXJZaFZHUTNMWHliRnlnRThOVVVwdkhwTFBHSkdtNDZyOVNMRjdndFlDaWd5bWxjc2pEZTFJdEZaUWtqNHhjYTlnRVZYempZVkwwbHJZYTZKdHZBRjRZQjRYQ2V3cXVsaUZzVXh4Q0MzSE1RZ01QSnZlc3NvWktjRFJoUE14UEpHY2JjX01GV1dmcmhtemJMVmRBUGFfZXJUM2c5N0RUQ3V3M2s3TlpYb29USTByREMyNkVuX2dfRWhnQkNpUjU3U3RoMXItcTlQMW9pcnc5cE0zZWpETVN4TUpwVHZTc3NMOGtpZkln?oc=5,neutral,2026-06-03 07:00:00+00:00,0,0,0,0,0.5,0,,neutral,0.5159932971000671,english,Mixed/Urban,happy,0.045082736760377884,0.04110055789351463,0.5026850700378418,0.026205720379948616,0.21268251538276672,0.029532967135310173
news,post,363c59ec55bead64,"Too risky not to call for polls in Negeri Sembilan, says Loke. Too risky not to call for polls in Negeri Sembilan, says Loke&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiYkFVX3lxTE1fdl82Z2VEUTl1V1N0Y3VWRVBISDhNbWpCOC1TcHpvd21GdWp5eF8zR05SemlfUGtZaGJDZVNtNmxxeXhNMkVtcElFRUNfaGNHVTh4bTNCVWl2cEVqVmthQXVR?oc=5,neutral,2026-06-08 07:00:00+00:00,0,0,0,0,0.5,0,,neutral,0.6240354180335999,english,Mixed/Urban,anger,0.6856659054756165,0.05057966336607933,0.11835485696792603,0.016251295804977417,0.06150677427649498,0.01101825013756752
news,post,a3632546c265162d,"CHEVRON APARTMENTS PTY LTD ANNOUNCES OFFERING OF AUD 4,045,913 SENIOR SECURED LOAN NOTE OFFER. CHEVRON APARTMENTS PTY LTD ANNOUNCES OFFERING OF AUD 4,045,913 SENIOR SECURED LOAN NOTE OFFER&nbsp;&nbsp;Utusan Malaysia",https://news.google.com/rss/articles/CBMi2AFBVV95cUxPMGFQeVlLVWtqZV9pTk9tM0tJRmF6bUx3Nkc2V0N1a19MOHh6S00yV0gxN04wams5Zk5FLWQyQUd1MERHaC1pMFNIUTV2eTlUeDhSbWFaOU1sSzB1ektEckJVeF9GaXRxOTlIZFJETF9JbVNYSTN6RzhzaHZWZzZlNEh5LTVqZ2E2eFRxUnRuSlFRUURmOFAwNHliZzB0U0pnX3VYQzJTRFpwNE9TVWZ1eWJQX1RhelJYaXVleHpTd2Q5dTFJMGlKaGlrcVRkSFB3ZnJNZFNlSVk?oc=5,neutral,2026-06-04 07:00:00+00:00,0,0,0,0,0.5,0,,neutral,0.8837295174598694,english,Mixed/Urban,no_clear_emotion,0.10692685097455978,0.044350285083055496,0.12653009593486786,0.052805475890636444,0.20419993996620178,0.0406021922826767
news,post,35c063b34b5bffb2,PAS tak tolak kemungkinan tanding kerusi tradisi DAP di N Sembilan. PAS tak tolak kemungkinan tanding kerusi tradisi DAP di N Sembilan&nbsp;&nbsp;MEXC,https://news.google.com/rss/articles/CBMiSEFVX3lxTE5tWUNrMVd2SUctVERSOTF6NjFETkxMU0d1VzlMNGdIbDR2UVMwZnQzdXZfdW1taW9TWjMxbTE1eGdUc2x6RFhBMw?oc=5,neutral,2026-06-22 05:26:08+00:00,0,0,0,0,0.5,0,,neutral,0.8602221012115479,english,Mixed/Urban,no_clear_emotion,0.08396163582801819,0.2534540891647339,0.03797922655940056,0.021860508248209953,0.060797467827796936,0.22499924898147583
news,post,7fec4591b9fc3064,Berjasa mahu tanding 15 kerusi di PRN N Sembilan. Berjasa mahu tanding 15 kerusi di PRN N Sembilan&nbsp;&nbsp;MEXC,https://news.google.com/rss/articles/CBMiSEFVX3lxTFB6WlRBNDhDZThKSzl4SmJSeTY3R2prZzNmWGVVYVkxd3lZZ29EblgwcjhCVmpkejRoRDFFSkNKdk1PSkhMN2Nidg?oc=5,neutral,2026-06-17 20:20:19+00:00,0,0,0,0,0.5,0,,neutral,0.8916634321212769,english,Mixed/Urban,no_clear_emotion,0.024068232625722885,0.06859864294528961,0.01408679410815239,0.01845138520002365,0.03713511675596237,0.11305835098028183
news,post,ba999f006fbedf90,"PRN Johor: MIC pertahan 2 kerusi, tukar kawasan dengan Umno. PRN Johor: MIC pertahan 2 kerusi, tukar kawasan dengan Umno&nbsp;&nbsp;MEXC",https://news.google.com/rss/articles/CBMiSEFVX3lxTE5SeFpMM3cwMXdWSW9weUswQ3ZrUHlMVXZtQWRBdUJmTjl1UXZ6ck1FMDdhZmpWempvTWN5T0xGakl4NnFhVFZYRg?oc=5,neutral,2026-06-19 18:27:19+00:00,0,0,0,0,0.5,0,,neutral,0.8581590056419373,english,Mixed/Urban,no_clear_emotion,0.05797534063458443,0.014300464652478695,0.049775827676057816,0.024639345705509186,0.2000366449356079,0.022363994270563126
news,post,d42908c31a017b70,"Ada unsur khianat di NS, Anwar beritahu Zahid. Ada unsur khianat di NS, Anwar beritahu Zahid&nbsp;&nbsp;MEXC",https://news.google.com/rss/articles/CBMiSEFVX3lxTE5fNzM0ZkxxbERORXVxMjRLRUdoRHVNVVIxWXhtMUxWOHQ3NENXV2lzN092SDV1bE10b3gwdlNJX0JPQkxXbXJ3OA?oc=5,neutral,2026-06-21 17:50:45+00:00,0,0,0,0,0.5,0,,neutral,0.8125050663948059,english,Mixed/Urban,no_clear_emotion,0.2776579260826111,0.020161597058176994,0.09149663150310516,0.043319739401340485,0.2032705694437027,0.028807273134589195
news,post,9efa60a60b3ab468,"PRN Johor: Peratusan keluar mengundi tinggi dijangka memihak PH, kata Fuziah. PRN Johor: Peratusan keluar mengundi tinggi dijangka memihak PH, kata Fuziah&nbsp;&nbsp;MEXC",https://news.google.com/rss/articles/CBMiSEFVX3lxTFBVT2JTc3ZkdWIxWHhtMzZTWDFlbnVkQTdPWV8xT0JLWE1TZ19pQlpXXzFjYWFManlrQ1VqVUFSODVxZnd3LVNxTQ?oc=5,neutral,2026-06-13 15:38:00+00:00,0,0,0,0,0.5,0,,neutral,0.8564446568489075,english,Mixed/Urban,no_clear_emotion,0.045998234301805496,0.03252315893769264,0.24959796667099,0.014622482471168041,0.2841174006462097,0.027509048581123352
