Kategori,Keyword umum (untuk crawl),Platform utama
Negeri (recall tertinggi),negeri sembilan,"X, FB, TikTok, YouTube"
Negeri (recall tertinggi),prn negeri sembilan,"X, FB, TikTok, YouTube"
Negeri (recall tertinggi),prn n9,"X, FB, TikTok, YouTube"
Negeri (recall tertinggi),dun negeri sembilan,"X, FB, TikTok, YouTube"
Negeri (recall tertinggi),pilihan raya negeri sembilan,"X, FB, TikTok, YouTube"
Daerah/Parlimen (jaring DUN kecil),seremban,"X, FB"
Daerah/Parlimen (jaring DUN kecil),nilai,"X, FB"
Daerah/Parlimen (jaring DUN kecil),port dickson,"X, FB"
Daerah/Parlimen (jaring DUN kecil),bahau,"X, FB"
Daerah/Parlimen (jaring DUN kecil),kuala pilah,"X, FB"
Daerah/Parlimen (jaring DUN kecil),tampin,"X, FB"
Daerah/Parlimen (jaring DUN kecil),rembau,"X, FB"
Daerah/Parlimen (jaring DUN kecil),jelebu,"X, FB"
Daerah/Parlimen (jaring DUN kecil),jempol,"X, FB"
Daerah/Parlimen (jaring DUN kecil),gemas,"X, FB"
Daerah/Parlimen (jaring DUN kecil),senawang,"X, FB"
Daerah/Parlimen (jaring DUN kecil),mantin,"X, FB"
Parti/Gabungan,pas negeri sembilan,"X, FB, YouTube"
Parti/Gabungan,bn negeri sembilan,"X, FB, YouTube"
Parti/Gabungan,ph negeri sembilan,"X, FB, YouTube"
Parti/Gabungan,pn negeri sembilan,"X, FB, YouTube"
Parti/Gabungan,muafakat nasional n9,"X, FB, YouTube"
Tokoh negeri (heavyweight),aminuddin harun,"X, FB"
Tokoh negeri (heavyweight),tok mat negeri sembilan,"X, FB"
Tokoh negeri (heavyweight),jalaluddin alias,"X, FB"
Isu SEMASA (tukar ikut trend),kos sara hidup negeri sembilan,"X, TikTok"
Isu SEMASA (tukar ikut trend),banjir negeri sembilan,"X, TikTok"
Isu SEMASA (tukar ikut trend),air negeri sembilan,"X, TikTok"
Isu SEMASA (tukar ikut trend),subsidi diesel negeri sembilan,"X, TikTok"
