Kod DUN,Nama DUN,ADUN/Penyandang 2023,Pencabar 2023,Lokaliti (tambahan),Kata kunci sedia ada,GABUNG semua kata kunci,Platform socmed (ada mention),Mention total,Keyakinan,Nota guard (tokoh nasional/lazim)
N01,Chennah,Anthony Loke Siew Fook,Rosmadi Arif,titi; petaling jelebu,chennah; kampung chennah,chennah; kampung chennah; titi; petaling jelebu; anthony loke siew fook; rosmadi arif,x,1,Rendah,-
N02,Pertang,Jalaluddin Alias,Amirudin Hassan,kuala jelebu,pertang; simpang pertang,pertang; simpang pertang; kuala jelebu; jalaluddin alias; amirudin hassan,"x, youtube",4,Rendah,-
N03,Sungai Lui,Mohd Razi Mohd Ali,Mohd Nordin Hasim,felda sungai lui,sungai lui; sg lui; sg. lui,sungai lui; sg lui; sg. lui; felda sungai lui; mohd razi mohd ali; mohd nordin hasim,"x, youtube, facebook",3,Rendah,-
N04,Klawang,Bakri Sawir,Danni Rais,,klawang; kuala klawang,klawang; kuala klawang; bakri sawir; danni rais,"x, youtube, facebook, tiktok",5,Rendah,-
N05,Serting,Mohd Fairuz Mohd Isa,Muhamad Zamri Omar,felda serting; serting hilir,serting; bandar baru serting,serting; bandar baru serting; felda serting; serting hilir; mohd fairuz mohd isa; muhamad zamri omar,"facebook, x, youtube",6,Rendah,-
N06,Palong,Mustapha Nagoor,Noor Azuan Parmin,felda palong; palong timur,palong; pusat bandar palong,palong; pusat bandar palong; felda palong; palong timur; mustapha nagoor; noor azuan parmin,x,1,Rendah,-
N07,Jeram Padang,Mohd Zaidy Abdul Kadir,Surash Sreenivasan,,jeram padang,jeram padang; mohd zaidy abdul kadir; surash sreenivasan,"x, facebook, youtube",6,Rendah,-
N08,Bahau,Teo Kok Seong,Kumar S Paramasivam,pekan bahau,bahau,bahau; pekan bahau; teo kok seong; kumar s paramasivam,"x, youtube",2,Rendah,-
N09,Lenggeng,Mohd Asna Amin,Mohd Fadli Che Me,,lenggeng,lenggeng; mohd asna amin; mohd fadli che me,"facebook, x, youtube, tiktok",10,Sederhana,-
N10,Nilai,Arul Kumar Jambunathan,Gan Chee Biow,bandar enstek; nilai impian; putra nilai,nilai; bandar baru nilai; dun nilai,nilai; bandar baru nilai; dun nilai; bandar enstek; nilai impian; putra nilai; arul kumar jambunathan; gan chee biow,x,1,Rendah,-
N11,Lobak,Chew Seh Yong,Ng Soon Lean,,lobak; kampung lobak; dun lobak,lobak; kampung lobak; dun lobak; chew seh yong; ng soon lean,x,1,Rendah,-
N12,Temiang,Ng Chin Tsai,Chua Eng Pu,,temiang; jalan temiang,temiang; jalan temiang; ng chin tsai; chua eng pu,x,1,Rendah,-
