Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,crawl_source,mentions_pas,mentions_bersatu,narrative_split
tiktok,post,7649050638336134421,"Menerima kunjungan hormat daripada Pesuruhjaya Tinggi British ke Malaysia, TYT Ajay Sharma demi memperkukuhkan hubungan antara dua pihak.",https://www.tiktok.com/@drsamtrg/video/7649050638336134421,,,neutral,2026-06-11T09:41:12.724688,7596,228,282,64400,0.0,8750,pas_break_social_20260611_094141.csv,0,0,0
tiktok,comment,7649050638336134421_comment_0,Ini baru betul perbincangan dtg terus jumpa 🥰 ada orang tu kan tiap hari tunjuk terpalingggg bz dok call sana sini 🤣,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610668,204,0,0,0,0.0,204,pas_break_social_20260611_094141.csv,0,0,0
tiktok,comment,7649050638336134421_comment_1,Bakal pm 11 malaysia🤲🏻,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610684,530,0,0,0,0.0,530,pas_break_social_20260611_094141.csv,0,0,0
tiktok,comment,7649050638336134421_comment_2,Xder masa nk claim itu claim ini..terus bekerja.. inilah Dr.Sam👍👍👍,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610689,14,0,0,0,0.0,14,pas_break_social_20260611_094141.csv,0,0,0
tiktok,comment,7649050638336134421_comment_3,habis perwakilan negara luar dtg jumpe dr. sam. hebat sungguh sosok tubuh yg diberkati Allah.,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610693,432,0,0,0,0.0,432,pas_break_social_20260611_094141.csv,0,0,0
tiktok,comment,7649050638336134421_comment_4,belum cukup matang nak jadi PM 🇲🇾💗 ke 11,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610696,8,0,0,0,0.0,8,pas_break_social_20260611_094141.csv,0,0,0
tiktok,comment,7649050638336134421_comment_5,makin ramai nak jmpe dr sam..nampak sgt beliau akan ke Putrajaya next PRU nanti,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610699,42,0,0,0,0.0,42,pas_break_social_20260611_094141.csv,0,0,0
tiktok,comment,7649050638336134421_comment_6,"Buruk nya office, tahun 2002 ke mb?",,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610701,1,0,0,0,0.0,1,pas_break_social_20260611_094141.csv,0,0,0
tiktok,comment,7649050638336134421_comment_7,krnapa x dtg jumpa PMX?,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610704,3,0,0,0,0.0,3,pas_break_social_20260611_094141.csv,0,0,0
tiktok,comment,7649050638336134421_comment_8,mantap la MB Terengganu.bab ekonomi negara akan lebih terjamin dengan orang yang jujur,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610706,91,0,0,0,0.0,91,pas_break_social_20260611_094141.csv,0,0,0
tiktok,comment,7649050638336134421_comment_9,BAKAL PERDANA MENTERI KE 11... INSYAALLAH,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610708,150,0,0,0,0.0,150,pas_break_social_20260611_094141.csv,0,0,0
tiktok,comment,7649050638336134421_comment_10,Aku ank kelahiran Trengganu...wlpun membesar dinegeri lain...aku bangga dgn negeri kelahiranku...maju terus maju dibwh pemerintahan PAS yg tulus & mengutamakn agama & rakyatnya,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610711,148,0,0,0,0.0,148,pas_break_social_20260611_094141.csv,1,0,0
tiktok,comment,7649050638336134421_comment_11,"Dr.sam tak perlu pergi overseas..
wakil negara luar datang jumpa beliau..
Terbaik Dr Sam..",,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610713,138,0,0,0,0.0,138,pas_break_social_20260611_094141.csv,0,0,0
tiktok,comment,7649050638336134421_comment_12,Penganti tun m,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610716,53,0,0,0,0.0,53,pas_break_social_20260611_094141.csv,0,0,0
tiktok,comment,7649050638336134421_comment_13,insyallah bakal PM Pas,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610718,72,0,0,0,0.0,72,pas_break_social_20260611_094141.csv,1,0,0
tiktok,comment,7649050638336134421_comment_14,aura PM 11🥰,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610720,68,0,0,0,0.0,68,pas_break_social_20260611_094141.csv,0,0,0
