Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,sentiment_label,sentiment_confidence,emotion_primary,total_engagement,crawl_source,mentions_pas,mentions_bersatu,narrative_split,detected_language,demographic,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise,geo_johor,geo_melaka,geo_ns,narrative_solo
tiktok,post,7649050638336134421,"Menerima kunjungan hormat daripada Pesuruhjaya Tinggi British ke Malaysia, TYT Ajay Sharma demi memperkukuhkan hubungan antara dua pihak.",https://www.tiktok.com/@drsamtrg/video/7649050638336134421,,,neutral,2026-06-11T09:41:12.724688000,7596,228,282,64400,0.5,neutral,0.5,neutral,8750,tiktok_master,False,False,False,unknown,Unknown,0.2,0.2,0.0,0.2,0.0,0.0,False,False,False,False
tiktok,comment,7649050638336134421_comment_0,Ini baru betul perbincangan dtg terus jumpa 🥰 ada orang tu kan tiap hari tunjuk terpalingggg bz dok call sana sini 🤣,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610668000,204,0,0,0,0.5,neutral,0.5,neutral,204,tiktok_master,False,False,False,unknown,Unknown,0.2,0.2,0.0,0.2,0.0,0.0,False,False,False,False
tiktok,comment,7649050638336134421_comment_1,Bakal pm 11 malaysia🤲🏻,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610684000,530,0,0,0,0.5,neutral,0.5,neutral,530,tiktok_master,False,False,False,unknown,Unknown,0.2,0.2,0.0,0.2,0.0,0.0,False,False,False,False
tiktok,comment,7649050638336134421_comment_2,Xder masa nk claim itu claim ini..terus bekerja.. inilah Dr.Sam👍👍👍,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610689000,14,0,0,0,0.5,neutral,0.5,neutral,14,tiktok_master,False,False,False,unknown,Unknown,0.2,0.2,0.0,0.2,0.0,0.0,False,False,False,False
tiktok,comment,7649050638336134421_comment_3,habis perwakilan negara luar dtg jumpe dr. sam. hebat sungguh sosok tubuh yg diberkati Allah.,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610693000,432,0,0,0,0.5,neutral,0.5,neutral,432,tiktok_master,False,False,False,unknown,Unknown,0.2,0.2,0.0,0.2,0.0,0.0,False,False,False,False
tiktok,comment,7649050638336134421_comment_4,belum cukup matang nak jadi PM 🇲🇾💗 ke 11,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610696000,8,0,0,0,0.5,neutral,0.5,neutral,8,tiktok_master,False,False,False,unknown,Unknown,0.2,0.2,0.0,0.2,0.0,0.0,False,False,False,False
tiktok,comment,7649050638336134421_comment_5,makin ramai nak jmpe dr sam..nampak sgt beliau akan ke Putrajaya next PRU nanti,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610699000,42,0,0,0,0.5,neutral,0.5,neutral,42,tiktok_master,False,False,False,unknown,Unknown,0.2,0.2,0.0,0.2,0.0,0.0,False,False,False,False
tiktok,comment,7649050638336134421_comment_6,"Buruk nya office, tahun 2002 ke mb?",,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610701000,1,0,0,0,0.5,neutral,0.5,neutral,1,tiktok_master,False,False,False,unknown,Unknown,0.2,0.2,0.0,0.2,0.0,0.0,False,False,False,False
tiktok,comment,7649050638336134421_comment_7,krnapa x dtg jumpa PMX?,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610704000,3,0,0,0,0.5,neutral,0.5,neutral,3,tiktok_master,False,False,False,unknown,Unknown,0.2,0.2,0.0,0.2,0.0,0.0,False,False,False,False
tiktok,comment,7649050638336134421_comment_8,mantap la MB Terengganu.bab ekonomi negara akan lebih terjamin dengan orang yang jujur,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610706000,91,0,0,0,0.5,neutral,0.5,neutral,91,tiktok_master,False,False,False,unknown,Unknown,0.2,0.2,0.0,0.2,0.0,0.0,False,False,False,False
