Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,sentiment_label,sentiment_confidence,emotion_primary,total_engagement,crawl_source,mentions_pas,mentions_bersatu,narrative_split,detected_language,demographic,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise,geo_johor,geo_melaka,geo_ns,narrative_solo
tiktok,post,7649050638336134421,"Menerima kunjungan hormat daripada Pesuruhjaya Tinggi British ke Malaysia, TYT Ajay Sharma demi memperkukuhkan hubungan antara dua pihak.",https://www.tiktok.com/@drsamtrg/video/7649050638336134421,,,positive,2026-06-11T09:41:12.724688000,7596,228,282,64400,0.9436238199472426,positive,0.8120793998241425,happy,8750,tiktok_master,False,False,False,multilingual,Unknown,0.07998824119567871,0.059208307415246964,0.4357398450374603,0.03943179175257683,0.1638064831495285,0.0524008609354496,False,False,False,False
tiktok,comment,7649050638336134421_comment_0,Ini baru betul perbincangan dtg terus jumpa 🥰 ada orang tu kan tiap hari tunjuk terpalingggg bz dok call sana sini 🤣,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,negative,2026-06-11T09:41:14.610668000,204,0,0,0,0.15079865902662276,negative,0.49733780324459076,no_clear_emotion,204,tiktok_master,False,False,False,multilingual,Unknown,0.028736142441630363,0.05069320648908615,0.015574700199067593,0.032020021229982376,0.25345340371131897,0.27681559324264526,False,False,False,False
tiktok,comment,7649050638336134421_comment_1,Bakal pm 11 malaysia🤲🏻,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,positive,2026-06-11T09:41:14.610684000,530,0,0,0,0.8540941283106803,positive,0.5136470943689346,no_clear_emotion,530,tiktok_master,False,False,False,multilingual,Unknown,0.11180020123720169,0.06252700835466385,0.10601160675287247,0.045674193650484085,0.20509549975395203,0.06292618066072464,False,False,False,False
tiktok,comment,7649050638336134421_comment_2,Xder masa nk claim itu claim ini..terus bekerja.. inilah Dr.Sam👍👍👍,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,negative,2026-06-11T09:41:14.610689000,14,0,0,0,0.16701065003871918,negative,0.4432978332042694,surprise,14,tiktok_master,False,False,False,malay,Malay/Bumiputera,0.014303548261523247,0.050814416259527206,0.010045229457318783,0.05259709805250168,0.057860590517520905,0.7385431528091431,False,False,False,False
tiktok,comment,7649050638336134421_comment_3,habis perwakilan negara luar dtg jumpe dr. sam. hebat sungguh sosok tubuh yg diberkati Allah.,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610693000,432,0,0,0,0.5,neutral,0.8273786306381226,love,432,tiktok_master,False,False,False,english,Mixed/Urban,0.03289308398962021,0.05553596466779709,0.11059147864580154,0.021606845781207085,0.6330381035804749,0.0479925200343132,False,False,False,False
tiktok,comment,7649050638336134421_comment_4,belum cukup matang nak jadi PM 🇲🇾💗 ke 11,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,positive,2026-06-11T09:41:14.610696000,8,0,0,0,0.9034697294235229,positive,0.6782324314117432,fear,8,tiktok_master,False,False,False,english,Mixed/Urban,0.034323111176490784,0.8954099416732788,0.01635272242128849,0.0296920295804739,0.0060031963512301445,0.0126084228977561,False,False,False,False
tiktok,comment,7649050638336134421_comment_5,makin ramai nak jmpe dr sam..nampak sgt beliau akan ke Putrajaya next PRU nanti,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,negative,2026-06-11T09:41:14.610699000,42,0,0,0,0.0056070327758789285,negative,0.9813098907470703,happy,42,tiktok_master,False,False,False,malay,Malay/Bumiputera,0.017383787781000137,0.0886785238981247,0.40377432107925415,0.017839515581727028,0.14633850753307343,0.20487499237060547,False,False,False,False
tiktok,comment,7649050638336134421_comment_6,"Buruk nya office, tahun 2002 ke mb?",,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610701000,1,0,0,0,0.5,neutral,0.8842467069625854,sadness,1,tiktok_master,False,False,False,english,Mixed/Urban,0.142173171043396,0.15330778062343597,0.040997669100761414,0.409831702709198,0.06798111647367477,0.05792947858572006,False,False,False,False
tiktok,comment,7649050638336134421_comment_7,krnapa x dtg jumpa PMX?,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,negative,2026-06-11T09:41:14.610704000,3,0,0,0,0.11368692219257354,negative,0.6210435926914215,surprise,3,tiktok_master,False,False,False,multilingual,Unknown,0.010629162192344666,0.057621728628873825,0.011779820546507835,0.04323592036962509,0.018160363659262657,0.8301674723625183,False,False,False,False
tiktok,comment,7649050638336134421_comment_8,mantap la MB Terengganu.bab ekonomi negara akan lebih terjamin dengan orang yang jujur,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,positive,2026-06-11T09:41:14.610706000,91,0,0,0,0.9994086802005767,positive,0.9980289340019226,happy,91,tiktok_master,False,False,False,malay,Malay/Bumiputera,0.030831485986709595,0.1141926571726799,0.7417396903038025,0.011402985081076622,0.06306786090135574,0.021883903071284294,False,False,False,False
tiktok,comment,7649050638336134421_comment_9,BAKAL PERDANA MENTERI KE 11... INSYAALLAH,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,positive,2026-06-11T09:41:14.610708000,150,0,0,0,0.9447669550776481,positive,0.8158898502588272,no_clear_emotion,150,tiktok_master,False,False,False,multilingual,Unknown,0.021707328036427498,0.06797676533460617,0.16137909889221191,0.021851181983947754,0.1057664006948471,0.17398500442504883,False,False,False,False
tiktok,comment,7649050638336134421_comment_10,Aku ank kelahiran Trengganu...wlpun membesar dinegeri lain...aku bangga dgn negeri kelahiranku...maju terus maju dibwh pemerintahan PAS yg tulus & mengutamakn agama & rakyatnya,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610711000,148,0,0,0,0.5,neutral,0.7847251892089844,happy,148,tiktok_master,True,False,False,english,Mixed/Urban,0.01974453032016754,0.027088096365332603,0.8067290186882019,0.010074966587126255,0.09931525588035583,0.017439082264900208,False,False,False,False
