Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,crawl_source,sentiment_label,sentiment_confidence,emotion_primary,is_news,is_social,mentions_pas,mentions_bersatu,narrative_split,narrative_solo,geo_johor,geo_melaka,geo_ns,in_event_window,date_parsed
facebook,post,1483062403853168,"[TERKINI]

📌BN tidak berhasrat hidupkan semula Muafakat Nasional
 
📌 BN sedia tanding solo pada PRN Negeri Sembilan

-Presiden UMNO Datuk Seri Ahmad Zahid Hamidi

#BernamaNews
Zahid Hamidi",https://www.facebook.com/bernamaofficial/posts/pfbid0qeThkoBbSDP12eSwRhTk4dFNZ5q4oeYBfAGAVtRX1jy1u79PMpXmAxvLNiRzAWuil,,,neutral,,0,0,0,0,0.0,0,0.0,,,crawl1_social_merged,,,,False,True,False,False,False,True,False,False,True,False,
facebook,post,1436151725214274,"[TERKINI]

📌BN tidak berhasrat hidupkan semula Muafakat Nasional.

📌BN sedia tanding solo pada PRN Negeri Sembilan.

 - Datuk Seri Dr Zahid Hamidi",https://www.facebook.com/bernamaradio/posts/pfbid02ki15BycatjJtT4uMnU3xWXu6QZ638ewbZeKmr9s8PDpV7JJkbdENkiKr3Q2i4Vmsl,,,neutral,,0,0,0,0,0.0,0,0.0,,,crawl1_social_merged,,,,False,True,False,False,False,True,False,False,True,False,
facebook,comment,Y29tbWVudDoxNDM2MTUxNzI1MjE0Mjc0XzE1MzcyMjk2NTgxOTMwMTY=,"Dapatkan berita, info terkini, dan temu bual terbaik hanya di Bernama Radio – follow & like semua platform sosial media kami sekarang dan dengarkan siaran kami di FM Radio dan aplikasi mobil!
🎧🔥 #StayTunedDenganBERNAMARADIO

Follow & Like:
Facebook: www.facebook.com/bernamaradio
Instagram: https://www.instagram.com/bernamaradioofficial
X: https://x.com/Bernama_Radio
TikTok: https://www.tiktok.com/@bernamaradioofficial
YouTube: https://www.youtube.com/@bernamaradio
Threads: https://www.threads.net/@bernamaradioofficial
Spotify: @Bernama Radio

Dengarkan BERNAMA RADIO di:
FM Radio :
* FM 93.9 Lembah Klang
* FM 107.5 Johor Bahru
* FM 100.9 Kuching
* FM 107.9 Kota Kinabalu

Aplikasi Mobil:
* BERNAMA
* Mytv manamana",,https://www.facebook.com/bernamaradio/posts/pfbid02ki15BycatjJtT4uMnU3xWXu6QZ638ewbZeKmr9s8PDpV7JJkbdENkiKr3Q2i4Vmsl,pfbid02ki15BycatjJtT4uMnU3xWXu6QZ638ewbZeKmr9s8PDpV7JJkbdENkiKr3Q2i4Vmsl,neutral,2026-06-09 09:37:47+00:00,0,0,0,0,0.0,0,,Bernama Radio,0.0,crawl1_social_merged,,,,False,True,False,False,False,False,True,False,False,True,2026-06-09 09:37:47+00:00
facebook,post,1020212657207483,"ARM : MUAFAKAT NASIONAL 2.0 

PAS dan Bersatu secara resmi sudah berpisah. Dan ia bukan sesuatu yang memeranjatkan. 

Ini kerana hubungan PAS dan Bersatu memang tidak wajar diteruskan. Ia hanya merugikan PAS.

Suka atau tidak suka, PAS harus menerima kenyataan bahawa hanya UMNO-BN sahaja yang mampu menjadi rakan politik terbaik buat PAS, bukannya Bersatu.

Bersatu tidak punya apa-apa. Mereka cuma ada memori indah kerana berjaya me "" lockdown "" seluruh Malaysia dan me "" vaksin "" sebahagian besar rakyat Malaysia pada waktu seluruh dunia di scam dengan wabak Covid 19 oleh WHO dan para elit global.

Itu bukan simbol kejayaan tetapi adalah simbol kebebalan sebuah kerajaan politik yang terpedaya dengan tipu muslihat WHO dan para elit global.

Sehingga ke hari ini mereka tidak pernah mahu mengakui kesilapan mereka dan bertanggung-jawab atas kesilapan mereka.

Akibat dari doa rakyat Malaysia yang merasa dizalimi, hari ini, Bersatu hanyalah sebuah parti politik yang sedang nazak akibat konflik dalaman dan perpecahan. 

Hampir pasti, Bersatu akan mati dan berkubur pada PRU 16 nanti.

Lalu apa lagi yang boleh PAS harapkan dari sebuah parti politik seperti Bersatu yang masih terperangkap dalam memori silam ?

Oleh itu, jadikanlah PRN Johor dan PRN Negeri Sembilan sebagai medan untuk membangun kembali kerjasama politik menjelang PRU 16.

Orang Melayu di peringkat akar umbi sentiasa berharap agar UMNO dan PAS dapat bekerjasama kembali.

Mereka sudah letih dengan konflik politik yang berpanjangan sejak UMNO-BN kehilangan kuasa pada PRU 15 di tahun 2018.

Kerjasama UMNO dan PAS pada PRU 16 nanti sudah pasti akan memberikan satu harapan baru kepada orang Melayu khususnya dan rakyat Malaysia amnya.

Atas dasar itu, maka diharapkan agar pimpinan tertinggi UMNO dan PAS boleh berlapang dada dan berjiwa besar untuk memberi laluan kepada gagasan politik Melayu-Islam untuk mendominasi dunia politik Malaysia.

Sedar dan insaflah bahawa pada hari ini, orang Melayu sudah kehilangan segala-galanya. 

Orang Melayu sudah merempat di negara mereka sendiri.

Golongan kartel dan sindiket yang bergerak di bawah tanah, sudah menguasai negara. Sebab itu rasuah dan pelbagai jenayah berlaku secara berleluasa.

Oleh itu, bersatulah demi agama, bangsa dan negara. Kita tidak ada pilihan lain selain dari bersatu.

Sekian, terima kasih.

Prof Dato Dr Ramalan Yunus 
Promoter Agenda Reset Malaysia/Nusantara.
9 Jun 2026",https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,,,neutral,,0,0,0,0,0.0,0,0.0,,,crawl1_social_merged,,,,False,True,True,True,True,False,True,False,True,False,
facebook,comment,Y29tbWVudDoxMDIwMjEyNjU3MjA3NDgzXzExOTIxNjUxMDYzNDA5MjI=,@followers,,https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,neutral,2026-06-09 03:23:38+00:00,1,0,0,0,0.0,1,,Mohd Ramalan Yunus,0.0,crawl1_social_merged,,,,False,True,False,False,False,False,False,False,False,True,2026-06-09 03:23:38+00:00
facebook,comment,Y29tbWVudDoxMDIwMjEyNjU3MjA3NDgzXzgyNzU0OTU4Njg3Njc1NA==,Semuanya di atas kehandak mu ya Allah semoga umat² sedar dan  bersatu,,https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,neutral,2026-06-09 06:22:32+00:00,1,0,1,0,0.0,3,,Pinter Luing Aminullah,0.0,crawl1_social_merged,,,,False,True,False,True,False,False,False,False,False,True,2026-06-09 06:22:32+00:00
facebook,comment,Y29tbWVudDoxMDIwMjEyNjU3MjA3NDgzXzE1ODY5NzQ4ODk0ODYyNDU=,Selagi silebambirat jadi Presiden Bersatu maka sial 44 akan menimpa malaysia bukan sahaja parti Bersatu,,https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,neutral,2026-06-09 11:21:52+00:00,0,0,1,0,0.0,2,,Al Amin,0.0,crawl1_social_merged,,,,False,True,False,True,False,False,False,False,False,True,2026-06-09 11:21:52+00:00
facebook,comment,Y29tbWVudDoxMDIwMjEyNjU3MjA3NDgzXzE2NzI4NjI4NjM5MzY4MjU=,Jahat nya DAP sehingga PAS berbalah dan berpisah dari pakatan dgn BERSATU...kalu tebuk atap N9 berjaya mengguling MB baru2 ini...mungkin tak jd berpisah...jahat nya DAP,,https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,neutral,2026-06-09 06:15:08+00:00,1,0,0,0,0.0,1,,Tanjung Piai,0.0,crawl1_social_merged,,,,False,True,True,True,True,False,False,False,False,True,2026-06-09 06:15:08+00:00
facebook,comment,Y29tbWVudDoxMDIwMjEyNjU3MjA3NDgzXzI4MDY3MjU1MzI5OTk2OTg=,"Agak agak berapa persen keuntungan yang PAS perolehi daripada keputusan bercerai ini? Adakah bonus bakal PAS perolehi. Adakah bertambah sokongan kaum Melayu kepada PAS? Adakah kemungkinan besar bertambah pengundi PAS?

Wallahu'alam bissawab",,https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,neutral,2026-06-09 09:31:47+00:00,0,0,0,0,0.0,0,,Hasrul AdDussuni Al Qoniyyah,0.0,crawl1_social_merged,,,,False,True,True,False,True,False,False,False,False,True,2026-06-09 09:31:47+00:00
facebook,comment,Y29tbWVudDoxMDIwMjEyNjU3MjA3NDgzXzE0Nzc0NzQ2MDY5MzE5NzA=,Can we talk,,https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,neutral,2026-06-09 07:52:39+00:00,1,0,0,0,0.0,1,,Vivian Susan,0.0,crawl1_social_merged,,,,False,True,False,False,False,False,False,False,False,True,2026-06-09 07:52:39+00:00
