Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,sentiment_label,sentiment_confidence,emotion_primary,total_engagement,crawl_source,mentions_pas,mentions_bersatu,narrative_split
tiktok,post,7649050638336134421,"Menerima kunjungan hormat daripada Pesuruhjaya Tinggi British ke Malaysia, TYT Ajay Sharma demi memperkukuhkan hubungan antara dua pihak.",https://www.tiktok.com/@drsamtrg/video/7649050638336134421,,,positive,2026-06-11T09:41:12.724688,7596.0,228.0,282.0,64400.0,0.9436238199472426,positive,0.8120793998241425,happy,8750.0,tiktok_master,False,False,False
tiktok,comment,7649050638336134421_comment_0,Ini baru betul perbincangan dtg terus jumpa 🥰 ada orang tu kan tiap hari tunjuk terpalingggg bz dok call sana sini 🤣,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,negative,2026-06-11T09:41:14.610668,204.0,0.0,0.0,0.0,0.1507986590266227,negative,0.4973378032445907,no_clear_emotion,204.0,tiktok_master,False,False,False
tiktok,comment,7649050638336134421_comment_1,Bakal pm 11 malaysia🤲🏻,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,positive,2026-06-11T09:41:14.610684,530.0,0.0,0.0,0.0,0.8540941283106803,positive,0.5136470943689346,no_clear_emotion,530.0,tiktok_master,False,False,False
tiktok,comment,7649050638336134421_comment_2,Xder masa nk claim itu claim ini..terus bekerja.. inilah Dr.Sam👍👍👍,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,negative,2026-06-11T09:41:14.610689,14.0,0.0,0.0,0.0,0.1670106500387191,negative,0.4432978332042694,surprise,14.0,tiktok_master,False,False,False
tiktok,comment,7649050638336134421_comment_3,habis perwakilan negara luar dtg jumpe dr. sam. hebat sungguh sosok tubuh yg diberkati Allah.,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610693,432.0,0.0,0.0,0.0,0.5,neutral,0.8273786306381226,love,432.0,tiktok_master,False,False,False
tiktok,comment,7649050638336134421_comment_4,belum cukup matang nak jadi PM 🇲🇾💗 ke 11,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,positive,2026-06-11T09:41:14.610696,8.0,0.0,0.0,0.0,0.9034697294235228,positive,0.6782324314117432,fear,8.0,tiktok_master,False,False,False
tiktok,comment,7649050638336134421_comment_5,makin ramai nak jmpe dr sam..nampak sgt beliau akan ke Putrajaya next PRU nanti,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,negative,2026-06-11T09:41:14.610699,42.0,0.0,0.0,0.0,0.0056070327758789,negative,0.9813098907470704,happy,42.0,tiktok_master,False,False,False
tiktok,comment,7649050638336134421_comment_6,"Buruk nya office, tahun 2002 ke mb?",,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,neutral,2026-06-11T09:41:14.610701,1.0,0.0,0.0,0.0,0.5,neutral,0.8842467069625854,sadness,1.0,tiktok_master,False,False,False
tiktok,comment,7649050638336134421_comment_7,krnapa x dtg jumpa PMX?,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,negative,2026-06-11T09:41:14.610704,3.0,0.0,0.0,0.0,0.1136869221925735,negative,0.6210435926914215,surprise,3.0,tiktok_master,False,False,False
tiktok,comment,7649050638336134421_comment_8,mantap la MB Terengganu.bab ekonomi negara akan lebih terjamin dengan orang yang jujur,,https://www.tiktok.com/@drsamtrg/video/7649050638336134421,7649050638336134421,positive,2026-06-11T09:41:14.610706,91.0,0.0,0.0,0.0,0.9994086802005768,positive,0.9980289340019226,happy,91.0,tiktok_master,False,False,False
