Platform,Date,clean_text,total_engagement,sentiment_label,has_pas_solo_phrase,has_split_phrase
youtube,2026-05-25 06:31:58+00:00,"📀 Genre: Zapin Melayu Johor 🎼 Mood Lagu: Merdu, sinis, santai tapi pedas Gabungan irama zapin klasik Johor dengan sindiran politik moden 🥁 Cadangan Instrumen: Gambus Johor Rebana & marwas Akordion lembut Biola Melayu Bass santai zapin moden 🎤 Gaya Vokal: Lunak dan bersahaja di verse, lebih rancak dan menyindir ketika chorus. 🪭 Tema Utama: Retaknya hubungan PAS dan Bersatu Politik rebut kuasa Sindiran kepada permainan politik PN Humor rakyat melihat perangai ahli politik 📺 Cadangan Tajuk Video YouTube: PAS Naik Angin? Bersatu Buat Hal! Zapin Politik PN Retak Berderak Kawan Jadi Lawan – Versi Zapin Johor Bila Politik Jadi Drama Kampung 📝 Keterangan Video: Lagu zapin satira politik yang mengisahkan keretakan hubungan antara PAS dan Bersatu dalam Perikatan Nasional. Dengan irama Melayu Johor yang santai dan merdu, lagu ini menyindir permainan politik kuasa yang semakin bercelaru hingga jadi bahan jenaka rakyat di media sosial. “Depan kamera senyum… belakang tarik kerusi!” 🎭 🏷️ Hashtag: #ZapinPolitik #PAS #Bersatu #PN #SatiraPolitik #ZapinJohor #PolitikMalaysia #LaguSindiran #HumorPolitik #MelayuJohor",71,negative,False,True
youtube,2026-05-22 04:49:53+00:00,"Hubungan Pas dan Parti Pribumi Bersatu Malaysia (Bersatu) dalam Perikatan Nasional (PN) ibarat retak menanti belah apabila parti Islam itu kini sedang mengkaji dan meneliti satu persatu percanggahan serta tindakan negatif yang dilakukan oleh rakan sekutunya itu. Presidennya, Tan Sri Abdul Hadi Awang berkata, tindakan Bersatu yang menolak hasrat untuk memperkukuh PN dengan menyekat keahlian parti-parti Melayu-Islam serta parti bukan Islam yang tidak ekstrem adalah sesuatu yang tidak menyenangkan. Menurut beliau, Pas mahu memperbanyakkan lagi penyertaan komponen dalam gabungan tersebut demi memperkasakan agenda Melayu-Islam, namun langkah itu tidak dipersetujui pihak berkenaan. “Hal-hal seperti ini akan kita kaji dan teliti satu persatu untuk melihat tindakan selanjutnya. Pilihan raya ini ada untung ruginya dan melibatkan soal sokongan kita. sUMBER bERITA 1. https://www.sinarharian.com.my/articl... 2. https://harapandaily.com/2026/05/17/l... Join this channel to get access to perks: / @oraitnopochannel",39,negative,False,True
x,2026-02-28 13:10:36+00:00,@naimbinzaini @TheRedz_ Kalau PAS bergerak solo setakat 13 kerusi jela... Bersatu pun bakal di rampas Umno BN semula Aku lg sanggup tokmat or tokjo jd calon PM banding Dr Samsuri ni.. sebab dh tau nasib dia bakal sama mcm ismail sabri nanti.,34,neutral,True,False
youtube,2026-05-28 13:50:59+00:00,"Kemelut dalaman yang melanda Pas dan Bersatu dalam Perikatan Nasional (PN) dilihat semakin kritikal sehingga mengundang pandangan, jalan perpisahan segera adalah pilihan terbaik berbanding terus menunda konflik. Penganalisis politik dari Universiti Malaya (UM), Dr Mohammad Tawfik Yaakub berpendapat, sebarang usaha untuk memulihkan semula hubungan antara kedua-dua parti mutakhir ini bukan satu perkara yang mudah untuk dilaksanakan. “Usaha untuk memulihkan hubungan ini sama ada dari Pas atau Bersatu boleh dilakukan, tetapi saya lihat ia agak sukar. “Ini berdasarkan kenyataan-kenyataan pemimpin parti yang saya lihat seolah-olah bibit-bibit perpecahan itu sudah ada,” katanya. Beliau berkata demikian ketika menjadi panel program SKOP MG dengan tajuk Pas-Bersatu: Retak Sikit atau Pecah Terus? Mengulas lanjut, beliau berkata, jika perpecahan sememangnya tidak dapat dielakkan, adalah lebih baik ia berlaku pada waktu ini bagi membolehkan kedua-dua parti melakukan fasa pemulihan dalaman dengan kadar segera. “Lebih baik pecah sekarang daripada tunggu lama kerana apabila pecah sekarang proses rawatan kecederaan politik yang dialami oleh kedua-dua parti dalam PN ini dapat dirawat dengan segera. “Tapi kalau pecah sekarang kemudian berbaik, pecah lagi, lagi-lagi nak dekat pilihan raya, itu akan memberi kesan kepada rakyat. “Ia secara tidak langsung boleh mewujudkan berapa pertandingan di kerusi-kerusi panas,” katanya lagi. Sumber Berita 1. https://malaysiagazette.com/2026/05/26/kemelut-pas-bersatu-lebih-baik-berpisah-sekarang-penganalisis/ 2. https://malaysiagazette.com/2026/05/28/ada-dalang-bertopeng-sebar-fitnah-bersatu-kembali-kepada-ph-radzi/ 3. https://malaysiagazette.com/2026/05/28/dakwaan-bersatu-mahu-sertai-ph-tak-masuk-akal-tun-faisal/ Join this channel to get access to perks: https://www.youtube.com/channel/UCrt_WQ1T3mGl2yp8Lom_OKA/join",31,negative,False,True
youtube,2026-05-28 12:33:52+00:00,PAS DAN BERSATU BERPERANG! AKAN BERCERAI! RETAK MENANTI BELAH! Join this channel to get access to perks: / @oraitnopochannel,29,positive,False,True
x,2026-05-28 00:15:28+00:00,"Pertikaian PAS-Bersatu memuncak, PN di ‘ambang perpecahan’, kata penganalisis 👇🧵",20,neutral,False,True
youtube,2026-05-22 11:04:33+00:00,"Amaran Presiden PAS, Tan Sri Abdul Hadi Awang bahawa kesabaran partinya terhadap Bersatu “ada batas” mencetuskan persoalan besar mengenai kestabilan hubungan kedua-dua parti dalam Perikatan Nasional. Dalam video ini, Whisper Politics mengulas ketegangan melibatkan perkembangan politik di Negeri Sembilan, Perlis, Kedah dan Kelantan, serta isu kemasukan beberapa parti baharu ke dalam PN. Adakah amaran ini sekadar teguran keras, atau petanda hubungan Bersatu-PAS benar-benar mula retak menjelang pilihan raya? Whisper Politics – Kami bisik, anda fikir. #WhisperPolitics #HadiAwang #PAS #Bersatu #PerikatanNasional #PN #BersatuPAS #PolitikMalaysia #AnalisisPolitik #PolitikSemasa #MuhyiddinYassin #MalaysiaPolitics Disclaimer: Kandungan video ini bertujuan untuk analisis dan pendidikan politik semata-mata. Semua pandangan berasaskan laporan media sahih dan tidak mewakili mana-mana parti politik. *Whisper Politics* menolak sebarang fitnah, hasutan, atau ucapan kebencian, dan menghormati undang-undang Malaysia di bawah **Akta Komunikasi & Multimedia 1998.**",20,negative,False,True
youtube,2026-02-28 01:04:25+00:00,"“PAS Berkuasa Penuh Dalam PN”: Rafizi Bayang Luka Dalaman Sukar Sembuh” Pergolakan dalam Perikatan Nasional (PN) mungkin tampak reda di permukaan, namun menurut Rafizi Ramli, realitinya jauh lebih kompleks. Pelantikan pengerusi baharu PN tidak serta-merta menjawab persoalan besar: bagaimana konsensus dicapai, siapa yang mengalah, dan apa yang dikorbankan? Rafizi secara terbuka menyatakan bahawa “PAS sekarang ini berkuasa penuh dalam PN.” Kenyataan itu merujuk kepada kedudukan dominan PAS susulan perpecahan dalaman Bersatu. Dua kem utama — dikaitkan dengan Muhyiddin Yassin dan Hamzah Zainuddin — kini dilihat sama-sama memerlukan sokongan PAS, sekali gus memberi ruang untuk strategi “divide and rule”. Menurut beliau, keadaan ini membolehkan PAS memonopoli jawatan penting termasuk pengerusi PN dan berpotensi ketua pembangkang. Muhyiddin pula digambarkan mengambil pendekatan pragmatik — mengalah “100 peratus” buat masa ini demi kelangsungan politik. Namun, Rafizi memberi amaran bahawa penyelesaian yang tidak seimbang jarang bertahan lama. Beliau menggunakan analogi sejarah Perang Dunia Pertama dan Perjanjian Versailles untuk menggambarkan bagaimana rasa tidak adil boleh melahirkan konflik baharu. Dalam konteks PN, jika Bersatu merasakan sumbangan mereka diketepikan — termasuk peranan besar dalam pembentukan kerajaan sebelum ini dan perbelanjaan kempen — maka luka dalaman itu sukar sembuh walaupun pimpinan tersenyum di hadapan umum. Rafizi juga membayangkan kemungkinan konfigurasi politik baharu, termasuk penglibatan parti seperti BERJASA dan kebangkitan semula Muafakat Nasional bersama UMNO. Jika itu berlaku, PN dalam bentuk sedia ada mungkin terhakis sedikit demi sedikit. Kesimpulannya, euforia penyokong tidak semestinya mencerminkan kestabilan sebenar. Seperti ditegaskan Rafizi, apabila sesuatu penyelesaian dianggap tidak adil, ia menjadi bara dalam sekam — menunggu masa untuk menyala kembali. #PerikatanNasional #PAS #Bersatu #UMNO #MuafakatNasional #RafiziRamli #MuhyiddinYassin #HamzahZainuddin #PolitikMalaysia #PRU15 #PRU16 #Pembangkang #KerajaanPerpaduan #AnwarIbrahim #ZahidHamidi #NajibRazak #Shamsuri #HadiAwang #BERJASA #StrategiPolitik #DivideAndRule #PolitikSemasa #IsuSemasa #AnalisisPolitik #KuasaPolitik #GabunganPolitik #ParlimenMalaysia #KetuaPembangkang #DinamikPolitik #LandskapPolitik",20,negative,False,True
youtube,2026-04-15 07:47:56+00:00,"Seorang ahli Bersatu menyifatkan kenyataan Wan Ahmad Fayhsal Wan Ahmad Kamal mengenai peletakan jawatan Hamzah Zainudin sebagai ketua pembangkang sebagai tidak matang. Redzuan Yusof berkata, dakwaan ia langkah ‘strategik’ untuk melindungi Pengerusi Perikatan Nasional (PN) Ahmad Samsuri Mokhtar daripada serangan berterusan Bersatu juga tidak berasas. Beliau berkata, Ahli Parlimen Machang itu masih perlu ‘belajar politik’ dan memahami isu sebenar dalam pelantikan ketua pembangkang. “Ini isu fundamental. Kalau seseorang itu tidak lagi bersama PN, maka secara prinsipnya dia tidak lagi layak menjadi ketua pembangkang. “Kenyataan seperti ini menunjukkan kurang kematangan. Budak itu (Wan Fayhsal) kena belajar lagi dalam politik, itu sahaja,” katanya yang juga bekas ahli Majlis Pimpinan Tertinggi Bersatu kepada FMT. Redzuan berkata, naratif dibawa Wan Fayhsal dilihat sengaja diwujudkan bagi mengangkat kedudukan individu tertentu serta mencetuskan perpecahan dalam Bersatu dan PN. “Ini seolah-olah satu percaturan untuk memecah-belahkan. Sedikit-sebanyak ia sudah memberi kesan kepada kesatuan dalam Bersatu dan akan berterusan dalam PN. “Pendekatan seperti ‘kalau saya tak dapat, orang lain pun tak dapat’ adalah politik kotor. Ia tidak membantu penyatuan ummah, sebaliknya merosakkan usaha memperkukuh kesatuan politik,” kata bekas Ahli Parlimen Alor Gajah. Terdahulu, Wan Fayhsal menyifatkan peletakan jawatan Hamzah sebagai langkah ‘strategik’ bagi melindungi Samsuri daripada serangan berterusan, selain menuduh Bersatu mengamalkan ‘politik longkang’ kerana mempersoalkan kredibiliti pemimpin itu. Beliau turut menyifatkan Hamzah berjiwa besar, dengan mendakwa Ahli Parlimen Larut itu mempunyai sokongan majoriti pembangkang untuk kekal sebagai ketua blok. Sementara itu, Ketua Penerangan Bersatu, Tun Faisal Ismail Aziz, menegaskan tanggapan Samsuri memerlukan perlindungan adalah tidak tepat. “Bukan Samsuri yang perlukan perlindungan, tetapi Hamzah yang memerlukan perlindungan dan sokongan Samsuri,” katanya. Katanya, tindakan Hamzah melepaskan jawatan itu wajar demi kelancaran dan keharmonian PN, memandangkan dia tidak lagi berstatus ahli Bersatu dan anggota PN. “Jawatan ketua pembangkang tidak wajar menjadi punca polemik dan pertikaian, apatah lagi apabila mesyuarat Majlis Tertinggi PN telah memutuskan jawatan tersebut telah dikosongkan dan perlu diisi segera,” katanya. Hubungan antara PAS dan Bersatu dilaporkan tegang sejak beberapa bulan kebelakangan ini, menyusuli kemelut politik Perlis yang menyaksikan jawatan menteri besar bertukar tangan awal tahun ini. Samsuri, yang juga naib presiden PAS dilantik sebagai pengerusi PN bagi menggantikan Presiden Bersatu, Muhyiddin Yassin, yang meletak jawatan pada 1 Jan. Ahad lalu, Samsuri mengumumkan PN akan menulis surat kepada speaker Dewan Rakyat bagi memaklumkan ketiadaan ketua pembangkang, menyusuli laporan Hamzah menghantar surat letak jawatan kepada kepimpinan tertinggi PN. Sumber BErita 1. https://www.freemalaysiatoday.com/cat... 2. https://www.freemalaysiatoday.com/cat... Join this channel to get access to perks: / @oraitnopochannel",19,negative,False,True
youtube,2026-05-22 06:58:12+00:00,"Hubungan Pas dan Parti Pribumi Bersatu Malaysia (Bersatu) dalam Perikatan Nasional (PN) ibarat retak menanti belah apabila parti Islam itu kini sedang mengkaji dan meneliti satu persatu percanggahan serta tindakan negatif yang dilakukan oleh rakan sekutunya itu, lapor wartawan Sinar Harian, Norhaspida Yatim. Presidennya, Tan Sri Abdul Hadi Awang berkata, tindakan Bersatu yang menolak hasrat untuk memperkukuh PN dengan menyekat keahlian parti-parti Melayu-Islam serta parti bukan Islam yang tidak ekstrem adalah sesuatu yang tidak menyenangkan. Artikel: https://www.sinarharian.com.my/article/781025/berita/politik/pas-kaji-semula-hubungan-dengan-bersatu---abdul-hadi Copyright disclaimer: Segala penyuntingan video adalah hak cipta terpelihara milik Sinar Harian. #SinarHarian #BeritaSemasa #politik #paskajisdemulahubungandenganBersatu #Pas #Bersatu Sinar Harian merupakan sebuah akhbar berbahasa Melayu Malaysia. Menyampaikan berita nasional, global yang terkini dan sahih. Berita terkini: https://www.sinarharian.com.my/ Facebook: https://www.facebook.com/sinarharian Twitter: https://twitter.com/SinarOnline Instagram: https://www.instagram.com/sinarharian/ Tiktok: https://www.tiktok.com/@sinarharianon... Telegram: https://t.me/SinarHarianOfficial YouTube: https://www.youtube.com/c/SinarHarianTV Copyright disclaimer: Segala penyuntingan video adalah hak cipta terpelihara milik Sinar Harian.",15,negative,False,True
