Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,SeedState,SeedStateLabel,SeedDun,SeedDunName,SeedTier,SeedPlatformGroup,SeedQuery,SeedPurpose,CrawlMethod
news,post,241d203b81b83b20,"Jelebu Agricultural Land for Sale in Seremban, Negeri Sembilan by EFFENDY SHOHAILI. Jelebu Agricultural Land for Sale in Seremban, Negeri Sembilan by EFFENDY SHOHAILI&nbsp;&nbsp;EdgeProp",https://news.google.com/rss/articles/CBMi1gFBVV95cUxOdWZyT0hrR19IWWNrRUk4dVNRdGVNYTJGaFhkSWVWZWQ2Y3NoNk1DMEJQbjd6TENCX1RHNk51X1A1aXVUTzhrclNMSFhfQjFXazd2VkxTX09MMGxDUWNRWjJnWDZzaDZXOWtXZEZRN0dnbG5yeDd6SXNxUUVwZGNsTW81azdPdmlPMnNaQkgwd2U0YVNTaGk4ekFHTmIta3JwWHo1bWxXaFJXaUhvdlVMTFVpR3A2WmpLUS1rWUNUTXZZTUh0dU43b3FpdEF4RmZpMWxWMWV3?oc=5,,2026-06-06T06:58:13+00:00,0,0,0,0,0.0,0,N9,Negeri Sembilan,N01,Chennah,TIER2_DUN_LOCAL,All,"(""Chennah"" OR ""DUN Chennah"" OR ""ADUN Chennah"") AND (""Kg Chennah"" OR ""FELDA Pasoh"" OR ""Bukit Tinggi"")",DUN-specific local posts,excel_intel_news
news,post,ee1101c9d3164533,"Agricultural Land for Sale in Jelebu, Negeri Sembilan by NOR AZMI BIN RANI. Agricultural Land for Sale in Jelebu, Negeri Sembilan by NOR AZMI BIN RANI&nbsp;&nbsp;EdgeProp",https://news.google.com/rss/articles/CBMihAJBVV95cUxPZzJDSE83b0NnMHFMZVZsX1BaUElEQ0E4bmZqdU1xRlBxTXFGdHFjdFJLdkJxaGh4ZzFjNXN5RTZDVS1xVF8yU2NfYzRSNUxDLW0wVGcxVGZ0YTNnSjdJYjdWUjVSa0w2bE5wN20wNklCTS1OQnpxN3BOUHdpZXRFVnMzX19HUFJ0VHpVRUJVLVFPYWMxbXlISXlWYVVJLXE1b2ZYMm5YcnI5THpaSW5jWnlnWjBVSm9qdklHSGZQZnA1dW55a0IySlVYdm9OY2kyVWJ5b05JSXBZa3NGaWprdWZ3eEF0MjFWNEpmRFUzdmxZWFp2b2JEX0sxTU5HVVlFMlN6Ng?oc=5,,2025-05-01T11:07:55+00:00,0,0,0,0,0.0,0,N9,Negeri Sembilan,N01,Chennah,TIER2_DUN_LOCAL,All,"(""Chennah"" OR ""DUN Chennah"" OR ""ADUN Chennah"") AND (""Kg Chennah"" OR ""FELDA Pasoh"" OR ""Bukit Tinggi"")",DUN-specific local posts,excel_intel_news
news,post,3c3758cc1382e5a1,"Storm tears through Ipoh, damages over 200 homes in Anjung Bercham (VIDEO). IPOH, June 19 &mdash; A violent afternoon storm ripped through Anjung Bercham here, damaging more than 200 homes across...",https://www.malaymail.com/news/malaysia/2026/06/19/storm-tears-through-ipoh-damages-over-200-homes-in-anjung-bercham-video/224470,,2026-06-19T20:24:13+08:00,0,0,0,0,0.0,0,N9,Negeri Sembilan,N01,Chennah,TIER2_DUN_LOCAL,All,"(""Chennah"" OR ""DUN Chennah"" OR ""ADUN Chennah"") AND (""Kg Chennah"" OR ""FELDA Pasoh"" OR ""Bukit Tinggi"")",DUN-specific local posts,excel_intel_news
news,post,b585b87d74bf62af,"JB nasi kandar shop suffers RM200,000 losses in pre-opening paint and arson attack. JOHOR BAHRU, June 19 &mdash; Police are hunting two masked men wearing helmets who are believed to have splashed fuel an...",https://www.malaymail.com/news/malaysia/2026/06/19/jb-nasi-kandar-shop-suffers-rm200000-losses-in-pre-opening-paint-and-arson-attack/224465,,2026-06-19T19:09:10+08:00,0,0,0,0,0.0,0,N9,Negeri Sembilan,N01,Chennah,TIER2_DUN_LOCAL,All,"(""Chennah"" OR ""DUN Chennah"" OR ""ADUN Chennah"") AND (""Kg Chennah"" OR ""FELDA Pasoh"" OR ""Bukit Tinggi"")",DUN-specific local posts,excel_intel_news
news,post,3a7c49f20b009aeb,"Lorry lane change triggers East Coast pile-up near Maran involving Zahid’s aides and driver. KUANTAN, June 19 &mdash; Seven individuals, including a driver and three media officers to Deputy Prime Minister Datuk S...",https://www.malaymail.com/news/malaysia/2026/06/19/lorry-lane-change-triggers-east-coast-pile-up-near-maran-involving-zahids-aides-and-driver/224461,,2026-06-19T18:27:49+08:00,0,0,0,0,0.0,0,N9,Negeri Sembilan,N01,Chennah,TIER2_DUN_LOCAL,All,"(""Chennah"" OR ""DUN Chennah"" OR ""ADUN Chennah"") AND (""Kg Chennah"" OR ""FELDA Pasoh"" OR ""Bukit Tinggi"")",DUN-specific local posts,excel_intel_news
news,post,afdbd79ee5763cb1,"MetMalaysia says rough weather for KL and 10 states until 7pm. KUALA LUMPUR, June 19 &mdash; Thunderstorms, heavy rain and strong winds are expected to hit 10 states and Kuala Lumpur...",https://www.malaymail.com/news/malaysia/2026/06/19/metmalaysia-says-rough-weather-for-kl-and-10-states-until-7pm/224460,,2026-06-19T18:18:12+08:00,0,0,0,0,0.0,0,N9,Negeri Sembilan,N01,Chennah,TIER2_DUN_LOCAL,All,"(""Chennah"" OR ""DUN Chennah"" OR ""ADUN Chennah"") AND (""Kg Chennah"" OR ""FELDA Pasoh"" OR ""Bukit Tinggi"")",DUN-specific local posts,excel_intel_news
news,post,f38a93f71c6e5954,"Use your own logo and leave: Bersatu info chief says PAS never truly committed to Perikatan. KUALA LUMPUR, June 19 &mdash; Bersatu information chief Datuk Tun Faisal Ismail Aziz today said that PAS should leave Pe...",https://www.malaymail.com/news/malaysia/2026/06/19/use-your-own-logo-and-leave-bersatu-info-chief-says-pas-never-truly-committed-to-perikatan/224456,,2026-06-19T18:05:12+08:00,0,0,0,0,0.0,0,N9,Negeri Sembilan,N01,Chennah,TIER2_DUN_LOCAL,All,"(""Chennah"" OR ""DUN Chennah"" OR ""ADUN Chennah"") AND (""Kg Chennah"" OR ""FELDA Pasoh"" OR ""Bukit Tinggi"")",DUN-specific local posts,excel_intel_news
news,post,836b1f5b6f4cc3c9,New mosque to rise in front of TRX as Bukit Bintang seeks permanent worship space. KUALA LUMPUR &mdash; A new mosque to be known as Masjid Warisan is being planned on a site in front of the Tun Razak Exc...,https://www.malaymail.com/news/malaysia/2026/06/19/new-mosque-to-rise-in-front-of-trx-as-bukit-bintang-seeks-permanent-worship-space/224449,,2026-06-19T17:08:51+08:00,0,0,0,0,0.0,0,N9,Negeri Sembilan,N01,Chennah,TIER2_DUN_LOCAL,All,"(""Chennah"" OR ""DUN Chennah"" OR ""ADUN Chennah"") AND (""Kg Chennah"" OR ""FELDA Pasoh"" OR ""Bukit Tinggi"")",DUN-specific local posts,excel_intel_news
news,post,712e464877253f8c,"What to do when Muslim fathers in Malaysia don’t pay child support? Single mothers’ group proposes blanket sums for quick court relief. ARA DAMANSARA, June 19 &mdash; How can Malaysia solve the long-standing problem of some Muslim men who refuse to pay any...",https://www.malaymail.com/news/malaysia/2026/06/19/what-to-do-when-muslim-fathers-in-malaysia-dont-pay-child-support-single-mothers-group-proposes-blanket-sums-for-quick-court-relief/224448,,2026-06-19T17:34:36+08:00,0,0,0,0,0.0,0,N9,Negeri Sembilan,N01,Chennah,TIER2_DUN_LOCAL,All,"(""Chennah"" OR ""DUN Chennah"" OR ""ADUN Chennah"") AND (""Kg Chennah"" OR ""FELDA Pasoh"" OR ""Bukit Tinggi"")",DUN-specific local posts,excel_intel_news
news,post,2d3a022f43cdf7e7,"Low water levels at major dams trigger cloud seeding and fire warning in Sarawak. KUCHING, June 19 &mdash; The water level at Batang Ai Dam is currently at &lsquo;Event and Drought Emergency Level 1&rsq...",https://www.malaymail.com/news/malaysia/2026/06/19/low-water-levels-at-major-dams-trigger-cloud-seeding-and-fire-warning-in-sarawak/224442,,2026-06-19T16:26:27+08:00,0,0,0,0,0.0,0,N9,Negeri Sembilan,N01,Chennah,TIER2_DUN_LOCAL,All,"(""Chennah"" OR ""DUN Chennah"" OR ""ADUN Chennah"") AND (""Kg Chennah"" OR ""FELDA Pasoh"" OR ""Bukit Tinggi"")",DUN-specific local posts,excel_intel_news
