Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise,_source_batch,_source_file,engagement_score,crawl_source_file,crawl_batch
youtube,post,,,https://www.youtube.com/@orientaldailymy/about,,,neutral,2026-06-21 05:01:16.789811+00:00,0,0,0,0,0.5,0,,,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0,Batch 5 — YT/Threads,Combined_threads_youtube_20260621_130224.csv,,PRN_Johor_N9_master_20260621_185219.csv,master_base
tiktok,post,7.651074451379113e+18,"Penyampaian Pertandingan Video Kreatif Bantuan Bilik Guru Johor DUN Tanjung Surat💥

Tahniah kepada semua pemenang...

@Onn Hafiz 
@MEDIA DIGITAL JOHOR 

#bantuanbilikgurujohor2026 #AznanTamin #MajuJohor #TanjungSuratDiHatiku #JohorCaraJohor",https://www.tiktok.com/@aznantamin/video/7651074451379113236,,,neutral,2026-06-21 04:39:54.275202+00:00,155,40,11,2557,0.5,231,,,neutral,0.6884827017784119,english,Mixed/Urban,no_clear_emotion,0.0228176340460777,0.0170215182006359,0.0578396990895271,0.0157132782042026,0.1010367944836616,0.0230781808495521,Batch 4 — IG/TikTok/X,Combined_instagram_tiktok_x_20260621_125425.csv,,PRN_Johor_N9_master_20260621_185219.csv,master_base
tiktok,post,7.651587494064e+18,"Jelajah Ketua Pemuda UMNO Malaysia @ Tanjung Surat✨

Terima kasih Ketua Pemuda UMNO Malaysia, Datuk Dr. @Dr akmalsaleh  sudi melaungkan masa bersama warga DUN Tanjung Surat dengan berkongsi pelbagai pandangan, cadangan serta aspirasi anak muda.

Terbaikkk👍🏻👍🏻👍🏻

#AznanTamin #MajuJohor #PemudaUMNO #JohorCaraJohor #TanjungSuratDihatiku",https://www.tiktok.com/@aznantamin/video/7651587494064000276,,,positive,2026-06-21 04:39:53.967697+00:00,129,3,6,1593,0.999351942539215,153,,,positive,0.9978398084640504,malay,Malay/Bumiputera,no_clear_emotion,0.0304898899048566,0.0142311202362179,0.0610141307115554,0.0242056995630264,0.3778551518917084,0.0327259115874767,Batch 4 — IG/TikTok/X,Combined_instagram_tiktok_x_20260621_125425.csv,,PRN_Johor_N9_master_20260621_185219.csv,master_base
tiktok,post,7.652701680794242e+18,"PELANCARAN PELAN TRANSFORMASI EKONOMI NEGERI JOHOR (JETP) ❤️💙

Menghadiri Majlis Pelancaran Pelan Transformasi Ekonomi Negeri Johor (JETP) yang telah disempurnakan oleh YAB Dato' Onn Hafiz Ghazi, Menteri Besar Johor di Persada International Convention Centre, Johor Bahru.

Perancangan yang baik hari ini adalah untuk memastikan masa depan yang lebih baik buat anak-anak kita dan seluruh Bangsa Johor pada hari esok. Inilah hasrat utama JETP, iaitu memastikan pembangunan ekonomi negeri terus bergerak maju dan memberi manfaat kepada rakyat.

Bagi saya, kemajuan Johor bukan hanya diukur melalui pembangunan dan pelaburan semata-mata, tetapi bagaimana kemajuan itu mampu membuka lebih banyak peluang pekerjaan, meningkatkan taraf hidup keluarga serta memberi harapan baharu kepada generasi akan datang.

Setiap daerah di Johor mempunyai kekuatan dan potensinya yang tersendiri. Melalui JETP, kita mahu memastikan tiada kawasan yang tertinggal dalam menikmati limpahan pembangunan selaras dengan agenda Maju Johor 2030.

In Shaa Allah, dengan usaha bersama di bawah kepimpinan YAB Menteri Besar Johor, Kerajaan Negeri akan terus bekerja untuk memastikan Johor bukan sahaja maju sebagai sebuah negeri, tetapi rakyatnya turut sejahtera dan terbela. 

Kerana akhirnya, setiap usaha yang kita lakukan hari ini adalah demi masa depan Bangsa Johor yang kita sayangi.

Allah Peliharakan Sultan
Allah Berkati Johor

#AznanTamin #JETP #MajuJohor #BangsaJohor #TanjungSuratDihatiku",https://www.tiktok.com/@aznantamin/video/7652701680794242325,,,positive,2026-06-21 04:39:53.652683+00:00,222,7,7,1910,0.9993976831436155,255,,,positive,0.9979922771453856,malay,Malay/Bumiputera,love,0.0734089091420173,0.0533414483070373,0.0523965433239936,0.095214232802391,0.6632895469665527,0.0293369777500629,Batch 4 — IG/TikTok/X,Combined_instagram_tiktok_x_20260621_125425.csv,,PRN_Johor_N9_master_20260621_185219.csv,master_base
tiktok,post,7.653461609465073e+18,"Yok Ngopi & Ziarah Penduduk Kampung Teluk Ramunia Bagi Penyerahan Bakul Kasih Johor ❤️💙

#AznanTamin #MajuJohor #TanjungSuratDihatiku #JohorCaraJohor #fypシ",https://www.tiktok.com/@aznantamin/video/7653461609465072916,,,neutral,2026-06-21 04:39:53.288052+00:00,235,66,8,4904,0.5,358,,,neutral,0.5093730092048645,english,Mixed/Urban,love,0.0512887611985206,0.0144666833803057,0.0409863926470279,0.0275376755744218,0.7072742581367493,0.0173991061747074,Batch 4 — IG/TikTok/X,Combined_instagram_tiktok_x_20260621_125425.csv,,PRN_Johor_N9_master_20260621_185219.csv,master_base
tiktok,post,7.652238319635533e+18,"𝐊𝐞𝐫𝐣𝐚𝐬𝐚𝐦𝐚 𝐏𝐞𝐫𝐥𝐮 𝐁𝐞𝐫𝐭𝐞𝐫𝐚𝐬𝐤𝐚𝐧 𝐇𝐨𝐫𝐦𝐚𝐭, 𝐁𝐮𝐤𝐚𝐧 𝐒𝐢𝐧𝐝𝐢𝐫𝐚𝐧 𝐏𝐨𝐥𝐢𝐭𝐢𝐤!

Johor sentiasa mengalu-alukan kerjasama demi kepentingan rakyat. Namun, kerjasama yang baik mestilah berasaskan rasa hormat, bukannya persepsi bahawa kerajaan negeri hanya perlu hadir apabila dijemput tetapi tidak perlu dilibatkan dalam proses yang lebih awal. Bangsa Johor berhak mendapat layanan yang adil dan profesional dalam setiap projek yang dilaksanakan di bumi Johor.

Kerajaan Negeri Johor bukan sekadar penerima manfaat projek Persekutuan tetapi kerajaan Johor juga adalah antara penyumbang dari segi kewangan, sokongan logistik dan penyelarasan dasar bagi menjayakan pelbagai projek pengangkutan di negeri ini. 

Oleh itu, adalah munasabah apabila Menteri Besar menuntut penghormatan terhadap institusi kerajaan negeri dan peranan yang dimainkan oleh Johor.

@Onn Hafiz @WanitaUMNOPontian  @DS Dr Ahmad Maslan 
#bangsajohor #MajuJohor #wanitaumnopontian",https://www.tiktok.com/@hasrunizahhassanofficial/video/7652238319635533063,,,negative,2026-06-21 04:39:52.939051+00:00,62,3,11,1941,0.0063290476799011,95,,,negative,0.9789031744003296,malay,Malay/Bumiputera,love,0.0880329608917236,0.024619773030281,0.0609178468585014,0.0369493886828422,0.6414477229118347,0.0259952861815691,Batch 4 — IG/TikTok/X,Combined_instagram_tiktok_x_20260621_125425.csv,,PRN_Johor_N9_master_20260621_185219.csv,master_base
tiktok,post,7.651095555334016e+18,"Teruja saya melihat bukan sahaja adik ni pandai meniaga, malah harga roti cuma RM1 sebiji. 

Kalau jumpa gerai Rhoti Singget ni jangan lupa beli ya, semoga laris manis perniagaannya.

INSPIRASI KITA #NAJIBSAMURI

#MajuJohor
#N21ParitYaani",https://www.tiktok.com/@najibsamuri/video/7651095555334016263,,,positive,2026-06-21 04:39:52.611206+00:00,476,62,32,11900,0.9993941605091096,689,,,positive,0.997980535030365,malay,Malay/Bumiputera,surprise,0.0139066698029637,0.0552098043262958,0.0471801348030567,0.0220174547284841,0.1465670466423034,0.5545539855957031,Batch 4 — IG/TikTok/X,Combined_instagram_tiktok_x_20260621_125425.csv,,PRN_Johor_N9_master_20260621_185219.csv,master_base
tiktok,post,7.651589640197131e+18,"Pertandingan badminton Sukan Bangsa Johor 2026 peringkat DUN Parit Yaani yang lalu, penuh semangat dan kegembiraan.

INSPIRASI KITA #NAJIBSAMURI

#MajuJohor
#N21ParitYaani
#SukanBangsaJohor2026",https://www.tiktok.com/@najibsamuri/video/7651589640197131528,,,neutral,2026-06-21 04:39:52.253081+00:00,76,17,2,1310,0.5,108,,,neutral,0.8535630702972412,english,Mixed/Urban,happy,0.0323433801531791,0.0434346012771129,0.6623463034629822,0.0178188625723123,0.079446904361248,0.0230988170951604,Batch 4 — IG/TikTok/X,Combined_instagram_tiktok_x_20260621_125425.csv,,PRN_Johor_N9_master_20260621_185219.csv,master_base
tiktok,post,7.651878209960611e+18,"Jangan lepaskan peluang untuk menikmati 1,000 ais krim PERCUMA dan 1,000 cawan lemon PERCUMA daripada Ai-CHA Ice Cream & Tea!

📅 Tarikh : 17 Jun 2026
🕚 Masa : Bermula jam 11.00 pagi

Datang beramai-ramai bersama keluarga dan rakan-rakan. Siapa cepat, dia dapat!

————————————

来东甲北（Tongkang Pechah）一起喝 Ai-CHA 吧！

千万别错过这次机会，享受 Ai-CHA Ice Cream & Tea 送出的 1,000份免费冰淇淋 和 1,000杯免费柠檬饮料！

📅 日期： 2026年6月17日
🕚 时间： 上午11时开始

欢迎携同家人和朋友一起来参与！先到先得，送完为止！

INSPIRASI KITA #NAJIBSAMURI

#MajuJohor
#N21ParitYaani",https://www.tiktok.com/@najibsamuri/video/7651878209960611080,,,positive,2026-06-21 04:39:51.924692+00:00,71,57,7,2944,0.9892082929611206,164,,,positive,0.9640276432037354,malay,Malay/Bumiputera,no_clear_emotion,0.0409831777215004,0.036107875406742,0.0513044297695159,0.0418432168662548,0.2726133167743683,0.1469164192676544,Batch 4 — IG/TikTok/X,Combined_instagram_tiktok_x_20260621_125425.csv,,PRN_Johor_N9_master_20260621_185219.csv,master_base
tiktok,post,7.652249274066931e+18,"Ziarah keluarga yang baru menerima sebuah rumah bina baharu yang dibangunkan menerusi bantuan Majlis Agama Islam Negeri Johor (MAIJ).

Terima kasih MAINJ kerana banyak membantu warga DUN Parit Yaani. 

INSPIRASI KITA #NAJIBSAMURI

#MajuJohor
#N21ParitYaani",https://www.tiktok.com/@najibsamuri/video/7652249274066930952,,,neutral,2026-06-21 04:39:51.573444+00:00,142,17,3,3063,0.5,192,,,neutral,0.8789655566215515,english,Mixed/Urban,no_clear_emotion,0.0322305560111999,0.0326340608298778,0.1577220112085342,0.045085571706295,0.331525981426239,0.067279502749443,Batch 4 — IG/TikTok/X,Combined_instagram_tiktok_x_20260621_125425.csv,,PRN_Johor_N9_master_20260621_185219.csv,master_base
