Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise,author,author_followers
instagram,post,3898712919601877624,"Government Drafting New Regulations to Tighten Control Over Fuel Subsidy Fleet Card Abuse: KOTA KINABALU: Ministry of Domestic Trade and Cost of Living is preparing a new regulatory framework under the Control of Supplies Act 1961 to strengthen enforcement against the misuse of fleet cards linked to Malaysia’s subsidised fuel distribution system. Its minister, Armizan Mohd Ali, said the proposed regulations are aimed at establishing a clearer and …

The post Government Drafting New Regulations to Tighten Control Over Fuel Subsidy Fleet Card Abuse first appeared on Wilayah.com.my. #RegulasiPemerintah #KadArmada #SubsidiMinyak #PerniagaanAdil #Penguatkuasaan",https://www.instagram.com/p/DYbAr5-GJJ4/,neutral,2026-05-17 01:55:12+00:00,0,0,0,0,0.5,0,0.0,neutral,0.8919103741645813,english,Mixed/Urban,happy,0.17766061425209045,0.056051917374134064,0.26333528757095337,0.038870494812726974,0.19760112464427948,0.03526587411761284,,
instagram,post,3895919158970568067,"Penarikan subsidi petrol bagi golongan berpendapatan tinggi (T20) perlu dibuat secara teliti dan tidak boleh ditentukan berdasarkan pendapatan kasar semata-mata.

Ketua Kluster Mikroekonomi Fakulti Ekonomi dan Pengurusan Universiti Kebangsaan Malaysia (UKM) Prof Madya Dr Mustazar Mansur berkata penilaian kelayakan subsidi perlu mengambil kira kos sara hidup sebenar termasuk lokasi tempat tinggal, jarak perjalanan ke tempat kerja, jumlah tanggungan dan faktor demografi.

🔗 Klik pautan di bio untuk berita penuh

#MediaSelangor #SubsidiMinyak #T20",https://www.instagram.com/p/DYRFdVoFE2D/,neutral,2026-05-13 05:22:57+00:00,31,0,0,0,0.5,31,31.0,neutral,0.8181005120277405,malay,Malay/Bumiputera,no_clear_emotion,0.07537993788719177,0.038892392069101334,0.06062978506088257,0.03985680267214775,0.16844701766967773,0.04751420021057129,,
instagram,post,3895326334432562410,"Tarik subsidi petrol BUDI95 mungkin nampak bijak, tapi kesannya boleh makan balik ekonomi negara.

Ramai fikir bila subsidi petrol BUDI95 ditarik dari golongan T20, negara terus jimat. Tapi realitinya, subsidi petrol BUDI95 yang ditarik boleh cipta rantaian ekonomi — pemilik bisnes kurangkan kos pekerja, pengguna kurangkan belanja, dan peniaga kecil mula terasa tempias. Kesan ini bukan terus nampak hari ini, tapi selalunya 2–3 bulan kemudian bila aliran tunai semakin ketat.

Kalau kerajaan nak buat subsidi bersasar Malaysia, bantuan yang ditarik patut diganti dengan solusi lain supaya adil kepada pembayar cukai dan zakat T20 yang banyak menyumbang. Lagi penting, fokus kepada mentaliti, pendidikan kewangan, dan peluang naik taraf hidup B40 untuk kesan jangka panjang.

Setuju atau tidak? Comment pandangan anda dan save post ini untuk rujukan nanti.

#SubsidiPetrolBUDI95 #BUDI95 #SubsidiMinyak #EkonomiMalaysia #T20 B40 HargaMinyak BantuanKerajaan KewanganMalaysia IsuSemasaMalaysia",https://www.instagram.com/p/DYO-qmwE8zq/,negative,2026-05-12 09:55:00+00:00,235,0,63,0,0.0004847288131714089,298,424.0,negative,0.9983842372894287,malay,Malay/Bumiputera,love,0.07929101586341858,0.06566271185874939,0.07048077881336212,0.06594842672348022,0.3907788395881653,0.08654013276100159,,
instagram,post,3890335989121488639,"Kos subsidi bahan api negara kini mencecah RM5 bilion sebulan susulan ketidaktentuan harga minyak mentah global akibat perang negara Teluk.

Perdana Menteri, Datuk Seri Anwar Ibrahim berkata, peningkatan mendadak itu jauh melepasi peruntukkan kerajaan yang sebelum ini sekitar RM700 juta sebulan ketika pengumuman subsidi Budi Madani RON95 (RON95) dibuat.

Anda boleh baca berita penuh di portal Sinar Harian di www.sinarharian.com.my atau swipe up di IG story serta jangan lupa follow IG @sinarharian untuk berita terkini dalam dan luar negara.

#SinarHarian #BeritaTerkini #Subsidiminyak #AnwarIbrahim",https://www.instagram.com/p/DX9P_hggRb_/,negative,2026-05-05 12:30:11+00:00,100,0,39,0,0.0005060434341430664,139,217.0,negative,0.9983131885528564,malay,Malay/Bumiputera,no_clear_emotion,0.2190794199705124,0.1859225034713745,0.07349708676338196,0.06889147311449051,0.06528361886739731,0.05153535306453705,,
instagram,post,3889511023816334504,"SUBSIDI RON95 KINI RM5 BILION SEBULAN! ⛽

PM Datuk Seri Anwar Ibrahim mendedahkan kos subsidi bahan api melonjak drastik berbanding RM700 juta pada Januari lalu akibat konflik global.

Fakta Utama:

Harga RON95 kekal RM1.99 seliter.

Bekalan minyak terjamin melalui hubungan diplomatik dengan Iran & Rusia.

Harga minyak dunia kini lepasi USD120 setong.

Kerajaan komited lindungi rakyat walaupun tekanan ekonomi mencabar.

Berita penuh di portal Channel 10.

#channel10my #ron95 #anwaribrahim #ekonomimalaysia #subsidiminyak",https://www.instagram.com/p/DX6Uassidyo/,negative,2026-05-04 09:11:07+00:00,2,0,0,0,0.02620287537574767,2,2.0,negative,0.9126570820808411,malay,Malay/Bumiputera,love,0.14017799496650696,0.06979400664567947,0.11290441453456879,0.07616788148880005,0.3404105305671692,0.03461839631199837,,
instagram,post,3885973141068005936,"RM2,300 sesaat! 🕐💸

Itulah harga yang ditampung kerajaan bagi menahan kesan lonjakan minyak global daripada terus sampai kepada rakyat. Bila harga dunia naik akibat krisis bekalan dan konflik geopolitik, subsidi jadi penampan supaya kos hidup tak melonjak secara mendadak.

▶▶ Leret poster untuk info lanjut!

#MediaSelangor #subsidiminyak #krisisekonomi #konflikasiabarat",https://www.instagram.com/p/DXtv_uoEUIw/,negative,2026-04-29 12:01:59+00:00,21,0,1,0,0.000500410795211792,22,24.0,negative,0.9983319640159607,malay,Malay/Bumiputera,anger,0.38554471731185913,0.05131802707910538,0.05815516784787178,0.06499143689870834,0.11890648305416107,0.026325561106204987,,
instagram,post,3884961560506995044,"Selama ni, tak pernah nak bising atau mengadu pasal benda2 macam ni secara terang2.. 

Tapi . . . Sapa kata 200 liter tu cukup... Ingat kita guna kereta untuk pergi kerja je ke? Tak payah balik kampung? Tak boleh pergi ziarah? Terperap je dalam rumah?

Nak guna ic orang lain tak boleh. Jadi kesalahan. 
Jadi, kami ni sebagai rakyat ni kena tadah je ke?

💆🏻‍♀️💆🏻‍♀️💆🏻‍♀️

#budi95 #malaysia #subsidi #subsidiminyak",https://www.instagram.com/p/DXqJ_S0ERFk/,negative,2026-04-28 02:32:09+00:00,3,0,2,0,0.000507223606109608,5,9.0,negative,0.9983092546463013,malay,Malay/Bumiputera,anger,0.33548250794410706,0.04511911794543266,0.021788455545902252,0.09410208463668823,0.241947203874588,0.04744269326329231,,
instagram,post,3880504256666615124,"Bila kita yang jauh berulang alik ini begini lah .. 
Antara 10% yang terkesan dengan penarikan 300l petrol 

Err lepas ni RM 4.02 /liter 
Doakan dipermudahkan segala urusan kita semua. 
.
.
#subsidiminyak 
#200liter",https://www.instagram.com/p/DXaUg_IAT1U/,positive,2026-04-21 22:56:18+00:00,0,0,0,0,0.9926468491554259,0,0.0,positive,0.9754894971847534,malay,Malay/Bumiputera,love,0.062497448176145554,0.2147008776664734,0.11034604161977768,0.05253247544169426,0.35848692059516907,0.09431423991918564,,
instagram,post,3875819441614858734,"Kementerian Kewangan (MoF) menetapkan harga baharu diesel di Semenanjung pada kadar RM5.97 seliter, berkuat kuasa pada Khamis sehingga 22 April.

Penetapan kadar baharu itu menyaksikan bahan bakar berkenaan mengalami penurunan sebanyak 75 sen, berbanding minggu sebelumnya, RM6.72 seliter.

Anda boleh baca berita penuh di portal Sinar Harian di www.sinarharian.com.my atau swipe up di IG story serta jangan lupa follow IG @sinarharian untuk berita terkini dalam dan luar negara.

#SinarHarian #SinarTerkini #SubsidiMinyak #Diesel #RON95",https://www.instagram.com/p/DXJrT9HAanu/,neutral,2026-04-15 11:48:24+00:00,303,0,6,0,0.5,309,321.0,neutral,0.9964303374290466,malay,Malay/Bumiputera,no_clear_emotion,0.04389767348766327,0.016176076605916023,0.021769672632217407,0.024240268394351006,0.027402464300394058,0.042163923382759094,,
instagram,post,3875812698466383526,"Harga runcit diesel di Semenanjung Malaysia turun sebanyak 75 sen kepada RM5.97 seliter bagi tempoh 16 hingga 22 April.

Dalam tempoh sama, harga RON95 tanpa subsidi dan RON97 masing-masing turun 25 sen seliter kepada RM4.02 dan RM5.10.

Anda boleh baca berita penuh di portal Sinar Harian di www.sinarharian.com.my atau swipe up di IG story serta jangan lupa follow IG @sinarharian untuk berita terkini dalam dan luar negara.

#SinarHarian #SinarTerkini #SubsidiMinyak #Diesel #RON95",https://www.instagram.com/p/DXJpx1ECXam/,neutral,2026-04-15 11:35:08+00:00,1356,0,67,0,0.5,1423,1557.0,neutral,0.9958233833312988,malay,Malay/Bumiputera,no_clear_emotion,0.029321689158678055,0.009683037176728249,0.020544208586215973,0.019995996728539467,0.05160590261220932,0.039192475378513336,,
