Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,media_type,video_url,derived_error,sentiment_label,sentiment_confidence,detected_language,demographic,author_demographic,author_demo_confidence,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
tiktok,post,,,,,,neutral,2026-07-08 18:09:17.127475+00:00,0,0,0,0,0.5,0,video,,,neutral,0.0,unknown,Unknown,,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
tiktok,post,7658871493111155989,"Assalamualaikum warahmatullahi wabarakatuh.

Sejak sekian lama, saya berpeluang mengenali dan bersama-sama masyarakat Sri Medan dalam pelbagai urusan kemasyarakatan. Melalui ziarah, aktiviti kebajikan dan pertemuan bersama penduduk, saya melihat sendiri harapan, cabaran serta keperluan yang dihadapi oleh rakyat di sini.

Daripada setiap pertemuan itulah saya memahami bahawa setiap keluarga menginginkan kehidupan yang lebih baik, bukan sahaja untuk hari ini, malah demi masa depan anak-anak mereka.

Masih ada petani dan pekebun kecil yang mengharapkan peluang ekonomi yang lebih luas. Masih ada anak-anak muda yang memerlukan peluang pendidikan, latihan kemahiran dan pekerjaan. Ada juga warga emas, ibu tunggal, OKU serta golongan yang memerlukan yang mengharapkan bantuan yang lebih cepat dan tersusun.

Begitu juga isu banjir, perparitan, saliran serta kemudahan asas yang perlu terus diberi perhatian demi keselesaan hidup masyarakat.

Atas dasar itulah, saya membawa komitmen R.O.S.D.I sebagai ikhtiar untuk kita sama-sama membangunkan Sri Medan.

Saya percaya, apabila ekonomi rakyat diperkasakan, anak-anak muda diberi peluang untuk maju, kebajikan masyarakat terus dipelihara dan kemudahan asas dipertingkatkan, insya-Allah Sri Medan akan terus melangkah ke hadapan sebagai sebuah kawasan yang lebih maju, harmoni dan sejahtera buat semua. 

Dengan penuh rendah hati, saya memohon sokongan dan kepercayaan daripada seluruh warga Sri Medan. Berikanlah saya peluang untuk berkhidmat dan merealisasikan agenda R.O.S.D.I demi masa depan Sri Medan yang lebih baik.

Insya-Allah, saya akan berusaha sedaya upaya memikul amanah yang diberikan dengan penuh kejujuran, keikhlasan dan rasa tanggungjawab demi kesejahteraan seluruh warga Sri Medan.

---

N18 Sri Medan, undilah calon nombor 1, Ustaz Rosdi 

""Jom Jaga Sri Medan""
""Jom Jaga Johor""

#UstazRosdi
#MesraRakyat
#SriMedanBerkat
#BerkatPrihatinSejahtera",https://www.tiktok.com/@ustaz.rosdi1/video/7658871493111155989,,,positive,2026-07-08 18:09:17.127788+00:00,55,1,3,925,0.9994104325771331,68,video,https://www.tiktok.com/@ustaz.rosdi1/video/7658871493111155989,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7658871493111155989...: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7658871493111155989: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.9980347752571106,malay,Malay/Bumiputera,Unknown,0.0,happy,0.07132527232170105,0.05639342963695526,0.41022229194641113,0.03302015736699104,0.3687273859977722,0.019213026389479637
tiktok,post,7657336116126813461,"Ramai tanya, kenapa seorang guru agama macam saya sanggup turun bertanding?

Saya seorang anak watan, berkhidmat sebagai guru agama dan aktif bersama masyarakat di sini.

Sri Medan ibarat pelajar yang perlukan bimbingan berterusan untuk terus membangun dan maju.
Bimbingan terbaik datang daripada wakil rakyat yang ikhlas, amanah dan sentiasa dekat dengan rakyat.

Saya bukan ahli politik berpengalaman.
Saya seorang guru, yang biasa mendidik dan berkhidmat untuk masyarakat.

Saya hadir bukan untuk berebut kuasa,
tapi kerana tekad untuk membantu rakyat Sri Medan yang saya kasihi.

Moga tekad ini membawa perubahan dan harapan baru buat Sri Medan.

Jemput kenali latar belakang pendidikan, penglibatan dalam masyarakat, pengalaman kerjaya dan pengalaman politik saya.

---

N18 Sri Medan, undilah calon nombor 1, Ustaz Rosdi 

""Jom Jaga Sri Medan""
""Jom Jaga Johor""

#UstazRosdi
#MesraRakyat
#SriMedanBerkat
#BerkatPrihatinSejahtera",https://www.tiktok.com/@ustaz.rosdi1/video/7657336116126813461,,,negative,2026-07-08 18:09:17.436312+00:00,329,28,25,4450,0.0004847288131714089,426,video,https://www.tiktok.com/@ustaz.rosdi1/video/7657336116126813461,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7657336116126813461...: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7657336116126813461: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",negative,0.9983842372894287,malay,Malay/Bumiputera,Unknown,0.0,love,0.059595707803964615,0.02374206855893135,0.021763870492577553,0.0634339302778244,0.7704436182975769,0.023068895563483238
tiktok,post,7657923871554718997,"Saya hadir bukan untuk berebut kuasa,
tapi kerana tekad untuk membantu rakyat Sri Medan yang saya kasihi.

Moga tekad ini membawa perubahan dan harapan baru buat Sri Medan.

---

N18 Sri Medan, undilah calon nombor 1, Ustaz Rosdi 

""Jom Jaga Sri Medan""
""Jom Jaga Johor""

#UstazRosdi
#MesraRakyat
#SriMedanBerkat
#BerkatPrihatinSejahtera",https://www.tiktok.com/@ustaz.rosdi1/video/7657923871554718997,,,positive,2026-07-08 18:09:17.733164+00:00,524,101,51,12000,0.9950952231884003,796,video,https://www.tiktok.com/@ustaz.rosdi1/video/7657923871554718997,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7657923871554718997...: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7657923871554718997: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.9836507439613342,malay,Malay/Bumiputera,Unknown,0.0,love,0.07169080525636673,0.03580069914460182,0.028957638889551163,0.07296983897686005,0.7230841517448425,0.026664122939109802
tiktok,post,7660159116635032852,"ANAK PERANTAU, KAMI MENANTI KEPULANGANMU 🚗

Tempat mencari rezekimu kini mungkin di negeri orang, namun apabila tiba hari mengundi, pulanglah ke Sri Medan. 

Setiap undi adalah amanah untuk menentukan masa depan kampung halaman yang kita cintai ini. 

Jangan biarkan peluang ini berlalu. 

🗳️ Buat seluruh anak perantau Sri Medan, pulanglah mengundi. Dan berikan undi kepada calon nombor 1, Ustaz Rosdi. 

---

N18 Sri Medan, undilah calon nombor 1, Ustaz Rosdi 

""Jom Jaga Sri Medan""
""Jom Jaga Johor""

#UstazRosdi
#MesraRakyat
#SriMedanBerkat
#BerkatPrihatinSejahtera",https://www.tiktok.com/@ustaz.rosdi1/video/7660159116635032852,,,positive,2026-07-08 18:09:18.052769+00:00,59,0,1,376,0.9993408381938933,63,video,https://www.tiktok.com/@ustaz.rosdi1/video/7660159116635032852,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7660159116635032852...: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7660159116635032852: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.9978027939796448,malay,Malay/Bumiputera,Unknown,0.0,love,0.10690484195947647,0.08234584331512451,0.04608682170510292,0.1660086214542389,0.4809648096561432,0.05844254419207573
tiktok,post,7660133697429114132,"""Kita kena cari pemimpin yang tidak menzalimi orang, dan apabila dizalimi akan sabar...""

Itulah antara pesanan daripada Imam Md Tahir, Imam Masjid Kampung Parit Jayus 4, ketika saya singgah bertanya khabar dan berbual dengan beliau.
---

N18 Sri Medan, undilah calon nombor 1, Ustaz Rosdi 

""Jom Jaga Sri Medan""
""Jom Jaga Johor""

#UstazRosdi
#MesraRakyat
#SriMedanBerkat
#BerkatPrihatinSejahtera",https://www.tiktok.com/@ustaz.rosdi1/video/7660133697429114132,,,negative,2026-07-08 18:09:18.598546+00:00,50,3,5,532,0.09285995364189148,63,video,https://www.tiktok.com/@ustaz.rosdi1/video/7660133697429114132,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7660133697429114132...: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7660133697429114132: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",negative,0.6904668211936951,malay,Malay/Bumiputera,Unknown,0.0,love,0.11927448213100433,0.02733094058930874,0.04444745555520058,0.03567243367433548,0.5391107797622681,0.026841169223189354
tiktok,post,7660108090313837845,"Senyum kan sedekah 😁

---

N18 Sri Medan, undilah calon nombor 1, Ustaz Rosdi 

""Jom Jaga Sri Medan""
""Jom Jaga Johor""

#UstazRosdi
#MesraRakyat
#SriMedanBerkat
#BerkatPrihatinSejahtera",https://www.tiktok.com/@ustaz.rosdi1/video/7660108090313837845,,,negative,2026-07-08 18:09:18.905071+00:00,55,3,2,422,0.1275693878531456,64,video,https://www.tiktok.com/@ustaz.rosdi1/video/7660108090313837845,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7660108090313837845...: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7660108090313837845: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",negative,0.5747687071561813,multilingual,Unknown,Unknown,0.0,love,0.0319942869246006,0.017587551847100258,0.02990521863102913,0.03476766496896744,0.7399234175682068,0.03428306803107262
tiktok,post,7660088365068422420,"Terima kasih YB Dato' Mumtaz Md Nawi, Ahli Parlimen Tumpat, atas sokongan dan seruan kepada warga Sri Medan untuk memberikan kepercayaan kepada saya.

Insya-llah, saya akan berusaha memberikan yang terbaik buat rakyat Sri Medan.

11 Julai nanti, berikan undi anda kepada Calon No. 1, Ustaz Rosdi.

---

N18 Sri Medan, undilah calon nombor 1, Ustaz Rosdi 

""Jom Jaga Sri Medan""
""Jom Jaga Johor""

#UstazRosdi
#MesraRakyat
#SriMedanBerkat
#BerkatPrihatinSejahtera",https://www.tiktok.com/@ustaz.rosdi1/video/7660088365068422420,,,positive,2026-07-08 18:09:19.246809+00:00,63,3,3,472,0.9993748486042022,73,video,https://www.tiktok.com/@ustaz.rosdi1/video/7660088365068422420,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7660088365068422420...: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7660088365068422420: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.9979161620140076,malay,Malay/Bumiputera,Unknown,0.0,love,0.0304401908069849,0.013707809150218964,0.08208560943603516,0.025310907512903214,0.6652633547782898,0.0247377660125494
tiktok,post,7660071415890201876,"Sokongan daripada pelbagai lapisan masyarakat memberi keyakinan bahawa Sri Medan mahukan wakil rakyat yang sentiasa bersama rakyat.

Terima kasih kepada YB Datuk Dominic Lau dan komuniti Tionghua yang menyatakan sokongan serta harapan untuk masa depan Sri Medan.

Saya mohon kepercayaan dan undi daripada masyarakat Tionghua serta seluruh warga Sri Medan untuk bersama membina Sri Medan yang lebih baik.

---

N18 Sri Medan, undilah calon nombor 1, Ustaz Rosdi 

""Jom Jaga Sri Medan""
""Jom Jaga Johor""

#UstazRosdi
#MesraRakyat
#SriMedanBerkat
#BerkatPrihatinSejahtera",https://www.tiktok.com/@ustaz.rosdi1/video/7660071415890201876,,,positive,2026-07-08 18:09:19.563038+00:00,60,3,3,386,0.9993919789791106,69,video,https://www.tiktok.com/@ustaz.rosdi1/video/7660071415890201876,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7660071415890201876...: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7660071415890201876: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.9979732632637024,malay,Malay/Bumiputera,Unknown,0.0,love,0.03744354471564293,0.018380416557192802,0.16568315029144287,0.02796623297035694,0.6176908612251282,0.024238133803009987
tiktok,post,7660068210544364820,"📌 Dalam setiap urusan kehidupan, Islam mengajar kita untuk sentiasa menjaga adab. Begitu juga ketika menziarahi orang sakit. 

Tidak kira sama ada yang sakit itu ahli keluarga, sahabat, jiran tetangga atau sesiapa sahaja, setiap ziarah perlulah dilakukan dengan penuh adab dan ihsan.

Di sini saya kongsikan 4️⃣ adab menziarahi orang sakit. Jika ada adab lain yang boleh kita sama-sama amalkan, kongsikan pandangan anda di ruangan komen.

---

N18 Sri Medan, undilah calon nombor 1, Ustaz Rosdi 

""Jom Jaga Sri Medan""
""Jom Jaga Johor""

#UstazRosdi
#MesraRakyat
#SriMedanBerkat
#BerkatPrihatinSejahtera",https://www.tiktok.com/@ustaz.rosdi1/video/7660068210544364820,,,positive,2026-07-08 18:09:19.865537+00:00,14,0,0,192,0.9994052290916442,15,video,https://www.tiktok.com/@ustaz.rosdi1/video/7660068210544364820,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7660068210544364820...: Failed to load video from https://www.tiktok.com/@ustaz.rosdi1/video/7660068210544364820: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.998017430305481,malay,Malay/Bumiputera,Unknown,0.0,sadness,0.02699674665927887,0.037145230919122696,0.008106982335448265,0.843495786190033,0.04589866101741791,0.024821238592267036
