Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,video_url,media_type,engagement_score,author,author_followers,derived_error,sentiment_label,sentiment_confidence,detected_language,demographic,author_demographic,author_demo_confidence,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
tiktok,post,7126121650545823002,Inpo ngantemi bapaknya #TikTokTainment #TontonanBaru #Marley #FilmMarley #MarleyMovie,,,neutral,2026-07-08 11:25:28.970807+00:00,1500000,2277,1854,19800000,0.5,1702131,https://www.tiktok.com/@maxstream.tv/video/7126121650545823002,https://www.tiktok.com/@maxstream.tv/video/7126121650545823002,video,1529916.0,,,"omni request failed: HTTP 400 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""status"":400,""title"":""Bad Request"",""detail"":""Function id 'c4ed50ff-b5c3-409d-ab57-b79c33f5bb39': DEGRADED function cannot be invoked""}",neutral,0.9085832834243774,english,Mixed/Urban,Unknown,0.0,love,0.058856334537267685,0.01715540513396263,0.037035562098026276,0.022665537893772125,0.7545863389968872,0.016321314498782158
tiktok,post,7586932537432214785,jangan tunggu lama lama🤙🏻🤙🏻,,,negative,2026-07-08 11:25:15.175472+00:00,677800,42200,3563,19100000,0.1649376466870308,914563,https://www.tiktok.com/@yuukiituru/video/7586932537432214785,https://www.tiktok.com/@yuukiituru/video/7586932537432214785,video,791989.0,,,"omni request failed: HTTP 400 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""status"":400,""title"":""Bad Request"",""detail"":""Function id 'c4ed50ff-b5c3-409d-ab57-b79c33f5bb39': DEGRADED function cannot be invoked""}",negative,0.450207844376564,multilingual,Unknown,Unknown,0.0,love,0.2689543068408966,0.07926321774721146,0.03977152332663536,0.1478758007287979,0.34823745489120483,0.021972013637423515
tiktok,post,7613741746417110292,"memori epic puasa 2026.
-biasalah anak askor, kat mana mana boleh tidur. lasak🤭

biasa memang ambik anak anak kafa lewat sikit, yela rumah kami jauh. sampai sampai dekat kafa, ada kakak dengan adik je. Abang takde. meanwhile, anak anak lain semua dah balik. kelas pun dah kunci.

adik , kakak datang dekat kereta cakap “mak, cuba mak tanya ustazah. kakak rasa adam tertidur dalam kelas. “

mak husnuzon.” takkanlah kak, ade rumah cikjan kot(tempat lepak anak anak kalau mak daddy ambik lambat)”

kami pergilah rumah cikjan. eh takde. daddy plak kata”selalu kalau dia nampak kereta dia berlari dtg kat kereta”

patah balik kat kafa tgk sazah belum balik, kakak turun mintak sazah cek dlm kelas. 

kami pun intai intai ikut tingkap nampak selipar dia🤣🤣🤣🤣 orangnya takde. 

sazah pun ambik kunci kat pejabat buka pintu kelas. hahahahahahah. 

sazah kata ayah la pergi tgk takut dia mengamuk.🤪🤪🤪

bergaya betul dia tidur walaupun berpeluh peluh. 🤣🤣🤣🤣  anak askar kan. kental sikit. . betul betul penat puasa ni.🤣🤣🤣🤣🤣

#ramadancore #ramadan2026 #ceritaramadan #terpalingpuasa",,,negative,2026-07-08 11:25:24.535170+00:00,174100,22700,1090,2800000,0.000502520799636863,225890,https://www.tiktok.com/@bynacoway/video/7613741746417110292,https://www.tiktok.com/@bynacoway/video/7613741746417110292,video,225570.0,,,"omni request failed: HTTP 400 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""status"":400,""title"":""Bad Request"",""detail"":""Function id 'c4ed50ff-b5c3-409d-ab57-b79c33f5bb39': DEGRADED function cannot be invoked""}",negative,0.9983249306678772,malay,Malay/Bumiputera,Unknown,0.0,anger,0.6758150458335876,0.11081846058368683,0.02886509895324707,0.11530174314975739,0.025565603747963905,0.0160912424325943
tiktok,post,7643407811564588309,"Tren kelulusan pakai lagu Kicau Mania disorot netizen Malaysia, dinilai berlebihan dan mencoreng citra pelajar Indonesia. #garudasiwainfotaiment #netizenmalaysia #trendkicaumania #malaysia #beritaterkini  #beritavirall #beritahariinii #beritaterupdate #berita",,,negative,2026-07-08 11:25:10.034215+00:00,128700,8385,6126,3900000,0.16751262992620466,182211,https://www.tiktok.com/@garuda.siwa.infot/video/7643407811564588309,https://www.tiktok.com/@garuda.siwa.infot/video/7643407811564588309,video,167748.0,,,"omni request failed: HTTP 400 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""status"":400,""title"":""Bad Request"",""detail"":""Function id 'c4ed50ff-b5c3-409d-ab57-b79c33f5bb39': DEGRADED function cannot be invoked""}",negative,0.44162456691265106,multilingual,Unknown,Unknown,0.0,love,0.15317049622535706,0.021567022427916527,0.03577420115470886,0.049873318523168564,0.37127673625946045,0.028528017923235893
tiktok,post,7582529428765297927,"boi tenangin diri lu 🙏😭

Boboiboy: JIWA MC KU MERONTA-RONTA

si oboi emang gak berbakat jadi watak sampingan 🤣 😭 
#boboiboy #gopal #boboiboymovie3 #papazolathemovie #fyp",,,neutral,2026-07-08 11:24:59.049142+00:00,123600,10100,634,1200000,0.5,146334,https://www.tiktok.com/@milyra_syah/video/7582529428765297927,https://www.tiktok.com/@milyra_syah/video/7582529428765297927,video,146902.0,,,"omni request failed: HTTP 400 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""status"":400,""title"":""Bad Request"",""detail"":""Function id 'c4ed50ff-b5c3-409d-ab57-b79c33f5bb39': DEGRADED function cannot be invoked""}",neutral,0.5060017704963684,english,Mixed/Urban,Unknown,0.0,fear,0.15969063341617584,0.4485609829425812,0.021446166560053825,0.17457179725170135,0.09990133345127106,0.06948290765285492
tiktok,post,7497961858784185608,Lord Glenn sensei terkece #anime #animefyp #fyp #sensei #fantasy #🗿,,,neutral,2026-07-08 11:25:01.321684+00:00,129000,2400,1027,1700000,0.5,149427,https://www.tiktok.com/@yamiix50/video/7497961858784185608,https://www.tiktok.com/@yamiix50/video/7497961858784185608,video,138581.0,,,"omni request failed: HTTP 400 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""status"":400,""title"":""Bad Request"",""detail"":""Function id 'c4ed50ff-b5c3-409d-ab57-b79c33f5bb39': DEGRADED function cannot be invoked""}",neutral,0.864431619644165,english,Mixed/Urban,Unknown,0.0,love,0.04839148744940758,0.013409372419118881,0.06859197467565536,0.02107776515185833,0.5597506761550903,0.016855863854289055
tiktok,post,7657524004986686728,Happy 100k Termenung bersama @AmzarSabri #fyp,,,positive,2026-07-08 11:25:14.505604+00:00,67500,4322,835,480800,0.9703166276216506,77465,https://www.tiktok.com/@bungaisme.1/video/7657524004986686728,https://www.tiktok.com/@bungaisme.1/video/7657524004986686728,video,79129.8,,,"omni request failed: HTTP 400 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""status"":400,""title"":""Bad Request"",""detail"":""Function id 'c4ed50ff-b5c3-409d-ab57-b79c33f5bb39': DEGRADED function cannot be invoked""}",positive,0.9010554254055023,multilingual,Unknown,Unknown,0.0,happy,0.013357958756387234,0.024720966815948486,0.9092685580253601,0.007189421448856592,0.022338036447763443,0.010217142291367054
tiktok,post,7624102574177651989,"Daftar PTN yang Buka jalur Nilai Raport tahun 2026. Yang gagal SNBP 2026 simak video ini.
#fyp #viral #siswa #kelas12 #sma",,,negative,2026-07-08 11:25:09.091202+00:00,37400,8636,513,609400,0.03579733371734617,52643,https://www.tiktok.com/@tentor_andalan/video/7624102574177651989,https://www.tiktok.com/@tentor_andalan/video/7624102574177651989,video,56820.4,,,"omni request failed: HTTP 400 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""status"":400,""title"":""Bad Request"",""detail"":""Function id 'c4ed50ff-b5c3-409d-ab57-b79c33f5bb39': DEGRADED function cannot be invoked""}",negative,0.8806755542755127,multilingual,Unknown,Unknown,0.0,no_clear_emotion,0.04856093227863312,0.09209048002958298,0.014275872148573399,0.05651654303073883,0.03800247237086296,0.20704074203968048
tiktok,post,7633811342180306194,#berbagirezeki #cikgushaari #fyp #realakuntiktok,,,neutral,2026-07-08 11:25:11.323179+00:00,36900,1411,2473,856500,0.5,49349,https://www.tiktok.com/@sultan_kebahagian13/video/7633811342180306194,https://www.tiktok.com/@sultan_kebahagian13/video/7633811342180306194,video,47997.5,,,"omni request failed: HTTP 400 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""status"":400,""title"":""Bad Request"",""detail"":""Function id 'c4ed50ff-b5c3-409d-ab57-b79c33f5bb39': DEGRADED function cannot be invoked""}",neutral,0.905849039554596,english,Mixed/Urban,Unknown,0.0,love,0.13136912882328033,0.049509916454553604,0.08062410354614258,0.05302289500832558,0.5007739663124084,0.031123094260692596
tiktok,post,7652507864593943815,"Berarti awak dewek fyp😂

#soundlucu #ngapakcilacap #cilacap24jam #taiwanindonesia🇹🇼🇮🇩 #tkwtaiwan_indonesia🇮🇩🇹🇼",,,neutral,2026-07-08 11:25:10.673483+00:00,35200,3530,171,746000,0.5,46361,https://www.tiktok.com/@anggit_007/video/7652507864593943815,https://www.tiktok.com/@anggit_007/video/7652507864593943815,video,43519.0,,,"omni request failed: HTTP 400 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""status"":400,""title"":""Bad Request"",""detail"":""Function id 'c4ed50ff-b5c3-409d-ab57-b79c33f5bb39': DEGRADED function cannot be invoked""}",neutral,0.8255704641342163,english,Mixed/Urban,Unknown,0.0,love,0.08754605054855347,0.026374971494078636,0.04430759698152542,0.03538522869348526,0.6715596318244934,0.020441994071006775
