Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,author,author_followers
x,post,1970311285666628034,"RT @Keir_Starmer: Today, to revive the hope of peace for the Palestinians and Israelis, and a two state solution, the United Kingdom formal…",https://x.com/SyedSaddiq/status/1970311285666628034,,,neutral,Tue Sep 23 02:16:31 +0000 2025,121018,23673,42310,28450528,0.0,471506,,
x,post,1970311165210435826,"RT @EmmanuelMacron: I declare that today, France recognizes the State of Palestine. https://t.co/8kg6xukuO0",https://x.com/SyedSaddiq/status/1970311165210435826,,,neutral,Tue Sep 23 02:16:03 +0000 2025,235431,32803,17232,11392821,0.0,399394,,
x,post,2012702191099015442,RT @thedankoe: https://t.co/7l7Jef99QZ,https://x.com/SyedSaddiq/status/2012702191099015442,,,neutral,Sun Jan 18 01:42:51 +0000 2026,301032,46056,8686,187055455,0.0,2226328,,
x,post,2045280608419770753,"RT @araghchi: In line with the ceasefire in Lebanon, the passage for all commercial vessels through Strait of Hormuz is declared completely…",https://x.com/anwaribrahim/status/2045280608419770753,,,neutral,Fri Apr 17 23:17:51 +0000 2026,125150,29259,6755,9567569,0.0,256839,,
x,post,2021773937508790661,RT @mattshumer_: https://t.co/ivXRKXJvQg,https://x.com/SyedSaddiq/status/2021773937508790661,,,neutral,Thu Feb 12 02:30:44 +0000 2026,118847,28149,6597,87157849,0.0,1025171,,
x,post,2041658173015404649,"RT @BernieSanders: While the world focuses on the destruction in Iran, we must not ignore what Israel is doing in Lebanon.

1,461 have been…",https://x.com/anwaribrahim/status/2041658173015404649,,,neutral,Tue Apr 07 23:23:35 +0000 2026,192078,44096,6119,3238779,0.0,274680,,
x,post,1960225063367827660,"RT @piersmorgan: What possible justification is there for this, @netanyahu ?",https://x.com/SyedSaddiq/status/1960225063367827660,,,neutral,Tue Aug 26 06:17:28 +0000 2025,53406,9290,5346,4975530,0.0,117797,,
x,post,1970314837545873569,"RT @AlboMP: Recognition is a step forward - for peace, security and prosperity. https://t.co/TmWEp2RCGS",https://x.com/SyedSaddiq/status/1970314837545873569,,,neutral,Tue Sep 23 02:30:38 +0000 2025,7582,1048,4823,438706,0.0,17840,,
x,post,2032276161934606566,RT @AP: BREAKING: The Israeli military says it is dropping charges against five soldiers who were accused of sexually abusing a Palestinian…,https://x.com/SyedSaddiq/status/2032276161934606566,,,neutral,Fri Mar 13 02:02:49 +0000 2026,19771,8972,3486,19335562,0.0,225584,,
x,post,1960121201952747984,"RT @piersmorgan: It wasn’t a ‘mishap’. It was a deliberate ‘double strike’ mass killing of hospital workers,  journalists, and other civili…",https://x.com/SyedSaddiq/status/1960121201952747984,,,neutral,Mon Aug 25 23:24:46 +0000 2025,92153,17832,3429,4893625,0.0,162350,,
x,post,1855514665679515908,"RT @BBCWorld: Nearly 70% of Gaza war dead are women and children, UN says https://t.co/4f30gQ1zRw",https://x.com/SyedSaddiq/status/1855514665679515908,,,neutral,Sun Nov 10 07:35:44 +0000 2024,23960,12900,3368,18107092,0.0,221298,,
x,post,1243455298007789569,We are a nation at war with invisible forces. The situation we are now facing is unprecedented in history. And this government may not be the government that you voted for. But I want you to know that this government cares for you.,https://x.com/MuhyiddinYassin/status/1243455298007789569,,,neutral,Fri Mar 27 08:30:19 +0000 2020,67108,49832,3326,0,0.0,120266,,
x,comment,1243456721718108162,@MuhyiddinYassin https://t.co/J9i4pxI8lT,,https://x.com/MuhyiddinYassin/status/1243455298007789569,1243455298007789569,neutral,1585298159000,755,142,8,0,0.0,1063,𝙇𝙞𝙢 𝙎𝙞 𝘾𝙝𝙞𝙣𝙜,0.0
x,comment,1243459581948248064,@MuhyiddinYassin Ko jgn gatal nak amik bantuan.. https://t.co/bvPwM5G9pv,,https://x.com/MuhyiddinYassin/status/1243455298007789569,1243455298007789569,neutral,1585298841000,380,137,17,0,0.0,705,Mohammad Asri Bin Abdullah,0.0
x,comment,1243456553824301056,"@MuhyiddinYassin ""We will not be the government you voted for""

This line is where I knew Muhyiddin Yassin is worthy to become our PM.",,https://x.com/MuhyiddinYassin/status/1243455298007789569,1243455298007789569,neutral,1585298119000,325,56,5,0,0.0,452,⨯HeroVax ❅,0.0
x,comment,1243455449392762880,@MuhyiddinYassin Terima kasih Tan Sri. Terima kasih kerajaan. Kami semua cuba untuk selesaikan bahagian kami pula sebagai rakyat. #DudukRumah #StayHome,,https://x.com/MuhyiddinYassin/status/1243455298007789569,1243455298007789569,neutral,1585297856000,171,24,1,0,0.0,222,Abg Panda,0.0
x,comment,1243455613239062530,"@MuhyiddinYassin Jangan risau PM, kalau kosisten jaga kebajikan rakyat, saya akan undi PRU15 nanti!",,https://x.com/MuhyiddinYassin/status/1243455298007789569,1243455298007789569,neutral,1585297895000,177,15,2,0,0.0,213,faeez,0.0
x,comment,1243462326776246272,@MuhyiddinYassin I like this.,,https://x.com/MuhyiddinYassin/status/1243455298007789569,1243455298007789569,neutral,1585299495000,6,0,1,0,0.0,9,Tini z,0.0
x,comment,1243457667156213761,@MuhyiddinYassin @erk888 Dah dapat duit tu duduk rumah kita bantu PM pulak untuk putuskan rangkain berjangkit corona ni #bersatu ! I ❤️ PM,,https://x.com/MuhyiddinYassin/status/1243455298007789569,1243455298007789569,neutral,1585298384000,158,23,2,0,0.0,210,hana orkid 🖤,0.0
x,comment,1243457728212643845,@MuhyiddinYassin Thank you Tan sri..Now i beliave God Sent you to us in Right time👍,,https://x.com/MuhyiddinYassin/status/1243455298007789569,1243455298007789569,neutral,1585298399000,165,7,0,0,0.0,179,Nageen shan,0.0
x,comment,1243456719595814912,"@MuhyiddinYassin The benefits package you've outlined will go a great way to reassure Malaysians (and others).

this is what #leadership looks like.

maybe you should call @realDonaldTrump @SpeakerPelosi and @senatemajldr and give them a few pointers on how to deal with #COVID19.",,https://x.com/MuhyiddinYassin/status/1243455298007789569,1243455298007789569,neutral,1585298158000,118,22,2,0,0.0,168,rob clément,0.0
