Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
Tiktok,Live,TIKTOK001,Great experience with kb sentral! Highly recommended in Malaysia.,positive,2026-04-06,400,54,78,3089,0.9966606855392455,532,positive,0.9888689517974854,english,Mixed/Urban,happy,0.026923473924398422,0.020470082759857178,0.4887601435184479,0.010533240623772144,0.3882926106452942,0.024509040638804436
Tiktok,Live,TIKTOK002,Just tried kb sentral - amazing quality and value!,positive,2026-04-22,1040,282,192,5308,0.9950533628463745,1514,positive,0.983511209487915,english,Mixed/Urban,surprise,0.01109373290091753,0.06599963456392288,0.08643662929534912,0.019290896132588387,0.027323933318257332,0.7400354743003845
Tiktok,Stitch,TIKTOK003,kb sentral in Malaysia is really good. Worth trying!,positive,2026-04-21,640,72,93,4827,0.9912310719490051,805,positive,0.9707702398300171,english,Mixed/Urban,love,0.04307118058204651,0.037561751902103424,0.33294859528541565,0.015829207375645638,0.49866682291030884,0.025572992861270905
Tiktok,Duet,TIKTOK004,Just tried kb sentral - amazing quality and value!,positive,2026-04-04,449,112,71,5616,0.9950533628463745,632,positive,0.983511209487915,english,Mixed/Urban,surprise,0.01109373290091753,0.06599963456392288,0.08643662929534912,0.019290896132588387,0.027323933318257332,0.7400354743003845
Tiktok,Stitch,TIKTOK005,kb sentral in Malaysia is really good. Worth trying!,positive,2026-03-31,818,220,86,11078,0.9912310719490051,1124,positive,0.9707702398300171,english,Mixed/Urban,love,0.04307118058204651,0.037561751902103424,0.33294859528541565,0.015829207375645638,0.49866682291030884,0.025572992861270905
Tiktok,Stitch,TIKTOK006,kb sentral in Malaysia is really good. Worth trying!,positive,2026-04-10,516,140,88,4671,0.9912310719490051,744,positive,0.9707702398300171,english,Mixed/Urban,love,0.04307118058204651,0.037561751902103424,0.33294859528541565,0.015829207375645638,0.49866682291030884,0.025572992861270905
Tiktok,Live,TIKTOK007,kb sentral in Malaysia is really good. Worth trying!,positive,2026-04-19,806,129,117,10633,0.9912310719490051,1052,positive,0.9707702398300171,english,Mixed/Urban,love,0.04307118058204651,0.037561751902103424,0.33294859528541565,0.015829207375645638,0.49866682291030884,0.025572992861270905
Tiktok,Duet,TIKTOK008,kb sentral in Malaysia is really good. Worth trying!,positive,2026-04-11,629,87,42,3186,0.9912310719490051,758,positive,0.9707702398300171,english,Mixed/Urban,love,0.04307118058204651,0.037561751902103424,0.33294859528541565,0.015829207375645638,0.49866682291030884,0.025572992861270905
Tiktok,Stitch,TIKTOK009,kb sentral in Malaysia is really good. Worth trying!,positive,2026-04-24,650,107,104,7904,0.9912310719490051,861,positive,0.9707702398300171,english,Mixed/Urban,love,0.04307118058204651,0.037561751902103424,0.33294859528541565,0.015829207375645638,0.49866682291030884,0.025572992861270905
Tiktok,Live,TIKTOK010,Great experience with kb sentral! Highly recommended in Malaysia.,positive,2026-03-29,646,79,46,4189,0.9966606855392455,771,positive,0.9888689517974854,english,Mixed/Urban,happy,0.026923473924398422,0.020470082759857178,0.4887601435184479,0.010533240623772144,0.3882926106452942,0.024509040638804436
