Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
tiktok,post,7647844619694345492,"Kita semua rasa lah kan. Barang dapur, keperluan harian semua dah makin mahal. Sebab tu saya pergi tengok sendiri. Rupanya ada benda yang kita tak perasan selama ni. @Pierre Pang",https://www.tiktok.com/@khairykj/video/7647844619694345492,,,neutral,2026-06-05T09:43:16.000Z,1352,26,143,40045,0.0,1921
tiktok,post,7649050638336134421,"Menerima kunjungan hormat daripada Pesuruhjaya Tinggi British ke Malaysia, TYT Ajay Sharma demi memperkukuhkan hubungan antara dua pihak.",https://www.tiktok.com/@drsamtrg/video/7649050638336134421,,,neutral,2026-06-08T15:43:08.000Z,7570,228,281,64293,0.0,8721
tiktok,post,7649028332801068296,"Risiko Terlalu Besar Jika Tidak Adakan PRN Negeri Sembilan Pakatan Harapan berpandangan bahawa meneruskan susunan politik sedia ada di Negeri Sembilan tanpa mendapatkan mandat baharu daripada rakyat merupakan satu risiko yang terlalu besar. Isunya bukan sekadar soal politik, tetapi soal kestabilan pentadbiran negeri dan kebajikan rakyat. Pada sidang Dewan Undangan Negeri yang dijadualkan berlangsung pada bulan Oktober nanti, agenda paling penting ialah pembentangan dan kelulusan Belanjawan Negeri. Jika belanjawan tersebut gagal diluluskan, ia bermakna kerajaan negeri telah kehilangan sokongan majoriti. Akibatnya: ❌ Kerajaan negeri tidak dapat berfungsi dengan lancar ❌ Peruntukan pembangunan tidak dapat disalurkan ❌ Program kebajikan rakyat akan terjejas ❌ Operasi pentadbiran negeri berdepan kesukaran ❌ DUN tetap perlu dibubarkan dan pilihan raya terpaksa diadakan Justeru, daripada menunggu sehingga tercetus krisis yang lebih besar pada bulan Oktober, adalah lebih bertanggungjawab untuk mengembalikan mandat kepada rakyat sekarang. Dalam sistem demokrasi, rakyat adalah penentu akhir. Biarlah rakyat membuat keputusan parti mana yang mempunyai majoriti dan layak mentadbir Negeri Sembilan untuk tempoh lima tahun akan datang. Kestabilan politik bukan sesuatu yang boleh dipertaruhkan. Masa depan Negeri Sembilan perlu dibina atas mandat rakyat yang jelas dan kukuh. Kembalikan mandat kepada rakyat. Biar rakyat menentukan hala tuju Negeri Sembilan.",https://www.tiktok.com/@anthonyloke/video/7649028332801068296,,,neutral,2026-06-08T14:16:36.000Z,342,21,75,16794,0.0,605
tiktok,post,7648657407693901074,"Wesak reminds us that compassion, kindness and generosity don’t belong to any one religion, they belong to all of us. Honoured to officiate the Brickfields procession for the fourth consecutive year, and grateful for what this community continues to show this country.",https://www.tiktok.com/@anthonyloke/video/7648657407693901074,,,neutral,2026-06-07T14:17:14.000Z,66,0,2,2058,0.0,88
tiktok,post,7648149670073486610,"MOT dan MINDEF memeterai kerjasama strategik untuk membuka lebih banyak peluang pekerjaan dalam sektor logistik khusus untuk bakal pesara dan veteran ATM. Melalui program TVET, upskilling, reskilling dan pemadanan pekerjaan oleh PERHEBAT, kerajaan harap inisiatif ini akan dapat dipelbagaikan lagi ke sektor penerbangan, khususnya dalam bidang MRO, supaya menambahkan lagi lebih banyak pekerjaan kemahiran tinggi kepada ekonomi Malaysia, di samping memastikan veteran dan pesara ATM dapat kerjaya kedua yang bermakna dan mampan.",https://www.tiktok.com/@anthonyloke/video/7648149670073486610,,,neutral,2026-06-06T05:26:56.000Z,52,1,1,1625,0.0,70
tiktok,post,7649800359350734087,RESET sekarang!,https://www.tiktok.com/@hamzahzainudin_/video/7649800359350734087,,,neutral,2026-06-10T16:12:27.000Z,240,24,11,4547,0.0,320
tiktok,post,7649756138866527509,"𝐒𝐞𝐚𝐛𝐚𝐝 𝐉𝐞𝐧𝐣𝐚𝐫𝐨𝐦, 𝐒𝐞𝐚𝐛𝐚𝐝 𝐒𝐞𝐦𝐚𝐧𝐠𝐚𝐭 𝐊𝐞𝐛𝐞𝐫𝐬𝐚𝐦𝐚𝐚𝐧 Seronok melihat kemeriahan dan semangat yang ditunjukkan oleh warga Kampung Jenjarom sempena sambutan ulang tahun ke-100 kampung yang penuh dengan sejarah dan warisan ini. Tahniah kepada seluruh warga Kampung Jenjarom. Semoga kampung yang bersejarah ini terus maju, makmur dan kekal menjadi kebanggaan generasi akan datang. #100TahunJenjarom #jenjarom",https://www.tiktok.com/@ahmadzahidhamidi/video/7649756138866527509,,,neutral,2026-06-10T13:20:51.000Z,120,3,18,630,0.0,147
tiktok,post,7649599381246676244,"𝐏𝐞𝐧𝐝𝐢𝐝𝐢𝐤 𝐊𝐄𝐌𝐀𝐒, 𝐏𝐞𝐦𝐛𝐢𝐧𝐚 𝐆𝐞𝐧𝐞𝐫𝐚𝐬𝐢 𝐌𝐚𝐬𝐚 𝐃𝐞𝐩𝐚𝐧 Saya kongsikan momen bersama dengan warga KEMAS dalam Sambutan Hari Pendidik KEMAS 2026 yang bertemakan “55 Tahun Mencerdaskan Anak Bangsa”. Terima kasih kepada seluruh pendidik KEMAS yang telah mendidik, membimbing dan membentuk sahsiah anak-anak Malaysia dengan penuh dedikasi dan kasih sayang. #HariPendidikKEMAS #KEMAS #disinibermula",https://www.tiktok.com/@ahmadzahidhamidi/video/7649599381246676244,,,neutral,2026-06-10T04:00:00.000Z,131,6,13,788,0.0,157
tiktok,post,7649319456539249940,"𝐏𝐞𝐭𝐚𝐡 𝐁𝐞𝐫𝐛𝐢𝐜𝐚𝐫𝐚, 𝐁𝐞𝐬𝐚𝐫 𝐏𝐨𝐭𝐞𝐧𝐬𝐢𝐧𝐲𝐚 Pagi tadi, saya sempat berkenalan dengan adik Munira, hos cilik TabiCast KEMAS yang cukup petah bercakap dan berani berhadapan dengan orang ramai. Alhamdulillah, inilah antara peranan yang dimainkan oleh TABIKA KEMAS sebagai tempat mencungkil dan menggilap potensi anak-anak sejak usia awal. Saya mendoakan semoga adik Munira terus berjaya dalam pelajaran dan membesar menjadi anak yang membanggakan keluarga, masyarakat dan negara. Insya-Allah. #TabiCastKEMAS #KEMAS #KKDW #disinibermula",https://www.tiktok.com/@ahmadzahidhamidi/video/7649319456539249940,,,neutral,2026-06-09T09:06:20.000Z,766,59,45,8250,0.0,952
tiktok,post,7649016409543937301,"Demi Bangsa Johor, marilah kita rapatkan saf, satukan tekad dan bekerja bersungguh-sungguh kerana calon kita hanya satu.. calon Barisan Nasional. #BNJohor #BangsaJohor #BarisanNasional #MajuJohor",https://www.tiktok.com/@ahmadzahidhamidi/video/7649016409543937301,,,neutral,2026-06-08T13:30:19.000Z,111,9,19,927,0.0,148
