Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,video_url,media_type,engagement_score,author,author_followers
tiktok,comment,7659793502061989140_comment_0,[Sticker],https://www.tiktok.com/@johor.kini/video/7659793502061989140,7659793502061989140,neutral,2026-07-08T19:24:55.228807+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659793502061989140_comment_1,[Sticker],https://www.tiktok.com/@johor.kini/video/7659793502061989140,7659793502061989140,neutral,2026-07-08T19:24:55.228830+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7658848928254659847_comment_0,[Sticker],https://www.tiktok.com/@atiqahmohamad89/video/7658848928254659847,7658848928254659847,neutral,2026-07-08T19:24:55.535977+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7658848928254659847_comment_1,[Sticker],https://www.tiktok.com/@atiqahmohamad89/video/7658848928254659847,7658848928254659847,neutral,2026-07-08T19:24:55.536018+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7656831021723176210_comment_0,[Sticker],https://www.tiktok.com/@11sh112/video/7656831021723176210,7656831021723176210,neutral,2026-07-08T19:24:55.842907+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7656831021723176210_comment_1,[Sticker],https://www.tiktok.com/@11sh112/video/7656831021723176210,7656831021723176210,neutral,2026-07-08T19:24:55.842946+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659237351972949268_comment_0,[Sticker],https://www.tiktok.com/@pemuda.qowwiy/video/7659237351972949268,7659237351972949268,neutral,2026-07-08T19:24:56.175501+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659237351972949268_comment_1,[Sticker],https://www.tiktok.com/@pemuda.qowwiy/video/7659237351972949268,7659237351972949268,neutral,2026-07-08T19:24:56.175527+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659268535373401365_comment_0,[Sticker],https://www.tiktok.com/@cikgumala_johor/video/7659268535373401365,7659268535373401365,neutral,2026-07-08T19:24:56.500039+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659268535373401365_comment_1,[Sticker],https://www.tiktok.com/@cikgumala_johor/video/7659268535373401365,7659268535373401365,neutral,2026-07-08T19:24:56.500077+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659250990855490834_comment_0,[Sticker],https://www.tiktok.com/@11sh112/video/7659250990855490834,7659250990855490834,neutral,2026-07-08T19:24:56.817716+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659250990855490834_comment_1,[Sticker],https://www.tiktok.com/@11sh112/video/7659250990855490834,7659250990855490834,neutral,2026-07-08T19:24:56.817759+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659328170654502152_comment_0,[Sticker],https://www.tiktok.com/@11sh112/video/7659328170654502152,7659328170654502152,neutral,2026-07-08T19:24:57.147664+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659328170654502152_comment_1,[Sticker],https://www.tiktok.com/@11sh112/video/7659328170654502152,7659328170654502152,neutral,2026-07-08T19:24:57.147700+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659774096204401941_comment_0,[Sticker],https://www.tiktok.com/@cikgumala_johor/video/7659774096204401941,7659774096204401941,neutral,2026-07-08T19:24:57.456241+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659774096204401941_comment_1,[Sticker],https://www.tiktok.com/@cikgumala_johor/video/7659774096204401941,7659774096204401941,neutral,2026-07-08T19:24:57.456279+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659960106397879560_comment_0,[Sticker],https://www.tiktok.com/@dr_riduan/video/7659960106397879560,7659960106397879560,neutral,2026-07-08T19:24:57.774731+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659960106397879560_comment_1,[Sticker],https://www.tiktok.com/@dr_riduan/video/7659960106397879560,7659960106397879560,neutral,2026-07-08T19:24:57.774743+00:00,0,0,0,0,0.0,0,,,,,,
