Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
Tiktok,Duet,TIKTOK001,madani in Malaysia is really good. Worth trying!,Negative,2026-03-09,543,72,54,7577,0.16,669
Tiktok,Duet,TIKTOK002,Great experience with madani! Highly recommended in Malaysia.,Neutral,2026-03-22,468,68,33,4910,0.43,569
Tiktok,Live,TIKTOK003,madani in Malaysia is really good. Worth trying!,Neutral,2026-03-15,404,90,65,6026,0.49,559
Tiktok,Video,TIKTOK004,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-27,535,90,98,4158,0.23,723
Tiktok,Stitch,TIKTOK005,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-12,408,73,23,3813,0.17,504
Tiktok,Live,TIKTOK006,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-21,552,74,106,3115,0.36,732
Tiktok,Duet,TIKTOK007,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-27,881,97,157,8778,0.18,1135
Tiktok,Live,TIKTOK008,Just tried madani - amazing quality and value!,Positive,2026-03-21,580,160,38,7270,0.64,778
Tiktok,Video,TIKTOK009,Just tried madani - amazing quality and value!,Negative,2026-03-11,836,122,156,9524,0.11,1114
Tiktok,Stitch,TIKTOK010,Just tried madani - amazing quality and value!,Negative,2026-03-11,451,93,48,2516,0.4,592
Tiktok,Video,TIKTOK011,madani in Malaysia is really good. Worth trying!,Neutral,2026-03-08,375,43,47,4392,0.58,465
Tiktok,Duet,TIKTOK012,Just tried madani - amazing quality and value!,Negative,2026-03-08,587,157,32,3933,0.36,776
Tiktok,Live,TIKTOK013,madani in Malaysia is really good. Worth trying!,Neutral,2026-03-16,678,189,109,7607,0.53,976
Tiktok,Stitch,TIKTOK014,Just tried madani - amazing quality and value!,Positive,2026-03-29,516,78,44,7125,0.6,638
Tiktok,Video,TIKTOK015,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-03,829,121,104,10103,0.18,1054
Tiktok,Stitch,TIKTOK016,madani in Malaysia is really good. Worth trying!,Negative,2026-04-01,649,167,106,9063,0.26,922
Tiktok,Video,TIKTOK017,Great experience with madani! Highly recommended in Malaysia.,Neutral,2026-04-01,1091,147,133,6513,0.45,1371
Tiktok,Video,TIKTOK018,madani in Malaysia is really good. Worth trying!,Negative,2026-03-03,973,149,150,11361,0.23,1272
Tiktok,Duet,TIKTOK019,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-06,318,45,43,2349,0.36,406
Tiktok,Video,TIKTOK020,madani in Malaysia is really good. Worth trying!,Neutral,2026-03-19,312,81,41,1839,0.53,434
Tiktok,Live,TIKTOK021,Great experience with madani! Highly recommended in Malaysia.,Neutral,2026-03-08,1088,115,205,6835,0.45,1408
Tiktok,Video,TIKTOK022,Just tried madani - amazing quality and value!,Negative,2026-03-15,854,144,135,10381,0.28,1133
Tiktok,Live,TIKTOK023,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-23,473,90,50,2522,0.37,613
Tiktok,Duet,TIKTOK024,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-18,924,153,56,6452,0.28,1133
Tiktok,Stitch,TIKTOK025,Just tried madani - amazing quality and value!,Negative,2026-03-30,1231,247,193,10595,0.26,1671
Tiktok,Duet,TIKTOK026,madani in Malaysia is really good. Worth trying!,Negative,2026-03-21,667,132,101,6262,0.28,900
