Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,video_url,media_type,engagement_score,author,author_followers
tiktok,comment,7660108950502722824_comment_0,[Sticker] Yes,https://www.tiktok.com/@omen.othman.v/video/7660108950502722824,7660108950502722824,neutral,2026-07-09T02:55:13.494526+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7660108950502722824_comment_1,Semoga Allah beri kemenangan kpd calon PAS ustaz Khir #jomjagatiram,https://www.tiktok.com/@omen.othman.v/video/7660108950502722824,7660108950502722824,neutral,2026-07-09T02:55:13.494551+00:00,2,0,0,0,0.0,2,,,,,,
tiktok,comment,7657801867589618962_comment_0,[Sticker] Yes,https://www.tiktok.com/@muslimat_tebrau/video/7657801867589618962,7657801867589618962,neutral,2026-07-09T02:55:14.057415+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7657801867589618962_comment_1,Semoga Allah beri kemenangan kpd calon PAS ustaz Khir #jomjagatiram,https://www.tiktok.com/@muslimat_tebrau/video/7657801867589618962,7657801867589618962,neutral,2026-07-09T02:55:14.057444+00:00,2,0,0,0,0.0,2,,,,,,
tiktok,comment,7659451795705646356_comment_0,[Sticker] Yes,https://www.tiktok.com/@shukriramliofficial/video/7659451795705646356,7659451795705646356,neutral,2026-07-09T02:55:14.664116+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659451795705646356_comment_1,Semoga Allah beri kemenangan kpd calon PAS ustaz Khir #jomjagatiram,https://www.tiktok.com/@shukriramliofficial/video/7659451795705646356,7659451795705646356,neutral,2026-07-09T02:55:14.664152+00:00,2,0,0,0,0.0,2,,,,,,
tiktok,comment,7660090814227303700_comment_0,[Sticker] Yes,https://www.tiktok.com/@ustaz.idrisahmad/video/7660090814227303700,7660090814227303700,neutral,2026-07-09T02:55:15.231971+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7660090814227303700_comment_1,Semoga Allah beri kemenangan kpd calon PAS ustaz Khir #jomjagatiram,https://www.tiktok.com/@ustaz.idrisahmad/video/7660090814227303700,7660090814227303700,neutral,2026-07-09T02:55:15.231992+00:00,2,0,0,0,0.0,2,,,,,,
tiktok,comment,7655735342904937749_comment_0,[Sticker] Yes,https://www.tiktok.com/@pas_johor_bahru/video/7655735342904937749,7655735342904937749,neutral,2026-07-09T02:55:15.872288+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7655735342904937749_comment_1,Semoga Allah beri kemenangan kpd calon PAS ustaz Khir #jomjagatiram,https://www.tiktok.com/@pas_johor_bahru/video/7655735342904937749,7655735342904937749,neutral,2026-07-09T02:55:15.872312+00:00,2,0,0,0,0.0,2,,,,,,
tiktok,comment,7659796939197664533_comment_0,[Sticker] Yes,https://www.tiktok.com/@ceo.of.parlimen/video/7659796939197664533,7659796939197664533,neutral,2026-07-09T02:55:16.187059+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659796939197664533_comment_1,Semoga Allah beri kemenangan kpd calon PAS ustaz Khir #jomjagatiram,https://www.tiktok.com/@ceo.of.parlimen/video/7659796939197664533,7659796939197664533,neutral,2026-07-09T02:55:16.187078+00:00,2,0,0,0,0.0,2,,,,,,
tiktok,comment,7660148220600831250_comment_0,[Sticker] Yes,https://www.tiktok.com/@ustazazmir_05/video/7660148220600831250,7660148220600831250,neutral,2026-07-09T02:55:16.556265+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7660148220600831250_comment_1,Semoga Allah beri kemenangan kpd calon PAS ustaz Khir #jomjagatiram,https://www.tiktok.com/@ustazazmir_05/video/7660148220600831250,7660148220600831250,neutral,2026-07-09T02:55:16.556298+00:00,2,0,0,0,0.0,2,,,,,,
tiktok,comment,7659794840837770516_comment_0,[Sticker] Yes,https://www.tiktok.com/@ceo.of.parlimen/video/7659794840837770516,7659794840837770516,neutral,2026-07-09T02:55:16.863343+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659794840837770516_comment_1,Semoga Allah beri kemenangan kpd calon PAS ustaz Khir #jomjagatiram,https://www.tiktok.com/@ceo.of.parlimen/video/7659794840837770516,7659794840837770516,neutral,2026-07-09T02:55:16.863354+00:00,2,0,0,0,0.0,2,,,,,,
tiktok,comment,7659219852816616725_comment_0,[Sticker] Yes,https://www.tiktok.com/@pas_johor_bahru/video/7659219852816616725,7659219852816616725,neutral,2026-07-09T02:55:17.168371+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7659219852816616725_comment_1,Semoga Allah beri kemenangan kpd calon PAS ustaz Khir #jomjagatiram,https://www.tiktok.com/@pas_johor_bahru/video/7659219852816616725,7659219852816616725,neutral,2026-07-09T02:55:17.168382+00:00,2,0,0,0,0.0,2,,,,,,
tiktok,comment,7655613502941400328_comment_0,[Sticker] Yes,https://www.tiktok.com/@malaysiagazette/video/7655613502941400328,7655613502941400328,neutral,2026-07-09T02:55:17.499797+00:00,0,0,0,0,0.0,0,,,,,,
tiktok,comment,7655613502941400328_comment_1,Semoga Allah beri kemenangan kpd calon PAS ustaz Khir #jomjagatiram,https://www.tiktok.com/@malaysiagazette/video/7655613502941400328,7655613502941400328,neutral,2026-07-09T02:55:17.499819+00:00,2,0,0,0,0.0,2,,,,,,
