Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
Tiktok,Stitch,TIKTOK001,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-11,391,96,23,5314,0.34,510
Tiktok,Video,TIKTOK002,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-29,853,88,80,11743,0.26,1021
Tiktok,Duet,TIKTOK003,pemandu mabuk in Malaysia is really good. Worth trying!,Neutral,2026-03-24,601,74,106,8369,0.56,781
Tiktok,Duet,TIKTOK004,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Positive,2026-03-26,342,46,35,2480,0.62,423
Tiktok,Video,TIKTOK005,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-03,868,232,171,11417,0.34,1271
Tiktok,Stitch,TIKTOK006,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-11,942,242,73,6635,0.36,1257
Tiktok,Video,TIKTOK007,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-29,335,36,29,5001,0.4,400
Tiktok,Stitch,TIKTOK008,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-22,975,275,75,12261,0.11,1325
Tiktok,Duet,TIKTOK009,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-04-01,244,63,30,2522,0.33,337
Tiktok,Live,TIKTOK010,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-25,412,94,77,3337,0.18,583
Tiktok,Live,TIKTOK011,pemandu mabuk in Malaysia is really good. Worth trying!,Positive,2026-03-15,919,127,116,9270,0.63,1162
Tiktok,Video,TIKTOK012,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-08,359,78,46,3404,0.18,483
Tiktok,Live,TIKTOK013,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-16,385,78,53,4090,0.14,516
Tiktok,Stitch,TIKTOK014,pemandu mabuk in Malaysia is really good. Worth trying!,Neutral,2026-03-17,906,124,78,4789,0.45,1108
Tiktok,Video,TIKTOK015,Just tried pemandu mabuk - amazing quality and value!,Neutral,2026-03-10,886,149,151,11654,0.44,1186
Tiktok,Live,TIKTOK016,pemandu mabuk in Malaysia is really good. Worth trying!,Neutral,2026-03-10,240,66,44,3065,0.41,350
Tiktok,Stitch,TIKTOK017,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-10,879,213,133,5927,0.29,1225
Tiktok,Live,TIKTOK018,pemandu mabuk in Malaysia is really good. Worth trying!,Positive,2026-03-19,1244,297,220,10352,0.62,1761
Tiktok,Stitch,TIKTOK019,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Positive,2026-03-06,512,60,99,5876,0.61,671
Tiktok,Stitch,TIKTOK020,pemandu mabuk in Malaysia is really good. Worth trying!,Positive,2026-03-17,440,127,38,6591,0.6,605
Tiktok,Stitch,TIKTOK021,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Positive,2026-03-03,741,121,97,5156,0.62,959
Tiktok,Stitch,TIKTOK022,pemandu mabuk in Malaysia is really good. Worth trying!,Neutral,2026-03-05,777,226,88,11345,0.5,1091
Tiktok,Stitch,TIKTOK023,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-14,874,183,96,6763,0.38,1153
Tiktok,Stitch,TIKTOK024,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-04-01,394,45,76,2873,0.37,515
Tiktok,Stitch,TIKTOK025,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-28,705,201,61,7085,0.25,967
