state,post_id,platform,account_name,account_type,source_category,source_url,published_at,post_text,translated_text_bm,language_detected,constituency,dun_code,district,party_mentioned,candidate_mentioned,issue_cluster,sentiment,sentiment_score,emotion,likes,comments,shares,views,engagement_total,stance_dap,stance_mca,stance_pn,stance_bn,ethnic_sensitive_flag,religion_sensitive_flag,misinformation_flag,risk_level,query_id,jenis_suara,weight_analisis
Melaka,MLKCN-00001,Facebook,Melaka Heritage Talk,Organisation,ADUN,https://example.com/mlk/post/1,2026-05-02 10:42:58,马六甲州选，古城旅游区商家希望州政府多宣传。 #Hang,[BM] 马六甲州选，古城旅游区商家希望州政府多宣传。 #Hang (Hang Tuah Jaya),zh-CN,Hang Tuah Jaya,MLK-N14,Melaka,PH,Calon BN,SME and Business,negative,0.43,surprise,1828,142,377,,2347,,neutral,,oppose,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00002,Facebook,Melaka Biz Watch,Community,MP,https://example.com/mlk/post/2,2026-06-09 04:22:21,独中拨款和华文教育仍是热点。 #Bandar,[BM] 独中拨款和华文教育仍是热点。 #Bandar (Bandar Hilir),zh-TW,Bandar Hilir,MLK-N16,Melaka,BN,Liew Chin Tong,Chinese Education,neutral,-0.2,fear,1273,220,390,6578.0,1883,oppose,neutral,support,support,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00003,Chinese online media,Melaka Heritage Talk,Community,Chinese Media,https://example.com/mlk/post/3,2026-05-30 13:41:20,Bandar Hilir 停车位不足，居民投诉。 #Hang,[BM] Bandar Hilir 停车位不足，居民投诉。 #Hang (Hang Tuah Jaya),zh-TW,Hang Tuah Jaya,MLK-N14,Melaka,PH,Local ADUN,Local Government Services,negative,-0.08,fear,827,389,142,24409.0,1358,neutral,oppose,support,neutral,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00004,TikTok,DAP Melaka,Community,Influencer,https://example.com/mlk/post/4,2026-05-07 18:40:52,Kerajaan Melaka perlu fokus perkhidmatan Bandar Hilir. (Bandar Hilir),Kerajaan Melaka perlu fokus perkhidmatan Bandar Hilir. (Bandar Hilir),ms,Bandar Hilir,MLK-N16,Melaka,PH,Liew Chin Tong,Other,neutral,0.17,anger,4646,735,161,33217.0,5542,,support,support,support,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00005,YouTube,DAP Melaka,Media,MP,https://example.com/mlk/post/5,2026-06-03 02:15:00,独中拨款和华文教育仍是热点。 #Bukit,[BM] 独中拨款和华文教育仍是热点。 #Bukit (Bukit Katil),zh-TW,Bukit Katil,MLK-N13,Melaka,MCA,Calon PH,Chinese Education,neutral,0.27,joy,3152,390,305,35176.0,3847,support,oppose,neutral,support,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00006,Facebook,Melaka Heritage Talk,Community,MP,https://example.com/mlk/post/6,2026-05-12 14:58:55,PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Hang Tuah Jaya),PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Hang Tuah Jaya),ms,Hang Tuah Jaya,MLK-N14,Melaka,Gerakan,Anthony Loke,Cost of Living,positive,0.65,neutral,4418,797,271,39752.0,5486,support,neutral,neutral,,False,True,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00007,YouTube,Melaka Biz Watch,Individual,Chinese Media,https://example.com/mlk/post/7,2026-05-22 06:25:24,Bandar Hilir 停车位不足，居民投诉。 #Jasin,[BM] Bandar Hilir 停车位不足，居民投诉。 #Jasin (Jasin),zh-TW,Jasin,MLK-N08,Jasin,Amanah,Calon BN,Local Government Services,neutral,-0.22,trust,3466,216,276,45711.0,3958,neutral,neutral,support,support,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00008,Community pages,Melaka Biz Watch,Political,Chinese Media,https://example.com/mlk/post/8,2026-05-12 19:06:44,马六甲州选，古城旅游区商家希望州政府多宣传。 #Hang,[BM] 马六甲州选，古城旅游区商家希望州政府多宣传。 #Hang (Hang Tuah Jaya),zh-CN,Hang Tuah Jaya,MLK-N14,Melaka,DAP,Anthony Loke,SME and Business,positive,-0.17,joy,2706,72,263,44342.0,3041,oppose,,,,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00009,X,Melaka Biz Watch,Organisation,MP,https://example.com/mlk/post/9,2026-05-09 21:46:44,独中拨款和华文教育仍是热点。 #Hang,[BM] 独中拨款和华文教育仍是热点。 #Hang (Hang Tuah Jaya),zh-CN,Hang Tuah Jaya,MLK-N14,Melaka,Bersatu,Khoo Poay Tiong,Chinese Education,negative,0.62,neutral,806,62,206,7661.0,1074,support,support,support,support,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00010,Chinese online media,Melaka Biz Watch,Organisation,Chinese Media,https://example.com/mlk/post/10,2026-06-03 19:35:16,Bandar Hilir 停车位不足，居民投诉。 #Bukit,[BM] Bandar Hilir 停车位不足，居民投诉。 #Bukit (Bukit Katil),zh-TW,Bukit Katil,MLK-N13,Melaka,PH,Calon PH,Local Government Services,neutral,-0.02,trust,3285,60,84,26086.0,3429,support,oppose,support,support,False,False,False,Medium,,media_chinese,Tinggi
