record_id,account_name,person_name,account_type,coalition,political_party,parliament,dun_code,dun_name,district,facebook,tiktok,x_twitter,instagram,youtube,website,priority,verification_status,issue_cluster,suggested_search_query
SEED-0001,Account_1,Person 1,Political Party,BN,PAS,P122,N11,Lobak,Seremban,https://facebook.com/ns1,https://tiktok.com/@ns1,https://x.com/ns1,,,,High,Verified,Local Government Services,森美兰 Lobak OR PRN Negeri Sembilan Lobak
SEED-0002,Account_2,Person 2,ADUN,,PAS,P131,N18,Kuala Pilah,Kuala Pilah,https://facebook.com/ns2,https://tiktok.com/@ns2,,https://instagram.com/ns2,https://youtube.com/@ns2,,High,Pending,Flood and Drainage,森美兰 Kuala Pilah OR PRN Negeri Sembilan Kuala Pilah
SEED-0003,Account_3,Person 3,MP,BN,Amanah,P121,N08,Bahau,Jempol,,,https://x.com/ns3,https://instagram.com/ns3,https://youtube.com/@ns3,https://example.org/ns3,Low,Unverified,Chinese Education,森美兰 Bahau OR PRN Negeri Sembilan Bahau
SEED-0004,Account_4,Person 4,Community Page,PN,Amanah,P129,N29,Port Dickson,Port Dickson,,,https://x.com/ns4,https://instagram.com/ns4,https://youtube.com/@ns4,https://example.org/ns4,High,Verified,Flood and Drainage,森美兰 Port Dickson OR PRN Negeri Sembilan Port Dickson
SEED-0005,Account_5,Person 5,Political Party,BN,Amanah,P125,N24,Seremban Jaya,Seremban,,,https://x.com/ns5,https://instagram.com/ns5,https://youtube.com/@ns5,,Low,Unverified,Local Government Services,森美兰 Seremban Jaya OR PRN Negeri Sembilan Seremban Jaya
SEED-0006,Account_6,Person 6,Media,PN,,P123,N21,Bukit Kepayang,Seremban,https://facebook.com/ns6,https://tiktok.com/@ns6,https://x.com/ns6,,,,Medium,Unverified,Chinese Education,森美兰 Bukit Kepayang OR PRN Negeri Sembilan Bukit Kepayang
SEED-0007,Account_7,Person 7,Political Party,BN,BN,P126,N22,Rahang,Seremban,https://facebook.com/ns7,https://tiktok.com/@ns7,,,https://youtube.com/@ns7,,Low,Pending,Housing,森美兰 Rahang OR PRN Negeri Sembilan Rahang
SEED-0008,Account_8,Person 8,Media,PN,PAS,P122,N34,Tampin,Tampin,https://facebook.com/ns8,,,,https://youtube.com/@ns8,https://example.org/ns8,Medium,Pending,Housing,森美兰 Tampin OR PRN Negeri Sembilan Tampin
SEED-0009,Account_9,Person 9,Media,,BN,P128,N10,Nilai,Seremban,,https://tiktok.com/@ns9,https://x.com/ns9,https://instagram.com/ns9,,https://example.org/ns9,Medium,Unverified,Road and Traffic,森美兰 Nilai OR PRN Negeri Sembilan Nilai
SEED-0010,Account_10,Person 10,Media,BN,BN,P120,N11,Lobak,Seremban,https://facebook.com/ns10,https://tiktok.com/@ns10,,https://instagram.com/ns10,,https://example.org/ns10,Low,Unverified,Water Supply,森美兰 Lobak OR PRN Negeri Sembilan Lobak
SEED-0011,Account_11,Person 11,MP,BN,Amanah,P132,N18,Kuala Pilah,Kuala Pilah,,https://tiktok.com/@ns11,https://x.com/ns11,https://instagram.com/ns11,,,High,Pending,Road and Traffic,森美兰 Kuala Pilah OR PRN Negeri Sembilan Kuala Pilah
SEED-0012,Account_12,Person 12,ADUN,BN,MCA,P121,N02,Chennah,Jelebu,https://facebook.com/ns12,https://tiktok.com/@ns12,https://x.com/ns12,https://instagram.com/ns12,,,Low,Verified,SME and Business,森美兰 Chennah OR PRN Negeri Sembilan Chennah
SEED-0013,Account_13,Person 13,Community Page,Independent,PAS,P128,N24,Seremban Jaya,Seremban,https://facebook.com/ns13,https://tiktok.com/@ns13,https://x.com/ns13,,https://youtube.com/@ns13,,Low,Pending,Public Safety,森美兰 Seremban Jaya OR PRN Negeri Sembilan Seremban Jaya
SEED-0014,Account_14,Person 14,MP,PH,Amanah,P120,N11,Lobak,Seremban,https://facebook.com/ns14,,,,https://youtube.com/@ns14,,High,Verified,Road and Traffic,森美兰 Lobak OR PRN Negeri Sembilan Lobak
SEED-0015,Account_15,Person 15,MP,PN,BN,P123,N10,Nilai,Seremban,https://facebook.com/ns15,https://tiktok.com/@ns15,https://x.com/ns15,https://instagram.com/ns15,,,Medium,Pending,Local Government Services,森美兰 Nilai OR PRN Negeri Sembilan Nilai
SEED-0016,Account_16,Person 16,Media,PN,Gerakan,P126,N11,Lobak,Seremban,https://facebook.com/ns16,https://tiktok.com/@ns16,https://x.com/ns16,https://instagram.com/ns16,,,Medium,Verified,Chinese Education,森美兰 Lobak OR PRN Negeri Sembilan Lobak
SEED-0017,Account_17,Person 17,MP,,BN,P122,N23,Mambau,Seremban,https://facebook.com/ns17,,,https://instagram.com/ns17,,https://example.org/ns17,Low,Verified,Chinese Education,森美兰 Mambau OR PRN Negeri Sembilan Mambau
SEED-0018,Account_18,Person 18,Community Page,PH,MCA,P132,N22,Rasah,Seremban,https://facebook.com/ns18,,,,,,Medium,Pending,Cost of Living,森美兰 Rasah OR PRN Negeri Sembilan Rasah
SEED-0019,Account_19,Person 19,Media,PN,Gerakan,P131,N29,Port Dickson,Port Dickson,https://facebook.com/ns19,https://tiktok.com/@ns19,https://x.com/ns19,https://instagram.com/ns19,,,High,Unverified,Housing,森美兰 Port Dickson OR PRN Negeri Sembilan Port Dickson
SEED-0020,Account_20,Person 20,Political Party,PH,DAP,P129,N08,Jempol,Jempol,https://facebook.com/ns20,https://tiktok.com/@ns20,https://x.com/ns20,,,https://example.org/ns20,High,Verified,Housing,森美兰 Jempol OR PRN Negeri Sembilan Jempol
SEED-0021,Account_21,Person 21,MP,Independent,MCA,P129,N10,Nilai,Seremban,,https://tiktok.com/@ns21,https://x.com/ns21,https://instagram.com/ns21,,,Medium,Pending,Local Government Services,森美兰 Nilai OR PRN Negeri Sembilan Nilai
SEED-0022,Account_22,Person 22,Political Party,Independent,UMNO,P130,N08,Bahau,Jempol,https://facebook.com/ns22,,https://x.com/ns22,https://instagram.com/ns22,,,Low,Verified,Chinese Education,森美兰 Bahau OR PRN Negeri Sembilan Bahau
SEED-0023,Account_23,Person 23,MP,,PKR,P122,N10,Nilai,Seremban,https://facebook.com/ns23,https://tiktok.com/@ns23,https://x.com/ns23,,,https://example.org/ns23,Low,Pending,Water Supply,森美兰 Nilai OR PRN Negeri Sembilan Nilai
SEED-0024,Account_24,Person 24,Community Page,PN,MCA,P122,N18,Kuala Pilah,Kuala Pilah,,https://tiktok.com/@ns24,https://x.com/ns24,,,,Medium,Verified,Local Government Services,森美兰 Kuala Pilah OR PRN Negeri Sembilan Kuala Pilah
SEED-0025,Account_25,Person 25,Media,PN,DAP,P121,N24,Seremban Jaya,Seremban,https://facebook.com/ns25,https://tiktok.com/@ns25,,,,https://example.org/ns25,High,Pending,Public Safety,森美兰 Seremban Jaya OR PRN Negeri Sembilan Seremban Jaya
SEED-0026,Account_26,Person 26,Media,,DAP,P121,N08,Jempol,Jempol,,https://tiktok.com/@ns26,https://x.com/ns26,https://instagram.com/ns26,https://youtube.com/@ns26,,High,Pending,Flood and Drainage,森美兰 Jempol OR PRN Negeri Sembilan Jempol
SEED-0027,Account_27,Person 27,Political Party,PN,DAP,P125,N12,Temiang,Seremban,,,,https://instagram.com/ns27,https://youtube.com/@ns27,,Low,Verified,SME and Business,森美兰 Temiang OR PRN Negeri Sembilan Temiang
SEED-0028,Account_28,Person 28,MP,Independent,DAP,P122,N23,Mambau,Seremban,https://facebook.com/ns28,,https://x.com/ns28,https://instagram.com/ns28,https://youtube.com/@ns28,https://example.org/ns28,Medium,Verified,SME and Business,森美兰 Mambau OR PRN Negeri Sembilan Mambau
SEED-0029,Account_29,Person 29,ADUN,Independent,PAS,P123,N11,Lobak,Seremban,https://facebook.com/ns29,,,https://instagram.com/ns29,,,High,Unverified,Flood and Drainage,森美兰 Lobak OR PRN Negeri Sembilan Lobak
SEED-0030,Account_30,Person 30,ADUN,PN,Amanah,P130,N08,Bahau,Jempol,https://facebook.com/ns30,https://tiktok.com/@ns30,https://x.com/ns30,,,https://example.org/ns30,Medium,Unverified,SME and Business,森美兰 Bahau OR PRN Negeri Sembilan Bahau
SEED-0031,Account_31,Person 31,ADUN,PH,Gerakan,P125,N02,Jelebu,Jelebu,https://facebook.com/ns31,,https://x.com/ns31,https://instagram.com/ns31,,,Medium,Unverified,Cost of Living,森美兰 Jelebu OR PRN Negeri Sembilan Jelebu
SEED-0032,Account_32,Person 32,Community Page,,PAS,P125,N34,Tampin,Tampin,https://facebook.com/ns32,https://tiktok.com/@ns32,https://x.com/ns32,https://instagram.com/ns32,https://youtube.com/@ns32,,Medium,Verified,Employment,森美兰 Tampin OR PRN Negeri Sembilan Tampin
SEED-0033,Account_33,Person 33,Media,PN,Gerakan,P131,N02,Chennah,Jelebu,,,,https://instagram.com/ns33,https://youtube.com/@ns33,https://example.org/ns33,Low,Pending,Housing,森美兰 Chennah OR PRN Negeri Sembilan Chennah
SEED-0034,Account_34,Person 34,Community Page,PH,PKR,P124,N02,Chennah,Jelebu,,https://tiktok.com/@ns34,https://x.com/ns34,,,,Low,Unverified,Public Safety,森美兰 Chennah OR PRN Negeri Sembilan Chennah
SEED-0035,Account_35,Person 35,ADUN,PN,,P130,N21,Bukit Kepayang,Seremban,https://facebook.com/ns35,,https://x.com/ns35,https://instagram.com/ns35,https://youtube.com/@ns35,,High,Pending,SME and Business,森美兰 Bukit Kepayang OR PRN Negeri Sembilan Bukit Kepayang
SEED-0036,Account_36,Person 36,MP,Independent,MCA,P127,N21,Seremban,Seremban,https://facebook.com/ns36,https://tiktok.com/@ns36,,https://instagram.com/ns36,,,Low,Verified,Cost of Living,森美兰 Seremban OR PRN Negeri Sembilan Seremban
SEED-0037,Account_37,Person 37,MP,BN,,P127,N11,Lobak,Seremban,,,https://x.com/ns37,https://instagram.com/ns37,https://youtube.com/@ns37,,Low,Unverified,Housing,森美兰 Lobak OR PRN Negeri Sembilan Lobak
SEED-0038,Account_38,Person 38,Community Page,,Gerakan,P128,N08,Bahau,Jempol,https://facebook.com/ns38,,https://x.com/ns38,https://instagram.com/ns38,https://youtube.com/@ns38,https://example.org/ns38,Medium,Unverified,Employment,森美兰 Bahau OR PRN Negeri Sembilan Bahau
SEED-0039,Account_39,Person 39,MP,PN,BN,P121,N26,Rembau,Rembau,https://facebook.com/ns39,,,https://instagram.com/ns39,,,Medium,Pending,SME and Business,森美兰 Rembau OR PRN Negeri Sembilan Rembau
