post_id,platform,account_name,account_type,source_category,source_url,published_at,post_text,translated_text_bm,language_detected,constituency,dun_code,district,party_mentioned,candidate_mentioned,issue_cluster,sentiment,sentiment_score,emotion,likes,comments,shares,views,engagement_total,stance_dap,stance_mca,stance_pn,stance_bn,ethnic_sensitive_flag,religion_sensitive_flag,misinformation_flag,risk_level
N9CN-00001,YouTube,Sin Chew NS,Individual,Chinese Media,https://example.com/post/1,2026-05-12 07:04:10,伊党因素让部分选民担忧。 #Lobak,Faktor PAS membuat sebahagian pengundi bimbang. (Lobak),zh-CN,Lobak,N11,Seremban,PH,Calon PN,PAS Factor,neutral,0.54,sadness,1143,754,52,36241.0,1949,,neutral,,oppose,False,False,True,High
N9CN-00002,Facebook,Influencer_Amy,Political,MP,https://example.com/post/2,2026-06-09 04:22:21,伊党因素让部分选民担忧。 #Seremban,Faktor PAS membuat sebahagian pengundi bimbang. (Seremban),zh-TW,Seremban,N21,Seremban,BN,Calon BN,PAS Factor,neutral,-0.2,fear,1273,220,390,6578.0,1883,oppose,neutral,support,support,False,False,False,Medium
N9CN-00003,Chinese online media,Seremban Voice,Community,Political Party,https://example.com/post/3,2026-06-03 04:23:26,PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidup. (Mambau),PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidup. (Mambau),ms,Mambau,N23,Seremban,MCA,Calon PH,Cost of Living,negative,0.46,anger,3113,284,232,24409.0,3629,,,oppose,neutral,False,False,False,Medium
N9CN-00004,Chinese online media,Nilai Residents,Organisation,Community Page,https://example.com/post/4,2026-06-12 22:43:50,波德申旅游季，本地商家希望州政府多宣传。 #Bahau,Musim pelancongan Port Dickson — peniaga tempatan harap kerajaan negeri lebih promosi. (Bahau),zh-CN,Bahau,N08,Jempol,PN,Anthony Loke,SME and Business,negative,-0.51,sadness,3286,274,33,37670.0,3593,oppose,,,oppose,False,False,False,Critical
N9CN-00005,X,Harakah Digital,Individual,MP,https://example.com/post/5,2026-05-26 16:27:46,独中拨款和华文教育仍是热点。 #Mambau,Peruntukan sekolah Cina independen dan pendidikan Cina masih isu panas. (Mambau),zh-TW,Mambau,N23,Seremban,DAP,Calon PN,Chinese Education,neutral,0.85,neutral,898,156,321,,1375,oppose,oppose,support,oppose,False,False,False,Medium
N9CN-00006,X,DAP NS Updates,Community,ADUN,https://example.com/post/6,2026-05-08 10:04:14,年轻首投族更关注就业和房价。 #Tampin,Pengundi muda first-time lebih fokus pekerjaan dan harga rumah. (Tampin),zh-TW,Tampin,N34,Tampin,,Calon PH,Employment,positive,0.12,trust,2157,512,390,,3059,support,oppose,oppose,neutral,False,False,False,Low
N9CN-00007,Community pages,Sin Chew NS,Political,Chinese Media,https://example.com/post/7,2026-05-26 14:47:04,假消息说某候选人退选，请勿转发。 #Rasah,Maklumat palsu kata calon tarik diri — jangan kongsi. (Rasah),zh-TW,Rasah,N22,Seremban,MCA,Calon PH,Candidate Performance,negative,0.51,surprise,3981,70,389,8741.0,4440,neutral,oppose,,oppose,False,False,False,Critical
N9CN-00008,Facebook,芙蓉街坊,Individual,Chinese Media,https://example.com/post/8,2026-05-04 06:31:37,汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidup.,[BM] Campuran: 汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidu,mixed,Repah,N36,Jempol,MCA,Local ADUN,Cost of Living,positive,0.57,anger,2769,21,301,39064.0,3091,neutral,,neutral,,False,False,False,Low
N9CN-00009,Chinese online media,芙蓉街坊,Individual,Chinese Media,https://example.com/post/9,2026-05-20 13:05:16,汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 #Tampin,"Kawasan kilang Nilai — harga barang naik, pemilik PKS merungut. Komuniti Cina prihatin kos sara hidup. (Tampin)",zh-TW,Tampin,N34,Tampin,PAS,Anthony Loke,Cost of Living,positive,-0.05,joy,2902,433,210,48280.0,3545,neutral,,neutral,oppose,True,False,False,High
N9CN-00010,Instagram,Nilai Residents,Organisation,Influencer,https://example.com/post/10,2026-05-20 17:30:24,汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 #Repah,"Kawasan kilang Nilai — harga barang naik, pemilik PKS merungut. Komuniti Cina prihatin kos sara hidup. (Repah)",zh-TW,Repah,N36,Jempol,PKR,,Cost of Living,neutral,-0.09,trust,802,51,333,1467.0,1186,,oppose,,oppose,False,False,False,Low
