state,record_id,account_name,person_name,account_type,coalition,political_party,parliament,dun_code,dun_name,district,facebook,tiktok,x_twitter,instagram,youtube,website,priority,verification_status,issue_cluster,suggested_search_query
Melaka,SEED-MLK-0001,Melaka Account_1,Person 1,Community Page,PH,UMNO,P144,MLK-N01,Alor Gajah,Alor Gajah,,,,,,,Low,Pending,Water Supply,马六甲 Alor Gajah OR PRN Melaka Alor Gajah
Melaka,SEED-MLK-0002,Melaka Account_2,Person 2,Media,,Gerakan,P140,MLK-N14,Hang Tuah Jaya,Melaka,https://facebook.com/mlk2,,,,,,Low,Pending,Chinese Education,马六甲 Hang Tuah Jaya OR PRN Melaka Hang Tuah Jaya
Melaka,SEED-MLK-0003,Melaka Account_3,Person 3,ADUN,PN,DAP,P142,MLK-N12,Klebang,Melaka,https://facebook.com/mlk3,,https://x.com/mlk3,,,,High,Unverified,Cost of Living,马六甲 Klebang OR PRN Melaka Klebang
Melaka,SEED-MLK-0004,Melaka Account_4,Person 4,Media,PH,Amanah,P143,MLK-N16,Bandar Hilir,Melaka,https://facebook.com/mlk4,https://tiktok.com/@mlk4,https://x.com/mlk4,https://instagram.com/mlk4,,,Medium,Pending,Road and Traffic,马六甲 Bandar Hilir OR PRN Melaka Bandar Hilir
Melaka,SEED-MLK-0005,Melaka Account_5,Person 5,ADUN,PN,UMNO,P120,MLK-N08,Jasin,Jasin,,,https://x.com/mlk5,https://instagram.com/mlk5,,,Medium,Pending,Housing,马六甲 Jasin OR PRN Melaka Jasin
Melaka,SEED-MLK-0006,Melaka Account_6,Person 6,ADUN,PN,Amanah,P127,MLK-N13,Bukit Katil,Melaka,https://facebook.com/mlk6,https://tiktok.com/@mlk6,,https://instagram.com/mlk6,,,Low,Unverified,Public Safety,马六甲 Bukit Katil OR PRN Melaka Bukit Katil
Melaka,SEED-MLK-0007,Melaka Account_7,Person 7,MP,PH,PKR,P124,MLK-N16,Bandar Hilir,Melaka,,,,https://instagram.com/mlk7,https://youtube.com/@mlk7,,High,Verified,Cost of Living,马六甲 Bandar Hilir OR PRN Melaka Bandar Hilir
Melaka,SEED-MLK-0008,Melaka Account_8,Person 8,Political Party,PH,,P158,MLK-N12,Klebang,Melaka,https://facebook.com/mlk8,https://tiktok.com/@mlk8,,https://instagram.com/mlk8,,,Medium,Unverified,Employment,马六甲 Klebang OR PRN Melaka Klebang
Melaka,SEED-MLK-0009,Melaka Account_9,Person 9,Political Party,PN,UMNO,P128,MLK-N01,Alor Gajah,Alor Gajah,https://facebook.com/mlk9,,,https://instagram.com/mlk9,https://youtube.com/@mlk9,,High,Verified,Water Supply,马六甲 Alor Gajah OR PRN Melaka Alor Gajah
Melaka,SEED-MLK-0010,Melaka Account_10,Person 10,Political Party,,,P143,MLK-N08,Jasin,Jasin,,https://tiktok.com/@mlk10,https://x.com/mlk10,,,,Medium,Verified,SME and Business,马六甲 Jasin OR PRN Melaka Jasin
Melaka,SEED-MLK-0011,Melaka Account_11,Person 11,MP,BN,Amanah,P153,MLK-N01,Alor Gajah,Alor Gajah,,https://tiktok.com/@mlk11,https://x.com/mlk11,,,,Medium,Unverified,Flood and Drainage,马六甲 Alor Gajah OR PRN Melaka Alor Gajah
Melaka,SEED-MLK-0012,Melaka Account_12,Person 12,Community Page,Independent,PAS,P134,MLK-N01,Alor Gajah,Alor Gajah,,,https://x.com/mlk12,,,,Low,Pending,Local Government Services,马六甲 Alor Gajah OR PRN Melaka Alor Gajah
Melaka,SEED-MLK-0013,Melaka Account_13,Person 13,MP,BN,,P121,MLK-N08,Jasin,Jasin,,,https://x.com/mlk13,,https://youtube.com/@mlk13,,Medium,Verified,SME and Business,马六甲 Jasin OR PRN Melaka Jasin
Melaka,SEED-MLK-0014,Melaka Account_14,Person 14,MP,,MCA,P140,MLK-N12,Klebang,Melaka,https://facebook.com/mlk14,https://tiktok.com/@mlk14,https://x.com/mlk14,https://instagram.com/mlk14,,,High,Pending,Local Government Services,马六甲 Klebang OR PRN Melaka Klebang
Melaka,SEED-MLK-0015,Melaka Account_15,Person 15,ADUN,BN,MCA,P131,MLK-N16,Bandar Hilir,Melaka,https://facebook.com/mlk15,https://tiktok.com/@mlk15,https://x.com/mlk15,,,,Medium,Verified,Flood and Drainage,马六甲 Bandar Hilir OR PRN Melaka Bandar Hilir
Melaka,SEED-MLK-0016,Melaka Account_16,Person 16,Community Page,PN,UMNO,P139,MLK-N12,Klebang,Melaka,,,https://x.com/mlk16,https://instagram.com/mlk16,,,High,Verified,Water Supply,马六甲 Klebang OR PRN Melaka Klebang
Melaka,SEED-MLK-0017,Melaka Account_17,Person 17,Media,PN,PKR,P156,MLK-N01,Alor Gajah,Alor Gajah,https://facebook.com/mlk17,,,https://instagram.com/mlk17,https://youtube.com/@mlk17,,Medium,Unverified,Housing,马六甲 Alor Gajah OR PRN Melaka Alor Gajah
Melaka,SEED-MLK-0018,Melaka Account_18,Person 18,MP,Independent,UMNO,P142,MLK-N13,Bukit Katil,Melaka,,,,,,,Low,Unverified,Flood and Drainage,马六甲 Bukit Katil OR PRN Melaka Bukit Katil
Melaka,SEED-MLK-0019,Melaka Account_19,Person 19,MP,,PKR,P121,MLK-N16,Bandar Hilir,Melaka,,https://tiktok.com/@mlk19,https://x.com/mlk19,,https://youtube.com/@mlk19,,Medium,Verified,Public Safety,马六甲 Bandar Hilir OR PRN Melaka Bandar Hilir
Melaka,SEED-MLK-0020,Melaka Account_20,Person 20,Community Page,,DAP,P138,MLK-N01,Alor Gajah,Alor Gajah,,,https://x.com/mlk20,https://instagram.com/mlk20,,,Medium,Verified,SME and Business,马六甲 Alor Gajah OR PRN Melaka Alor Gajah
Melaka,SEED-MLK-0021,Melaka Account_21,Person 21,Media,PH,MCA,P139,MLK-N16,Bandar Hilir,Melaka,https://facebook.com/mlk21,,,https://instagram.com/mlk21,,,Medium,Pending,Chinese Education,马六甲 Bandar Hilir OR PRN Melaka Bandar Hilir
Melaka,SEED-MLK-0022,Melaka Account_22,Person 22,ADUN,,,P141,MLK-N16,Bandar Hilir,Melaka,https://facebook.com/mlk22,,https://x.com/mlk22,,,,Low,Verified,Employment,马六甲 Bandar Hilir OR PRN Melaka Bandar Hilir
Melaka,SEED-MLK-0023,Melaka Account_23,Person 23,ADUN,PH,Gerakan,P121,MLK-N01,Alor Gajah,Alor Gajah,https://facebook.com/mlk23,https://tiktok.com/@mlk23,,https://instagram.com/mlk23,https://youtube.com/@mlk23,,High,Verified,Housing,马六甲 Alor Gajah OR PRN Melaka Alor Gajah
Melaka,SEED-MLK-0024,Melaka Account_24,Person 24,Media,,DAP,P144,MLK-N08,Jasin,Jasin,https://facebook.com/mlk24,https://tiktok.com/@mlk24,https://x.com/mlk24,https://instagram.com/mlk24,,,High,Pending,Employment,马六甲 Jasin OR PRN Melaka Jasin
Melaka,SEED-MLK-0025,Melaka Account_25,Person 25,Community Page,BN,PAS,P126,MLK-N01,Alor Gajah,Alor Gajah,,,,https://instagram.com/mlk25,,,High,Verified,Housing,马六甲 Alor Gajah OR PRN Melaka Alor Gajah
Melaka,SEED-MLK-0026,Melaka Account_26,Person 26,Community Page,PH,Amanah,P132,MLK-N08,Jasin,Jasin,https://facebook.com/mlk26,https://tiktok.com/@mlk26,,,,,High,Unverified,Local Government Services,马六甲 Jasin OR PRN Melaka Jasin
Melaka,SEED-MLK-0027,Melaka Account_27,Person 27,Media,PN,Gerakan,P141,MLK-N08,Jasin,Jasin,https://facebook.com/mlk27,,,https://instagram.com/mlk27,,,Medium,Unverified,SME and Business,马六甲 Jasin OR PRN Melaka Jasin
Melaka,SEED-MLK-0028,Melaka Account_28,Person 28,Media,,MCA,P137,MLK-N16,Bandar Hilir,Melaka,https://facebook.com/mlk28,https://tiktok.com/@mlk28,,https://instagram.com/mlk28,https://youtube.com/@mlk28,,Medium,Unverified,Cost of Living,马六甲 Bandar Hilir OR PRN Melaka Bandar Hilir
