state,record_id,account_name,person_name,account_type,coalition,political_party,parliament,dun_code,dun_name,district,facebook,tiktok,x_twitter,instagram,youtube,website,priority,verification_status,issue_cluster,suggested_search_query
Johor,SEED-JHR-0001,Johor Account_1,Person 1,MP,Independent,Amanah,P126,JHR-N48,Johor Bahru,Johor Bahru,https://facebook.com/jhr1,,,https://instagram.com/jhr1,,,Low,Unverified,Flood and Drainage,柔佛 Johor Bahru OR PRN Johor Johor Bahru
Johor,SEED-JHR-0002,Johor Account_2,Person 2,ADUN,PH,MCA,P144,JHR-N09,Kluang,Kluang,,,https://x.com/jhr2,,,,Low,Verified,Water Supply,柔佛 Kluang OR PRN Johor Kluang
Johor,SEED-JHR-0003,Johor Account_3,Person 3,ADUN,PH,DAP,P131,JHR-N49,Skudai,Johor Bahru,https://facebook.com/jhr3,https://tiktok.com/@jhr3,,https://instagram.com/jhr3,,,High,Unverified,Housing,柔佛 Skudai OR PRN Johor Skudai
Johor,SEED-JHR-0004,Johor Account_4,Person 4,Community Page,Independent,Amanah,P141,JHR-N48,Johor Bahru,Johor Bahru,https://facebook.com/jhr4,https://tiktok.com/@jhr4,,https://instagram.com/jhr4,https://youtube.com/@jhr4,,High,Verified,Housing,柔佛 Johor Bahru OR PRN Johor Johor Bahru
Johor,SEED-JHR-0005,Johor Account_5,Person 5,MP,,MCA,P155,JHR-N18,Batu Pahat,Batu Pahat,https://facebook.com/jhr5,,https://x.com/jhr5,https://instagram.com/jhr5,,,Medium,Unverified,Cost of Living,柔佛 Batu Pahat OR PRN Johor Batu Pahat
Johor,SEED-JHR-0006,Johor Account_6,Person 6,Community Page,PH,Amanah,P128,JHR-N52,Pontian,Pontian,https://facebook.com/jhr6,https://tiktok.com/@jhr6,https://x.com/jhr6,https://instagram.com/jhr6,,,Low,Unverified,Employment,柔佛 Pontian OR PRN Johor Pontian
Johor,SEED-JHR-0007,Johor Account_7,Person 7,Community Page,PH,UMNO,P120,JHR-N09,Kluang,Kluang,,https://tiktok.com/@jhr7,https://x.com/jhr7,,,,Medium,Unverified,Chinese Education,柔佛 Kluang OR PRN Johor Kluang
Johor,SEED-JHR-0008,Johor Account_8,Person 8,Political Party,Independent,Amanah,P144,JHR-N04,Segamat,Segamat,,,https://x.com/jhr8,https://instagram.com/jhr8,https://youtube.com/@jhr8,,High,Unverified,Housing,柔佛 Segamat OR PRN Johor Segamat
Johor,SEED-JHR-0009,Johor Account_9,Person 9,Community Page,,Gerakan,P140,JHR-N09,Kluang,Kluang,https://facebook.com/jhr9,,https://x.com/jhr9,https://instagram.com/jhr9,,,Low,Unverified,Cost of Living,柔佛 Kluang OR PRN Johor Kluang
Johor,SEED-JHR-0010,Johor Account_10,Person 10,MP,PN,PAS,P133,JHR-N50,Kulai,Kulai,https://facebook.com/jhr10,https://tiktok.com/@jhr10,,,,,High,Unverified,Cost of Living,柔佛 Kulai OR PRN Johor Kulai
Johor,SEED-JHR-0011,Johor Account_11,Person 11,Community Page,,,P152,JHR-N48,Johor Bahru,Johor Bahru,https://facebook.com/jhr11,https://tiktok.com/@jhr11,,,https://youtube.com/@jhr11,,High,Pending,Local Government Services,柔佛 Johor Bahru OR PRN Johor Johor Bahru
Johor,SEED-JHR-0012,Johor Account_12,Person 12,MP,PH,Gerakan,P132,JHR-N48,Johor Bahru,Johor Bahru,https://facebook.com/jhr12,,,,,,Low,Verified,SME and Business,柔佛 Johor Bahru OR PRN Johor Johor Bahru
Johor,SEED-JHR-0013,Johor Account_13,Person 13,MP,BN,PAS,P135,JHR-N04,Segamat,Segamat,,,https://x.com/jhr13,,https://youtube.com/@jhr13,,High,Pending,Public Safety,柔佛 Segamat OR PRN Johor Segamat
Johor,SEED-JHR-0014,Johor Account_14,Person 14,Political Party,BN,DAP,P133,JHR-N14,Muar,Muar,https://facebook.com/jhr14,https://tiktok.com/@jhr14,,https://instagram.com/jhr14,,,Medium,Verified,Public Safety,柔佛 Muar OR PRN Johor Muar
Johor,SEED-JHR-0015,Johor Account_15,Person 15,Community Page,Independent,,P159,JHR-N18,Batu Pahat,Batu Pahat,https://facebook.com/jhr15,,https://x.com/jhr15,,https://youtube.com/@jhr15,,Low,Pending,SME and Business,柔佛 Batu Pahat OR PRN Johor Batu Pahat
Johor,SEED-JHR-0016,Johor Account_16,Person 16,ADUN,PH,PAS,P132,JHR-N48,Johor Bahru,Johor Bahru,https://facebook.com/jhr16,https://tiktok.com/@jhr16,https://x.com/jhr16,https://instagram.com/jhr16,,,Medium,Pending,Public Safety,柔佛 Johor Bahru OR PRN Johor Johor Bahru
Johor,SEED-JHR-0017,Johor Account_17,Person 17,ADUN,PN,BN,P148,JHR-N09,Kluang,Kluang,https://facebook.com/jhr17,,,,,,High,Unverified,Flood and Drainage,柔佛 Kluang OR PRN Johor Kluang
Johor,SEED-JHR-0018,Johor Account_18,Person 18,Political Party,BN,PAS,P149,JHR-N52,Pontian,Pontian,,,,https://instagram.com/jhr18,,,Low,Unverified,Cost of Living,柔佛 Pontian OR PRN Johor Pontian
Johor,SEED-JHR-0019,Johor Account_19,Person 19,MP,BN,PAS,P128,JHR-N49,Skudai,Johor Bahru,,https://tiktok.com/@jhr19,https://x.com/jhr19,https://instagram.com/jhr19,https://youtube.com/@jhr19,,Medium,Unverified,Public Safety,柔佛 Skudai OR PRN Johor Skudai
Johor,SEED-JHR-0020,Johor Account_20,Person 20,MP,PN,MCA,P152,JHR-N09,Kluang,Kluang,https://facebook.com/jhr20,,,https://instagram.com/jhr20,https://youtube.com/@jhr20,,High,Pending,SME and Business,柔佛 Kluang OR PRN Johor Kluang
Johor,SEED-JHR-0021,Johor Account_21,Person 21,ADUN,Independent,BN,P160,JHR-N04,Segamat,Segamat,https://facebook.com/jhr21,,https://x.com/jhr21,,https://youtube.com/@jhr21,,Medium,Unverified,Public Safety,柔佛 Segamat OR PRN Johor Segamat
Johor,SEED-JHR-0022,Johor Account_22,Person 22,ADUN,BN,BN,P125,JHR-N48,Stulang,Johor Bahru,https://facebook.com/jhr22,https://tiktok.com/@jhr22,,https://instagram.com/jhr22,,,High,Unverified,Water Supply,柔佛 Stulang OR PRN Johor Stulang
Johor,SEED-JHR-0023,Johor Account_23,Person 23,ADUN,,Amanah,P131,JHR-N14,Muar,Muar,,,,,,,High,Verified,Chinese Education,柔佛 Muar OR PRN Johor Muar
Johor,SEED-JHR-0024,Johor Account_24,Person 24,MP,,PAS,P135,JHR-N50,Kulai,Kulai,,,https://x.com/jhr24,,,,Low,Verified,Employment,柔佛 Kulai OR PRN Johor Kulai
Johor,SEED-JHR-0025,Johor Account_25,Person 25,Political Party,Independent,UMNO,P130,JHR-N50,Kulai,Kulai,https://facebook.com/jhr25,,https://x.com/jhr25,https://instagram.com/jhr25,https://youtube.com/@jhr25,,Medium,Unverified,Road and Traffic,柔佛 Kulai OR PRN Johor Kulai
Johor,SEED-JHR-0026,Johor Account_26,Person 26,Community Page,BN,BN,P147,JHR-N52,Pontian,Pontian,https://facebook.com/jhr26,https://tiktok.com/@jhr26,https://x.com/jhr26,https://instagram.com/jhr26,https://youtube.com/@jhr26,,Medium,Unverified,Cost of Living,柔佛 Pontian OR PRN Johor Pontian
Johor,SEED-JHR-0027,Johor Account_27,Person 27,ADUN,Independent,MCA,P149,JHR-N49,Skudai,Johor Bahru,,,https://x.com/jhr27,https://instagram.com/jhr27,https://youtube.com/@jhr27,,Low,Verified,Flood and Drainage,柔佛 Skudai OR PRN Johor Skudai
Johor,SEED-JHR-0028,Johor Account_28,Person 28,ADUN,BN,Amanah,P143,JHR-N50,Kulai,Kulai,,,,https://instagram.com/jhr28,,,High,Unverified,Flood and Drainage,柔佛 Kulai OR PRN Johor Kulai
Johor,SEED-JHR-0029,Johor Account_29,Person 29,ADUN,BN,MCA,P155,JHR-N48,Johor Bahru,Johor Bahru,https://facebook.com/jhr29,,https://x.com/jhr29,,https://youtube.com/@jhr29,,Low,Pending,Road and Traffic,柔佛 Johor Bahru OR PRN Johor Johor Bahru
Johor,SEED-JHR-0030,Johor Account_30,Person 30,Media,,DAP,P148,JHR-N14,Muar,Muar,https://facebook.com/jhr30,,https://x.com/jhr30,,,,Medium,Unverified,Employment,柔佛 Muar OR PRN Johor Muar
Johor,SEED-JHR-0031,Johor Account_31,Person 31,Political Party,Independent,PKR,P122,JHR-N18,Batu Pahat,Batu Pahat,,https://tiktok.com/@jhr31,,,,,Medium,Verified,Cost of Living,柔佛 Batu Pahat OR PRN Johor Batu Pahat
Johor,SEED-JHR-0032,Johor Account_32,Person 32,ADUN,Independent,Amanah,P143,JHR-N50,Kulai,Kulai,https://facebook.com/jhr32,,,,https://youtube.com/@jhr32,,High,Pending,Public Safety,柔佛 Kulai OR PRN Johor Kulai
Johor,SEED-JHR-0033,Johor Account_33,Person 33,Media,BN,PAS,P158,JHR-N09,Kluang,Kluang,https://facebook.com/jhr33,,https://x.com/jhr33,,,,Medium,Unverified,Chinese Education,柔佛 Kluang OR PRN Johor Kluang
Johor,SEED-JHR-0034,Johor Account_34,Person 34,Media,,BN,P136,JHR-N04,Segamat,Segamat,https://facebook.com/jhr34,https://tiktok.com/@jhr34,https://x.com/jhr34,https://instagram.com/jhr34,https://youtube.com/@jhr34,,High,Pending,Cost of Living,柔佛 Segamat OR PRN Johor Segamat
Johor,SEED-JHR-0035,Johor Account_35,Person 35,Political Party,BN,Amanah,P159,JHR-N48,Johor Bahru,Johor Bahru,https://facebook.com/jhr35,,https://x.com/jhr35,https://instagram.com/jhr35,,,High,Verified,Water Supply,柔佛 Johor Bahru OR PRN Johor Johor Bahru
