state,post_id,platform,account_name,account_type,source_category,source_url,published_at,post_text,translated_text_bm,language_detected,constituency,dun_code,district,party_mentioned,candidate_mentioned,issue_cluster,sentiment,sentiment_score,emotion,likes,comments,shares,views,engagement_total,stance_dap,stance_mca,stance_pn,stance_bn,ethnic_sensitive_flag,religion_sensitive_flag,misinformation_flag,risk_level,query_id,jenis_suara,weight_analisis
Johor,JHRCN-00001,YouTube,Sin Chew Johor,Community,Chinese Media,https://example.com/jhr/post/1,2026-05-25 12:46:53,华文教育拨款仍是热点。 #Stulang,[BM] 华文教育拨款仍是热点。 #Stulang (Stulang),zh-CN,Stulang,JHR-N48,Johor Bahru,Gerakan,Liew Chin Tong,Chinese Education,positive,-0.01,sadness,839,692,379,6197.0,1910,oppose,support,neutral,,False,True,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00002,Facebook,MCA Johor,Individual,Community Page,https://example.com/jhr/post/2,2026-05-27 00:45:03,PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Muar),PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Muar),ms,Muar,JHR-N14,Muar,PN,Calon PN,Cost of Living,positive,0.45,surprise,837,94,194,,1125,support,support,neutral,oppose,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00003,Chinese online media,JB Community Voice,Organisation,Public User,https://example.com/jhr/post/3,2026-05-26 22:19:05,柔佛州选临近，新山市区塞车严重。 #Stulang,[BM] 柔佛州选临近，新山市区塞车严重。 #Stulang (Stulang),zh-TW,Stulang,JHR-N48,Johor Bahru,UMNO,Liew Chin Tong,Road and Traffic,neutral,0.05,surprise,2988,166,189,44420.0,3343,neutral,oppose,support,neutral,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00004,TikTok,Skudai Residents,Community,Community Page,https://example.com/jhr/post/4,2026-05-07 18:40:52,Kerajaan Johor perlu tangani isu trafik Skudai. (Johor Bahru),Kerajaan Johor perlu tangani isu trafik Skudai. (Johor Bahru),ms,Johor Bahru,JHR-N48,Johor Bahru,PH,Liew Chin Tong,Other,neutral,0.87,joy,4646,735,161,33217.0,5542,oppose,neutral,neutral,,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00005,Chinese online media,Sin Chew Johor,Community,Community Page,https://example.com/jhr/post/5,2026-06-03 00:35:15,柔佛州选临近，新山市区塞车严重。 #Stulang,[BM] 柔佛州选临近，新山市区塞车严重。 #Stulang (Stulang),zh-CN,Stulang,JHR-N48,Johor Bahru,Gerakan,Calon PN,Road and Traffic,positive,-0.15,joy,3458,610,32,39552.0,4100,neutral,,support,oppose,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00006,YouTube,DAP Johor,Political,ADUN,https://example.com/jhr/post/6,2026-05-01 00:39:58,DAP Johor perlu fokus perkhidmatan bandar. #Segamat,[BM] DAP Johor perlu fokus perkhidmatan bandar. #Segamat (Segamat),zh-TW,Segamat,JHR-N04,Segamat,Bersatu,Anthony Loke,DAP Performance,negative,0.86,neutral,2444,654,259,10516.0,3357,oppose,neutral,support,neutral,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00007,Community pages,JB Community Voice,Media,Influencer,https://example.com/jhr/post/7,2026-05-27 04:19:31,Stulang 区水供不稳定，居民投诉。 #Stulang,[BM] Stulang 区水供不稳定，居民投诉。 #Stulang (Stulang),zh-CN,Stulang,JHR-N48,Johor Bahru,PKR,Calon PN,Water Supply,negative,-0.12,sadness,1030,131,337,36531.0,1498,,support,neutral,neutral,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00008,YouTube,JB Community Voice,Media,Public User,https://example.com/jhr/post/8,2026-05-04 10:33:17,PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Stulang),PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Stulang),ms,Stulang,JHR-N48,Johor Bahru,PH,Calon BN,Cost of Living,neutral,0.4,surprise,4820,225,3,,5048,,neutral,,,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00009,X,Sin Chew Johor,Organisation,Chinese Media,https://example.com/jhr/post/9,2026-06-05 08:25:49,柔佛州选临近，新山市区塞车严重。 #Kulai,[BM] 柔佛州选临近，新山市区塞车严重。 #Kulai (Kulai),zh-CN,Kulai,JHR-N50,Kulai,PN,Calon BN,Road and Traffic,negative,0.07,anger,3469,420,239,4050.0,4128,,neutral,oppose,,False,False,False,Critical,,media_chinese,Tinggi
Johor,JHRCN-00010,Instagram,MCA Johor,Organisation,Influencer,https://example.com/jhr/post/10,2026-05-20 17:30:24,Stulang 区水供不稳定，居民投诉。 #Kulai,[BM] Stulang 区水供不稳定，居民投诉。 #Kulai (Kulai),zh-CN,Kulai,JHR-N50,Kulai,PKR,,Water Supply,negative,-0.67,trust,802,51,333,1467.0,1186,,oppose,,oppose,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00011,YouTube,Sin Chew Johor,Organisation,MP,https://example.com/jhr/post/11,2026-05-03 18:16:10,士古来工厂区物价上涨，商家叫苦。 PRN Johor: komuniti Cina bincang kos sara hidup di JB.,[BM] 士古来工厂区物价上涨，商家叫苦。 PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Kluang),mixed,Kluang,JHR-N09,Kluang,PH,Anthony Loke,Cost of Living,positive,0.58,anger,479,593,376,49519.0,1448,,support,neutral,support,False,True,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00012,Instagram,Skudai Residents,Community,MP,https://example.com/jhr/post/12,2026-05-01 10:51:11,SME owners in Kulai worry about rising costs. — Stulang,SME owners in Kulai worry about rising costs. — Stulang,en,Stulang,JHR-N48,Johor Bahru,PH,Anthony Loke,SME and Business,negative,0.08,sadness,2573,244,135,44519.0,2952,oppose,neutral,oppose,support,False,False,False,Medium,,media_chinese,Tinggi
