Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,QueryID,Negeri,Jenis_Suara,Weight_Analisis,SeedQuery,StreamLabel
news,post,9aa9152b1f6ab319,DAP also sees dissolving assembly as best way to resolve Negeri Sembilan crisis. DAP also sees dissolving assembly as best way to resolve Negeri Sembilan crisis&nbsp;&nbsp;Free Malaysia Today,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOdVBUSlEtRkx5SjM5THhBdXFRMjFvajJQeW8xWWhLYnp2U0s4N0xrelotSzJybVlReWZSX014aFFoZEhvekQ4LWp2bm5TbXJhRnBLel9DVEZsUVZKejlPUV9JLXhSNzdBUnNmaE5pSU5VeWhoX2dPYjNkTVJWZUx1cXlQczdNRkhyUUYzUjdINUFlZkJTQTR0dzk3MVlIQi1PelJablh0M2c1bUJTX1k0aG1qNDZVMzRaa2JyTGR5TWhudjQ5djNQYmgxQU1ScWNNekw1RkRfSQ?oc=5,,2026-05-24T07:00:00+00:00,0,0,0,0,0.0,0,S1B1,Negeri Sembilan,party_official,Tinggi,"DAP OR ""Pakatan Harapan"" ""Negeri Sembilan"" PRN when:30d",DAP/PH NS
news,post,b1086dcd1273480c,Negeri Sembilan State Assembly Dissolved To Pave Way For State Election. Negeri Sembilan State Assembly Dissolved To Pave Way For State Election&nbsp;&nbsp;Bernama,https://news.google.com/rss/articles/CBMiVEFVX3lxTE05ZDJwZFJQNHFrNk9Vd0wtY0tnNWMycThaajZUdHJNT2NSM1dBVG96bDQxMUxQRXpYZ1ZOalVDb1hqOFBqaE9LM3EtcDd3cnVQMTQ4VA?oc=5,,2026-06-04T16:04:28+00:00,0,0,0,0,0.0,0,S1B1,Negeri Sembilan,party_official,Tinggi,"DAP OR ""Pakatan Harapan"" ""Negeri Sembilan"" PRN when:30d",DAP/PH NS
news,post,09560346b946dcc9,DAP to contest 17 seats in Johor state election - Loke. DAP to contest 17 seats in Johor state election - Loke&nbsp;&nbsp;The Vibes,https://news.google.com/rss/articles/CBMinwFBVV95cUxOMnJnbWh3Y2g4YWljaVd1LWkyT2xfQjFnbGNuTXRNN3pWbFliSXBqS3ZJZEdSLWl5dGFwdEhGdkFSV1pweG5yVGl0SXVSUVJaYjN4SG1SenBGem1WOVA0VTd1eml5N2I5NGVkWFI0YnlQSGthbV93bjFSdXpnNkNidkdYZnZfaEJHQmNjc2VhRm4xY3BLNHVuZGJRcXN2bDg?oc=5,,2026-06-07T07:10:00+00:00,0,0,0,0,0.0,0,S1B1,Negeri Sembilan,party_official,Tinggi,"DAP OR ""Pakatan Harapan"" ""Negeri Sembilan"" PRN when:30d",DAP/PH NS
news,post,dc3ab1e1109db741,Negeri Sembilan DAP man plays down last-minute PH meeting. Negeri Sembilan DAP man plays down last-minute PH meeting&nbsp;&nbsp;Free Malaysia Today,https://news.google.com/rss/articles/CBMiugFBVV95cUxPc1p6Y25nQ2FJSG4tNFlWVks2VVc0a2RpRzdJWWZRdEJyT0M3T1lKQVVjZVAwc2dEeThYUjRld0Fhc3FuMC1MSUplYUFPMnZmSlJaa1JYdFU1LVliMG8waFEwVDlXYVdBSzhsZEtoQk1hVW5jS2tBdXNIeFk2MmRfSzBMYUlnVDg0ZktYcGw5aFhPTTlDQjE4VmVvcmE1dEJVd18zbWpfX3lDb0FqanlEbmtzVkpmRF9ibFE?oc=5,,2026-06-02T07:00:00+00:00,0,0,0,0,0.0,0,S1B1,Negeri Sembilan,party_official,Tinggi,"DAP OR ""Pakatan Harapan"" ""Negeri Sembilan"" PRN when:30d",DAP/PH NS
news,post,16b76be29bd9c763,BN to contest solo in Negeri Sembilan state election - Ahmad Zahid. BN to contest solo in Negeri Sembilan state election - Ahmad Zahid&nbsp;&nbsp;The Vibes,https://news.google.com/rss/articles/CBMirwFBVV95cUxQd2pvZEtvRkVJR3hZZFRIeldlbnV5Ry02NXdSem95LUFNblNnY2xTcXBsY18zS29pRVdrSU03bTlBRmx6WFB5VDBOMnlzcGlNRVd5TGplVFI1bzRONGFYWW9GaXl0OU41SV95b1JoZHpSSEF6d3VhbUhQdElYTDdqdWl0UElOZi1GUm5RSU9MZ2F2S0JuNE5hNHBmQ0k2TW1rUENfaHVrZm44NFJadHln?oc=5,,2026-06-09T09:26:00+00:00,0,0,0,0,0.0,0,S1B1,Negeri Sembilan,party_official,Tinggi,"DAP OR ""Pakatan Harapan"" ""Negeri Sembilan"" PRN when:30d",DAP/PH NS
news,post,48bd38b43f0ce43e,PH cybertrooper raises highly suspicious questions over state election dates. PH cybertrooper raises highly suspicious questions over state election dates&nbsp;&nbsp;Focus Malaysia,https://news.google.com/rss/articles/CBMipAFBVV95cUxNYUVlQ1JZQjRMWmdST0dxSl9zdThiT1EzY2FHaDFNLTRScThtbFh2V1Nhd0RqdW9NZlE3ek52cm5YT0stRFA1RGM5OUdwb2lMcjJZSDlHN3I2SUFxY1Ffai1qclJsVDFDdGxlMFpoNURxQ0Nibm14VnZxYTBjazlMcFUyd3RFTkg2SGcwckFqVU5WSUpxd2NZLXVHTURWSG8wZm9IUQ?oc=5,,2026-06-13T10:06:26+00:00,0,0,0,0,0.0,0,S1B1,Negeri Sembilan,party_official,Tinggi,"DAP OR ""Pakatan Harapan"" ""Negeri Sembilan"" PRN when:30d",DAP/PH NS
news,post,84f93ff4e37725a1,"Risiko terlalu besar jika tak panggil PRN Negeri Sembilan, kata Loke. Risiko terlalu besar jika tak panggil PRN Negeri Sembilan, kata Loke&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiYkFVX3lxTE51YmJMT0RXRWxTVXl4dHJxbXFldFlUSExrUWZnLVlrcFNPdlhTaEhqdWhiWXdPajc5SjhycE5PMTZDNFpvdU8tOVBDVHBuM3V4MEdsbjVHWW9wLTA1ZTN3cXNR?oc=5,,2026-06-08T09:35:24+00:00,0,0,0,0,0.0,0,S1B1,Negeri Sembilan,party_official,Tinggi,"DAP OR ""Pakatan Harapan"" ""Negeri Sembilan"" PRN when:30d",DAP/PH NS
news,post,de16010fd2b72378,Negeri Sembilan DAP to bank on incumbents for state polls. Negeri Sembilan DAP to bank on incumbents for state polls&nbsp;&nbsp;Free Malaysia Today,https://news.google.com/rss/articles/CBMiYkFVX3lxTE1BckUtRk9iQzNINHN1MW1wT0RjR3UtaXp2ekJ5dlU5LWJLMGRSTjlwTHB2dkFRa0xONEJQSUhZay1vSVFPclBpZC1JOWN1WEl5LVpwSEthaDRhS1R4dEY2Q1d3?oc=5,,2026-06-10T10:45:28+00:00,0,0,0,0,0.0,0,S1B1,Negeri Sembilan,party_official,Tinggi,"DAP OR ""Pakatan Harapan"" ""Negeri Sembilan"" PRN when:30d",DAP/PH NS
news,post,ea044faf6899d142,Negeri Sembilan DAP to bank on incumbents for state polls. Negeri Sembilan DAP to bank on incumbents for state polls&nbsp;&nbsp;Free Malaysia Today,https://news.google.com/rss/articles/CBMiugFBVV95cUxNV3ZrMnhDTWpBYjdPNk1DcGtiTFRfaHkwNlZVUl9ycjM4LTNScmktcEZoS01XMzN0dE9mZklKV3B2QVFZbmJqdk5pTFJPdzNUWXRKeEtxMW1jYkRJbWV2Q2RBUjVpVEZsSDBKRVd1Rkd0RVdkdjBnUnpPMjlSTmRwam9OWV9PUGQtZFlLelV6b3Vlb3RHR2ZOSVV2OTFvMUlvNmhHbThzZlF5Nk1GdWZYcGRqY0JGcTZWRUE?oc=5,,2026-06-10T07:06:28+00:00,0,0,0,0,0.0,0,S1B1,Negeri Sembilan,party_official,Tinggi,"DAP OR ""Pakatan Harapan"" ""Negeri Sembilan"" PRN when:30d",DAP/PH NS
news,post,363c59ec55bead64,"Too risky not to call for polls in Negeri Sembilan, says Loke. Too risky not to call for polls in Negeri Sembilan, says Loke&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiYkFVX3lxTE1fdl82Z2VEUTl1V1N0Y3VWRVBISDhNbWpCOC1TcHpvd21GdWp5eF8zR05SemlfUGtZaGJDZVNtNmxxeXhNMkVtcElFRUNfaGNHVTh4bTNCVWl2cEVqVmthQXVR?oc=5,,2026-06-08T09:11:22+00:00,0,0,0,0,0.0,0,S1B1,Negeri Sembilan,party_official,Tinggi,"DAP OR ""Pakatan Harapan"" ""Negeri Sembilan"" PRN when:30d",DAP/PH NS
