Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,thumbnail_url
facebook,post,1580416710315356,"SENARAI CALON PAS PERIKATAN NASIONAL BAGI PILIHANRAYA NEGERI (PRN) NEGERI JOHOR

N02 JEMENTAH SAIFULLAH ABDUL WAHAB
N05 TENANG - Cikgu Mala 
N13 SIMPANG JERAM ARSHED YAHYA
N15 MAHARANI MOHAMAD ANUAR HAYAN 
N16 SUNGAI BALANG MOHD AMIN SAILAN
N17 SEMERAH HALIM KEPOL
N18 SRI MEDAN AHMAD ROSDI BAHARI
N31 KAHANG HJ MAZLAN BUJANG
N32 ENDAU HASNUL HAKIMI HUSSIEN
N35 PASIR RAJA - Yuhanita Yunan 
N40 TIRAM KHIRUL MUNTANAZAR ISMAIL 

Siiru 'Ala Barakatillah.
Bangsa Johor, Undilah Perikatan Nasional. 🇲🇾

#PRNJohor #PerikatanNasional #BerkatPrihatinSejahtera",https://www.facebook.com/paskawasanbangi/posts/pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,,,neutral,2026-06-25T15:23:24+00:00,0,0,21,0,0.0,21,63.0,,,
facebook,comment,Y29tbWVudDoxNTgwNDE2NzEwMzE1MzU2XzIwMDMwMjM0MzcwMDczODQ=,,,https://www.facebook.com/paskawasanbangi/posts/pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,neutral,2026-06-26T02:23:28.000Z,2,0,1,0,0.0,4,,Tok Janggut,0.0,
facebook,comment,Y29tbWVudDoxNTgwNDE2NzEwMzE1MzU2XzE5MDkwNTU1OTA0ODA1NDE=,Mudah² an dibukakan pintu² kemenangan,,https://www.facebook.com/paskawasanbangi/posts/pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,neutral,2026-06-25T21:23:54.000Z,5,0,2,0,0.0,9,,Ckin Asim,0.0,
facebook,comment,Y29tbWVudDoxNTgwNDE2NzEwMzE1MzU2Xzk0NjYyNjg5NTA4ODI5NA==,Insyaallah boleh menang,,https://www.facebook.com/paskawasanbangi/posts/pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,neutral,2026-06-26T05:22:03.000Z,1,0,1,0,0.0,3,,Sanglang Syah,0.0,
facebook,comment,Y29tbWVudDoxNTgwNDE2NzEwMzE1MzU2XzI1MDQ0NDk3MjMzMjYzNDg=,Tahniah dan insya Allah monang,,https://www.facebook.com/paskawasanbangi/posts/pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,neutral,2026-06-25T15:51:29.000Z,2,0,1,0,0.0,4,,Mohdnorzil Norfasya,0.0,
facebook,comment,Y29tbWVudDoxNTgwNDE2NzEwMzE1MzU2XzE4MzI0ODQ3NjEwNTAxODY=,Allahuakbar.....Allahuakbar...Allahuakbar,,https://www.facebook.com/paskawasanbangi/posts/pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,neutral,2026-06-26T01:57:31.000Z,1,0,1,0,0.0,3,,Seri Salmiah,0.0,
facebook,comment,Y29tbWVudDoxNTgwNDE2NzEwMzE1MzU2XzE3MTE2OTMxODk4NjU2NTY=,,,https://www.facebook.com/paskawasanbangi/posts/pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,neutral,2026-06-26T01:00:35.000Z,1,0,0,0,0.0,1,,Kak Hjh,0.0,
facebook,comment,Y29tbWVudDoxNTgwNDE2NzEwMzE1MzU2XzIyMDk2NzMwMzY0NTkxMDI=,Semoga semua beroleh kemenangan,,https://www.facebook.com/paskawasanbangi/posts/pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,neutral,2026-06-25T23:32:47.000Z,1,0,1,0,0.0,3,,Mokri Muhamad,0.0,
facebook,comment,Y29tbWVudDoxNTgwNDE2NzEwMzE1MzU2XzE3Mzc0NzI5NjA1OTc4NjE=,Persiden pas bolehkah memimpin negara Malaysia sudah tua undur diri,,https://www.facebook.com/paskawasanbangi/posts/pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,neutral,2026-06-26T00:04:33.000Z,0,0,0,0,0.0,0,,Nading Lami,0.0,
facebook,comment,Y29tbWVudDoxNTgwNDE2NzEwMzE1MzU2XzIxOTU2MTY1MDQ1OTI2MTc=,Insyaallah boleh menang,,https://www.facebook.com/paskawasanbangi/posts/pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,neutral,2026-06-26T04:45:11.000Z,1,0,1,0,0.0,3,,Mohd Nor,0.0,
facebook,comment,Y29tbWVudDoxNTgwNDE2NzEwMzE1MzU2XzE3MTc1MTg5MzI3MzQzMzM=,Kahang & Tenang In Sya Allah.,,https://www.facebook.com/paskawasanbangi/posts/pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,pfbid024PB5aaWzq7vqDPYJCCkXNjmLth1cMn6Ls9FjhJe4V13M5rQgbjdDMbbcNxQ8bVrNl,neutral,2026-06-25T15:39:33.000Z,1,0,1,0,0.0,3,,Zakaria Abdull,0.0,
