Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
Facebook,Link,FACEBOOK001,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-06,289,55,19,1869,0.1,363
Facebook,Share,FACEBOOK002,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-13,273,40,25,3796,0.1,338
Facebook,Share,FACEBOOK003,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-19,380,110,29,5648,0.36,519
Facebook,Link,FACEBOOK004,Just tried budi95 - amazing quality and value!,Negative,2026-04-16,252,50,47,3659,0.13,349
Facebook,Video,FACEBOOK005,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-03-31,298,52,41,3758,0.1,391
Facebook,Post,FACEBOOK006,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-15,242,43,25,1965,0.1,310
Facebook,Video,FACEBOOK007,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-04,182,50,16,2575,0.1,248
Facebook,Link,FACEBOOK008,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-04,121,13,20,1453,0.1,154
Facebook,Video,FACEBOOK009,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-10,153,45,29,1731,0.14,227
Facebook,Photo,FACEBOOK010,Just tried budi95 - amazing quality and value!,Negative,2026-04-22,232,62,34,2795,0.1,328
Facebook,Post,FACEBOOK011,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-13,343,49,49,4079,0.1,441
Facebook,Link,FACEBOOK012,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-03-27,301,88,42,3415,0.1,431
Facebook,Link,FACEBOOK013,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-01,262,57,20,1464,0.1,339
Facebook,Post,FACEBOOK014,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-03-24,308,47,29,2208,0.14,384
Facebook,Video,FACEBOOK015,Just tried budi95 - amazing quality and value!,Negative,2026-04-20,394,42,22,5470,0.1,458
Facebook,Share,FACEBOOK016,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-03,295,38,54,3744,0.1,387
Facebook,Post,FACEBOOK017,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-01,246,37,46,2020,0.35,329
Facebook,Video,FACEBOOK018,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-22,200,21,14,2897,0.17,235
Facebook,Video,FACEBOOK019,Just tried budi95 - amazing quality and value!,Negative,2026-04-15,164,24,9,1708,0.2,197
Facebook,Link,FACEBOOK020,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-06,247,71,18,2725,0.1,336
Facebook,Share,FACEBOOK021,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-04,310,59,34,3936,0.1,403
Facebook,Link,FACEBOOK022,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-14,197,21,22,1765,0.1,240
Facebook,Link,FACEBOOK023,Just tried budi95 - amazing quality and value!,Negative,2026-04-10,160,37,10,816,0.17,207
Facebook,Link,FACEBOOK024,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-18,173,20,13,1449,0.1,206
Facebook,Link,FACEBOOK025,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-15,157,26,19,2344,0.1,202
Facebook,Post,FACEBOOK026,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-22,110,25,19,1597,0.1,154
Facebook,Video,FACEBOOK027,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-06,284,35,47,2697,0.1,366
Facebook,Photo,FACEBOOK028,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-09,303,40,60,3083,0.14,403
Facebook,Post,FACEBOOK029,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-20,111,16,8,558,0.1,135
Facebook,Photo,FACEBOOK030,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-13,103,20,8,1381,0.26,131
Facebook,Photo,FACEBOOK031,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-19,213,33,30,2600,0.1,276
Facebook,Photo,FACEBOOK032,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-12,117,24,6,1186,0.38,147
Facebook,Video,FACEBOOK033,budi95 in Malaysia is really good. Worth trying!,Negative,2026-04-17,349,98,36,3271,0.1,483
Facebook,Video,FACEBOOK034,Just tried budi95 - amazing quality and value!,Negative,2026-04-12,333,55,25,4107,0.26,413
Facebook,Link,FACEBOOK035,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-21,190,33,17,2117,0.1,240
Facebook,Video,FACEBOOK036,budi95 in Malaysia is really good. Worth trying!,Negative,2026-03-31,232,52,34,2869,0.1,318
Facebook,Share,FACEBOOK037,Great experience with budi95! Highly recommended in Malaysia.,Negative,2026-04-21,167,34,23,2259,0.11,224
Facebook,Photo,FACEBOOK038,Just tried budi95 - amazing quality and value!,Negative,2026-04-21,201,21,32,1196,0.1,254
