Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,thumbnail_url,engagement_score,author,author_followers
facebook,post,10163354529392904,"Kepada AMK 

Jangan risau kami tetap tidak berubah pendirian kami terhadap mana2 pihak yang cuba memperlekehkan lambang negara Malaysia

Awal-awal bila dapat berita tentang bendera dalam poster pemuda UMNO Terengganu tidak cukup jalur,saya dah buat kenyataan yang tidak akan berkompromi dan bukan hanya permohonan maaf,tetapi perlu dihukum dengan berat!! 

Ya kenyataan kami ini tetap kekal sama tidak kira kepada mana-mana pihak sama ada apek di Penang,Pas di terengganu, skjc di negeri sembilan mahupun kawan kami pemuda UMNO Terengganu

Kerana kami bukan hipokrit 

Nak tanya AMK juga,baru nak menunggang isu bendera ni ke? Sebelum ni masih lena tidur ya? 

Tidak mengapa,rakyat faham",https://www.facebook.com/m.akmalsaleh/posts/pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,,,neutral,2025-08-12T12:52:32+00:00,0,0,1776,0,0.0,1776,https://scontent.fscl1-1.fna.fbcdn.net/v/t39.30808-6/530937059_10163354496242904_5128134945219345538_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=104&ccb=1-7&_nc_sid=833d8c&_nc_ohc=2VD67p6CaloQ7kNvwGP0AOi&_nc_oc=AdrgoSEORPB7bVi75jG3aYJWLN7BeTJPK__3CMrzOlKT6WM5WnVvq09QZvWidJRjopk&_nc_zt=23&_nc_ht=scontent.fscl1-1.fna&_nc_gid=MRr3Z-BCLb19Gd6TU79eaA&_nc_ss=7f180&oh=00_AQBXQn0hVP7QnkcKfdli8hQjoa1giEixLS4BgerW-IOZ6A&oe=6A5D0699,5328.0,,
facebook,comment,Y29tbWVudDoxMDE2MzM1NDUyOTM5MjkwNF8xODExMzUxOTk2NDE2NDIz,"Semalam Harimau, Hari ini Kucing, 
Semalam Keras, Hari ini Lembut.",,https://www.facebook.com/m.akmalsaleh/posts/pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,neutral,2025-08-12T13:43:14.000Z,143,0,5,0,0.0,153,,,小吴,0.0
facebook,comment,Y29tbWVudDoxMDE2MzM1NDUyOTM5MjkwNF8xMjY5OTQxMTA4MTIxMjIw,AMK datang bekup terus .. jem puak2 buang ni,,https://www.facebook.com/m.akmalsaleh/posts/pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,neutral,2025-08-12T12:56:01.000Z,50,0,22,0,0.0,94,,,Marwan San,0.0
facebook,comment,Y29tbWVudDoxMDE2MzM1NDUyOTM5MjkwNF8xODE0MTg2Mjk2MTY5ODgw,"Ya betul tu Yb, dan2 ni dia nak jadi jaguh TERPALING patriot",,https://www.facebook.com/m.akmalsaleh/posts/pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,neutral,2025-08-12T13:55:38.000Z,15,0,4,0,0.0,23,,,Abu Amsyar,0.0
facebook,comment,Y29tbWVudDoxMDE2MzM1NDUyOTM5MjkwNF83NTk5Njc1MDMyODQ5NjE=,"The national flag is a symbol we must respect — that’s beyond question. But we are human, and honest mistakes can happen. A small oversight should not be blown out of proportion to the point where people fear displaying the flag at all.

True patriotism YB is shown through action: growing the economy, helping the poor, and creating jobs. Love for our country does not vanish because of an unintentional error with the flag.",,https://www.facebook.com/m.akmalsaleh/posts/pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,neutral,2025-08-12T13:24:39.000Z,20,0,8,0,0.0,36,,,Kent Phang,0.0
facebook,comment,Y29tbWVudDoxMDE2MzM1NDUyOTM5MjkwNF8xNDE4OTUxNTA2MDU4NDcz,"Baru Bangun, Na Jadi Hero..",,https://www.facebook.com/m.akmalsaleh/posts/pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,neutral,2025-08-12T12:58:07.000Z,33,0,2,0,0.0,37,,,Rais Ahmad Hj Hussain,0.0
facebook,comment,Y29tbWVudDoxMDE2MzM1NDUyOTM5MjkwNF8yNDI2OTI5ODE2OTM4OTY4Ng==,Bodoh piang diorg ni..nk back up kapir tu watpe..musibat betul,,https://www.facebook.com/m.akmalsaleh/posts/pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,neutral,2025-08-12T13:08:22.000Z,100,0,45,0,0.0,190,,,Asrul Khan,0.0
facebook,comment,Y29tbWVudDoxMDE2MzM1NDUyOTM5MjkwNF82MDI3MDQ2ODI3MTEyMTk=,Ok juga amk dah bangkit...walau pun dah siang. ..anak muda pas dan bersatu ..x bangkit2,,https://www.facebook.com/m.akmalsaleh/posts/pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,neutral,2025-08-12T12:57:42.000Z,45,0,8,0,0.0,61,,,Aziman Ahmad,0.0
facebook,comment,Y29tbWVudDoxMDE2MzM1NDUyOTM5MjkwNF8yMjAwODYxMzEwMzg2MDEw,"Kita kena sokong Anwar 
Taat setia kpd president parti 
Jgn melawan pemerintah UmnoDap",,https://www.facebook.com/m.akmalsaleh/posts/pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,neutral,2025-08-12T13:21:04.000Z,35,0,25,0,0.0,85,,,Ahmad Noorullah,0.0
facebook,comment,Y29tbWVudDoxMDE2MzM1NDUyOTM5MjkwNF83NjI0MzM3MDY1MzkxNzA=,"YB Dr Akmal Akmal Saleh, adakah setiap kesilapan dianggap sebagai pengkhianatan terhadap negara? Selepas itu, adakah semua orang perlu diberi tunjuk ajar? Perlukah kita menyeru rakyat Malaysia untuk memboikot UMNO Pemuda Terengganu kerana kesilapan ini macam YB Dr Akmal buat dulu?

Atau adakah lebih baik kita menggunakan masa kita untuk membantu rakyat Malaysia dan membangunkan negara?

Sebagai Pemimpin Pemuda UMNO, salah tetap salah. Adakah ini bermaksud Dr akan meletakkan jawatan sebagai Ketua Pemuda UMNO? Amanah sebagai pemimpin ketua pemuda UMNO",,https://www.facebook.com/m.akmalsaleh/posts/pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,pfbid03CV8kCoj2wtHzWcH1MLELXfj7xXJGtAr2Fh9vic26LfVkuikgEaRvsmy6eYuyHqcl,neutral,2025-08-12T13:06:24.000Z,142,0,87,0,0.0,316,,,Chu Chee Peng,0.0
