Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,Parent_Post_URL,Parent_Post_ID,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise,SeedCode,SeedLabel,SeedQuery
news,post,267ab1001459ad2e,Aminuddin to stay on as Negri MB following Ruler's decree. Aminuddin to stay on as Negri MB following Ruler's decree&nbsp;&nbsp;The Star,https://news.google.com/rss/articles/CBMirgFBVV95cUxQR1FmalJuempGbTZIMm14aGNLeEhFNkI3MTBXcUpMZ0lvcVJvVXRMY0hvcGFvQkRGb2FtSmhkNlpzZlhGVmxoUU5ZcTdTVC1MNVJVY3VUWHhtTWhLeHhfVHhGT3dIZkx2TUN4T1hoREtEV2c2RnNiSFNQT21JaVhqS2hTdVZLRTJyU0FhQU5KaFkza0tIeWI4TjBVMUR4a1ByeWVWTWZmR2tVdjAya0E?oc=5,,2026-04-27T07:00:00+00:00,0,0,0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
news,post,2406a3cffd93b2a5,Anwar: Aminuddin remains N Sembilan MB as per ruler's decree. Anwar: Aminuddin remains N Sembilan MB as per ruler's decree&nbsp;&nbsp;Malaysiakini,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBjM3kweENabUhSR3BBeG9sQnhVUDlfdTkzbVVtTjdMc3ZNNVdWRDV4RGVQOVpLX0F4bGtsbFhta1p1UU9yX2ZQekVZT2lNMFdNM2c?oc=5,,2026-04-28T07:00:00+00:00,0,0,0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
x,post,1837114144769663440,Justice Aminuddin Khan is number four in SC judges seniority. Justice Munib and Yahya Afridi have been ignored to include in the committee by CJP Isa. So 'like-minded benches' time will return.,https://x.com/HasnaatMalik/status/1837114144769663440,neutral,2024-09-20T12:58:38+00:00,2300,715,79,45832,0.0,3552,4012.832,,,,,,,,,,,,,,,,,,
x,comment,1837274683588190539,"@HasnaatMalik A spy of Faiz Hameed in SCP. Have deep connections with some of the SCP employees. Oblige them through gifts, transfers, promotions. A kind of corrupt person.",,neutral,2024-09-20T23:36:34+00:00,0,0,0,0,0.0,0,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Barrister,0.0,,,,,,,,,,,,,,
x,comment,1837114591060398561,@HasnaatMalik Mansoor ko chaye na bethy commite ma or ya so rhy sary judges Sb mil k qazi pa adam etmad kr dy,,neutral,2024-09-20T13:00:25+00:00,2,0,0,0,0.0,2,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Astore Valley,0.0,,,,,,,,,,,,,,
x,comment,1837115640202645797,@HasnaatMalik So that's why he didn't come to meet and secretly make plans with the government to control the Supreme Court,,neutral,2024-09-20T13:04:35+00:00,1,0,0,0,0.0,1,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Thinker,0.0,,,,,,,,,,,,,,
x,comment,1837117560774348906,@HasnaatMalik Absolutely shameful! This is a game and he is part of this dirty game!,,neutral,2024-09-20T13:12:13+00:00,1,0,0,0,0.0,1,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Fahim Maqsood,0.0,,,,,,,,,,,,,,
x,comment,1837120366759583829,@HasnaatMalik App kay favorite,,neutral,2024-09-20T13:23:22+00:00,1,0,0,0,0.0,1,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Dr. ZA Qureshi Ex PTI,0.0,,,,,,,,,,,,,,
x,comment,1837117542554554603,@HasnaatMalik تھتے فر وڑیا نا 😀😀😀😀😀,,neutral,2024-09-20T13:12:08+00:00,1,0,0,0,0.0,1,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Farooq Khan Niazi,0.0,,,,,,,,,,,,,,
x,comment,1837115135397068923,@HasnaatMalik بات ھم خیال ججزز سے بہت آگے نکل چکی ھے، ھم خیال آرڈیننس، ھم خیال کمیٹی، ھم خیال بینچ!,,neutral,2024-09-20T13:02:34+00:00,1,0,0,0,0.0,1,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Aqeel Bajwa,0.0,,,,,,,,,,,,,,
x,comment,1837114771130196139,@HasnaatMalik وڑا ای فیر اج,,neutral,2024-09-20T13:01:08+00:00,1,0,0,0,0.0,1,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Rana Muhammad Avais Adv,0.0,,,,,,,,,,,,,,
x,comment,1837122105496002883,@HasnaatMalik امین الدین اور نعیم افغان تو موم کے ناک ہیں جدھر قاضی موڑے گا مڑ جائیں گے۔,,neutral,2024-09-20T13:30:16+00:00,1,0,1,0,0.0,4,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Imranism,0.0,,,,,,,,,,,,,,
x,comment,1837122960722633159,@HasnaatMalik What are lawyers doing against this Qazi Martial law??,,neutral,2024-09-20T13:33:40+00:00,1,0,0,0,0.0,1,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Patriot.,0.0,,,,,,,,,,,,,,
x,comment,1837170615679341039,@HasnaatMalik اسکے بارے میں بھی بھونکتے جب گلزار، ثاقب، بندیل ہر کیس تیرے پھوپھڑ منیب اور اعجاز کو لے کر بیٹھتے تھے اس وقت تمہیں قبض تھی۔,,neutral,2024-09-20T16:43:02+00:00,1,0,0,0,0.0,1,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Sufi Shahzad,0.0,,,,,,,,,,,,,,
x,comment,1837126674988630083,@HasnaatMalik Ya Allah shukar,,neutral,2024-09-20T13:48:26+00:00,1,0,0,0,0.0,1,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Durria Malik,0.0,,,,,,,,,,,,,,
x,comment,1837116513775386731,@HasnaatMalik کیا یہی مستقبل کے چیف جسٹس بھی ہونگے؟؟,,neutral,2024-09-20T13:08:03+00:00,1,0,0,0,0.0,1,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Hamid Hussain,0.0,,,,,,,,,,,,,,
x,comment,1837117196406763925,@HasnaatMalik When Bandiali group is still active after setting so many procedures then it is obvious to happen this way. Face the facts.,,neutral,2024-09-20T13:10:46+00:00,0,0,0,0,0.0,0,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,S Asad,0.0,,,,,,,,,,,,,,
x,comment,1837152094807118152,@HasnaatMalik مافیا جج ،انصاف کا بلتکار,,neutral,2024-09-20T15:29:26+00:00,0,0,0,0,0.0,0,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Z Iqbal,0.0,,,,,,,,,,,,,,
x,comment,1837154076242423990,@HasnaatMalik I’m curious to know what kind of dirt they have on Aminuddun Kanjar 🤔,,neutral,2024-09-20T15:37:19+00:00,0,0,0,0,0.0,0,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Zain,0.0,,,,,,,,,,,,,,
x,comment,1837120920265314676,"@HasnaatMalik @asfandbyar If justice mansoor ali shah is not attending it so how it will be proceed 
Just asking ??",,neutral,2024-09-20T13:25:34+00:00,0,0,0,0,0.0,0,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Dr Tee Kay Lee,0.0,,,,,,,,,,,,,,
x,comment,1837116802142261415,@HasnaatMalik قاضی صاحب کا بہترین اقدام 👌👌,,neutral,2024-09-20T13:09:12+00:00,0,0,0,0,0.0,0,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,Ali mian Nadeem,0.0,,,,,,,,,,,,,,
x,comment,1837228671620239850,@HasnaatMalik Tell us when did you praise CJP for constituting any bench in SC. So now deal with like minded benches.,,neutral,2024-09-20T20:33:44+00:00,0,0,0,0,0.0,0,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,mb400,0.0,,,,,,,,,,,,,,
x,comment,1837116687025422658,@HasnaatMalik پہلے بندیالی عدالت پر لانت بھیجیں اور زور شور سے بھیجیں,,neutral,2024-09-20T13:08:44+00:00,0,0,0,0,0.0,0,,https://x.com/HasnaatMalik/status/1837114144769663440,1.8371141447696635e+18,AtharMalik,0.0,,,,,,,,,,,,,,
x,post,1837133046144696456,The President passes an ordinance to effectively undo the Practice and Procedure Act by vesting near absolute power over bench formation back in the CJP. The CJP who till yesterday was praising the P&P Act for democratising the Court didn't waste any time and immediately exercised powers under the Ordinance and replaced Justice Munib Akhtar with Justice Aminuddin in the Bench formation Committee. They are not even pretending to hide collusion anymore.,https://x.com/MJibranNasir/status/1837133046144696456,neutral,2024-09-20T14:13:45+00:00,2251,877,61,53102,0.0,3720,4241.102,,,,,,,,,,,,,,,,,,
x,comment,1837133943126024637,@MJibranNasir Please challenge it in highcourt. @Jaferii,,neutral,2024-09-20T14:17:18+00:00,31,2,1,0,0.0,38,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,Maryam khan,0.0,,,,,,,,,,,,,,
x,comment,1837136833173672061,@MJibranNasir You should challenge it in court . You must ! This is insane!,,neutral,2024-09-20T14:28:48+00:00,29,1,0,0,0.0,31,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,Aqsa mahmood 🇵🇰 🇨🇦,0.0,,,,,,,,,,,,,,
x,comment,1837165908206227627,"@MJibranNasir What a disingenuous thug this Faez Isa is! there is no shame, no remorse! the guy is operating like a gangster. The Chief Kangaro of Kangaroo Courts.",,neutral,2024-09-20T16:24:20+00:00,11,1,0,0,0.0,13,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,Haider,0.0,,,,,,,,,,,,,,
x,comment,1837141550628815012,@MJibranNasir Isn't it a sad shameful circus by the unelected puppets of military to hold on to power at any costs and trampling anything and everything coming in the way?,,neutral,2024-09-20T14:47:32+00:00,8,0,0,0,0.0,8,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,Haseeb Ahmed,0.0,,,,,,,,,,,,,,
x,comment,1837146080447693171,"@MJibranNasir LOL, QAZI FAIZ ISA FOR YOU ALL, TOUCHING NEW LOW EVERY OTHER SECOND. 🤮",,neutral,2024-09-20T15:05:32+00:00,6,0,0,0,0.0,6,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,Roheena,0.0,,,,,,,,,,,,,,
x,comment,1837150402938273796,"@MJibranNasir Why is nobody challenging this ordinance in SC? I think a lawyer could get many things from the P&amp;P bill proceedings and could counter Qazi fraud and his crony by stating the same logics, Qazi used in the earlier proceedings. I know he’s a chotiya but this will make Maha Chotiya.",,neutral,2024-09-20T15:22:43+00:00,3,0,0,0,0.0,3,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,Tayyab Khan Marwat,0.0,,,,,,,,,,,,,,
x,comment,1837138734661128527,@MJibranNasir why cant all Pakistan's lawyers boycott Qazi Faiz Isa? He is a proven crook and does not deserve to be on this chair.,,neutral,2024-09-20T14:36:21+00:00,3,0,0,0,0.0,3,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,▆▆▆▆▆,0.0,,,,,,,,,,,,,,
x,comment,1837137133787828281,@MJibranNasir @tariqmateen Zardari is seeking hasina's treatment....,,neutral,2024-09-20T14:29:59+00:00,3,0,0,0,0.0,3,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,Hafeez khan,0.0,,,,,,,,,,,,,,
x,comment,1837145002679435422,@MJibranNasir خبر یہ نہیں کہ سپریم کورٹ میں ججز کی میٹنگ چل رہی ہے۔ اصل خبر یہ ہے کہ میٹنگ میں قاضی فائز عیسیٰ کو مدعو نہیں کیا گیا۔۔۔,,neutral,2024-09-20T15:01:15+00:00,2,0,0,0,0.0,2,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,Aziz khattak,0.0,,,,,,,,,,,,,,
x,comment,1837194718515490935,"@MJibranNasir And the same current CJP (QFI) was dying to implement it, fought for it lolll!

This shows how quickly the sides can swap in pakistan and what consistency do we acquire in our policies... It's all about the personal(estab) vendetta!",,neutral,2024-09-20T18:18:48+00:00,2,0,0,0,0.0,2,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,ثمرقند,0.0,,,,,,,,,,,,,,
x,comment,1837136323259289702,@MJibranNasir @tariqmateen he rapped SC https://t.co/BFMAPFhkXf,,neutral,2024-09-20T14:26:46+00:00,1,0,0,0,0.0,1,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,Rachid abbacy,0.0,,,,,,,,,,,,,,
x,comment,1837143839737250155,@MJibranNasir Woh chahta to izzat say bhi ghar ja sakta tha. Magar ussnay thudday kha k bahar phainkay janay ko tarjeeh di!,,neutral,2024-09-20T14:56:38+00:00,1,0,0,0,0.0,1,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,User Not Found,0.0,,,,,,,,,,,,,,
x,comment,1837160557239050318,@MJibranNasir Is the CJP above the constitution &amp; law?,,neutral,2024-09-20T16:03:04+00:00,1,0,0,0,0.0,1,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,Hassan S Hakeem,0.0,,,,,,,,,,,,,,
x,comment,1837193730354209273,"@MJibranNasir Sycophants are like parasites; they thrive on the power and influence of others, often to the detriment of the institution they serve.",,neutral,2024-09-20T18:14:53+00:00,1,0,0,0,0.0,1,,https://x.com/MJibranNasir/status/1837133046144696456,1.8371330461446966e+18,Kaarim Aalam,0.0,,,,,,,,,,,,,,
