Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,QueryID,Lang,Community,CommunityLabel,PublisherDomain,PublisherGuess,SeedQuery,CrawlMethod,SourceName,PostID,SourceID,Jenis_Suara
news,post,84f93ff4e37725a1,"Risiko terlalu besar jika tak panggil PRN Negeri Sembilan, kata Loke. Risiko terlalu besar jika tak panggil PRN Negeri Sembilan, kata Loke&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiYkFVX3lxTE51YmJMT0RXRWxTVXl4dHJxbXFldFlUSExrUWZnLVlrcFNPdlhTaEhqdWhiWXdPajc5SjhycE5PMTZDNFpvdU8tOVBDVHBuM3V4MEdsbjVHWW9wLTA1ZTN3cXNR?oc=5,,2026-06-08T09:35:24+00:00,0,0,0,0,0.0,0,BM1,bm,umum,Umum / PRN,news.google.com,umum,"""PRN Negeri Sembilan"" OR ""pilihan raya negeri sembilan"" when:30d",google_news_rss,,,,
news,post,8f043616b958019c,"Boleh jimat sehingga RM30 juta jika PRN Johor, N Sembilan serentak. Boleh jimat sehingga RM30 juta jika PRN Johor, N Sembilan serentak&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMi0AFBVV95cUxNRG9COURkNmtMTENfNldNbmtXN0pQQjhIU28ycEd0YS1IQzFjZUxFZ0xHajYwZDM1UFpLV0s5Zk9JTU9QbE1UT1Y0TWJIcTU3QVA4cEJkbTY0amVEN0tXd1RndUxoVWh0VjJLMG1hTEpGaS1ZSGd4RjF3QXp5UFVkTDhwVmRFYnpiOEp5QzFwaWZDMVg3eDhQN29FbUhZYUlfUjNuMkp0VFNFWWI2UlZsVHIzTndxQzlYcVViVXJlZTBmSnZTMktCUzdqVmJ5UWpP?oc=5,,2026-06-11T14:00:03+00:00,0,0,0,0,0.0,0,BM1,bm,umum,Umum / PRN,news.google.com,umum,"""PRN Negeri Sembilan"" OR ""pilihan raya negeri sembilan"" when:30d",google_news_rss,,,,
news,post,18eba9fb7b8f596a,"Ketua Pemuda AMANAH, timbalan antara 9 calon PRN Negeri Sembilan. Seremban:  Ketua dan Timbalan Ketua Pemuda AMANAH Negeri Sembilan antara sembilan calon yang akan dipertaruhkan parti itu pada Pilihan Raya Negeri (PRN) Negeri Sembilan, 1 Ogos depan.",https://www.hmetro.com.my/mutakhir/2026/06/1370464/ketua-pemuda-amanah-timbalan-antara-9-calon-prn-negeri-sembilan,,2026-06-15T18:37:48+00:00,0,0,0,0,0.0,0,BM1,bm,umum,Umum / PRN,hmetro.com.my,melayu,"""PRN Negeri Sembilan"" OR ""pilihan raya negeri sembilan"" when:30d",google_news_rss,,,,
news,post,612a643575583d79,"PRN Johor 11 Julai, Negeri Sembilan 1 Ogos. PRN Johor 11 Julai, Negeri Sembilan 1 Ogos&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMisAFBVV95cUxObmgtd3duaDBpRjNhVkJmQk82dHFrOVl4SHVOV1dBLVA2MlhnNlYzejRySnhHMWtobXI3dFZ6c3BhU3dlcVNKTU5TcFdVSlVsWnJncG9la3hiNVVfMmxHNGVOWG51LWs2WEtTcXNTaVUzZnFMSXAxN0ZsWS1iaGRlLXBYakFOTkRLLTZTOTd5d3phSXprUDBiQV9QVnUtU1hCWG5CRzczdzhVaEJXNlYweQ?oc=5,,2026-06-12T04:20:20+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d",google_news_rss,,,,
news,post,63eecc7dc8fda8c2,Negeri Sembilan’s Tenuous State Assembly: Procedural and Political Tests. Negeri Sembilan’s Tenuous State Assembly: Procedural and Political Tests&nbsp;&nbsp;fulcrum.sg,https://news.google.com/rss/articles/CBMilAFBVV95cUxQekI0YUhsZGdka1FGTHRiTjZUREp6c1JKWmxnRWNOOEdyNWg4LWwxUkxjbXVYdUh4Y2pKVlRDaFJ3QmlqUUJ4UkNfX3VCanFQbzRub05ET2kwN0c3NXFXQ09QbmVNYTIxRmdtSUhKd284UG8tMURpeXJJeEhIbks5UkQ0dWxsYk5US09IYjN5c1hHUDhB?oc=5,,2026-06-03T07:00:00+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d",google_news_rss,,,,
news,post,d2a7bfa8303170bf,"Johor state election set for Jul 11, Negeri Sembilan to go to polls on Aug 1. Johor state election set for Jul 11, Negeri Sembilan to go to polls on Aug 1&nbsp;&nbsp;CNA",https://news.google.com/rss/articles/CBMisAFBVV95cUxPVFdkVVBmZzFJc1k2Unc2NGZQSHk2bmx1cEc3aWZpWkZ3Rk5QbmdIM3dFMldoVkc0c1hZaDBITk8teGZQT0VxVFZfYUVlM1ZqbmZOS211Y2dpN21DenlnZ19OWXRXUlBKLXkzcWVzUzR6OXR5bzc0eDhRN09hSnMtYzV3NE5RSGJrenBKOUs3NnBKd0NZUjdycHJtSDRTb2ZOaWtOdEhfUl9KZEtBSWhVVA?oc=5,,2026-06-12T04:33:00+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d",google_news_rss,,,,
news,post,93b35ea0c8f2e530,"EC sets Johor election on July 11, Negeri Sembilan on Aug 1. EC sets Johor election on July 11, Negeri Sembilan on Aug 1&nbsp;&nbsp;Malay Mail",https://news.google.com/rss/articles/CBMiqwFBVV95cUxOc2QtQjlrRHkwS1lMTVl0cmtvNFlzMHNvcXhzUGlPT2JZeVItSzNUMk4tdms5NWNZT3phWG1faXFjckJuNjFGUzZ3UUVxN3I1N3UtVElUMzMzMUpuaER2V0NtaGZwanNCN0xlWWhtaHJteGVJYWI4VGhsMXNOVGROSHR2Qnd2VkpjTTNuSnVHVjF5TnI3ZWI2WGpDcU5vbEVibTNJNU9uWV9fWHfSAbABQVVfeXFMTWdMQVE2TzVuekJkSTNxR2RUN0RkRFJ5bXI0YndFeVVmbWIzbEJlcTVkUjZVNW9jS1ZnMzd0LVRya1o1YlotMTdxRG9oaGpCa0hRbHNCbzVwXzlMa3NQUVpWemZkWi1MajY5Vy1ucms4OXVTWXRLR0RFanZHR0pUWVR2U0lHdXZUdmItT2tkN213NElENUpDVHFKUEV2R3NlNXp0LW1Bd0V1TGJTeWlmNk8?oc=5,,2026-06-12T04:18:00+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d",google_news_rss,,,,
news,post,1d1d1b1b3d808e1f,EC to decide on dates for Negeri Sembilan polls in June 12 meeting. EC to decide on dates for Negeri Sembilan polls in June 12 meeting&nbsp;&nbsp;The Edge Malaysia,https://news.google.com/rss/articles/CBMiUEFVX3lxTE9zUlVBZFNQMGZkNmcxaE16ZklWdDRsbTd6S3lBYTFyR2hTSFRGWjJ3cFhJaEZoZk4tRUpMY3Bpb1lyUmpVT0FvRU5qRFJIeVJl?oc=5,,2026-06-08T10:11:30+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d",google_news_rss,,,,
news,post,c2aa578ef3a5790f,Aminuddin not ruling out Negeri Sembilan polls this year. Aminuddin not ruling out Negeri Sembilan polls this year&nbsp;&nbsp;mediaselangor.com,https://news.google.com/rss/articles/CBMiVkFVX3lxTE9KS05ieUFKSW5hX3dTUVN0aFdOcHJWQ0RxYVhRTkU2N0tiR2dpd2NBbFVvT2JTT3djcDNGY0U4S1JxZjR4SnhpNWFsZXJPU3FwMmR1U3N3?oc=5,,2026-05-20T07:00:00+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d",google_news_rss,,,,
news,post,8bea22bfae0ff03c,"Johor and Negeri Sembilan set to vote on July 11 in state polls, nomination on June 27. Johor and Negeri Sembilan set to vote on July 11 in state polls, nomination on June 27&nbsp;&nbsp;Yahoo News Malaysia",https://news.google.com/rss/articles/CBMigwFBVV95cUxNak5hUE56OUJONVFVeFlBYkZoNzRIUGM4Ulc5eUtHdFpOb21xRGxYcWl5WUZ2bmRQc3pwalVhVHNTcVRXV0paN1k4OFp0Y2tzdGZiQktQa3hxcHZBcnRCZGg3RnZtNnBReWdBOTQ5dHRFV0pBYXhyUldXa3F3dF9YdzYzbw?oc=5,,2026-06-12T04:18:00+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d",google_news_rss,,,,
news,post,4382199a36cbb9d7,EC officially notified of Negeri Sembilan state assembly dissolution. EC officially notified of Negeri Sembilan state assembly dissolution&nbsp;&nbsp;The Edge Malaysia,https://news.google.com/rss/articles/CBMiUEFVX3lxTE5OV2ZPdUxIbzNGZFhPQjJrTUp0QkhHZ253X1pjRGZsckdQVGZ3MW9SSGJfNEo5WVBvNXg5QTN6WDItbnpCam1YNnFaQ0U5WWNV?oc=5,,2026-06-05T07:00:00+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d",google_news_rss,,,,
