Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,QueryID,Lang,SeedQuery
news,post,84f93ff4e37725a1,"Risiko terlalu besar jika tak panggil PRN Negeri Sembilan, kata Loke. Risiko terlalu besar jika tak panggil PRN Negeri Sembilan, kata Loke&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiYkFVX3lxTE51YmJMT0RXRWxTVXl4dHJxbXFldFlUSExrUWZnLVlrcFNPdlhTaEhqdWhiWXdPajc5SjhycE5PMTZDNFpvdU8tOVBDVHBuM3V4MEdsbjVHWW9wLTA1ZTN3cXNR?oc=5,,2026-06-08T09:35:24+00:00,0,0,0,0,0.0,0,BM1,bm,"""PRN Negeri Sembilan"" OR ""pilihan raya negeri sembilan"" when:30d"
news,post,8cad4f83e51843d2,"PRN Negeri Sembilan: 4 penyandang goyah, berisiko. SEREMBAN: Lebih 10 kerusi Dewan Undangan Negeri (DUN) bakal menjadi tumpuan pada Pilihan Raya Negeri (PRN) Negeri Sembilan ke-16, yang dijadualkan berlangsung pada 1 Ogos depan.",https://www.bharian.com.my/berita/nasional/2026/06/1571137/prn-negeri-sembilan-4-penyandang-goyah-berisiko,,2026-06-13T11:27:01+00:00,0,0,0,0,0.0,0,BM1,bm,"""PRN Negeri Sembilan"" OR ""pilihan raya negeri sembilan"" when:30d"
news,post,47c6ebde67513d7a,"PRN Negeri Sembilan: Pembahagian parti gabungan PH selesai, paling pantas - Aminuddin. Seremban: Pakatan Harapan (PH) Negeri Sembilan kekal untuk bergerak solo apabila akan bertanding semua 36 kerusi Dewan Undangan Negeri (DUN) pada Pilihan Raya Negeri (PRN) Ke-16, pada 1 Ogos depan.",https://www.hmetro.com.my/mutakhir/2026/06/1369299/prn-negeri-sembilan-pembahagian-parti-gabungan-ph-selesai-paling-pantas,,2026-06-13T09:51:57+00:00,0,0,0,0,0.0,0,BM1,bm,"""PRN Negeri Sembilan"" OR ""pilihan raya negeri sembilan"" when:30d"
news,post,93cc2fea830fd8c2,RESET secara rasmi belum mohon sertai PN. Alor Setar: Perikatan Nasional (PN) belum menerima sebarang permohonan daripada Gerakan RESET bagi menganggotai gabungan itu menjelang Pilihan Raya Negeri (PRN) Johor dan PRN Negeri Sembilan.,https://www.hmetro.com.my/mutakhir/2026/06/1369265/reset-secara-rasmi-belum-mohon-sertai-pn,,2026-06-13T07:50:34+00:00,0,0,0,0,0.0,0,BM1,bm,"""PRN Negeri Sembilan"" OR ""pilihan raya negeri sembilan"" when:30d"
news,post,b1086dcd1273480c,Negeri Sembilan State Assembly Dissolved To Pave Way For State Election. Negeri Sembilan State Assembly Dissolved To Pave Way For State Election&nbsp;&nbsp;Bernama,https://news.google.com/rss/articles/CBMiVEFVX3lxTE05ZDJwZFJQNHFrNk9Vd0wtY0tnNWMycThaajZUdHJNT2NSM1dBVG96bDQxMUxQRXpYZ1ZOalVDb1hqOFBqaE9LM3EtcDd3cnVQMTQ4VA?oc=5,,2026-06-04T16:04:28+00:00,0,0,0,0,0.0,0,BM2,bm,"Bernama OR ""Astro Awani"" OR Utusan OR ""Berita Harian"" ""Negeri Sembilan"" PRN when:30d"
news,post,9aa9152b1f6ab319,DAP also sees dissolving assembly as best way to resolve Negeri Sembilan crisis. DAP also sees dissolving assembly as best way to resolve Negeri Sembilan crisis&nbsp;&nbsp;Free Malaysia Today,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOdVBUSlEtRkx5SjM5THhBdXFRMjFvajJQeW8xWWhLYnp2U0s4N0xrelotSzJybVlReWZSX014aFFoZEhvekQ4LWp2bm5TbXJhRnBLel9DVEZsUVZKejlPUV9JLXhSNzdBUnNmaE5pSU5VeWhoX2dPYjNkTVJWZUx1cXlQczdNRkhyUUYzUjdINUFlZkJTQTR0dzk3MVlIQi1PelJablh0M2c1bUJTX1k0aG1qNDZVMzRaa2JyTGR5TWhudjQ5djNQYmgxQU1ScWNNekw1RkRfSQ?oc=5,,2026-05-24T07:00:00+00:00,0,0,0,0,0.0,0,BM2,bm,"Bernama OR ""Astro Awani"" OR Utusan OR ""Berita Harian"" ""Negeri Sembilan"" PRN when:30d"
news,post,067072341dac4d14,Johor & Negeri Sembilan Polls. Johor & Negeri Sembilan Polls&nbsp;&nbsp;Lumi News Malaysia,https://news.google.com/rss/articles/CBMijAFBVV95cUxON3ZGNUFseGxTX2EzbjVTajdXZWdVOUdkaHFmYXA3Ym8tQXZWemhtbGZMbnI2V2JBSk9JV0RhNE44UXIzODFXNU1jTDdnNUR5N3FGZ3BQMWtScjR2UWw0NFpLTl9nMy1PVzZQMUlfQkM0bkdyZk9HZjNNRkVRZWhmOHhGc1haZVIzRGhmRQ?oc=5,,2026-06-12T05:04:30+00:00,0,0,0,0,0.0,0,BM2,bm,"Bernama OR ""Astro Awani"" OR Utusan OR ""Berita Harian"" ""Negeri Sembilan"" PRN when:30d"
news,post,6360aae52f59400b,Official notice of NS assembly dissolution to be submitted to Election Commission today. Official notice of NS assembly dissolution to be submitted to Election Commission today&nbsp;&nbsp;The Vibes,https://news.google.com/rss/articles/CBMizgFBVV95cUxPU0VsV1d1Zm9fSG1fV2RWRm5ETmRWeE1fSHJOUmJYcFI3dkp2aEVFOVEwYktjU2UtblZCUDR2UEJrcHh4MVRZZVRTTDVYX2VBWFRTSjNPX28xU1ZpZVhpUVB0RWdmcHFXNThyYjFEd05idjl1SmtrUnNpVFJZY0VWdWpfRy11N2FPSzFvVUM1MzAwdGt6Z0JfbHZHaE1USnlRWFJSMUZCTDFiNmNZa1FYR1czcU9qV0FBX1JVUGtjOUxuc3VXNWNfQmJPTzljdw?oc=5,,2026-06-05T04:56:00+00:00,0,0,0,0,0.0,0,BM2,bm,"Bernama OR ""Astro Awani"" OR Utusan OR ""Berita Harian"" ""Negeri Sembilan"" PRN when:30d"
news,post,40899d7aac0d9a1c,⁠PH risks setback if it goes solo in Negeri Sembilan. ⁠PH risks setback if it goes solo in Negeri Sembilan&nbsp;&nbsp;Free Malaysia Today,https://news.google.com/rss/articles/CBMitwFBVV95cUxPd1ZLQXlsOFlUUlR5NHFoT1NSS2dlaHhIeHVNNV9YWDVqVURsNVlkYUlNaTB1VjU2c0J3dGZpUXNoRFpTcHI5WHJzTVJxZnRXWXl5bDlWcDFKOElYNjBFYWtDejVubnRvcDhQenZXSWE1V25KSDdNQWJMMWMyN0xuUzlPTWZ0Q0JfSnhjM2hQcEVfXzVTN2hqT0drYTB1QzVJOUE4YjRJOUlKTXhnU3JaOGlVTXRiN2M?oc=5,,2026-05-28T07:00:00+00:00,0,0,0,0,0.0,0,BM2,bm,"Bernama OR ""Astro Awani"" OR Utusan OR ""Berita Harian"" ""Negeri Sembilan"" PRN when:30d"
news,post,0af2b894c2114f9a,"PH Presidential Council To Finalise Seat Distribution For Johor, N. Sembilan State Elections Soon - Saifuddin Nasution. PH Presidential Council To Finalise Seat Distribution For Johor, N. Sembilan State Elections Soon - Saifuddin Nasution&nbsp;&nbsp;Bernama",https://news.google.com/rss/articles/CBMiYEFVX3lxTE1HUFA0MVFXZHZBNzE2SkpNRXZ2TXhKd1JULU1xM2VxSWhHNnAyX29GTUV5ZDFLQ3owamJoYzZCNXdpTjhPVEFkQlhTUVJNMG5fWTJheEhnU0JSeGJhVTlySA?oc=5,,2026-06-08T06:17:00+00:00,0,0,0,0,0.0,0,BM2,bm,"Bernama OR ""Astro Awani"" OR Utusan OR ""Berita Harian"" ""Negeri Sembilan"" PRN when:30d"
