Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,QueryID,Lang,Community,CommunityLabel,PublisherDomain,PublisherGuess,SeedQuery
news,post,84f93ff4e37725a1,"Risiko terlalu besar jika tak panggil PRN Negeri Sembilan, kata Loke. Risiko terlalu besar jika tak panggil PRN Negeri Sembilan, kata Loke&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiYkFVX3lxTE51YmJMT0RXRWxTVXl4dHJxbXFldFlUSExrUWZnLVlrcFNPdlhTaEhqdWhiWXdPajc5SjhycE5PMTZDNFpvdU8tOVBDVHBuM3V4MEdsbjVHWW9wLTA1ZTN3cXNR?oc=5,,2026-06-08T09:35:24+00:00,0,0,0,0,0.0,0,BM1,bm,umum,Umum / PRN,news.google.com,umum,"""PRN Negeri Sembilan"" OR ""pilihan raya negeri sembilan"" when:30d"
news,post,8cad4f83e51843d2,"PRN Negeri Sembilan: 4 penyandang goyah, berisiko. SEREMBAN: Lebih 10 kerusi Dewan Undangan Negeri (DUN) bakal menjadi tumpuan pada Pilihan Raya Negeri (PRN) Negeri Sembilan ke-16, yang dijadualkan berlangsung pada 1 Ogos depan.",https://www.bharian.com.my/berita/nasional/2026/06/1571137/prn-negeri-sembilan-4-penyandang-goyah-berisiko,,2026-06-13T11:27:01+00:00,0,0,0,0,0.0,0,BM1,bm,umum,Umum / PRN,bharian.com.my,melayu,"""PRN Negeri Sembilan"" OR ""pilihan raya negeri sembilan"" when:30d"
news,post,47c6ebde67513d7a,"PRN Negeri Sembilan: Pembahagian parti gabungan PH selesai, paling pantas - Aminuddin. Seremban: Pakatan Harapan (PH) Negeri Sembilan kekal untuk bergerak solo apabila akan bertanding semua 36 kerusi Dewan Undangan Negeri (DUN) pada Pilihan Raya Negeri (PRN) Ke-16, pada 1 Ogos depan.",https://www.hmetro.com.my/mutakhir/2026/06/1369299/prn-negeri-sembilan-pembahagian-parti-gabungan-ph-selesai-paling-pantas,,2026-06-13T09:51:57+00:00,0,0,0,0,0.0,0,BM1,bm,umum,Umum / PRN,hmetro.com.my,umum,"""PRN Negeri Sembilan"" OR ""pilihan raya negeri sembilan"" when:30d"
news,post,93cc2fea830fd8c2,RESET secara rasmi belum mohon sertai PN. Alor Setar: Perikatan Nasional (PN) belum menerima sebarang permohonan daripada Gerakan RESET bagi menganggotai gabungan itu menjelang Pilihan Raya Negeri (PRN) Johor dan PRN Negeri Sembilan.,https://www.hmetro.com.my/mutakhir/2026/06/1369265/reset-secara-rasmi-belum-mohon-sertai-pn,,2026-06-13T07:50:34+00:00,0,0,0,0,0.0,0,BM1,bm,umum,Umum / PRN,hmetro.com.my,umum,"""PRN Negeri Sembilan"" OR ""pilihan raya negeri sembilan"" when:30d"
news,post,d2a7bfa8303170bf,"Johor state election set for Jul 11, Negeri Sembilan to go to polls on Aug 1. Johor state election set for Jul 11, Negeri Sembilan to go to polls on Aug 1&nbsp;&nbsp;CNA",https://news.google.com/rss/articles/CBMisAFBVV95cUxPVFdkVVBmZzFJc1k2Unc2NGZQSHk2bmx1cEc3aWZpWkZ3Rk5QbmdIM3dFMldoVkc0c1hZaDBITk8teGZQT0VxVFZfYUVlM1ZqbmZOS211Y2dpN21DenlnZ19OWXRXUlBKLXkzcWVzUzR6OXR5bzc0eDhRN09hSnMtYzV3NE5RSGJrenBKOUs3NnBKd0NZUjdycHJtSDRTb2ZOaWtOdEhfUl9KZEtBSWhVVA?oc=5,,2026-06-12T04:33:00+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d"
news,post,0de23d0af83dd9dd,EC to meet on June 12 to discuss Negeri Sembilan polls. EC to meet on June 12 to discuss Negeri Sembilan polls&nbsp;&nbsp;Free Malaysia Today,https://news.google.com/rss/articles/CBMitgFBVV95cUxOZTRITU5ydHl3ODg2dlFjU2ZyMElVeFVhU3o3dEZZZllwekwwR3JHTy1MeWNNT3lmZ1VFMkgzcUotRnBWYU90QU1HZk91UmdyVm1hWmlIeVpVNWVNR0pJb2N1VWEtcE9NVnQyQWY1STg0cTJDdUhDZzRvQTZGOVFfbmhoaXVYSUxjeU9Bd2dNRVF0LVpXNWpJMVFOVE1CNk8tTDNCd2MxelBzMDFXTkJ4UVJiTE9iQQ?oc=5,,2026-06-08T10:31:08+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d"
news,post,93b35ea0c8f2e530,"EC sets Johor election on July 11, Negeri Sembilan on Aug 1. EC sets Johor election on July 11, Negeri Sembilan on Aug 1&nbsp;&nbsp;Malay Mail",https://news.google.com/rss/articles/CBMiqwFBVV95cUxOc2QtQjlrRHkwS1lMTVl0cmtvNFlzMHNvcXhzUGlPT2JZeVItSzNUMk4tdms5NWNZT3phWG1faXFjckJuNjFGUzZ3UUVxN3I1N3UtVElUMzMzMUpuaER2V0NtaGZwanNCN0xlWWhtaHJteGVJYWI4VGhsMXNOVGROSHR2Qnd2VkpjTTNuSnVHVjF5TnI3ZWI2WGpDcU5vbEVibTNJNU9uWV9fWHfSAbABQVVfeXFMTWdMQVE2TzVuekJkSTNxR2RUN0RkRFJ5bXI0YndFeVVmbWIzbEJlcTVkUjZVNW9jS1ZnMzd0LVRya1o1YlotMTdxRG9oaGpCa0hRbHNCbzVwXzlMa3NQUVpWemZkWi1MajY5Vy1ucms4OXVTWXRLR0RFanZHR0pUWVR2U0lHdXZUdmItT2tkN213NElENUpDVHFKUEV2R3NlNXp0LW1Bd0V1TGJTeWlmNk8?oc=5,,2026-06-12T04:18:00+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d"
news,post,cc22f77547dafea0,"EC meeting on June 12 to fix dates for Johor polls, not Negeri Sembilan. EC meeting on June 12 to fix dates for Johor polls, not Negeri Sembilan&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiywFBVV95cUxQUGJYS09ERGI0LTVBLV9KcHVoWTJLUnMyQ1JXTG5MYk84Y3ZqaUxwb2dudFJQRTlUUTFzcHdwQUhMWVE4UHk2SWhrSmVXeUNOSjJUMGVaZ0o5N0VvN0hBdFhqOEg1R0pWSHpRUktaZGNKenB0TF9lc0FhOUZ6aUNhWDltb1ZSQXQxZ2dNR0g1T0NMcjVsNTlCMVhacUNMZGRMVVUzVk1jNHA5cko3b0dEdmI4QzJzQzc3RFZvd1ZUaVNBQ3c3MVpwUjhMUQ?oc=5,,2026-06-05T10:15:21+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d"
news,post,18fdc247bb85d29f,"EC receives notice of Negeri Sembilan assembly dissolution, says special meeting to set poll dates. EC receives notice of Negeri Sembilan assembly dissolution, says special meeting to set poll dates&nbsp;&nbsp;Malay Mail",https://news.google.com/rss/articles/CBMi6wFBVV95cUxQejg5QVdycDJhX2tMTzl5cmpjWWgwRkJGd1VxTXN0cXBaR1dYSjFzWFZJdGRLM1psVEs3RTQ2NkhzMDdrN1FrTUZsTkRkREt1WFVLTzhxbXhaT2l1NnNfcjMwMDR0RGtqb0VaS2JEWUJscVdfZkFfQ2wwcmNQcTRZYXNNOEVTUTlBZ0ZGQ2hFVTN0b0FJeFpROXBiY19aOFBQUkJubXI3NHEtWEpEd0daYVhKRmJMSXk4X0E4enFaa0pmbHZaQTFlQ1UydEtXY092aUYtLWtpdmFmQmdxUjFWTGlLUW80X3lXZXJj0gHwAUFVX3lxTE1aR1hleDZmb2J4c0Y4WldYT2V0eEwwY3c1TlpwMXM5Z3YxSDN2cUczWVEwR0x3MXFyVlc2UUQxa0tCQklUdXBuRXI4cF9LTXFnV1RYYkNWVWMxTWdES254OEwzS18zbW8tQlkzWnpqOGFSekFGYjVMWUZuaDNVdzFjNnJwZkZLbFExb2hzcm9HSGV2UkNHckFjUXVfakVJOTZudFdQVXB2a2diTFpMeDFkQ0tIY3FUXzJaZmpERXp2b1R2SF9jNjZuaEUtdzZBWl81bnZRNUVRMFhncWJQYVBkSVNwUVRSMk1aS2EydUJfSg?oc=5,,2026-06-05T09:59:00+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d"
news,post,1ab6151a4c32395c,"PH finalises seat distribution for Johor, Negeri Sembilan polls. PH finalises seat distribution for Johor, Negeri Sembilan polls&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQMWlKOWV6OVUyRzZlN1Z4Z3NjMk9JNl9tZW9NYy1tbklvR2tXcnVBXzl0eENFbmJsLWJ4Z05hUnc3a2hIVVp0eEx2T3cxM2FILS14NXZaeE5teUJyTzl4NXc3aS0yaXk4WUd2eXNBSWZCZnBnN2JfLTlNWGRLaEtWUU8xb2JBakNtYktxZXp1R2VlcHczM0hPbkhuV3RVbXpaSFozbXFyY1dUbDZSMzBfYWxmeUxINXFlTVFRYkd0aGY?oc=5,,2026-06-08T05:12:17+00:00,0,0,0,0,0.0,0,BM5,bm,umum,Umum / PRN,news.google.com,umum,"SPR OR penamaan OR mengundi ""Negeri Sembilan"" when:30d"
