Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,sentiment_label,is_complaint,complaint_theme,area,is_high_severity
tiktok,post,7639451389986376991,Adding a pool to our driveway for our waste management & delivery drivers 🌊🌴😂#deliverydriver #thankyou #snacks #community,https://www.tiktok.com/@kayleighandmatt/video/7639451389986376991,neutral,2026-05-24 23:23:13.346296+00:00,3300000,18900,12100,36500000,0.0,3696000,3410600.0,,,neutral,True,general_complaint,,False
tiktok,post,7251618431886216454,Negara bebas sampah.. #thecommentkure  #recycle #sampah #singapore #wastemanagement #polusi,https://www.tiktok.com/@thecommentkure/video/7251618431886216454,neutral,2026-05-24 23:23:30.987905+00:00,431000,6203,4668,7400000,0.0,515871,464810.0,,,neutral,True,general_complaint,,False
tiktok,post,7334096809217805614,Waste management 2024👎🏼👎🏼,https://www.tiktok.com/@tar_bear05/video/7334096809217805614,neutral,2026-05-24 23:23:11.025605+00:00,398900,10200,2028,6700000,0.0,478128,432084.0,,,neutral,True,general_complaint,,False
tiktok,post,7334190855718309162,"the mud won…
 #wastemanagement #wmo #wastemanagementopen #scottsdale",https://www.tiktok.com/@karahenny/video/7334190855718309162,neutral,2026-05-24 23:23:14.355282+00:00,257800,23300,2032,5400000,0.0,337132,315896.0,,,neutral,True,general_complaint,,False
tiktok,post,7603421766676991262,Inject this in my veins 🫡 #USA #WMPO #wastemanagement #nationalanthem #handshakebets,https://www.tiktok.com/@handshakebets/video/7603421766676991262,neutral,2026-05-24 23:23:14.992548+00:00,226200,10400,673,2300000,0.0,260273,251319.0,,,neutral,True,general_complaint,,False
tiktok,post,7599133211226066196,"Lain kali jgn marah2 kan takpasal2 kene naik lori @KDEB Waste Management 
#fypシ #fyp",https://www.tiktok.com/@mark_warn/video/7599133211226066196,neutral,2026-05-24 23:23:17.000578+00:00,160600,15100,1202,4000000,0.0,216902,198406.0,,,neutral,True,general_complaint,,False
tiktok,post,7334416220004814123,#wastemanagement #wastemanagementopen #golftiktok #wmopen @ziregolf @beerholegolf @GolfGuys,https://www.tiktok.com/@markymark7524/video/7334416220004814123,neutral,2026-05-24 23:23:26.157580+00:00,115600,1096,510,2000000,0.0,137206,121322.0,,,neutral,True,general_complaint,,False
tiktok,post,7366646338232126763,"Keep your trash bins secure 🔒♻️ These innovative locks only open when tilted by a garbage truck, ensuring safety and efficiency. 

Available Now: Franzen Gravity Locks

Follow @gadgetglimpse to discover more interesting products.

#TrashCan #Gargabe #GarbageTruck #WasteManagement #Raccoon",https://www.tiktok.com/@gadgetglimpse/video/7366646338232126763,neutral,2026-05-24 23:23:51.059946+00:00,92600,1636,1069,3500000,0.0,130305,102579.0,,,neutral,True,general_complaint,,False
tiktok,post,7604577903552007455,Everyone cheering him on🤣 #fyp #wastemanagement #phoenixopen #phoenix #pranks,https://www.tiktok.com/@danijackel_/video/7604577903552007455,neutral,2026-05-24 23:23:26.496084+00:00,26800,2037,150,714500,0.0,36132,32038.5,,,neutral,True,general_complaint,,False
tiktok,post,7493987600827469102,Business Owner Charged Extra by Waste Management. Driver Caught Staging Full Dumpster #fyp #bussiness #garbagetruck #onthisday,https://www.tiktok.com/@gogarbage/video/7493987600827469102,neutral,2026-05-24 23:23:47.195588+00:00,19700,2046,777,2000000,0.0,42523,28123.0,,,neutral,True,illegal_dumping,,False
tiktok,post,7334405844576062762,Waste management 2024 #wastemanagement #the #open #viral #fyp #cold #weather #finance #super #bowl,https://www.tiktok.com/@liora_xox/video/7334405844576062762,neutral,2026-05-24 23:23:24.031118+00:00,15800,600,285,1400000,0.0,30685,19255.0,,,neutral,True,general_complaint,,False
tiktok,post,7629108040398048543,"Shoutout to all the hard working delivery drivers & waste management workers out there, you are appreciated 🤭 #deliverydriver #snacks #thankyou #MiniFridge #community",https://www.tiktok.com/@kayleighandmatt/video/7629108040398048543,neutral,2026-05-24 23:23:25.804106+00:00,18300,105,95,287300,0.0,21373,19082.3,,,neutral,True,praise_or_resolution,,False
tiktok,post,7482459886475988270,"Waste management drivers are making over $30/hrs! They train YOU, send you to Phoenix for paid training, and are always hiring! 60-hour weeks, early mornings, but solid pay and stability. Would you do this job? #classA #classB #truckdriver #garbagetruck #wastemanagement #cdljobs #nowhiring #trucklife #cdltraining #bluecollar #trades #skilledtrades #jobsearch #hiringnewemployees #unionjobs #workhard #careeropportunities #heavyequipment #logistics #truckinglife #driverslicense #makingmoney #jobhunt #overtime #essentialworker #hardworkingman #jobalert #laneape #trucker #trucking #truckerlife #truckersoftiktok #trucklife #garbageman #trashtalk #trash #trashman #waste #wastemanagementopen #cdl #cdllife #cdldriver #cdlschool #cdltraining #bluecollarboys #bluecollarlife #tradesman #tradeschool #applynow",https://www.tiktok.com/@jobcollar.com/video/7482459886475988270,neutral,2026-05-24 23:23:27.541667+00:00,8276,953,302,291700,0.0,12448,11379.7,,,neutral,True,general_complaint,,False
tiktok,post,7603069468574502158,"GET IN THE HOLEEEEEEE 

#wastemanagement #phoenixopen #golf #putt #16thhole",https://www.tiktok.com/@cameronhutchcraftt/video/7603069468574502158,neutral,2026-05-24 23:23:38.893295+00:00,8696,388,29,106100,0.0,10174,9665.1,,,neutral,True,general_complaint,,False
tiktok,post,7307192995353251077,"Siapa di sini yang juga kagum dengan konsep pengelolaan sampah ala Banyumas? 😆🌿
Let's take a cue from Banyumas on effective waste management! Small actions can create a big impact. 💚🌍 

#WasteManagement #BanyumasCleanUp #BanyumasEcoChampion #bumi #lingkungan #savetheplanet #pedulilingkungan #environment #earth #saveearth #viral #fyp #itsbumi101🌱🌤️",https://www.tiktok.com/@itsbumi101/video/7307192995353251077,neutral,2026-05-24 23:23:23.165836+00:00,3203,211,65,115500,0.0,4634,3935.5,,,neutral,True,general_complaint,,False
tiktok,post,7622243189482638622,1 Money Printing Machine to Import from China Waste recycling machine #wasterecyclingmachine #usedshruddermachine #chinaimportation #usedmachinery,https://www.tiktok.com/@daks.group/video/7622243189482638622,neutral,2026-05-24 23:23:29.225437+00:00,1968,308,99,66600,0.0,3041,2947.6,,,neutral,True,general_complaint,,False
tiktok,post,7199431051465248043,"The waste management is not a real place… 

#golf #wastemanagement #wastemanagementopen #superbowl",https://www.tiktok.com/@tatumjuliet/video/7199431051465248043,neutral,2026-05-24 23:23:40.933150+00:00,1840,415,26,173700,0.0,4018,2921.7,,,neutral,True,general_complaint,,False
tiktok,post,7189448075914513707,Waste Management 16th hole #wastemanagementopen #golf #scottsdale #holeinone #wastemanagementphoenixopen #beershowers,https://www.tiktok.com/@anthonylioy/video/7189448075914513707,neutral,2026-05-24 23:23:29.544619+00:00,830,972,7,94900,0.0,2758,2889.9,,,neutral,True,general_complaint,,False
