Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise,is_complaint,complaint_theme,area,is_high_severity
x,post,2018594102196285797,"Residents said the problem started when KDEB Waste Management Sdn Bhd, a Selangor state-owned domestic waste collection and public cleansing service provider, renewed contracts with local authorities.
https://t.co/7QhI3wVqPx",https://x.com/staronline/status/2018594102196285797,neutral,2026-02-03 07:55:12+00:00,0,0,0,283,0.5,2,0.283,,,neutral,0.5788899660110474,english,Mixed/Urban,happy,0.0615241527557373,0.0552962683141231,0.3917239010334015,0.0327717624604702,0.2927925884723663,0.038673099130392,True,public_cleansing_issue,,False
x,post,2026150631606722828,"KDEB Waste Management Sdn Bhd (KDEBWM), the Selangor state government’s waste management arm, has taken delivery of 51 UD Trucks Croner Euro 5 medium-duty vehicles, which have already been deployed for domestic waste collection and public cleansing across https://t.co/PYqgOcc5lf",https://x.com/BusinessTodayM1/status/2026150631606722828,neutral,2026-02-24 04:22:09+00:00,0,0,0,30,0.5,0,0.03,,,neutral,0.8993426561355591,english,Mixed/Urban,no_clear_emotion,0.0974229797720909,0.0414639301598072,0.1647757589817047,0.038569651544094,0.2251075953245163,0.0430571101605892,True,public_cleansing_issue,,False
x,post,1806205823049195925,"#ICYMI The state government is currently in the process of signing the Solid Waste and Public Cleansing Management Act (Act 672) via KDEB Waste Management Sdn Bhd (KDEBWM).

🔗 https://t.co/bo8w6vs1co

#SelangorJournal
#MediaSelangor
#KitaSelangor https://t.co/W6jfcgz8yb",https://x.com/MediaSelangorEn/status/1806205823049195925,neutral,2024-06-27 06:00:00+00:00,0,0,0,11,0.5,0,0.011,,,neutral,0.9214755296707152,english,Mixed/Urban,love,0.095830351114273,0.0761233866214752,0.2874062061309814,0.0597784034907817,0.3322279155254364,0.0457612127065658,True,public_cleansing_issue,,False
x,post,2030165830949044628,"@bharianmy Di Selangor, kutipan sampah diberikan kepada Kontraktor KDEB Waste Management, who then sub contracts the job to local companies.
All the workers I've met, except for lorry drivers and area supervisors, are..... (drumroll) Bangladeshis.",https://x.com/zainisaari/status/2030165830949044628,neutral,2026-03-07 06:17:07+00:00,0,0,0,14,0.5,0,0.014,,,neutral,0.7600026726722717,english,Mixed/Urban,no_clear_emotion,0.0095801632851362,0.0052139721810817,0.0147465988993644,0.0083586843684315,0.0454944483935833,0.0228801034390926,True,general_complaint,,False
x,post,1938218661501911045,"KDEB Waste Management Sdn. Bhd. is a state-owned company in Selangor, Malaysia, responsible for domestic waste collection and public cleansing. It operates over 1,500 vehicles, including compactor lorries and RoRo trucks, serving the Klang Municipal Council. Recently, it faced scrutiny for having 22,017 unpaid traffic summonses, the highest among goods vehicle operators in Malaysia. While the company attributes this to its large fleet and subcontractor communication issues, the Transport Ministry emphasizes KDEB's accountability as the vehicle owner. The company has settled 13,000 summonses and plans stricter subcontractor oversight.",https://x.com/grok/status/1938218661501911045,neutral,2025-06-26 12:51:53+00:00,0,0,0,109,0.5,1,0.109,,,neutral,0.7802062034606934,english,Mixed/Urban,no_clear_emotion,0.1250151544809341,0.0463170409202575,0.1246338412165641,0.0718717202544212,0.2108553200960159,0.0314036309719085,True,public_cleansing_issue,Klang,False
x,post,1990671858161865213,"The state government has assured that KDEB Waste Management Sdn Bhd (KDEBWM) will remain a key player in the state’s solid waste ecosystem even if the Solid Waste Management and Public Cleansing Act 2007 (Act 672) is adopted.

State executive councillor for local government and tourism Dato’ Ng Suee Lim said the company will continue to have competitive opportunities under the new Federal-aligned framework.

This is because of its strong performance over the years and its status as a state-owned company, even though the Act’s implementation may restructure solid waste management under the Solid Waste and Public Cleansing Management Corporation (SWCorp).

""Once we sign Act 672, KDEBWM's function as a project management company under the local councils' mandate will be void.

“However, as a state-owned subsidiary with extensive experience in logistics management and green technology innovation, KDEBWM has strong potential to secure new service contracts through SWCorp’s request-for-proposal or open tender processes.

""The state government is confident that KDEBWM's excellent performance in waste collection and public cleansing will serve as a strong basis for the firm to remain competitive.

""The state government is also committed to ensuring KDEBWM continues to play a key role, whether through strategic partnerships or merit-based appointments, so that solid waste collection and public cleansing services in the state remain efficient and deliver maximum benefit to the people,” he said.

🔗 For more stories like this, visit https://t.co/1ouAHSO1Tm

#MediaSelangor",https://x.com/MediaSelangorEn/status/1990671858161865213,neutral,2025-11-18 06:42:10+00:00,0,0,0,24,0.5,0,0.024,,,neutral,0.6017157435417175,english,Mixed/Urban,happy,0.0306711755692958,0.0631716474890708,0.7447959184646606,0.0156914088875055,0.0649484544992446,0.0257415436208248,True,public_cleansing_issue,,False
x,post,1994677437150761123,"@KDEBWaste has maintained its solid waste collection and management and public cleansing schedule throughout Selangor, even amid forecasts of continuous heavy rain and storms until tomorrow.

KDEBWM general operation manager Mohd Idris Mohamed Yusof said real-time duty adjustments will be done if the weather worsens.

“This is to ensure services remain smooth and workers’ safety is guaranteed. Additional monitoring steps have been activated, especially in high-risk areas.

“KDEBWM public cleansing teams have also been deployed to several locations impacted by heavy rain since early morning,” he told Media Selangor.

📎 https://t.co/eFvDs2fMHp

#MediaSelangor",https://x.com/MediaSelangorEn/status/1994677437150761123,neutral,2025-11-29 07:58:54+00:00,0,0,0,16,0.5,0,0.016,,,neutral,0.8762710690498352,english,Mixed/Urban,happy,0.1268471330404281,0.1685307472944259,0.5869501233100891,0.0176281947642564,0.0411872714757919,0.0167758278548717,True,public_cleansing_issue,,False
x,comment,2057136639517024742,@KDEBWaste @BinSabari @SinarOnline TQ... will do it tomorrow...,,neutral,,1,0,0,0,0.5,1,,Ragum Besi 🇲🇾,0.0,neutral,0.8824260234832764,english,Mixed/Urban,love,0.072165198624134,0.0498790070414543,0.1093710362911224,0.05093315243721,0.3445184230804443,0.0486794300377368,True,general_complaint,,False
tiktok,post,7639451389986376991,Adding a pool to our driveway for our waste management & delivery drivers 🌊🌴😂#deliverydriver #thankyou #snacks #community,https://www.tiktok.com/@kayleighandmatt/video/7639451389986376991,positive,,3300000,18900,12100,36500000,0.9485488474369048,3696000,3410600.0,,,positive,0.8284961581230164,english,Mixed/Urban,love,0.0340548604726791,0.0291874222457408,0.1469655185937881,0.0385893508791923,0.5774757862091064,0.0440876819193363,True,general_complaint,,False
tiktok,post,7334096809217805614,Waste management 2024👎🏼👎🏼,https://www.tiktok.com/@tar_bear05/video/7334096809217805614,negative,,398900,10200,2028,6700000,0.1805530697107314,478128,432084.0,,,negative,0.3981564342975616,multilingual,Unknown,no_clear_emotion,0.102734088897705,0.0282896757125854,0.0866703614592552,0.0504299104213714,0.2556966841220855,0.0318452268838882,True,general_complaint,,True
