Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,QueryID,Lang,Community,CommunityLabel,PublisherDomain,PublisherGuess,SeedQuery,CrawlMethod,CrawlPipeline
news,post,bf9715edd8b65a97,"Tekun targets 24-hour loan approvals for small businesses. MELAKA, June 21 &mdash; Tabung Ekonomi Kumpulan Usaha Niaga (Tekun Nasional) aims to approve financing below RM20,000 wi...",https://www.malaymail.com/news/malaysia/2026/06/21/tekun-targets-24-hour-loan-approvals-for-small-businesses/224658,,2026-06-21T19:09:17+08:00,0,0,0,0,0.0,0,IN2,tamil,india,Komuniti India / Tamil,malaymail.com,india,"site:makkalosai.com.my ""Melaka"" when:30d",google_news_rss,indian_narrative
news,post,71b93dcb3140942c,"Jasin MP Zulkifli Ismail hurt in AMJ highway collision. KUALA LUMPUR, June 20 &mdash; Jasin MP Zulkifli Ismail was injured in a road accident along the Alor Gajah-Melaka Tengah...",https://www.malaymail.com/news/malaysia/2026/06/20/jasin-mp-zulkifli-ismail-hurt-in-amj-highway-collision/224556,,2026-06-20T17:27:33+08:00,0,0,0,0,0.0,0,IN2,tamil,india,Komuniti India / Tamil,malaymail.com,india,"site:makkalosai.com.my ""Melaka"" when:30d",google_news_rss,indian_narrative
news,post,eca1d0d3e2602f8a,"Melaka sisters prove local footwear can be both chic and comfortable. Their brand Machino has grown from an online venture into a thriving lifestyle business centred on style, practicality and community.",https://www.freemalaysiatoday.com/category/leisure/2026/06/22/melaka-sisters-prove-local-footwear-can-be-both-chic-and-comfortable,,2026-06-21T23:00:40+00:00,0,0,0,0,0.0,0,IN2,tamil,india,Komuniti India / Tamil,freemalaysiatoday.com,india,"site:makkalosai.com.my ""Melaka"" when:30d",google_news_rss,indian_narrative
news,post,5e1a5889f0dba46c,"Trip hantar wanita 'masuk' hutan. Melaka: Kerja sebagai pemandu e-hailing bukan sekadar membawa penumpang dari satu destinasi ke destinasi lain, sebaliknya turut membuka ruang kepada pelbagai pengalaman di luar jangka ketika di jalan raya.",https://www.hmetro.com.my/utama/2026/06/1373317/trip-hantar-wanita-masuk-hutan,,2026-06-22T07:00:50+00:00,0,0,0,0,0.0,0,IN2,tamil,india,Komuniti India / Tamil,hmetro.com.my,india,"site:makkalosai.com.my ""Melaka"" when:30d",google_news_rss,indian_narrative
news,post,03b4cbdb6906e8ab,Education Minister Fadhlina Urges Parents to Play Bigger Role in Shaping Malaysia’s Education Future. Education Minister Fadhlina Urges Parents to Play Bigger Role in Shaping Malaysia’s Education Future&nbsp;&nbsp;Varnam Malaysia,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQSEpkbFQzSHBhNWVSNFVYSGw4bnFHUkNabXJ4RGRXNVlzNmRWblQ2OC1KLVR4OWNOOXhMeF9zWUpnb19NME01N1dVLWpCZ1dzeWk2blNzUjd0cTh4ampWU09nb1RSVDRrb1BHSWcwLUFfUjVMak1GQ2FrcFZPTkhxVDF2RnQtUlJGZDlLNWYwNkNqY2FZXzRfOTcxbWV4S05uVWM0U1dESG83VVlWdFlpWjd6NlFJaW5XSjdjNVZhTFlhbHc?oc=5,,2026-06-01T07:00:00+00:00,0,0,0,0,0.0,0,IN7,tamil,india,Komuniti India / Tamil,news.google.com,india,"site:varnam.my ""Melaka"" when:30d",google_news_rss,indian_narrative
news,post,751dc61f4a898512,Thanusaa Uthrian Continues Winning Run with Western Australian Open Title. Thanusaa Uthrian Continues Winning Run with Western Australian Open Title&nbsp;&nbsp;Varnam Malaysia,https://news.google.com/rss/articles/CBMioAFBVV95cUxQSGRodzhsRlZpZGZLS2tnYUh3TXNmMlJFdGhoVmlqMTlsXzI3YjVMd0QzYTIzeXBqdWhxTllYMlJjYXFMaVZ0VEV0SDRJczhhb05ma1lBOWk0TUhJcmF1RmJWUFB4X3hRamNkUEJVM1dyUktiZzdBeGE2NU1weERMSUFlUm5ZMlktaklGMGJEaTdUSzJmbWZIdzZvSV8zalpD?oc=5,,2026-06-08T07:00:00+00:00,0,0,0,0,0.0,0,IN7,tamil,india,Komuniti India / Tamil,news.google.com,india,"site:varnam.my ""Melaka"" when:30d",google_news_rss,indian_narrative
news,post,71336873b09a987f,Two foreign workers injured as lift plunges seven floors in Melaka hotel. Two foreign workers injured as lift plunges seven floors in Melaka hotel&nbsp;&nbsp;The Star,https://news.google.com/rss/articles/CBMivwFBVV95cUxNMEZRRnRMbW40RklnM1FnQUVLU09JeUF3WElsdW9ENXlwa0hXYXpUa1RSNkhuUUo4Y0NWM2NfQ2kwM0tBZUFzYjhnOGYzWThWb1NRREI3Yy1sMTJTOHFZeTJtRVJPb1UzWTIzSVBMUThaR3RFUEtMeG04dWJyd2hWS1VQaTU1b2VRcUNVaVJteC04Z1VqUUQxLWhRMEh1LWZsX1dSbWVJZG03d2wxRUlBVHRUWFBmTWxMcDlJZEJJMA?oc=5,,2026-06-17T09:55:00+00:00,0,0,0,0,0.0,0,IN25,tamil,india,Komuniti India / Tamil,news.google.com,india,"""Melaka Tengah"" (Tamil OR Indian OR SJKT OR MIC OR Hindu) when:30d",google_news_rss,indian_narrative
news,post,cd0c3789692244af,"Blocked in Tampin, proclaimed in Melaka: Rais Yatim says Negeri Sembilan has a new Ruler. Blocked in Tampin, proclaimed in Melaka: Rais Yatim says Negeri Sembilan has a new Ruler&nbsp;&nbsp;Yahoo News Malaysia",https://news.google.com/rss/articles/CBMijAFBVV95cUxPaUxLQkxHOHpBVWFpMi1RVkZfZkhBODFCRzhwOThFLWhTLXVQek9velBNNTdtQ1FRaGdzek8yeHRzSGVIcGpRSGt1dTluZU1DNXpJUFVubGhocGFOenc5VlJnT0p4YjNNVHdzV1M4eENWU1lUVmJqXy03U0Rnd2JPQklXYnJmN0NCNkxpQw?oc=5,,2026-06-04T07:00:00+00:00,0,0,0,0,0.0,0,IN32,bm,india,Komuniti India / Tamil,news.google.com,india,"""Negeri Sembilan"" kuil OR temple OR Hindu when:30d",google_news_rss,indian_narrative
news,post,37bb3e35ae460789,Tunku Nadzaruddin barred from leaving hotel in Melaka | Sinar Daily. Tunku Nadzaruddin barred from leaving hotel in Melaka | Sinar Daily&nbsp;&nbsp;Sinar Daily,https://news.google.com/rss/articles/CBMirgFBVV95cUxQQkw4RHFLM3p0eWZ2am11UTNYWE1xZ3lfZURTU3NKSDFtaFFkYXpxdnRaSDkxN2FLRVlnR1BkLWNHRUJNVzN5Q1pBRzR4b2E4U041TnFxQUtLWUhveG1NRHBzejl1bWZWSWtJNUdDeE9BMno0NFZha0h4eWs1eTVxNTJnUU96QmVvdm5wQm8tNHNVZWxNeDFZanNlUUFxdGpnbk5SOUZPTlE3WldHT0HSAVZBVV95cUxOMThrSDIyYjlUUGgtMTRaUjZoQUtBX1pJV25OVVJVRERET1RLN1JvdkJFRm96TFNjSEp3Y0pmbjZTZ20xYldGR2ZqeFpVRnNpYmlOTUp1dw?oc=5,,2026-06-05T08:28:00+00:00,0,0,0,0,0.0,0,IN39,bm,india,Komuniti India / Tamil,news.google.com,india,"""Negeri Sembilan"" klinik OR hospital when:30d",google_news_rss,indian_narrative
news,post,8d9a2e80c2b14082,Thousands gather at temple for Wesak Day meal distribution. Thousands gather at temple for Wesak Day meal distribution&nbsp;&nbsp;The Star,https://news.google.com/rss/articles/CBMiswFBVV95cUxQUVh3QUliZXRPV1h3RmwtZVNGMUU2REwyWmJZalFQZmtGZjNRQkd1bTlnX0JfaDlBR0hQenVRS2JGNVFRWWxZdHdCLW5BZjFOUlpsSXl4WGZJZmh5Q2dhd3pzNkh5SDFsbHI0UkxmWjdsV1ZHM1pHY1BUaTJOVkNUSEpDVzdrR1J4SlZJQlREOXU2bDlIRzNna3lIdDhRaUNUQ1NxM3ozQmNZeXRnMk53WFp6RQ?oc=5,,2026-05-25T07:00:00+00:00,0,0,0,0,0.0,0,IN44,bm,india,Komuniti India / Tamil,news.google.com,india,"""Melaka"" kuil OR temple OR Hindu when:30d",google_news_rss,indian_narrative
news,post,32a4b8cf1322fdc7,BN-PH cooperation remains most practical path in Melaka: Analyst. BN-PH cooperation remains most practical path in Melaka: Analyst&nbsp;&nbsp;The Sun Malaysia,https://news.google.com/rss/articles/CBMirwFBVV95cUxNTEpzbDhBNVpqdjdjWnpCZEpNWEw5aWJ5VmFMamJVMGZpODdlSDFPN1ZEY1FRZHZaLWJvSzNHV2wxQkFKM01SaEswMkVQaDZjVXM3Y3pzQUd1VU5ZeHJ3RW1RX2tnZHJyY1NNQnZtVElNSmRVdEdJWUxOb0YzVHEwMmhubzNOSE56Nmtod3hfQWhaMW95YkVveWNidVVWbzk5cm14bVc3X3ZaZnV4aVpz?oc=5,,2026-06-03T07:00:00+00:00,0,0,0,0,0.0,0,IN44,bm,india,Komuniti India / Tamil,news.google.com,india,"""Melaka"" kuil OR temple OR Hindu when:30d",google_news_rss,indian_narrative
news,post,c2402792f81504a3,Chola Copper Plates unravel forgotten Malaysian history. Chola Copper Plates unravel forgotten Malaysian history&nbsp;&nbsp;Free Malaysia Today,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQTVlKVi1OOHp4U0IwR2p3b0czWVc5MkxidWZjcExsUkd4S1BqVVZyYVM1ZVBnTEtOUFZxSUNoMVZNRjhieHdRaWtyU3BDaXFJWmJOaF95UXp2VzBnMmNiQU5HeHRPWjFGal9SMm1qZFRsdHZManYxbkYyQ0dsY1JBYjhkZGw0MjFXYkZzNldVTGtOTlNUQjB4QlBnTkNpQV84bG1iWF9LYnJzMjhtSEViZGUtZGgxMGlS?oc=5,,2026-06-02T07:00:00+00:00,0,0,0,0,0.0,0,IN44,bm,india,Komuniti India / Tamil,news.google.com,india,"""Melaka"" kuil OR temple OR Hindu when:30d",google_news_rss,indian_narrative
