code,name,registered,turnoutPct,numCands,winnerVotes,runnerVotes,majority,majorityPct,rejected,spoiltPct,candVotes,namesRaw
N01,N.01 CHENNAH,14554,66.7,2,5888,3688,2200,23.0,115,1.19,3688|5888,ROSMADI BIN ARIF LOKE SIEW FOOK
N02,N.02 PERTANG,12897,66.5,2,5634,2844,2790,32.9,83,0.97,5634|2844,JALALUDDIN BIN ALIAS CIKGU AMIR
N03,N.03 SUNGAI LUI,20206,67.4,2,6939,6404,535,4.0,255,1.88,6939|6404,MOHD. RAZI BIN MOHD. ALI NORDIN HASIM
N04,N.04 KLAWANG,13163,68.9,3,4598,4021,577,6.4,80,0.88,364|4021|4598,ANGAH SAIFUL DANNI RAIS BAKRI SAWIR
N05,N.05 SERTING,30287,65.9,2,10312,9469,843,4.3,140,0.7,10312|9469,USTAZ FAIRUZ MUHAMAD ZAMRI OMAR
N06,N.06 PALONG,23494,65.8,2,7940,7376,564,3.7,121,0.78,7376|7940,NOOR AZUAN MUSTAPHA BIN NAGOOR
N07,N.07 JERAM PADANG,16332,63.4,2,5462,4769,693,6.8,115,1.11,5462|4769,MOHD ZAIDY ABDUL KADIR SURASH A/L SREENIVASAN
N08,N.08 BAHAU,25769,60.6,2,11939,3531,8408,54.4,132,0.85,3531|11939,P. M. KUMAR TEO KOK SEONG
N09,N.09 LENGGENG,27386,73.1,3,10040,9355,685,3.5,170,0.85,404|9355|10040,ZUL AZKI MAT SULOP HAJI FADLI CHE ME HJ ASNA
N10,N.10 NILAI,42168,69.0,4,19133,8244,10889,37.7,203,0.7,8244|1430|57|19133,GAN CHEE BIOW OMAR BIN MOHD ISA YESSU J.ARUL KUMAR
N11,N.11 LOBAK,23193,66.1,2,14357,853,13504,88.8,99,0.65,853|14357,NG SOON LEAN CHEW SEH YONG
N12,N.12 TEMIANG,13085,69.3,3,5710,2642,3068,34.1,63,0.7,5710|640|2642,NG CHIN TSAI QUSYAIRY AHMAD CHUA ENG PU
N13,N.13 SIKAMAT,32343,72.5,4,12730,10068,2662,11.5,157,0.67,10068|12730|83|339,RAIHAN HILAL AMINUDDIN HARUN BUJANG BIN ABU MOHAMMED HAFIZ (TOK MERAH)
N14,N.14 AMPANGAN,20992,71.3,3,6054,5725,329,2.2,79,0.53,6054|5725|3079,TENGKU ZAMRAH BINTI TENGKU SULAIMAN MUHAMMAD GHAZALI BIN ZAINAL ABIDIN DATO' DR MOHAMAD RAFIE BIN AB MALEK
N15,N.15 JUASSEH,13408,68.0,2,4549,4471,78,0.9,87,0.96,4471|4549,EDDIN SYAZLEE BIN SHITH PUAN SRI BIBI SHARLIZA
N16,N.16 SERI MENANTI,10045,71.0,2,3711,3341,370,5.2,69,0.97,3711|3341,USTAZ SUFIAN MARADZI JAMALI BIN SALAM
N17,N.17 SENALING,9886,69.3,2,3724,3062,662,9.8,53,0.77,3724|3062,ISMAIL LASIM AMRINA BINTI MOHD KHALID
N18,N.18 PILAH,17692,65.0,2,6222,5143,1079,9.5,103,0.9,5143|6222,CIKGU RAFIEI NOORZUNITA BEGUM MOHD IBRAHIM
N19,N.19 JOHOL,12313,68.3,2,5228,3111,2117,25.4,66,0.79,5228|3111,HJ SAIFUL YAZAN SULAIMAN HJ KAMARUDIN TAHIR
N20,N.20 LABU,30478,71.8,2,11661,10021,1640,7.6,159,0.73,11661|10021,ANIP ABU BAKER HJ ISMAIL BIN AHMAD
N21,N.21 BUKIT KEPAYANG,46229,66.3,3,24626,4942,19684,64.6,107,0.35,4942|921|24626,SUBRAMANIAM A/L PURUSHOTHAMA AHMAD ZAMALI MOHAMAD NICOLE TAN LEE KOON
N22,N.22 RAHANG,20182,66.8,2,9868,3436,6432,48.3,152,1.13,9868|3436,SIAU MEOW KONG LEE BOON SHIAN
