kod_dun,parlimen,kawasan_dun,jml_pengundi,nama_pemenang,koalisi_menang,parti_menang,undi_menang,nama_pencabar,koalisi_pencabar,parti_pencabar,undi_pencabar,majoriti,status_kerusi,penyandang_lama,nama_adun,semasa_koalisi,semasa_parti,is_pas_seat,is_bersatu_seat,is_pn_seat,is_marginal_200,is_marginal_500,is_marginal_1000,is_tukar_tangan,kategori_pas,kategori_margin,pas_win_prob,predicted_party,predicted_bloc,prediction_label,status_social_fb,status_social_tiktok,status_social_x,facebook_url,tiktok_handle,x_handle,keyword_primary,keyword_secondary,keyword_parlimen,cluster_kawasan,demografi_ringkas,isu_utama_1,isu_utama_2,isu_utama_3,scenario_pas_solo,scenario_pas_pn,scenario_pas_mn,scenario_risk,priority_monitoring,notes
N01,P128 Seremban,Chennah,14427,Anthony Loke Siew Fook,PH,DAP,5888,Rosmadi Arif,PN,Bersatu,3688,2200,Kekal PH,Anthony Loke Siew Fook (PH-DAP),Anthony Loke Siew Fook,PH,DAP,False,False,False,False,False,False,False,not_priority,semi_safe,15.0,DAP,PH,Bukan Sasaran PAS,active,active,active,facebook.com/anthonyloke,@anthonyloke,@anthonyloke,PRN N01 Chennah,PAS Chennah Negeri Sembilan,P128 Seremban,Bandar Seremban,Melayu 51.8% · Cina 46.0% · India 2.2% · DPI Dec 2025,Kos hidup bandar,Banjir/parking,DAP stronghold,8.0,20.0,19.0,Rendah,False,Rule: not_priority · semi_safe · Ramalan PAS 15%
N02,P126 Jelebu,Pertang,12880,Jalaluddin Alias,BN,UMNO,5634,Amirudin Hassan,PN,PAS,2844,2790,Kekal BN,Noor Azmi Yusof (BN-UMNO),Jalaluddin Alias,BN,UMNO,False,False,False,False,False,False,False,tough,semi_safe,38.0,UMNO,BN,PAS Perlu Swing Besar,pending,pending,pending,,,,PRN N02 Pertang,PAS Pertang Negeri Sembilan,P126 Jelebu,LBN/Jelebu,Melayu 71.4% · Cina 22.1% · India 6.5% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,28.0,43.0,46.0,Tinggi,False,Rule: tough · semi_safe · Ramalan PAS 38%
N03,P126 Jelebu,Sungai Lui,19711,Mohd Razi Mohd Ali,BN,UMNO,6939,Mohd Nordin Hasim,PN,PAS,6404,535,Kekal BN,Mohd Razi Mohd Ali (BN-UMNO),Mohd Razi Mohd Ali,BN,UMNO,False,False,False,False,False,True,False,winnable,marginal,51.0,PAS,PN,PERTARUNGAN Sengit,pending,pending,pending,,,,PRN N03 Sungai Lui,PAS Sungai Lui Negeri Sembilan,P126 Jelebu,LBN/Jelebu,Melayu 84.8% · Cina 7.2% · India 8.0% · DPI Dec 2025,Majoriti sempit,Swing Melayu,3 penjuru,41.0,56.0,59.0,Tinggi,False,Rule: winnable · marginal · Ramalan PAS 51.0%
N04,P126 Jelebu,Klawang,13329,Bakri Sawir,PH,Amanah,4598,Danni Rais,PN,Bersatu,4021,577,Kekal PH,Bakri Sawir (PH-Amanah),Bakri Sawir,PH,Amanah,False,False,False,False,False,True,False,not_priority,marginal,15.0,Amanah,PH,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N04 Klawang,PAS Klawang Negeri Sembilan,P126 Jelebu,LBN/Jelebu,Melayu 67.8% · Cina 28.6% · India 3.5% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,19.0,Rendah,False,Rule: not_priority · marginal · Ramalan PAS 15%
N05,P127 Jempol,Serting,30593,Mohd Fairuz Mohd Isa,PN,PAS,10312,Muhamad Zamri Omar,BN,UMNO,9469,843,TUKAR ke PN,Shamshulkahar Mohd Deli (BN-UMNO),Mohd Fairuz Mohd Isa,PN,PAS,True,False,True,False,False,True,True,defend,marginal,70.0,PAS,PN,PAS/Kemungkinan Menang,pending,pending,pending,,,,PRN N05 Serting,PAS Serting Negeri Sembilan,P127 Jempol,FELDA/Jempol,Melayu 79.5% · Cina 12.6% · India 7.9% · DPI Dec 2025,FELDA/getah,Akses klinik,Split PAS-PN,60.0,75.0,74.0,Rendah,False,Rule: defend · marginal · Ramalan PAS 70%
N06,P127 Jempol,Palong,23548,Mustapha Nagoor,BN,UMNO,7940,Noor Azuan Parmin,PN,Bersatu,7376,564,Kekal BN,Mustapha Nagoor (BN-UMNO),Mustapha Nagoor,BN,UMNO,False,False,False,False,False,True,False,not_priority,marginal,15.0,UMNO,BN,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N06 Palong,PAS Palong Negeri Sembilan,P127 Jempol,FELDA/Jempol,Melayu 93.0% · Cina 1.9% · India 5.1% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,23.0,Rendah,False,Rule: not_priority · marginal · Ramalan PAS 15%
N07,P127 Jempol,Jeram Padang,16539,Mohd Zaidy Abdul Kadir,BN,UMNO,5462,Surash Sreenivasan,PN,Bersatu,4769,693,Kekal BN,Manickam Letchuman (BN-MIC),Mohd Zaidy Abdul Kadir,BN,UMNO,False,False,False,False,False,True,False,not_priority,marginal,15.0,UMNO,BN,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N07 Jeram Padang,PAS Jeram Padang Negeri Sembilan,P127 Jempol,FELDA/Jempol,Melayu 57.5% · Cina 10.2% · India 32.2% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,23.0,Rendah,False,Rule: not_priority · marginal · Ramalan PAS 15%
N08,P127 Jempol,Bahau,25951,Teo Kok Seong,PH,DAP,11939,Kumar S Paramasivam,PN,PAS,3531,8408,Kekal PH,Teo Kok Seong (PH-DAP),Teo Kok Seong,PH,DAP,False,False,False,False,False,False,False,not_priority,safe,28.0,DAP,PH,Bukan Sasaran PAS,seed,pending,pending,facebook.com/teokok.seong,,,PRN N08 Bahau,PAS Bahau Negeri Sembilan,P127 Jempol,FELDA/Jempol,Melayu 31.6% · Cina 58.3% · India 10.1% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,18.0,33.0,32.0,Rendah,False,Rule: not_priority · safe · Ramalan PAS 28%
N09,P128 Seremban,Lenggeng,28671,Mohd Asna Amin,BN,UMNO,10040,Mohd Fadli Che Me,PN,PAS,9355,685,TUKAR ke BN,Suhaimi Kassim (PH-Amanah),Mohd Asna Amin,BN,UMNO,False,False,False,False,False,True,True,winnable,marginal,50.5,PAS,PN,PERTARUNGAN Sengit,pending,pending,pending,,,,PRN N09 Lenggeng,PAS Lenggeng Negeri Sembilan,P128 Seremban,Bandar Seremban,Melayu 79.6% · Cina 15.6% · India 4.9% · DPI Dec 2025,Bandar Lenggeng,Kos hidup,PAS vs UMNO,40.5,55.5,58.5,Tinggi,False,Rule: winnable · marginal · Ramalan PAS 50.5%
N10,P128 Seremban,Nilai,45487,Arul Kumar Jambunathan,PH,DAP,19133,Gan Chee Biow,PN,Bersatu,8244,10889,Kekal PH,Arul Kumar Jambunathan (PH-DAP),Arul Kumar Jambunathan,PH,DAP,False,False,False,False,False,False,False,not_priority,safe,15.0,DAP,PH,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N10 Nilai,PAS Nilai Negeri Sembilan,P128 Seremban,Bandar Seremban,Melayu 48.8% · Cina 31.6% · India 19.6% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,19.0,Rendah,False,Rule: not_priority · safe · Ramalan PAS 15%
