Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,video_url,media_type,derived_error,sentiment_label,sentiment_confidence,detected_language,demographic,author_demographic,author_demo_confidence,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
tiktok,post,7659716945968729364,"Saya percaya manusia ialah makhluk yang suka berinteraksi. Setiap pertemuan membawa ruang untuk saling mengenali, mendengar, belajar dan memahami.

Setiap insan yang ditemui memberikan nilai tambah dan pengajaran yang menjadikan diri saya lebih baik dari hari ke hari. 

Terima kasih semua.

Amin Sailan
Calon No. 2
N.16 Sungai Balang

""Anak Muda, Jiwa Berkhidmat""

#UstazAmin4SungaiBalang
#AminSailan
#CalonNo2
#khidmatuntuksemua
#SungaiBalangSejahtera",https://www.tiktok.com/@ustazamin_n16/video/7659716945968729364,,,positive,2026-07-08 15:34:55.761071+00:00,46,0,2,425,0.9993993461132049,52,https://www.tiktok.com/@ustazamin_n16/video/7659716945968729364,video,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7659716945968729364...: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7659716945968729364: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.9979978203773499,malay,Malay/Bumiputera,Unknown,0.0,happy,0.02706754580140114,0.025937683880329132,0.4354187250137329,0.019133448600769043,0.3840565085411072,0.032297372817993164
tiktok,post,7659697987152596244,"Saya tak sangka, rupanya Puan Hajah Salamah yang mengenali saya ini berusia 94 tahun.

Bila saya bertanya, ""Hajah kenal saya dari mana?"" Beliau tersenyum lalu menjawab, ""Saya tengok dalam surat khabar,"" sambil menunjukkan akhbar yang terselit kertas profile saya saya.

MashaAllah, hebat sungguh ingatan Puan ni pada usia 94 tahun. Lebih mengharukan apabila mengetahui beliau masih rajin membaca Harakah.

Terima kasih Hajah atas doa, sokongan dan semangat yang diberikan. Semoga Allah SWT terus mengurniakan kesihatan yang baik, umur yang diberkati serta melimpahkan rahmat-Nya kepada Hajah. Aamiin.

Amin Sailan
Calon No. 2 
N16 Sungai Balang

""Jom Jaga Sungai Balang""
""Anak Muda, Jiwa Berkhidmat""

#UstazAmin4SungaiBalang
#AminSailan
#CalonNo2
#JomJagaJohor
#SungaiBalangSejahtera",https://www.tiktok.com/@ustazamin_n16/video/7659697987152596244,,,positive,2026-07-08 15:34:56.086821+00:00,68,0,1,396,0.9820739924907684,72,https://www.tiktok.com/@ustazamin_n16/video/7659697987152596244,video,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7659697987152596244...: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7659697987152596244: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.9402466416358948,malay,Malay/Bumiputera,Unknown,0.0,surprise,0.00849334429949522,0.03337150812149048,0.019107524305582047,0.025163328275084496,0.029039258137345314,0.8300878405570984
tiktok,post,7659668707907489044,"Apabila wujud pembangkang yang kuat, kerajaan akan menjadi lebih telus, lebih bertanggungjawab dan lebih peka terhadap suara rakyat. Itulah komitmen kami jika kami diberi mandat untuk PRN kali ini demi masa depan Johor khususnya Sungai Balang yang lebih baik.

Amin Sailan
Calon No. 2 
N16 Sungai Balang

""Jom Jaga Sungai Balang""
""Anak Muda, Jiwa Berkhidmat""

#UstazAmin4SungaiBalang
#AminSailan
#CalonNo2
#JomJagaJohor
#SungaiBalangSejahtera",https://www.tiktok.com/@ustazamin_n16/video/7659668707907489044,,,positive,2026-07-08 15:34:56.419359+00:00,82,1,2,395,0.9743371069431304,88,https://www.tiktok.com/@ustazamin_n16/video/7659668707907489044,video,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7659668707907489044...: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7659668707907489044: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.9144570231437683,malay,Malay/Bumiputera,Unknown,0.0,happy,0.03511496260762215,0.0398738719522953,0.6978210806846619,0.016684962436556816,0.1410994827747345,0.019329959526658058
tiktok,post,7659651713581731093,"Sekitar kemeriahan suasana walkabout di Pasar Awam Parit Jawa. 

Pasar Awam Parit Jawa merupakan antara pasar awam utama di pekan Parit Jawa dan menjadi tumpuan penduduk sekitar untuk mendapatkan hasil laut segar, sayur-sayuran, buah-buahan serta pelbagai barangan keperluan harian.

Kedudukannya di pesisir Selat Melaka menjadikan pasar ini cukup terkenal dengan bekalan ikan, udang, ketam, sotong dan pelbagai hasil laut segar yang dibawa terus oleh nelayan tempatan. Inilah antara kekuatan ekonomi yang menjadi kebanggaan masyarakat Parit Jawa.

Semoga setiap pertemuan ini menjadi langkah kecil untuk terus memahami keperluan rakyat dan berusaha memberikan yang terbaik buat Sungai Balang.

Amin Sailan
Calon No. 2 
N16 Sungai Balang

""Jom Jaga Sungai Balang""
""Anak Muda, Jiwa Berkhidmat""

#UstazAmin4SungaiBalang
#AminSailan
#CalonNo2
#JomJagaJohor
#SungaiBalangSejahtera",https://www.tiktok.com/@ustazamin_n16/video/7659651713581731093,,,positive,2026-07-08 15:34:56.731004+00:00,57,0,1,254,0.9993894577026367,60,https://www.tiktok.com/@ustazamin_n16/video/7659651713581731093,video,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7659651713581731093...: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7659651713581731093: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.9979648590087891,malay,Malay/Bumiputera,Unknown,0.0,love,0.07667586207389832,0.02730591781437397,0.07990674674510956,0.04439269378781319,0.6179416179656982,0.02999371476471424
tiktok,post,7659634895941078292,"Jika diberi peluang untuk berkhidmat, hasrat saya hanyalah ingin bersama-sama menjaga Sungai Balang agar terus menjadi tempat yang selesa untuk kita semua tinggal, aman untuk membesarkan keluarga, dan sejahtera untuk generasi akan datang.

InsyaAllah, sedikit demi sedikit, kita usahakan bersama.

Amin Sailan
Calon No. 2 
N16 Sungai Balang

""Jom Jaga Sungai Balang""
""Anak Muda, Jiwa Berkhidmat""

#UstazAmin4SungaiBalang
#AminSailan
#CalonNo2
#JomJagaJohor
#SungaiBalangSejahtera",https://www.tiktok.com/@ustazamin_n16/video/7659634895941078292,,,positive,2026-07-08 15:34:57.044757+00:00,56,2,2,306,0.9993916571140289,63,https://www.tiktok.com/@ustazamin_n16/video/7659634895941078292,video,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7659634895941078292...: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7659634895941078292: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.9979721903800964,malay,Malay/Bumiputera,Unknown,0.0,happy,0.07675524801015854,0.04293122887611389,0.47042250633239746,0.03042188100516796,0.312272846698761,0.02069813571870327
tiktok,post,7660173983014194453,"""Abang, jom kita jenguk Program Demo Sabun Basuh DIY petang ni..."" 😊

Kalau isteri dah ajak, memang kena tunaikan. Barulah nampak macho, kan? 😄

Alhamdulillah, petang tadi saya berpeluang menyantuni peserta Program Demo Sabun Basuh DIY.

Program seperti ini mungkin nampak sederhana, tetapi manfaatnya besar. Wanita diberi ruang untuk belajar, berkongsi pengalaman, mengeratkan ukhwah, malah kemahiran yang dipelajari juga boleh membantu menjimatkan perbelanjaan rumah tangga dan berpotensi menjadi sumber pendapatan tambahan.

Semoga lebih banyak program seperti ini dapat diteruskan demi melahirkan masyarakat yang lebih berilmu, berkemahiran dan sejahtera.

Amin Sailan
Calon No. 2
N.16 Sungai Balang

""Jom Jaga Sungai Balang""
""Anak Muda, Jiwa Berkhidmat""

#UstazAmin4SungaiBalang
#AminSailan
#CalonNo2
#JomJagaJohor
#SungaiBalangSejahtera",https://www.tiktok.com/@ustazamin_n16/video/7660173983014194453,,,positive,2026-07-08 15:34:57.357905+00:00,7,0,0,43,0.9980525374412537,7,https://www.tiktok.com/@ustazamin_n16/video/7660173983014194453,video,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7660173983014194453...: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7660173983014194453: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.9935084581375122,malay,Malay/Bumiputera,Unknown,0.0,happy,0.024444248527288437,0.03418300300836563,0.7416657209396362,0.013676893897354603,0.11163194477558136,0.021276108920574188
tiktok,post,7660157710935067925,"Setiap pertemuan hari ini menguatkan azam saya untuk terus memperjuangkan kebajikan rakyat, khususnya mereka yang sedang diuji dengan kesihatan. Semoga pada masa hadapan, lebih banyak kemudahan, bantuan dan perhatian dapat dinikmati oleh seluruh masyarakat.

Pagi tadi saya berkesempatan turun bersama pasukan medik menziarahi Tuan Rahman, atau lebih dikenali sebagai Cikgu Rahman Siraj. Beliau kini diuji dengan penyakit strok dan dijaga penuh kasih sayang oleh isteri serta anaknya.

Walaupun kehadiran kami tidak seberapa, kami tetap disambut dengan layanan yang begitu mesra, malah dijamu oleh tuan rumah. Inilah indahnya budi bahasa dan budaya masyarakat Johor yang sentiasa memuliakan tetamu, sesuatu yang amat saya kagumi.

Semoga Allah SWT mengurniakan kesembuhan kepada Cikgu Rahman, menguatkan hati seluruh ahli keluarganya, serta mempermudahkan segala urusan mereka. Amin.

Amin Sailan
Calon No. 2 
N16 Sungai Balang

""Jom Jaga Sungai Balang""
""Anak Muda, Jiwa Berkhidmat""

#UstazAmin4SungaiBalang
#AminSailan
#CalonNo2
#JomJagaJohor
#SungaiBalangSejahtera",https://www.tiktok.com/@ustazamin_n16/video/7660157710935067925,,,positive,2026-07-08 15:34:57.938124+00:00,31,1,1,205,0.9993017494678497,35,https://www.tiktok.com/@ustazamin_n16/video/7660157710935067925,video,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7660157710935067925...: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7660157710935067925: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.9976724982261658,malay,Malay/Bumiputera,Unknown,0.0,love,0.06761477142572403,0.04888172820210457,0.0382251963019371,0.08499911427497864,0.6798060536384583,0.03920578584074974
tiktok,post,7660135633737829652,"Saya percaya, sebuah masyarakat yang sejahtera bukan hanya diukur melalui pembangunan, tetapi juga melalui sejauh mana kita menjaga kebajikan mereka yang sakit, warga emas dan golongan yang memerlukan.

Jika diberi mandat, inshaAllah saya akan berusaha menjadi suara kepada mereka, memperkukuh kebajikan dan memastikan tiada yang rasa dipinggirkan.

Mohon doa agar segala usaha ini dipermudahkan. Dan jika tuan-tuan dan puan-puan yakin dengan hasrat ini, pada hari mengundi nanti berilah sokongan kepada Perikatan Nasional.

Semoga Allah SWT mengurniakan kesembuhan dan kekuatan kepada semua yang sedang diuji.

""Jom Jaga Sungai Balang""
""Anak Muda, Jiwa Berkhidmat""

#UstazAmin4SungaiBalang
#AminSailan
#CalonNo2
#JomJagaJohor
#SungaiBalangSejahtera",https://www.tiktok.com/@ustazamin_n16/video/7660135633737829652,,,positive,2026-07-08 15:34:58.250839+00:00,37,2,1,234,0.9994066596031188,42,https://www.tiktok.com/@ustazamin_n16/video/7660135633737829652,video,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7660135633737829652...: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7660135633737829652: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.998022198677063,malay,Malay/Bumiputera,Unknown,0.0,sadness,0.04386579990386963,0.12355872988700867,0.03392673283815384,0.667132556438446,0.087711401283741,0.028240928426384926
tiktok,post,7660131701636615445,"Apa kata mereka?

AMIN SAILAN
Calon No. 2
N.16 Sungai Balang
Perikatan Nasional

""Jom Jaga Sungai Balang""
""Anak Muda, Jiwa Berkhidmat""

#UstazAmin4SungaiBalang
#AminSailan
#CalonNo2
#JomJagaJohor
#SungaiBalangSejahtera",https://www.tiktok.com/@ustazamin_n16/video/7660131701636615445,,,neutral,2026-07-08 15:34:58.577694+00:00,21,2,0,153,0.5,24,https://www.tiktok.com/@ustazamin_n16/video/7660131701636615445,video,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7660131701636615445...: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7660131701636615445: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",neutral,0.8496196866035461,english,Mixed/Urban,Unknown,0.0,love,0.06639296561479568,0.024249231442809105,0.09788131713867188,0.040801677852869034,0.49890923500061035,0.0252070352435112
tiktok,post,7660106132735741204,"""Ustaz lupa ke gambar kami?"" 😄

Bukan ustaz yang lupa, tapi team ustaz yang terlepas pandang nak muat naik gambar semalam.

Nah, ini dia kenangan sewaktu walkabout di Pasar Petang Parit Bulat semalam. Terima kasih atas setiap sapaan dan senyuman yang diberikan. Sokongan tuan-tuan dan puan-puan menjadi kekuatan untuk saya terus berkhidmat dengan lebih bersungguh-sungguh.

Sabtu nanti, pangkah Perikatan Nasional ya.

Amin Sailan
Calon No. 2 
N16 Sungai Balang

""Jom Jaga Sungai Balang""
""Anak Muda, Jiwa Berkhidmat""

#UstazAmin4SungaiBalang
#AminSailan
#CalonNo2
#JomJagaJohor
#SungaiBalangSejahtera",https://www.tiktok.com/@ustazamin_n16/video/7660106132735741204,,,positive,2026-07-08 15:34:58.880892+00:00,45,8,2,220,0.999391084909439,57,https://www.tiktok.com/@ustazamin_n16/video/7660106132735741204,video,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7660106132735741204...: Failed to load video from https://www.tiktok.com/@ustazamin_n16/video/7660106132735741204: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",positive,0.9979702830314636,malay,Malay/Bumiputera,Unknown,0.0,surprise,0.054284751415252686,0.10999380797147751,0.0162998978048563,0.17081686854362488,0.05430383235216141,0.4916536808013916
