Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,crawl_source,sentiment_label,sentiment_confidence,emotion_primary,is_news,is_social,mentions_pas,mentions_bersatu,narrative_split,narrative_solo,geo_johor,geo_melaka,geo_ns,date_parsed,in_event_window
facebook,comment,Y29tbWVudDoxNDM2MTUxNzI1MjE0Mjc0XzE1MzcyMjk2NTgxOTMwMTY=,"Dapatkan berita, info terkini, dan temu bual terbaik hanya di Bernama Radio – follow & like semua platform sosial media kami sekarang dan dengarkan siaran kami di FM Radio dan aplikasi mobil!
🎧🔥 #StayTunedDenganBERNAMARADIO

Follow & Like:
Facebook: www.facebook.com/bernamaradio
Instagram: https://www.instagram.com/bernamaradioofficial
X: https://x.com/Bernama_Radio
TikTok: https://www.tiktok.com/@bernamaradioofficial
YouTube: https://www.youtube.com/@bernamaradio
Threads: https://www.threads.net/@bernamaradioofficial
Spotify: @Bernama Radio

Dengarkan BERNAMA RADIO di:
FM Radio :
* FM 93.9 Lembah Klang
* FM 107.5 Johor Bahru
* FM 100.9 Kuching
* FM 107.9 Kota Kinabalu

Aplikasi Mobil:
* BERNAMA
* Mytv manamana",,https://www.facebook.com/bernamaradio/posts/pfbid02ki15BycatjJtT4uMnU3xWXu6QZ638ewbZeKmr9s8PDpV7JJkbdENkiKr3Q2i4Vmsl,pfbid02ki15BycatjJtT4uMnU3xWXu6QZ638ewbZeKmr9s8PDpV7JJkbdENkiKr3Q2i4Vmsl,neutral,2026-06-09 09:37:47+00:00,0,0,0,0,0.0,0,,Bernama Radio,0.0,crawl1_social_merged,,,,False,True,False,False,False,False,True,False,False,2026-06-09 09:37:47+00:00,True
facebook,comment,Y29tbWVudDoxMDIwMjEyNjU3MjA3NDgzXzExOTIxNjUxMDYzNDA5MjI=,@followers,,https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,neutral,2026-06-09 03:23:38+00:00,1,0,0,0,0.0,1,,Mohd Ramalan Yunus,0.0,crawl1_social_merged,,,,False,True,False,False,False,False,False,False,False,2026-06-09 03:23:38+00:00,True
facebook,comment,Y29tbWVudDoxMDIwMjEyNjU3MjA3NDgzXzgyNzU0OTU4Njg3Njc1NA==,Semuanya di atas kehandak mu ya Allah semoga umat² sedar dan  bersatu,,https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,neutral,2026-06-09 06:22:32+00:00,1,0,1,0,0.0,3,,Pinter Luing Aminullah,0.0,crawl1_social_merged,,,,False,True,False,True,False,False,False,False,False,2026-06-09 06:22:32+00:00,True
facebook,comment,Y29tbWVudDoxMDIwMjEyNjU3MjA3NDgzXzE1ODY5NzQ4ODk0ODYyNDU=,Selagi silebambirat jadi Presiden Bersatu maka sial 44 akan menimpa malaysia bukan sahaja parti Bersatu,,https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,neutral,2026-06-09 11:21:52+00:00,0,0,1,0,0.0,2,,Al Amin,0.0,crawl1_social_merged,,,,False,True,False,True,False,False,False,False,False,2026-06-09 11:21:52+00:00,True
facebook,comment,Y29tbWVudDoxMDIwMjEyNjU3MjA3NDgzXzE2NzI4NjI4NjM5MzY4MjU=,Jahat nya DAP sehingga PAS berbalah dan berpisah dari pakatan dgn BERSATU...kalu tebuk atap N9 berjaya mengguling MB baru2 ini...mungkin tak jd berpisah...jahat nya DAP,,https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,neutral,2026-06-09 06:15:08+00:00,1,0,0,0,0.0,1,,Tanjung Piai,0.0,crawl1_social_merged,,,,False,True,True,True,True,False,False,False,False,2026-06-09 06:15:08+00:00,True
facebook,comment,Y29tbWVudDoxMDIwMjEyNjU3MjA3NDgzXzI4MDY3MjU1MzI5OTk2OTg=,"Agak agak berapa persen keuntungan yang PAS perolehi daripada keputusan bercerai ini? Adakah bonus bakal PAS perolehi. Adakah bertambah sokongan kaum Melayu kepada PAS? Adakah kemungkinan besar bertambah pengundi PAS?

Wallahu'alam bissawab",,https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,neutral,2026-06-09 09:31:47+00:00,0,0,0,0,0.0,0,,Hasrul AdDussuni Al Qoniyyah,0.0,crawl1_social_merged,,,,False,True,True,False,True,False,False,False,False,2026-06-09 09:31:47+00:00,True
facebook,comment,Y29tbWVudDoxMDIwMjEyNjU3MjA3NDgzXzE0Nzc0NzQ2MDY5MzE5NzA=,Can we talk,,https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,neutral,2026-06-09 07:52:39+00:00,1,0,0,0,0.0,1,,Vivian Susan,0.0,crawl1_social_merged,,,,False,True,False,False,False,False,False,False,False,2026-06-09 07:52:39+00:00,True
facebook,comment,Y29tbWVudDoxMDIwMjEyNjU3MjA3NDgzXzE2NzE1MDc1NjA2Mjk2Mzk=,,,https://www.facebook.com/mohd.ramalan.yunus/posts/pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,pfbid02Y4sgRU5WkMf8wf1Kp6humb3omF5Cse5RME6x9gkAM8cXmKVdv3WxFqtqi3HfmizEl,neutral,2026-06-09 07:52:24+00:00,0,0,0,0,0.0,0,,Vivian Susan,0.0,crawl1_social_merged,,,,False,True,False,False,False,False,False,False,False,2026-06-09 07:52:24+00:00,True
facebook,comment,Y29tbWVudDoxNDAwMzk5NzU4Nzg4NzE1XzM3NDgwNDMwNjIwMDM5Mzc=,"Maksud jelas, dia tetap bersama umdap. 🤣🤣🤣🤣 Prn kat johor tu hanya wayang , nanti cium mulut balik.",,https://www.facebook.com/siakapkeli/posts/pfbid02Vopf4GPxhic5hB9LG1zPaAJWQQsgjRJGEitYERg15TtoXtF9CD1HtUX6MQEe2F6Zl,pfbid02Vopf4GPxhic5hB9LG1zPaAJWQQsgjRJGEitYERg15TtoXtF9CD1HtUX6MQEe2F6Zl,neutral,2026-06-09 09:11:58+00:00,271,0,32,0,0.0,335,,Serumpun Rumput,0.0,crawl1_social_merged,,,,False,True,False,False,False,False,True,False,False,2026-06-09 09:11:58+00:00,True
facebook,comment,Y29tbWVudDoxNDAwMzk5NzU4Nzg4NzE1XzIxMzc0NzQ3NzAzODIxNDI=,Dia mmg xmau bersama PAS si zahid ni sbab tghh dh ckp dia xkan msuk campur hal kes dia tu.. Jdi dia xpuas hati lh tu psal dia cri anwar dngan syarat bg kwn tu jdi PM anda selamat,,https://www.facebook.com/siakapkeli/posts/pfbid02Vopf4GPxhic5hB9LG1zPaAJWQQsgjRJGEitYERg15TtoXtF9CD1HtUX6MQEe2F6Zl,pfbid02Vopf4GPxhic5hB9LG1zPaAJWQQsgjRJGEitYERg15TtoXtF9CD1HtUX6MQEe2F6Zl,neutral,2026-06-09 09:03:35+00:00,237,0,45,0,0.0,327,,Fazly Kedah,0.0,crawl1_social_merged,,,,False,True,True,False,False,False,False,False,False,2026-06-09 09:03:35+00:00,True
